"","male","black","white","edu","hours","age","inc_labor","int_id"
"27",1,0,1,17,1900,27,79420,4959
"30",1,0,1,17,0,25,0,1262
"38",0,0,1,12,160,25,1337.59997558594,1351
"42",1,0,1,14,1720,29,30932,3181
"45",1,0,1,12,5096,27,37620,5834
"50",1,0,1,11,2371,27,20189.400390625,3127
"52",0,0,1,10,325,28,1254,3402
"55",1,0,1,12,1935,29,16720,5136
"56",1,0,1,6,2918,28,27170,3190
"57",1,0,1,4,1610,30,11724.900390625,5707
"622",0,0,1,9,0,30,0,4386
"637",1,0,1,17,1800,32,68794.4375,2036
"652",0,0,0,12,0,34,0,1331
"665",1,0,1,12,3430,46,32248.69921875,3728
"677",0,0,1,8,1040,42,9614,2361
"680",1,1,0,12,1800,60,100320,3468
"762",1,0,1,10,2130,25,58520,980
"768",1,0,1,12,2296,27,24160.400390625,653
"805",1,1,0,12,2701,26,88198,3757
"811",1,1,0,6,4000,45,71060,5190
"813",1,0,1,7,1624,60,20114.16015625,3228
"817",1,0,1,12,2316,34,45980,1318
"839",1,0,1,12,2178,31,34276,872
"841",0,0,1,12,120,34,1672,986
"842",0,0,1,16,0,32,0,5401
"859",1,0,1,13,1995,56,77530.640625,5009
"892",1,0,1,12,2338,43,75240,1062
"894",0,0,1,17,288,33,9196,3861
"970",0,0,1,12,288,28,7574.16015625,4992
"975",1,0,0,12,2280,37,66880,4127
"991",0,0,1,12,2640,52,25080,3399
"1141",1,0,1,16,1880,26,41800,1252
"1161",1,0,1,13,2568,45,417995.8125,4750
"1180",0,0,1,17,1260,27,6270,5006
"1211",0,0,1,17,1800,32,38038,790
"1212",0,0,1,12,2184,32,15048,4127
"1264",0,0,1,12,1685,26,20900,2039
"1313",0,1,0,12,1312,49,16302,987
"1328",1,0,1,16,2570,49,60839.8984375,4319
"1334",0,0,1,12,1000,34,16720,2359
"1358",0,0,1,12,0,33,0,4926
"1371",1,0,1,17,2064,27,54340,3250
"1374",0,0,1,12,1440,50,16720,2552
"1431",1,0,1,16,1920,49,117040,1637
"1489",1,0,1,8,1880,47,29435.560546875,1931
"1490",0,0,1,11,1960,35,28006,1640
"1495",0,0,1,12,0,32,0,5527
"1519",1,0,1,16,1480,59,150480,347
"1544",0,0,1,12,0,25,0,752
"1583",0,0,1,12,0,29,0,5486
"1584",0,0,1,16,200,32,8360,3414
"1608",0,0,1,16,12,39,183.919998168945,2487
"1626",0,0,1,14,2040,25,25080,2148
"1662",0,0,1,16,952,38,20900,1074
"1674",0,0,1,16,1920,25,33440,1928
"1680",0,0,1,12,0,52,0,965
"1700",1,0,1,12,2010,59,60610,3094
"1734",0,0,1,12,1200,26,4180,5284
"1772",1,0,1,8,2204,48,58520,4368
"1776",1,0,1,12,1152,38,40964,1956
"1778",0,0,1,12,1560,55,7106,5043
"1787",1,0,1,12,2550,55,83704.5,708
"1815",0,0,1,9,1939,60,48070,3059
"1822",0,0,1,12,0,52,0,4494
"1834",1,0,1,12,2805,45,62700,155
"1838",1,1,0,12,1330,45,38706.80078125,4252
"1844",1,0,1,12,1920,48,63118,5481
"1858",1,0,1,12,2304,57,25715.359375,124
"1863",1,0,1,17,2136,27,83600,2416
"1888",0,0,1,13,0,55,0,2346
"1929",1,0,1,16,2456,49,56430,5673
"1945",1,0,1,16,2796,29,78500.3984375,3266
"1981",0,0,1,12,675,26,24244,3019
"1990",0,0,1,12,1960,28,50160,5496
"2016",0,0,1,16,60,26,877.799987792969,291
"2031",1,0,1,16,3080,36,97494.3203125,3148
"2032",1,0,1,16,3583,29,52250,4892
"2048",0,0,1,17,0,29,0,2740
"2065",1,0,1,16,2500,29,37620,624
"2086",0,1,0,17,1480,25,33440,1129
"2096",1,0,1,13,2080,45,56597.19921875,1391
"2114",1,0,1,15,2085,45,75240,2419
"2147",1,0,1,14,2470,26,75240,4290
"2192",1,0,0,4,1627,42,22572,4305
"2209",0,0,1,15,1058,29,10450,1752
"2219",0,0,1,12,337,52,6215.66015625,3911
"2224",1,0,1,12,2040,33,50160,5138
"2255",1,0,1,12,0,60,0,5691
"2263",1,0,1,16,2160,28,17054.400390625,2756
"2280",0,0,1,11,0,31,0,5709
"2296",0,1,0,7,1440,26,4180,4182
"2355",1,0,1,12,2276,30,33552.859375,2026
"2357",0,0,1,12,504,29,6688,3495
"2368",0,0,1,13,0,33,0,789
"2393",1,0,1,12,2008,41,61028,791
"2394",1,0,1,10,2805,32,29260,1183
"2415",0,0,1,7,0,37,0,33
"2443",1,0,1,12,2112,31,58520,3183
"2451",0,0,1,17,1120,27,17556,4130
"2452",1,0,1,12,0,49,0,1247
"2490",0,0,1,11,0,32,0,4651
"2539",1,1,0,10,0,59,0,2974
"2581",0,0,1,15,480,52,12540,2486
"2582",1,0,1,12,3284,26,50160,5375
"2586",0,0,1,8,0,46,0,1121
"2616",0,0,1,12,0,40,0,4749
"2636",0,0,1,12,1880,39,35028.3984375,3850
"2666",0,1,0,12,1960,47,20235.380859375,683
"2668",1,0,1,12,2100,40,89870,5832
"2695",1,0,1,13,3797,33,58520,5668
"2701",1,0,1,12,1920,51,104500,914
"2710",1,0,1,12,2100,58,25080,2796
"2713",1,0,1,15,2550,30,93214,1639
"2734",1,0,1,12,2095,27,31350,1181
"2801",1,0,1,12,2260,34,44726,2226
"2804",1,1,0,5,2040,50,18810,3550
"2807",1,0,1,12,2750,31,66880,5497
"2839",1,0,1,16,2695,48,417995.8125,963
"2871",1,0,1,14,2323,25,43112.51953125,3409
"2882",1,0,1,14,2568,28,33440,1938
"2922",1,0,1,14,2096,60,62700,4543
"2927",1,0,0,16,2000,26,31350,1660
"2947",1,0,1,13,2321,31,35103.640625,4432
"2997",1,0,1,12,1935,41,27588,879
"3012",0,0,1,16,1440,46,41800,3406
"3077",1,0,1,16,2414,48,188936,5350
"3090",0,0,1,15,0,29,0,2700
"3099",0,0,1,14,1081,47,20900,5350
"3111",1,0,1,8,3060,51,21623.140625,3583
"3132",1,1,0,3,1960,59,25080,2959
"3159",1,0,1,14,3205,26,62700,585
"3169",1,0,1,16,2470,57,43187.76171875,2468
"3174",0,0,1,8,0,29,0,4899
"3229",1,0,1,12,2190,52,48070,1207
"3253",1,0,1,12,2058,27,33440,3836
"3271",1,0,1,16,1900,25,42677.80078125,622
"3304",1,0,1,17,3360,58,68970,2580
"3344",1,0,1,16,1176,58,102828,1677
"3378",1,0,1,12,1692,25,64790,1704
"3392",0,0,1,12,0,30,0,2146
"3412",0,0,0,14,1600,26,25080,2562
"3425",1,0,1,17,2335,26,30096,4953
"3426",0,0,1,14,1400,28,21635.6796875,1349
"3485",1,1,0,12,2020,28,41800,3044
"3488",0,0,1,17,63,36,1045,3291
"3498",0,0,1,12,0,57,0,4373
"3513",0,0,1,8,520,53,6086.080078125,2389
"3532",0,0,1,12,0,35,0,218
"3534",0,0,1,16,0,34,0,3854
"3580",1,0,1,17,1150,54,38288.80078125,845
"3582",1,0,1,17,0,27,0,5045
"3588",1,0,1,16,3502,29,209000,5040
"3591",0,0,0,12,1600,28,14212,4060
"3614",0,0,1,11,0,49,0,4965
"3646",0,0,1,11,0,44,0,1288
"3672",0,0,1,12,2000,42,24244,1212
"3676",1,0,1,17,1820,41,50160,976
"3710",0,0,1,16,564,27,572.659973144531,2476
"3731",0,0,1,12,0,60,0,4642
"3759",0,0,1,12,0,46,0,3931
"3772",0,0,1,17,1600,30,29260,1010
"3780",1,0,1,13,1040,38,20900,3783
"3830",1,0,0,14,1944,40,76042.5625,2521
"3867",1,0,1,8,1670,55,118022.296875,2234
"3881",0,1,0,16,700,25,12540,5211
"3886",0,0,1,17,0,29,0,5150
"3908",0,1,0,12,1365,54,16720,1867
"3936",1,0,1,12,1914,55,41779.1015625,3847
"3953",0,0,1,16,2584,25,43472,4519
"3958",0,0,1,13,0,27,0,4804
"3959",1,0,1,12,2640,52,44726,2193
"3966",1,0,1,15,2024,28,24950.419921875,3345
"3980",1,0,1,10,2000,39,58520,4465
"4116",1,0,1,13,2420,41,63059.48046875,2443
"4131",0,0,1,12,1200,25,8360,980
"4144",1,0,1,7,1575,50,48488,1723
"4151",0,1,0,12,1840,40,19913.51953125,5572
"4157",1,0,1,17,2256,27,37620,1928
"4171",0,0,1,17,1073,45,62700,349
"4172",0,0,1,10,1900,55,8360,2573
"4190",0,0,1,17,748,25,62700,4959
"4193",1,1,0,14,2064,54,22170.720703125,490
"4197",0,0,1,16,1920,25,36366,5045
"4224",1,0,1,12,3016,25,49115,2495
"4249",1,0,1,15,1365,29,35530,887
"4265",0,0,1,6,0,51,0,196
"4267",0,0,1,12,0,28,0,5040
"4283",1,0,1,17,2020,34,74404,2334
"4377",0,0,1,16,1896,26,40128,3579
"4397",1,0,1,11,2000,36,21736,4967
"4437",1,0,1,14,1985,56,50160,4263
"4438",1,0,0,12,1920,27,50160,3514
"4442",0,0,1,12,1428,53,10211.740234375,3167
"4453",0,0,1,7,1978,58,60192,460
"4478",1,0,1,12,3470,28,19792.30078125,1852
"4490",0,1,0,8,0,50,0,3352
"4529",0,0,1,14,2000,34,28424,3427
"4551",0,0,1,12,1856,48,41800,2635
"4595",1,0,1,8,3000,48,37620,2675
"4597",1,0,1,13,2856,49,45679.0390625,5422
"4603",1,0,1,12,2250,34,39710,3401
"4611",0,0,1,12,1968,32,23408,4183
"4632",1,1,0,17,2830,49,121040.2578125,4032
"4650",0,0,1,12,2000,25,41800,5818
"4693",1,0,1,11,2185,47,68552,859
"4696",1,0,1,8,4368,58,40479.12109375,3249
"4768",1,1,0,11,2238,39,32604,3115
"4801",0,0,1,13,0,35,0,4203
"4818",0,0,1,12,2070,43,46816,5499
"4855",0,0,1,13,640,26,8778,1574
"4857",1,0,1,14,792,30,25080,3765
"4861",0,0,1,12,320,57,4660.7001953125,619
"4876",0,0,1,12,2016,32,27170,427
"4894",0,0,1,14,1800,25,45980,4181
"4920",1,0,1,12,2878,55,47815.01953125,2175
"4961",0,0,1,17,224,44,10450,4497
"4967",0,0,1,8,0,52,0,4912
"4987",1,0,1,10,240,58,8360,2389
"5082",1,0,1,12,2560,46,74571.203125,2989
"5094",0,0,1,17,2000,27,55176,4267
"5097",0,0,1,12,0,38,0,3726
"5121",1,0,1,12,5742,47,74195,3718
"5142",0,0,1,10,0,45,0,1133
"5144",0,0,1,12,0,41,0,2118
"5163",1,0,1,16,855,30,17974,3269
"5186",0,0,1,14,1040,26,10450,1942
"5188",1,0,1,16,2510,29,137940,2893
"5191",1,0,1,10,1920,49,62700,2611
"5252",0,0,1,12,0,45,0,2065
"5300",0,0,1,17,1960,44,30096,5649
"5301",0,0,1,12,1800,39,25080,299
"5347",0,0,1,10,0,34,0,4935
"5366",1,0,1,12,2500,42,73150,1241
"5380",0,1,0,12,1971,34,46398,4639
"5382",0,0,1,15,0,33,0,4683
"5439",1,1,0,13,1040,26,31350,1427
"5487",0,0,1,9,1560,36,15048,1944
"5609",1,0,1,12,1208,25,33440,1610
"5638",0,0,1,14,960,47,20064,1637
"5689",1,0,1,17,3600,37,292600,1884
"5695",0,0,1,17,420,37,13355.099609375,630
"5702",1,0,1,16,1960,28,68970,4361
"5708",0,0,1,14,0,25,0,1744
"5712",1,0,1,16,1800,55,62700,852
"5715",0,0,1,14,1600,40,38038,2338
"5736",1,0,1,14,2000,29,52250,2211
"5743",1,0,1,17,2802,42,104082,5517
"5784",0,0,1,12,2512,47,44571.33984375,3248
"5809",1,0,1,14,2208,52,104500,5737
"5810",0,0,1,11,690,43,7106,375
"5841",1,0,1,12,1984,35,27170,1322
"5850",0,0,1,12,2000,40,54340,2347
"5859",0,1,0,16,960,25,14630,3589
