"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,3871,35,76504.75,6062,3,1,103635
"3",0,0,1,11,1431,38,9371.25,5824,1,0,54250
"5",1,0,1,12,2860,29,42000,6017,3,1,47075
"6",1,0,1,12,2315,33,31272.5,6100,3,1,32375
"7",1,0,1,12,2299,32,25550,5872,3,1,32900
"8",0,0,1,13,2208,37,22750,7267,3,1,63546
"9",1,0,1,12,2860,34,68250,5800,3,1,85750
"10",0,0,1,14,725,26,2808.75,5864,0,0,3342.5
"12",1,1,0,12,2000,25,24500,8793,0,0,24500
"16",0,1,0,12,2800,28,43750,2433,1,0,44275
"18",0,1,0,16,258,37,700,8124,4,0,17500
"19",0,0,1,15,1820,35,35000,2434,2,0,35000
"20",1,1,0,13,1984,27,35000,8129,3,1,56000
"21",0,1,0,12,1855,33,42000,7617,3,0,47040
"25",0,0,1,16,1200,34,31500,2502,3,1,117250
"26",1,0,1,14,3516,36,92750,2040,0,0,92750
"27",1,0,1,17,2580,42,107257.5,3684,1,1,331625
"28",0,0,1,15,928,27,14175,2846,0,0,14175
"30",1,0,1,17,2470,40,80911.25,3736,2,1,246050
"31",0,0,1,16,2030,38,49000,2905,0,0,49000
"33",1,0,1,17,2214,32,253750,4623,3,1,350000
"34",1,0,1,12,1920,25,28000,292,0,0,28420
"38",0,0,1,12,1778,39,28875,224,0,0,38332
"39",0,0,1,17,0,29,0,50,1,1,57925
"42",1,0,1,14,1760,43,21000,58,4,1,26908
"44",0,0,1,16,1440,31,11725,424,3,0,21735
"45",1,0,1,12,2040,41,52500,4791,1,1,87368.75
"47",1,0,1,10,2400,29,47250,7520,0,0,47250
"49",0,0,1,12,2048,27,26250,228,0,0,26250
"50",1,0,1,11,2000,41,31500,202,0,0,31500
"51",0,0,1,12,2071,32,17500,1325,2,1,70000
"54",1,0,1,12,2105,37,17500,3768,1,1,33250
"55",1,0,1,12,3120,44,29750,7380,5,1,29750
"56",1,0,1,6,2660,43,21000,4782,1,1,24046.75
"59",1,0,1,10,0,36,0,423,2,1,13007.75
"60",1,0,1,12,2184,37,30569,780,2,1,46021.5
"61",1,0,1,10,2040,29,8925,2925,0,1,10325
"62",1,0,1,12,2425,39,26250,161,2,1,32784.5
"63",0,0,1,12,1636,27,19250,187,1,0,24641.75
"64",1,0,1,14,2196,35,41125,504,2,1,59521
"65",1,0,1,12,2592,28,26075,7996,2,1,41825
"68",0,1,0,12,0,26,0,2976,2,0,5880
"70",1,1,0,12,1916,29,33250,3473,0,0,34125
"72",0,1,0,12,2150,39,35000,3840,1,0,35875
"73",1,1,0,12,533,30,6529.25,3232,0,0,16329.25
"75",1,1,0,12,2016,38,45500,4278,2,1,66500
"76",0,1,0,12,2205,33,26250,3537,3,0,55562.5
"600",1,0,1,12,1982,36,61250,2764,2,1,73500
"637",1,0,1,17,2205,47,122500,7053,1,1,192675
"670",1,0,1,12,1945,28,16079,1605,1,1,39025
"701",1,0,1,17,2844,35,66500,6008,2,1,111300
"759",0,0,1,17,1244,32,50750,3499,0,1,152950
"764",0,0,1,13,2404,30,22750,5653,2,1,47246.5
"770",0,1,0,13,2160,32,43097.25,8536,2,1,82001.5
"780",1,0,1,15,2828,30,10500,5230,0,0,10500
"790",1,0,1,12,3000,39,59500,1584,0,1,119175
"796",1,0,1,12,2295,38,53812.5,3616,0,0,54302.5
"805",1,1,0,12,2080,41,24850,1621,4,1,49350
"817",1,0,1,12,2868,49,40250,5034,0,0,41650
"839",1,0,1,12,2640,46,41125,3424,1,1,82831
"840",1,0,1,17,3035,36,115500,731,2,1,175000
"841",0,0,1,12,486,49,4025,4920,1,1,196997.5
"842",0,0,1,16,672,47,8225,6838,1,1,462271.25
"849",1,0,1,13,2369,28,57137.5,1348,1,1,69737.5
"865",1,0,1,10,2932,34,56525,3859,2,0,84808.5
"892",1,0,1,12,2000,58,45500,2463,0,1,79975
"893",0,0,1,16,500,34,5250,6282,2,1,77000
"894",0,0,1,17,2354,48,43274,5975,1,0,45242.75
"961",0,0,1,10,0,27,0,8204,1,1,105000
"970",0,0,1,12,1852,42,17500,8109,0,1,85680
"975",1,0,0,12,2460,52,87500,7464,0,1,118475
"998",0,0,1,12,1968,32,24533.25,2426,0,0,27352.5
"1036",0,1,0,13,2250,43,8492.75,598,0,1,81329.5
"1068",1,0,1,17,2631,41,33988.5,3699,0,1,148400
"1081",0,0,1,12,0,28,0,8574,2,1,22608.25
"1114",1,0,1,14,1872,37,73500,5880,0,1,160520.5
"1154",0,0,1,17,2064,37,105000,62,1,1,152250
"1162",1,0,1,15,3179,27,37625,6755,0,1,71575
"1172",1,0,1,16,1984,31,87500,1924,0,1,116896.5
"1180",0,0,1,17,100,42,4900,4,2,1,100625
"1183",1,0,1,12,1400,32,17955,8547,2,1,21838.25
"1185",1,0,1,12,2900,32,64750,699,0,1,115500
"1187",0,0,1,17,2375,39,95375,6750,2,1,333375
"1205",1,0,1,17,2410,34,94500,1439,2,1,117512.5
"1211",0,0,1,17,2018,47,56875,3253,0,0,67515
"1212",0,0,1,12,1310,47,17500,7464,0,1,118475
"1247",0,0,1,17,936,34,28000,8205,2,1,84262.5
"1249",1,0,1,14,2452,33,99750,9189,0,0,99750
"1289",0,0,1,14,0,32,0,7391,2,1,23275
"1290",0,0,1,16,1920,29,71750,3208,1,1,128625
"1314",0,0,1,14,882,30,21000,7132,2,1,61250
"1334",0,0,1,12,1976,49,30975,4358,1,1,65436
"1345",1,0,1,17,2810,37,69650,7846,0,0,69650
"1358",0,0,1,12,1827,47,21000,3783,0,1,128800
"1371",1,0,1,17,1974,42,75250,7290,2,1,118562.5
"1412",0,0,1,12,1880,31,23800,452,2,1,79800
"1419",0,0,1,12,328,35,3640,5151,3,1,75390
"1451",0,0,1,13,1736,26,34994.75,4582,0,0,35309.75
"1472",0,0,1,17,1920,34,59500,6270,0,1,114100
"1490",0,0,1,11,742,49,5075,3989,0,1,53200
"1505",1,0,1,12,2080,46,41195,314,2,1,90084.75
"1506",0,1,0,14,2209,37,38500,6435,1,0,43085
"1511",1,0,1,16,2340,34,70000,7193,0,1,99750
"1524",0,0,1,12,1996,25,22274,6002,1,0,22282.75
"1544",0,0,1,12,1904,40,22750,7056,2,1,89215
"1546",0,0,1,14,660,39,7000,4012,3,1,82657.75
"1584",0,0,1,16,3500,47,69125,8624,2,1,137214
"1597",1,1,0,14,2150,33,51625,1983,2,1,102375
"1608",0,0,1,16,0,54,0,725,0,1,216265
"1612",0,1,0,12,0,38,0,3432,2,0,22627.5
"1631",0,0,1,16,24,37,610.75,8090,3,1,69725.25
"1644",0,1,0,16,571,32,7000,1077,1,1,42000
"1662",0,0,1,16,1104,52,26250,3176,0,1,150701.25
"1674",0,0,1,16,1728,40,63000,4410,2,1,159600
"1679",0,0,1,12,466,34,3500,8938,3,1,120750
"1734",0,0,1,12,2100,41,32200,8324,1,0,36400
"1797",0,0,1,16,2256,30,59500,4506,0,1,101606.75
"1843",0,0,1,13,3250,29,28875,3940,0,0,28875
"1847",0,1,0,12,120,32,840,803,5,0,8183
"1863",1,0,1,17,2683,41,108500,7154,3,1,138250
