"","male","black","white","edu","hours","age","inc_labor","int_id"
"2",1,0,1,12,2376,36,88952.5,7243
"3",0,0,1,11,1680,39,12090.400390625,5815
"4",1,0,1,4,1200,41,0,5526
"5",1,0,1,12,2100,30,28900,6294
"6",1,0,1,12,2313,34,28900,6463
"7",1,0,1,12,2492,32,26775,5744
"8",0,0,1,13,2222,38,20400,5747
"9",1,0,1,12,3036,35,75869.296875,5663
"10",0,0,1,14,2500,27,15937.5,5319
"12",1,1,0,12,12,25,110.5,5227
"16",0,1,0,12,1744,29,40800,7217
"18",0,1,0,16,0,38,0,4665
"19",0,0,1,15,1820,36,54400,9400
"20",1,1,0,13,2080,28,35715.30078125,8478
"21",0,1,0,12,1945,34,40800,4553
"25",0,0,1,16,0,35,0,6078
"26",1,0,1,14,2410,37,81600,5547
"27",1,0,1,17,2460,44,111741,5545
"28",0,0,1,15,729,28,34000,7516
"30",1,0,1,17,2662,41,83012.703125,5546
"31",0,0,1,16,2009,39,48960,6569
"32",0,0,1,16,0,31,0,6146
"33",1,0,1,17,2500,33,328100,5369
"34",1,0,1,12,1253,28,13815.900390625,8646
"37",0,0,1,12,0,39,0,9774
"38",0,0,1,12,1700,40,23800,5216
"39",0,0,1,17,0,30,0,6075
"42",1,0,1,14,2024,44,28900,4126
"44",0,0,1,16,2083,32,23800,5217
"45",1,0,1,12,2030,43,47600,4693
"47",1,0,1,10,2500,30,34000,6713
"48",0,0,1,8,1898,31,16150,3360
"49",0,0,1,12,1988,28,25500,3973
"50",1,0,1,11,1960,42,32300,5534
"51",0,0,1,12,2378,33,25500,3964
"52",0,0,1,10,1270,44,13260,5397
"54",1,0,1,12,2110,39,17000,8784
"55",1,0,1,12,3120,45,28900,5579
"56",1,0,1,6,2400,44,22950,7586
"57",1,0,1,4,0,46,0,9677
"58",0,0,1,9,0,32,0,6565
"59",1,0,1,10,1100,37,29070,718
"60",1,0,1,12,2080,38,31450,1060
"61",1,0,1,10,2040,32,10200,9225
"62",1,0,1,12,2220,40,21250,5684
"63",0,0,1,12,968,28,13219.2001953125,6523
"64",1,0,1,14,2340,36,33745,7599
"65",1,0,1,12,2156,30,26010,9651
"68",0,1,0,12,0,27,0,2586
"69",1,1,0,12,1000,32,0,2527
"70",1,1,0,12,2148,30,34000,2528
"72",0,1,0,12,3525,40,34000,2622
"73",1,1,0,12,1250,31,17000,8112
"75",1,1,0,12,2162,39,49300,6151
"76",0,1,0,12,2000,34,22185,2872
"600",1,0,1,12,1934,37,61200,5641
"637",1,0,1,17,2385,48,122400,3242
"670",1,0,1,12,2235,29,6998.89990234375,1399
"671",0,0,1,12,1530,37,10200,6600
"677",0,0,1,8,0,58,0,234
"688",0,0,1,17,1002,26,14450,7047
"701",1,0,1,17,2940,36,71910,5076
"759",0,0,1,17,2326,33,78606.296875,3424
"764",0,0,1,13,2608,32,17850,6978
"769",0,0,1,12,144,32,170,6463
"770",0,1,0,13,1990,33,42500,8877
"780",1,0,1,15,1368,31,20400,1278
"790",1,0,1,12,3241,40,56100,1785
"796",1,0,1,12,2110,39,53646.8984375,1045
"805",1,1,0,12,1960,42,37400,402
"817",1,0,1,12,2550,50,30600,4118
"839",1,0,1,12,2450,47,42500,4606
"840",1,0,1,17,3028,37,187000,3176
"841",0,0,1,12,835,50,3570,1351
"842",0,0,1,16,141,48,3655,3439
"849",1,0,1,13,2530,29,59840,3268
"863",0,0,1,17,1560,41,59500,1307
"865",1,0,1,10,2799,35,49300,1531
"892",1,0,1,12,1944,59,40376.69921875,320
"893",0,0,1,16,180,35,1020,1032
"894",0,0,1,17,1752,49,40752.3984375,4662
"951",0,0,1,17,1660,33,27137.099609375,7362
"961",0,0,1,10,0,28,0,6001
"970",0,0,1,12,1906,43,18700,2731
"975",1,0,0,12,3430,53,96900,2277
"976",0,0,1,12,0,32,0,6201
"998",0,0,1,12,2012,34,22829.30078125,6053
"1036",0,1,0,13,2750,44,11687.5,4783
"1068",1,0,1,17,2540,42,63750,4998
"1081",0,0,1,12,0,29,0,4661
"1114",1,0,1,14,2227,38,76500,3274
"1154",0,0,1,17,2597,38,98600,4206
"1162",1,0,1,15,3377,28,40800,561
"1172",1,0,1,16,2024,32,85000,6130
"1180",0,0,1,17,172,45,5100,1821
"1183",1,0,1,12,972,39,6800,6706
"1185",1,0,1,12,2304,33,71400,3673
"1187",0,0,1,17,2304,39,98600,386
"1205",1,0,1,17,2294,35,90100,2754
"1211",0,0,1,17,1870,48,56100,8041
"1212",0,0,1,12,1638,48,17000,2277
"1247",0,0,1,17,1352,35,17079.900390625,6838
"1249",1,0,1,14,2760,34,57800,1691
"1289",0,0,1,14,0,33,0,5213
"1290",0,0,1,16,1924,30,57800,1509
"1314",0,0,1,14,548,31,11900,3517
"1334",0,0,1,12,1880,50,29610.599609375,2026
"1345",1,0,1,17,1778,38,63027.5,1049
"1358",0,0,1,12,1707,49,20400,6085
"1371",1,0,1,17,1872,43,74800,2538
"1412",0,0,1,12,1747,32,22950,313
"1419",0,0,1,12,692,36,6800,1128
"1451",0,0,1,13,1928,27,35700,28
"1472",0,0,1,17,2392,36,64600,8019
"1490",0,0,1,11,302,50,510,1544
"1495",0,0,1,12,1872,48,39100,226
"1505",1,0,1,12,2600,48,17664.69921875,1968
"1506",0,1,0,14,2039,38,44200,6343
"1511",1,0,1,16,2340,34,42500,1744
"1524",0,0,1,12,1714,26,22329.5,1559
"1544",0,0,1,12,1960,41,22990.80078125,4627
"1546",0,0,1,14,1152,40,20400,1486
"1584",0,0,1,16,2000,48,91800,68
"1597",1,1,0,14,2000,34,50830,6602
"1608",0,0,1,16,0,55,0,2569
"1612",0,1,0,12,0,39,0,5270
"1626",0,0,1,14,1734,41,25500,732
"1631",0,0,1,16,0,38,0,8504
"1644",0,1,0,16,336,33,2040,8256
"1647",0,0,1,12,832,38,5652.5,1968
"1662",0,0,1,16,1710,53,42500,916
"1664",0,0,1,12,1665,40,48042,857
"1674",0,0,1,16,1280,41,61200,4152
"1679",0,0,1,12,0,35,0,3202
"1734",0,0,1,12,1963,42,34340,6453
"1797",0,0,1,16,2640,31,64600,2241
"1843",0,0,1,13,3464,30,30770,3753
"1847",0,1,0,12,260,33,3315,2645
"1863",1,0,1,17,1930,42,44200,7474
"1889",1,0,1,15,1880,38,79050,3280
"1927",0,0,1,16,1947,28,32300,968
"1945",1,0,1,16,2640,45,146370,6824
"1955",0,0,1,12,0,31,0,5308
"1956",0,0,1,12,1176,33,13770,4937
"1981",0,0,1,12,2000,42,47940,1241
"1982",0,0,1,16,944,40,8500,1922
"1990",0,0,1,12,2042,44,78200,6240
"1996",0,0,1,12,696,25,3400,736
"2001",0,0,1,16,1500,38,24811.5,926
"2010",0,0,1,12,1960,34,27200,1689
"2016",0,0,1,16,2011,42,23035,4272
"2031",1,0,1,16,3380,52,116773,6646
"2032",1,0,1,16,2066,44,90100,888
"2048",0,0,1,17,0,45,0,5478
"2065",1,0,1,16,2300,45,81600,3400
"2077",0,0,1,12,1729,34,17000,758
"2086",0,1,0,17,2062,41,45900,5607
"2094",1,0,1,16,2025,31,69700,4327
