"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,2764,29,57460,3300,3,1,35360
"3",0,0,1,11,1440,31,9186.9697265625,3522,3,1,44200
"6",1,0,1,12,3370,27,38675,3298,2,1,38675
"7",1,0,1,12,2600,25,29669.25,3931,2,1,30498
"8",0,0,1,13,873,31,21724.30078125,4728,3,1,102678.8125
"9",1,0,1,12,2080,28,35360,2753,3,1,38933.5703125
"15",1,1,0,14,2080,30,58565,4080,0,0,58565
"18",0,1,0,16,1696,31,55247.7890625,2768,2,0,114917.7890625
"19",0,0,1,15,1666,29,40885,2595,2,0,40885
"21",0,1,0,12,1374,27,20774,4086,3,0,21923.19921875
"25",0,0,1,16,1309,28,28730,3286,1,1,108290
"26",1,0,1,14,2240,30,66300,3663,0,0,99659.953125
"27",1,0,1,17,2074,37,147628,4599,0,1,228779.203125
"30",1,0,1,17,2410,34,81770,2908,2,1,144788.15625
"31",0,0,1,16,1938,32,54145,2575,0,0,54145
"33",1,0,1,17,200,26,2210,3664,1,1,60112
"38",0,0,1,12,2040,33,17680,4707,1,0,24575.19921875
"41",1,0,1,9,1885,28,49725,5985,0,0,49725
"42",1,0,1,14,2100,37,48620,5986,3,1,48637.6796875
"44",0,0,1,16,571,25,4420,6282,3,1,53356.03125
"45",1,0,1,12,2370,35,29614,4367,2,1,43607.71875
"50",1,0,1,11,1930,35,24089,5386,0,0,24089
"51",0,0,1,12,2040,26,13260,2718,2,1,66300
"52",0,0,1,10,1455,36,17680,403,2,0,38896
"54",1,0,1,12,1737,32,27152.060546875,1187,2,1,32071.51953125
"55",1,0,1,12,1208,37,28730,2708,3,1,38202.05859375
"56",1,0,1,6,3500,37,23426,6023,3,1,23481.25
"59",1,0,1,10,2145,30,17680,6672,0,0,17680
"60",1,0,1,12,1382,32,29684.720703125,6699,3,1,65484.51171875
"62",1,0,1,12,2330,34,18785,5901,2,1,37570
"72",0,1,0,12,3212,32,34255,1097,1,0,34255
"75",1,1,0,12,2042,32,48620,1096,2,1,67707.7734375
"76",0,1,0,12,1970,27,26520,3440,2,0,27470.30078125
"600",1,0,1,12,1937,30,61880,6186,1,1,61946.30078125
"637",1,0,1,17,2016,41,106080,2996,1,1,153990.59375
"663",0,0,1,9,0,25,0,1786,2,1,24310
"674",0,0,1,17,676,33,15470,4747,2,1,91715
"701",1,0,1,17,2815,29,74698,4615,2,1,94510.6484375
"770",0,1,0,13,2450,26,43537,6859,0,1,86632
"790",1,0,1,12,3036,33,55250,4138,0,1,89284
"796",1,0,1,12,1957,33,36796.5,3082,0,0,36825.23046875
"805",1,1,0,12,2400,35,21437,1203,3,1,43095
"817",1,0,1,12,1903,43,35360,1714,0,0,44200
"839",1,0,1,12,2208,40,35360,554,2,1,41362.359375
"841",0,0,1,12,256,43,2645.3701171875,1615,3,1,98795.84375
"842",0,0,1,16,48,41,442,1174,3,1,681122
"865",1,0,1,10,2247,28,50830,810,2,1,62960.69140625
"892",1,0,1,12,688,52,97240,4030,0,1,137462
"893",0,0,1,16,2136,28,26520,1932,1,1,81770
"894",0,0,1,17,297,42,35360,720,2,1,125307
"970",0,0,1,12,1214,36,9964.8896484375,3144,1,1,50321.69921875
"975",1,0,0,12,2696,46,113815,6625,0,1,154611.59375
"991",0,0,1,12,1216,60,15470,6627,0,1,92212.25
"998",0,0,1,12,2040,26,18263.439453125,1657,0,0,18508.75
"1036",0,1,0,13,1936,37,24310,2517,1,1,84101.546875
"1068",1,0,1,17,3060,35,28385.240234375,5306,1,1,126633
"1114",1,0,1,14,1844,31,70720,5444,0,0,87958
"1154",0,0,1,17,1452,31,41990,565,1,1,79462.7578125
"1161",1,0,1,13,2304,54,141440,4110,1,1,153595
"1172",1,0,1,16,2286,25,52598,3470,0,0,69504.5
"1180",0,0,1,17,267,36,4420,3595,0,1,150280
"1185",1,0,1,12,2277,26,32487,3160,0,1,100327.3671875
"1187",0,0,1,17,2470,33,75140,7017,1,1,181220
"1205",1,0,1,17,2124,28,64090,4432,0,1,66521
"1211",0,0,1,17,2160,41,37570,5647,2,1,104718.640625
"1212",0,0,1,12,1225,41,20906.599609375,6625,0,1,154611.59375
"1247",0,0,1,17,1952,28,39780,4418,1,1,77438.3984375
"1249",1,0,1,14,2025,27,51935,3342,0,0,51935
"1264",0,0,1,12,2040,35,17680,6576,0,0,17680
"1289",0,0,1,14,0,26,0,2278,0,1,35249.5
"1328",1,0,1,16,2530,58,99450,4399,0,1,135915
"1334",0,0,1,12,1961,43,33150,6786,1,1,88400
"1345",1,0,1,17,2052,31,40484.98828125,2933,0,0,40518.140625
"1358",0,0,1,12,976,41,2210,1158,1,1,62173.9296875
"1371",1,0,1,17,1036,36,11934,4124,2,1,37349
"1412",0,0,1,12,0,25,0,22,2,1,49901.80078125
"1419",0,0,1,12,0,29,0,5238,3,1,56111.8984375
"1427",1,0,1,16,0,32,0,5266,0,1,46189
"1431",1,0,1,16,1944,58,110500,1790,0,1,192491
"1490",0,0,1,11,1920,43,30940,3558,1,1,93173.6015625
"1506",0,1,0,14,1920,31,29313.439453125,2452,2,0,31965.439453125
"1544",0,0,1,12,821,34,8840,4831,2,1,72930
"1546",0,0,1,14,1385,33,16575,1176,1,1,81873.8671875
"1584",0,0,1,16,1275,41,33150,6131,3,1,97240
"1597",1,1,0,14,2690,27,23205,1333,0,0,23205
"1608",0,0,1,16,621,48,20111,5620,2,1,216586.625
"1612",0,1,0,12,1952,33,31824,5053,1,0,32409.650390625
"1626",0,0,1,14,0,34,0,5534,0,1,127738
"1631",0,0,1,16,200,31,1768,9,1,1,125528
"1644",0,1,0,16,588,26,6630,3462,1,1,46410
"1647",0,0,1,12,0,32,0,3899,2,0,4490.72021484375
"1662",0,0,1,16,1737,46,37570,26,0,1,209950
"1674",0,0,1,16,944,34,13260,5461,2,1,98791.421875
"1679",0,0,1,12,0,28,0,3492,2,1,70156.453125
"1680",0,0,1,12,0,60,0,2952,0,1,70242.640625
"1734",0,0,1,12,2849,35,25361.9609375,697,2,0,26687.9609375
"1772",1,0,1,8,2048,57,49725,5395,0,1,50034.3984375
"1776",1,0,1,12,1776,47,19182.80078125,2295,1,1,32929
"1834",1,0,1,12,1740,55,39780,905,0,1,48098.44140625
"1844",1,0,1,12,1904,56,70720,3185,2,1,82433
