"","male","black","white","edu","hours","age","inc_labor","int_id"
"1",1,0,1,17,2450,26,42624,132
"2",1,0,1,12,2616,41,74000,2609
"5",1,0,1,12,1984,34,34040,1765
"6",1,0,1,12,2080,38,0,2082
"7",1,0,1,12,2000,37,24704.16015625,474
"8",0,0,1,13,0,43,0,4274
"9",1,0,1,12,3060,40,118400,2607
"10",0,0,1,14,2250,32,23813.19921875,139
"11",1,1,0,16,2056,29,2442,981
"12",1,1,0,12,576,30,4440,987
"14",0,1,0,13,1795,25,36807.6015625,980
"16",0,1,0,12,0,34,0,2362
"18",0,1,0,16,0,43,0,207
"19",0,0,1,15,1715,41,51800,979
"20",1,1,0,13,2080,33,14800,206
"21",0,1,0,12,1782,39,3321.1201171875,211
"25",0,0,1,16,1205,40,53280,5217
"26",1,0,1,14,2504,42,84360,734
"27",1,0,1,17,2024,48,0,5077
"28",0,0,1,15,2470,33,125800,4015
"30",1,0,1,17,2500,46,133200,2030
"31",0,0,1,16,2440,44,58460,4213
"32",0,0,1,16,0,36,0,2233
"33",1,0,1,17,2080,38,310800,1928
"34",1,0,1,12,2080,31,23680,5581
"37",0,0,1,12,0,43,0,4392
"38",0,0,1,12,2295,45,22200,66
"39",0,0,1,17,1952,35,20720,281
"41",1,0,1,9,1320,40,14800,420
"42",1,0,1,14,2010,49,35520,2535
"43",0,0,1,12,2000,48,17760,727
"44",0,0,1,16,2040,37,25160,725
"45",1,0,1,12,3525,47,126615.4765625,2802
"48",0,0,1,8,1750,36,14800,633
"49",0,0,1,12,1344,33,28120,3009
"50",1,0,1,11,2000,47,29600,3862
"51",0,0,1,12,2304,38,13616,3692
"52",0,0,1,10,2900,48,22200,3008
"55",1,0,1,12,1800,49,2220,1150
"56",1,0,1,6,87,49,3552,1722
"57",1,0,1,4,303,50,5920,4832
"58",0,0,1,9,778,37,5624,2818
"59",1,0,1,10,2570,42,34040,5177
"60",1,0,1,12,434,43,0,2560
"61",1,0,1,10,3120,36,22200,4594
"62",1,0,1,12,2500,45,29896,2040
"63",0,0,1,12,1167,33,11248,2819
"64",1,0,1,14,2836,41,37888,2910
"65",1,0,1,12,1703,34,38480,5696
"68",0,1,0,12,1344,31,14800,459
"70",1,1,0,12,1984,34,48840,1254
"72",0,1,0,12,2500,44,25160,462
"75",1,1,0,12,1760,44,22200,460
"76",0,1,0,12,2080,38,11840,3807
"600",1,0,1,12,1904,42,68080,882
"637",1,0,1,17,2350,53,145040,3842
"668",1,0,1,11,1984,40,42920,3214
"674",0,0,1,17,1506,45,47469.51953125,4193
"688",0,0,1,17,1880,31,47360,1070
"694",1,0,1,13,1930,35,42325.0390625,660
"701",1,0,1,17,2380,41,48840,4564
"723",0,0,1,16,2000,25,25900,2690
"731",1,0,1,16,2660,31,61017.44140625,130
"759",0,0,1,17,2116,37,91020,2107
"764",0,0,1,13,2158,36,21312,3288
"769",0,0,1,12,117,36,2220,2082
"780",1,0,1,15,430,36,0,5502
"790",1,0,1,12,2080,45,87320,2118
"796",1,0,1,12,2765,44,77643.7578125,935
"805",1,1,0,12,0,47,0,4941
"817",1,0,1,12,1770,55,50320,2416
"829",0,0,1,14,1992,27,20720,745
"839",1,0,1,12,1785,51,65120,2429
"840",1,0,1,17,3000,43,207200,5828
"841",0,0,1,12,940,55,17022.9609375,3313
"842",0,0,1,16,0,53,0,538
"849",1,0,1,13,2765,33,54168,125
"850",1,0,1,17,2880,28,44400,2719
"856",1,0,1,9,2477,32,24346,18
"863",0,0,1,17,1990,46,81400,5814
"865",1,0,1,10,1960,40,44400,2272
"867",0,0,1,12,0,31,0,1576
"893",0,0,1,16,676,40,6956,4205
"894",0,0,1,17,2513,54,48100,4856
"912",1,0,1,17,1891,27,47360,917
"915",0,0,1,12,1858,27,28120,4505
"951",0,0,1,17,1576,38,23680,5376
"970",0,0,1,12,1936,48,28120,1699
"975",1,0,0,12,2380,58,88800,814
"976",0,0,1,12,1560,37,35520,5491
"998",0,0,1,12,2014,38,23176.80078125,4466
"1036",0,1,0,13,3060,49,25900,2138
"1068",1,0,1,17,1920,47,39960,4225
"1114",1,0,1,14,2400,43,99160,3347
"1138",1,0,1,17,1653,26,41440,2555
"1154",0,0,1,17,1715,43,109520,4060
"1162",1,0,1,15,3380,33,48840,6197
"1172",1,0,1,16,2187,37,125800,1320
"1180",0,0,1,17,0,48,0,3883
"1185",1,0,1,12,2342,38,75480,674
"1187",0,0,1,17,3040,44,125800,6246
"1205",1,0,1,17,2142,40,96200,2968
