"","male","black","white","edu","hours","age","inc_labor","int_id"
"1",1,0,1,17,2812,37,89700,5239
"2",1,0,1,12,1200,51,202400,6937
"5",1,0,1,12,2080,44,47150,3138
"6",1,0,1,12,2080,49,0,7767
"7",1,0,1,12,1960,47,21045,1788
"8",0,0,1,13,1952,53,25070,894
"9",1,0,1,12,1912,50,118450,544
"10",0,0,1,14,0,42,0,1513
"11",1,1,0,16,1785,39,112700,4375
"12",1,1,0,12,1569,41,27600,6498
"13",1,1,0,14,1600,37,46345,2350
"14",0,1,0,13,1645,35,54050,1827
"16",0,1,0,12,1918,45,14950,6385
"18",0,1,0,16,1715,54,35650,4844
"19",0,0,1,15,2303,51,65550,7496
"20",1,1,0,13,3120,43,131100,6560
"21",0,1,0,12,1960,49,62330,7977
"25",0,0,1,16,3185,50,55200,1759
"26",1,0,1,14,1458,53,35650,2249
"27",1,0,1,17,2397,58,460000,3126
"30",1,0,1,17,2178,56,155250,1468
"31",0,0,1,16,2147,54,75900,1409
"32",0,0,1,16,980,46,7327.7998046875,2844
"33",1,0,1,17,3120,48,356500,4755
"37",0,0,1,12,0,53,0,3108
"38",0,0,1,12,1560,55,12650,3170
"39",0,0,1,17,2450,45,43700,1076
"42",1,0,1,14,1960,59,37950,658
"43",0,0,1,12,1847,58,27600,1753
"44",0,0,1,16,2153,47,28750,1465
"48",0,0,1,8,1134,46,17250,5097
"50",1,0,1,11,2038,57,31280,1408
"52",0,0,1,10,3000,58,27600,3217
"55",1,0,1,12,2115,60,48070,5793
"57",1,0,1,4,1400,60,39100,6871
"58",0,0,1,9,0,47,0,803
"61",1,0,1,10,4080,46,29325,2541
"62",1,0,1,12,2585,55,35650,1790
"63",0,0,1,12,0,43,0,712
"64",1,0,1,14,2240,51,29900,1215
"65",1,0,1,12,1920,44,24725,1269
"68",0,1,0,12,1488,42,24150,1376
"69",1,1,0,12,0,47,0,1854
"70",1,1,0,12,2178,45,55200,1588
"72",0,1,0,12,720,54,5750,1349
"73",1,1,0,12,0,46,0,1837
"75",1,1,0,12,2058,54,56350,2143
"76",0,1,0,12,1144,49,8703.2001953125,1150
"600",1,0,1,12,1962,52,58650,2776
"603",1,0,1,12,2540,49,34500,1910
"645",0,0,1,16,2160,38,115000,7877
"649",0,0,1,14,0,34,0,8093
"664",0,0,1,16,2105,26,41170,3094
"668",1,0,1,11,2156,50,39100,596
"688",0,0,1,17,9,41,460,2353
"692",1,0,1,14,1337,28,27600,942
"701",1,0,1,17,1674,51,82800,1967
"709",1,0,1,17,2040,25,26450,3652
"713",1,0,1,14,2704,25,39100,1483
"723",0,0,1,16,480,35,8871.099609375,4210
"731",1,0,1,16,2032,41,41400,1517
"759",0,0,1,17,694,48,21656.80078125,5818
