"","male","black","hours","age","inc_labor","works","int_id"
"1",1,0,2250,28,95810,1,2799
"2",1,0,2646,43,71500,1,3268
"5",1,0,2827,36,0,1,2658
"6",1,0,200,41,37180,1,4444
"7",1,0,1968,39,22308,1,3269
"8",0,0,1514,45,17160,1,3003
"9",1,0,2827,42,100100,1,4039
"10",0,0,1840,34,15730,0,2884
"11",1,1,1764,31,52052,1,3038
"12",1,1,208,32,2145,1,683
"14",0,1,1775,27,44044,1,682
"18",0,1,1386,45,23595,1,684
"19",0,0,1213,43,50050,1,3512
"20",1,1,1837,35,77220,1,4256
"21",0,1,2451,41,52910,1,685
"25",0,0,1040,42,21450,1,4417
"26",1,0,3570,44,118690,1,5694
"27",1,0,2064,50,236951,1,5528
"28",0,0,2570,35,183040,1,5175
"30",1,0,2076,48,81510,1,5092
"31",0,0,1896,46,68640,1,5212
"32",0,0,540,38,11440,1,5527
"33",1,0,2400,40,300300,1,5526
"34",1,0,1101,33,14157,1,3580
"37",0,0,0,45,0,0,603
"38",0,0,1556,47,21450,1,1546
"39",0,0,2048,37,23595,1,2230
"41",1,0,0,42,0,0,2147
"42",1,0,1980,51,41470,1,601
"43",0,0,2584,50,31460,1,3357
"44",0,0,1984,39,34320,1,3842
"45",1,0,2040,49,173030,1,4498
"48",0,0,1750,38,14300,1,2875
"50",1,0,1960,49,41470,1,933
"51",0,0,2340,40,25740,1,1425
"52",0,0,2688,50,28600,1,5205
"55",1,0,2167,51,37180,1,476
"57",1,0,0,52,0,0,2485
"58",0,0,1,39,0,1,2135
"59",1,0,2500,44,54340,1,1730
"61",1,0,2080,38,22880,1,1633
"62",1,0,2738,47,30745,1,1635
"63",0,0,2160,35,18590,0,1440
"64",1,0,2860,43,57200,1,3771
"65",1,0,2308,36,22308,1,3837
"68",0,1,2072,33,17160,1,1768
"72",0,1,2400,46,18590,0,1765
"75",1,1,1250,46,57200,1,1928
"76",0,1,1755,40,5720,0,2012
"600",1,0,2048,44,71500,1,343
"637",1,0,2350,55,154440,1,5782
"668",1,0,2056,42,48620,1,2997
"674",0,0,2766,47,62920,1,5723
"688",0,0,20,33,171.600006103516,0,2468
"701",1,0,2295,43,54340,1,195
"723",0,0,1733,27,30030,1,4289
"731",1,0,2420,33,68640,1,550
"759",0,0,2340,39,9782.6298828125,1,844
"764",0,0,2308,38,31460,1,2015
"769",0,0,0,39,0,0,4444
"780",1,0,1300,38,0,1,6926
"790",1,0,3380,47,71500,1,198
"796",1,0,2450,46,101530,1,691
"805",1,1,0,49,0,0,5790
"814",0,1,3096,25,34320,1,4279
"817",1,0,2500,57,40040,1,2755
"829",0,0,1682,29,34320,1,216
"836",1,0,2703,29,38610,1,5386
"839",1,0,1560,53,72292.21875,1,1022
"841",0,0,1000,57,15730,1,4209
"842",0,0,0,55,0,0,455
"849",1,0,2580,36,77220,1,5911
"850",1,0,2490,30,78650,1,1602
"856",1,0,1950,35,23952.5,1,5101
"863",0,0,2167,48,85800,1,1439
"865",1,0,1600,42,62920,1,4622
"867",0,0,0,33,0,0,5815
"893",0,0,285,42,3003,1,885
"894",0,0,2692,56,53404.78125,1,3899
"912",1,0,2570,29,187330,1,3028
"915",0,0,1694,29,35750,1,6962
"951",0,0,2150,40,37180,1,5787
"970",0,0,1924,50,21450,0,842
"975",1,0,2838,60,132990,1,6337
"976",0,0,2295,39,42900,1,6944
"998",0,0,2056,40,24764.740234375,1,2897
"1036",0,1,2958,51,8937.5,1,2717
"1056",0,0,1920,44,54340,1,5519
"1114",1,0,2056,45,85800,1,2831
"1138",1,0,2735,29,38610,1,5084
"1154",0,0,1920,45,108680,1,3612
"1162",1,0,3380,35,45760,1,3261
"1169",0,0,1706,27,18590,0,5331
"1172",1,0,2270,39,114400,1,3902
"1180",0,0,0,50,0,0,2808
"1185",1,0,2461,40,75790,1,882
"1187",0,0,2940,47,128700,1,5312
"1205",1,0,2250,42,115830,1,2655
"1211",0,0,1210,55,28731.560546875,0,4149
"1212",0,0,2037,55,25740,1,6337
"1229",1,0,1156,25,28600,1,5053
"1247",0,0,2067,42,52910,1,5283
"1285",1,0,2550,46,67210,1,1709
"1289",0,0,0,40,0,0,4418
"1290",0,0,0,37,0,0,1926
"1314",0,0,2076,38,25740,1,1772
"1334",0,0,0,57,0,0,3388
"1358",0,0,0,55,0,0,2937
"1360",0,0,2600,27,0,1,3971
"1363",1,1,1213,48,14300,1,6877
"1371",1,0,2064,50,92950,1,3286
"1396",1,0,2565,43,71500,1,1891
"1412",0,0,604,39,6435,1,4937
"1415",1,0,1984,53,35750,1,1179
"1419",0,0,1645,43,50050,1,4067
"1451",0,0,1517,34,42900,1,1112
"1466",0,0,1581,47,21450,1,2368
