"","male","black","hours","age","inc_labor","works","int_id"
"2",1,0,1970,28,54960,1,4779
"3",0,0,1020,31,9755.400390625,1,4970
"6",1,0,2090,25,32721.810546875,1,2242
"8",0,0,1872,30,17175,1,3524
"9",1,0,2080,27,43510,1,3526
"15",1,1,2300,29,75570,1,3530
"18",0,1,2040,30,52670,1,5860
"19",0,0,1750,28,31144,1,5859
"21",0,1,1630,26,24315.220703125,1,5674
"25",0,0,1720,27,45800,1,3701
"26",1,0,2672,29,73280,1,3702
"27",1,0,2130,35,132838.3125,1,3700
"30",1,0,2490,33,80150,1,4462
"31",0,0,2073,31,52212,1,4717
"33",1,0,262,25,4580,0,3703
"37",0,0,352,30,7328,1,678
"38",0,0,1208,32,5267,1,487
"41",1,0,1232,27,33205,1,3223
"42",1,0,2227,36,50380,1,486
"45",1,0,3024,34,80150,1,6884
"50",1,0,1968,34,27480,1,947
"51",0,0,1750,25,13740,1,4981
"52",0,0,1876,35,24045,1,277
"54",1,0,1273,31,18320,1,6848
"55",1,0,1435,36,22900,1,284
"56",1,0,2532,36,24617.5,1,4372
"59",1,0,2236,29,18320,0,4870
"60",1,0,1744,30,22442,1,4370
"62",1,0,2430,32,19007,1,28
"72",0,1,2420,31,28625,1,1864
"75",1,1,2040,31,48090,1,1639
"76",0,1,1000,26,13740,1,2344
"600",1,0,1916,29,60685,1,931
"637",1,0,1904,40,107980.3671875,1,5362
"652",0,0,1976,42,29770,1,5514
"674",0,0,588,32,16030,1,1207
"677",0,0,0,50,0,0,1454
"701",1,0,2760,28,68997.703125,1,5373
"770",0,1,2150,25,40075,1,6775
"790",1,0,3120,32,38930,1,4154
"796",1,0,1960,32,36983.5,1,5580
"805",1,1,1960,34,60456,1,4505
"817",1,0,2805,42,77860,1,5705
"839",1,0,2205,39,33205,1,2366
"841",0,0,0,42,0,0,5004
"842",0,0,0,40,0,0,2576
"865",1,0,2025,27,38930,1,2269
"892",1,0,1416,51,40418.5,1,2714
"893",0,0,2016,27,23816,1,3387
"894",0,0,450,40,1717.5,0,2367
"951",0,0,1424,25,25190,1,896
"970",0,0,946,35,8516.509765625,1,5013
"975",1,0,2536,45,97096,1,2769
"991",0,0,1960,59,20610,1,5414
"998",0,0,2032,25,16994.08984375,1,3288
"1036",0,1,1981,36,25877,1,410
"1114",1,0,1872,30,75570,1,2143
"1141",1,0,856,34,45800,1,3681
"1154",0,0,988,30,29660.080078125,1,2166
"1161",1,0,2300,53,164880,1,4031
"1180",0,0,400,35,6870,1,567
"1187",0,0,1440,31,41220,1,133
"1205",1,0,2450,27,68929,1,6777
