"","male","black","hours","age","inc_labor","works","int_id"
"607",1,1,2558,56,49040,1,4586
"665",1,0,4207,40,89516.390625,1,498
"680",1,1,2039,54,67430,1,3795
"811",1,1,4500,38,71721,1,588
"813",1,0,1800,52,36878.078125,1,4197
"817",1,0,2400,28,47814,1,796
"839",1,0,2095,25,28811,1,2648
"859",1,0,1985,54,55727.828125,1,1823
"892",1,0,2322,37,52718,1,3646
"975",1,0,2296,31,60074,1,1775
"1132",0,0,2000,42,50266,1,1280
"1161",1,0,2448,39,88885,1,2116
"1328",1,0,1960,43,67430,1,1860
"1431",1,0,2217,43,119535,1,3758
"1489",1,0,1974,41,35327.19140625,1,621
"1517",1,0,2136,41,49040,1,3295
"1519",1,0,2450,53,134860,1,1146
"1604",1,0,1760,57,81173.4609375,1,1599
"1700",1,0,2024,53,50149.53125,1,3924
"1772",1,0,2244,43,49040,1,2238
"1776",1,0,1376,39,55170,1,2856
"1787",1,0,3096,49,91950,1,4054
"1834",1,0,2000,40,35554,1,3145
"1838",1,1,1632,40,51632.98828125,1,2357
"1844",1,0,3060,42,82755,1,3624
"1858",1,0,2450,50,35094.25,1,516
"2031",1,0,3280,30,49101.30078125,1,1698
"2082",1,0,2040,27,27585,1,2113
"2096",1,0,1905,39,24274.80078125,1,390
"2192",1,0,540,37,22068,1,3089
"2205",1,0,1760,32,22068,0,2627
"2224",1,0,2340,26,41377.5,1,3590
"2340",1,0,2015,56,34941,1,635
"2393",1,0,2017,35,41322.328125,1,483
"2443",1,0,2050,25,38619,1,883
"2452",1,0,2205,43,49585.5703125,1,3440
"2490",0,0,0,27,0,0,2348
"2539",1,1,0,55,0,0,1208
"2586",0,0,0,40,0,0,4458
"2668",1,0,2970,33,73560,1,2415
"2695",1,0,3060,27,39906.30078125,1,2242
"2701",1,0,2040,45,91950,1,3421
"2710",1,0,2080,53,25133,1,4519
"2804",1,1,2040,47,19125.599609375,1,608
"2807",1,0,2720,28,56396,1,3654
"2839",1,0,3185,42,183900,1,1436
"2888",1,0,2050,48,58235,1,3093
"2922",1,0,2992,54,85207,1,3896
"2947",1,0,1920,25,62526,1,3709
"2997",1,0,1960,34,34818.3984375,1,1481
"3077",1,0,2205,42,165510,1,4584
"3111",1,0,3510,45,33022.30859375,1,4615
"3127",1,0,624,56,2605.25,1,847
"3132",1,1,2340,52,26518.380859375,1,3408
"3169",1,0,2490,51,42297,1,4276
"3229",1,0,2684,45,61913,1,769
"3304",1,0,2940,52,73560,1,2391
"3344",1,0,2227,52,99306,1,4065
"3509",1,0,1400,38,20038.970703125,1,4171
"3564",1,0,2801,38,128730,1,2663
"3580",1,0,1509,48,41585.921875,1,1197
"3607",0,0,2235,57,40359.921875,1,1570
"3656",1,0,2400,57,110340,1,2862
"3676",1,0,1870,35,70495,1,1924
"3764",1,0,2600,37,63752,1,481
"3780",1,0,2470,34,42297,1,2933
"3789",1,0,2160,57,150798,1,1520
"3830",1,0,1960,34,67430,1,2212
"3867",1,0,2423,48,38073.4296875,1,2984
"3936",1,0,2295,49,41886.2890625,1,684
"3959",1,0,2156,46,50266,1,3374
"3980",1,0,2571,32,61300,1,2419
"4078",1,1,2000,59,22068,1,369
"4116",1,0,2384,35,45975,1,1538
"4144",1,0,1823,44,47072.26953125,1,782
"4193",1,1,2528,47,30404.80078125,1,2257
"4283",1,0,1424,28,48310.53125,1,1712
"4397",1,0,1980,29,35290.41015625,1,471
"4437",1,0,1920,50,55170,1,985
"4453",0,0,1920,52,34107.3203125,1,1797
"4490",0,1,1352,44,10359.7001953125,1,3808
"4496",1,1,1600,58,29424,0,1377
"4551",0,0,2000,40,36780,1,4006
"4595",1,0,2617,41,44362.80859375,1,773
"4597",1,0,3000,43,62832.5,1,4528
"4632",1,1,3060,43,128730,1,4306
"4693",1,0,2112,41,67430,1,3640
"4696",1,0,2340,52,27100.73046875,1,3844
"4768",1,1,4000,32,28688.400390625,1,2751
"4842",1,0,2600,57,31876,1,3884
"4858",1,0,2080,55,36780,1,1147
"4910",1,0,4048,60,42793.53125,1,554
"4920",1,0,3528,48,31655.3203125,1,2221
"4967",0,0,1764,46,15325,1,2975
"4987",1,0,2098,52,49653,1,3117
"5082",1,0,3060,41,18390,1,591
"5121",1,0,1937,41,81529,1,3842
"5163",1,0,1972,25,38006,1,4506
"5191",1,0,2000,43,53944,1,2069
"5366",1,0,2750,35,70617.6015625,1,1506
"5377",1,0,600,59,7356,0,2244
"5478",1,0,840,56,13486,0,1379
"5678",1,0,3640,56,29546.599609375,1,1503
"5689",1,0,3080,31,53637.5,1,1875
"5712",1,0,1840,49,47201,1,1489
"5715",0,0,0,34,0,0,1472
"5743",1,0,2632,36,128117,1,3546
"5784",0,0,1040,41,11849.2900390625,1,657
"5787",1,0,2453,57,102518.1171875,1,557
"5809",1,0,1920,45,78635.640625,1,1826
"5841",1,0,2040,29,18206.099609375,1,2770
"5963",1,0,2250,51,91950,1,3880
"6011",1,0,1920,25,55170,1,3855
"6117",1,0,3720,28,38680.30078125,1,3061
"6191",1,1,2000,53,24520,1,788
"6286",1,0,1944,54,91950,1,2258
"6379",0,0,2300,57,20823.609375,1,704
"6397",1,0,2000,36,232940,1,1315
"6479",1,0,2600,32,37190.7109375,1,3792
"6483",1,0,2612,48,44136,1,4398
"6499",0,0,2860,56,85390.8984375,1,2249
"6544",1,0,32,34,343.279998779297,0,3469
"6548",0,1,1920,36,37871.140625,1,3562
"6559",1,0,1100,48,36780,1,548
"6589",1,0,2400,46,73560,1,2081
"6737",1,0,2184,30,22129.30078125,1,2267
"6815",1,1,0,49,0,0,3783
"6872",1,0,2600,29,61300,1,3245
"6883",1,0,2090,48,49040,1,2138
"6920",1,0,2500,44,105436,1,4005
"6990",1,0,0,59,0,0,4023
"7008",1,1,2410,45,38484.140625,1,4297
"7023",0,0,2744,31,21540.8203125,1,395
"7031",1,0,3245,35,64886.05078125,1,311
"7033",1,0,2400,48,79690,1,3447
"7048",1,1,1400,58,31876,1,4585
"7088",1,0,2500,49,153250,1,2525
"7126",1,0,1882,34,36167,1,3754
"7153",1,0,1800,26,66817,1,2645
"7261",0,0,2035,26,35554,1,3920
"7282",1,0,3000,41,67430,1,4066
"7349",0,0,60,37,919.5,0,1119
"7385",1,0,1910,45,79690,1,3723
"7403",1,0,2981,39,95628,1,992
"7450",1,0,1880,50,26156.7109375,1,2600
"7470",1,0,2400,59,35554,1,1054
"7555",1,0,2008,29,40801.28125,1,2794
"7609",1,0,1440,51,39526.23828125,1,643
"7650",1,0,2600,30,42910,1,3164
