"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"27",1,0,1,17,1944,28,95499,4613,0,1,204753
"30",1,0,1,17,0,26,0,2256,0,1,55098.6015625
"38",0,0,1,12,360,26,7074,2126,1,1,62094
"42",1,0,1,14,2076,29,41265,2139,0,0,41265
"45",1,0,1,12,2580,28,6091.5,3780,2,1,6500.22021484375
"50",1,0,1,11,2500,28,24079.109375,2028,1,1,24079.109375
"52",0,0,1,10,0,29,0,3042,2,0,41980.26171875
"55",1,0,1,12,2805,30,16914.720703125,2027,2,1,23422.80078125
"56",1,0,1,6,2970,29,25545,1444,2,1,25545
"57",1,0,1,4,1804,30,16545.30078125,4550,2,1,18903.30078125
"62",1,0,1,12,2750,26,25938,1575,1,1,35094.8984375
"637",1,0,1,17,1984,33,77703.9609375,738,0,1,101480.4609375
"665",1,0,1,12,4500,47,97267.5,5121,0,1,198465
"674",0,0,1,17,880,25,11790,4188,0,1,22794
"677",0,0,1,8,0,43,0,130,0,0,1674.18005371094
"762",1,0,1,10,1960,26,66810,1883,1,1,66810
"768",1,0,1,12,1896,29,23862.9609375,5325,0,1,45045.66015625
"790",1,0,1,12,2260,25,55020,1796,0,1,86460
"805",1,1,0,12,2100,27,60129,1364,1,1,60129
"811",1,1,0,6,3626,46,66810,4623,1,1,112398
"817",1,0,1,12,2842,35,47160,1167,0,0,47160
"839",1,0,1,12,1960,32,36942,5715,1,0,36942
"841",0,0,1,12,0,35,0,1684,3,1,82530
"842",0,0,1,16,0,33,0,4939,3,1,356058
"859",1,0,1,13,2064,57,76635,5210,0,1,93141
"892",1,0,1,12,1890,45,70740,2623,1,1,86911.953125
"894",0,0,1,17,240,34,9432,5746,2,1,80565
"970",0,0,1,12,154,28,3930,2864,1,1,3.9300000667572
"975",1,0,0,12,2450,38,82530,392,3,1,82883.703125
"991",0,0,1,12,887,52,13755,671,0,1,89604
"1036",0,1,0,13,1952,29,12733.2001953125,5072,1,1,20593.19921875
"1141",1,0,1,16,2068,27,55020,998,1,1,94320
"1161",1,0,1,13,3420,46,151933.796875,3357,2,1,282174
"1180",0,0,1,17,625,28,4716,3871,0,1,86853
"1211",0,0,1,17,1539,33,39300,1523,2,1,100018.5
"1212",0,0,1,12,0,33,0,392,3,1,82883.703125
"1264",0,0,1,12,2621,27,30591.119140625,4272,0,0,30591.119140625
"1328",1,0,1,16,2400,50,66810,3899,0,1,109411.203125
"1334",0,0,1,12,1848,35,28174.169921875,1589,1,1,79727.90625
"1358",0,0,1,12,0,33,0,2448,2,1,51090
"1371",1,0,1,17,2393,29,58517.69921875,4439,1,1,74277
"1431",1,0,1,16,1888,50,113970,2119,0,1,192570
"1489",1,0,1,8,1920,47,31498.94921875,1596,0,0,41048.8515625
"1490",0,0,1,11,2000,35,27510,5452,2,1,84573.6015625
"1519",1,0,1,16,2160,60,133620,2314,0,0,141480
"1544",0,0,1,12,0,26,0,367,1,1,58557
"1546",0,0,1,14,1320,25,18706.80078125,1703,0,1,85237.7734375
"1584",0,0,1,16,418,35,20436,1390,3,1,83316
"1608",0,0,1,16,0,40,0,1465,4,1,190605
"1626",0,0,1,14,1720,26,23580,2080,0,1,106306.5
"1662",0,0,1,16,940,39,21615,2048,2,1,139515
"1664",0,0,1,12,2125,25,55020,4408,0,0,55609.5
"1674",0,0,1,16,2008,27,43230,4643,0,1,94909.5
"1680",0,0,1,12,0,53,0,3934,0,1,68727.84375
"1700",1,0,1,12,1760,60,58635.6015625,702,0,1,76320.6015625
"1734",0,0,1,12,0,27,0,5186,2,1,87521.1015625
"1772",1,0,1,8,2630,49,57378,4498,1,1,59146.5
"1776",1,0,1,12,1360,39,18864,3304,2,1,18864
"1778",0,0,1,12,1280,56,6288,2598,0,1,78993
"1787",1,0,1,12,2550,55,157200,7,1,1,159558
"1822",0,0,1,12,0,53,0,4393,0,1,90390
"1834",1,0,1,12,2200,46,64440.2109375,506,1,1,77016.2109375
"1838",1,1,0,12,972,49,27510,4589,3,1,38514
"1844",1,0,1,12,1920,48,65100.44921875,5587,3,1,72080.1328125
"1858",1,0,1,12,2300,57,28099.5,4600,0,0,64609.19921875
"1863",1,0,1,17,2013,27,77028,2162,2,1,95106
"1888",0,0,1,13,0,56,0,1193,0,1,392996.0625
"1929",1,0,1,16,2200,50,58950,3720,0,1,96843.0625
"1945",1,0,1,16,2625,30,74670,3372,1,1,74670
"1981",0,0,1,12,1255,27,23403.150390625,1463,2,1,86043.421875
"1982",0,0,1,16,1968,25,34584,172,0,1,80840.1015625
"1990",0,0,1,12,2205,29,58950,5368,1,1,124109.3984375
"2016",0,0,1,16,25,27,1179,1229,2,1,68735.703125
"2031",1,0,1,16,3060,37,84612.8984375,3604,2,1,202395
"2032",1,0,1,16,3308,30,55020,1475,2,1,64845
"2048",0,0,1,17,0,30,0,5231,2,1,96678
"2065",1,0,1,16,2440,30,61308,684,2,1,100608
"2086",0,1,0,17,1560,27,41265,5138,3,1,91470.75
"2096",1,0,1,13,1940,46,21497.099609375,3439,3,1,110904.6015625
"2114",1,0,1,15,2223,47,78600,5193,0,1,78993
"2147",1,0,1,14,3485,27,74866.5,5359,1,1,90979.5
"2192",1,0,0,4,1170,43,33405,2318,4,1,63390.8984375
"2209",0,0,1,15,600,30,3144,5492,1,0,26016.599609375
"2219",0,0,1,12,0,53,0,787,0,0,47946
"2224",1,0,1,12,2075,33,58950,4266,2,1,89666.8828125
"2263",1,0,1,16,2460,28,20553.900390625,3205,0,0,31440
"2280",0,0,1,11,0,32,0,4135,2,0,14242.3203125
"2296",0,1,0,7,2008,26,7860,4982,5,1,37335
"2355",1,0,1,12,2152,31,28751.880859375,2259,0,0,29647.919921875
"2357",0,0,1,12,1020,30,19257,1737,3,1,53919.6015625
"2368",0,0,1,13,380,34,5502,2081,4,0,25831.890625
"2393",1,0,1,12,1969,42,70740,5840,1,1,160579.796875
"2394",1,0,1,10,2805,33,29475,4803,2,1,29475
"2415",0,0,1,7,1040,39,8253,1788,1,1,71919
"2443",1,0,1,12,2300,32,61308,2138,0,1,107682
"2451",0,0,1,17,704,28,14934,150,0,1,91372.5
"2452",1,0,1,12,0,50,0,210,0,1,34992.71875
"2490",0,0,1,11,0,33,0,785,2,0,32878.37890625
"2539",1,1,0,10,0,60,0,483,0,1,11361.6298828125
"2581",0,0,1,15,624,53,11051.16015625,5336,0,1,110040
"2582",1,0,1,12,3360,27,49125,293,0,1,96678
"2586",0,0,1,8,50,47,589.5,2431,2,0,17826.48046875
"2616",0,0,1,12,0,41,0,5610,8,1,31557.900390625
"2636",0,0,1,12,2080,40,36156,4134,1,1,112940.34375
"2654",1,0,1,17,1620,25,33405,2155,0,1,86460
"2666",0,1,0,12,1960,47,17685,1114,0,1,121751.3984375
"2668",1,0,1,12,2072,40,76635,1718,2,1,106817.3984375
"2695",1,0,1,13,3360,34,58950,5045,0,0,58950
"2701",1,0,1,12,2000,52,102180,2130,0,1,133620
"2710",1,0,1,12,1912,59,22825.439453125,3180,0,1,39213.5390625
"2713",1,0,1,15,2860,31,102180,2808,2,1,102180
"2734",1,0,1,12,4368,27,39300,4896,1,1,39300
"2801",1,0,1,12,3060,35,31440,1434,0,1,49360.80078125
"2804",1,1,0,5,2295,51,18392.400390625,3096,1,1,23933.69921875
"2807",1,0,1,12,2515,32,67438.796875,1751,2,1,85123.796875
"2839",1,0,1,16,2940,49,392996.0625,3316,1,1,392996.0625
