"","male","black","white","edu","hours","age","inc_labor","int_id"
"2077",0,0,1,12,1032,30,14070,4681
"2086",0,1,0,17,1392,37,48240,4177
"2094",1,0,1,16,1976,27,62310,4868
"2096",1,0,1,13,2092,57,40200,4880
"2107",1,0,0,12,3825,34,29024.400390625,3951
"2147",1,0,1,14,3060,38,38250.30078125,5725
"2170",0,0,1,14,2156,25,4600.89013671875,538
"2205",1,0,1,13,528,50,2361.75,5036
"2209",0,0,1,15,980,41,10050,6037
"2248",0,0,1,14,1822,25,33165,1723
"2249",1,0,1,10,2322,33,40200,3449
"2253",1,0,1,12,2318,32,64320,2821
"2263",1,0,1,16,2450,39,52260,4395
"2269",1,0,1,17,3172,33,278119.6875,6875
"2275",0,1,0,15,2000,37,48240,1660
"2280",0,0,1,11,0,43,0,4816
"2284",0,1,0,14,0,26,0,3856
"2285",1,0,1,16,0,36,0,2619
"2296",0,1,0,7,1836,37,18399.5390625,6959
"2347",1,0,1,16,2059,35,79998,3080
"2355",1,0,1,12,2349,42,22865.759765625,1953
"2357",0,0,1,12,1353,41,14070,4590
"2368",0,0,1,13,1032,45,17495.0390625,1894
"2374",1,0,0,8,0,33,0,1600
"2387",0,1,0,16,1907,40,26130,1058
"2394",1,0,1,10,2586,45,42210,3827
"2404",1,0,1,16,2022,35,42726.5703125,3788
"2415",0,0,1,7,2040,50,20100,210
"2423",0,0,1,12,1776,36,38190,5889
"2437",1,0,1,17,160,30,2412,1016
"2443",1,0,1,12,1865,43,81606,3640
"2445",0,0,1,16,343,33,4020,6844
"2451",0,0,1,17,1053,39,20100,4065
"2540",0,0,1,12,2490,33,60300,398
"2582",1,0,1,12,580,38,12261,2201
"2586",0,0,1,8,0,58,0,2408
"2609",0,0,1,12,0,40,0,621
"2616",0,0,1,12,0,50,0,2031
"2636",0,0,1,12,1554,51,28612.349609375,978
"2654",1,0,1,17,2510,36,114972,2043
"2666",0,1,0,12,0,58,0,1706
"2679",0,0,1,13,2036,25,30150,5204
"2711",1,0,1,13,3120,33,34984.05078125,4377
"2713",1,0,1,15,3060,42,84223.0234375,3047
"2734",1,0,1,12,2545,38,25125,5295
"2753",1,0,1,14,2018,27,46230,1277
"2791",0,0,1,17,368,39,12060,6459
"2795",1,0,1,15,3341,32,221100,3644
"2801",1,0,1,12,2100,46,6030,1440
"2807",1,0,1,12,2928,43,38592,6410
"2839",1,0,1,16,3224,60,170850,176
"2855",0,0,1,12,0,36,0,6809
"2856",1,0,1,12,2098,26,52260,5274
"2866",1,0,1,17,2024,30,62977.3203125,6654
"2871",1,0,1,14,2390,37,26521.94921875,6617
"2882",1,0,1,14,4063,40,64320,930
"2892",0,0,1,17,346,29,1043.18994140625,4892
"2914",1,1,0,13,2085,36,62310,5954
"2915",0,0,1,12,0,30,0,4667
"2927",1,0,0,16,1984,37,88440,2576
"2929",1,0,1,11,1262,30,52863,3789
"2933",1,0,1,12,2056,32,64320,4224
"2954",1,0,1,12,1150,33,9045,3589
"2997",1,0,1,12,2400,53,12462,2755
"3012",0,0,1,16,216,58,2412,1403
"3022",0,0,0,15,1824,26,22311,6680
"3053",0,0,1,16,1843,33,59094,301
"3065",1,0,1,12,1824,30,32160,2887
"3077",1,0,1,16,2485,60,305520,6228
"3090",0,0,1,15,482,42,5025,989
"3092",0,0,1,12,1030,35,12060,4445
"3098",0,0,1,12,1493,53,46726.46875,3775
"3099",0,0,1,14,4980,59,66756.1171875,6336
"3159",1,0,1,14,2250,38,44220,1629
"3168",0,0,1,14,610,29,4020,3051
"3191",1,0,1,12,2429,31,78390,744
"3253",1,0,1,12,2370,39,40200,906
"3259",0,0,1,12,812,34,18090,5297
"3271",1,0,1,16,1414,37,56280,2935
"3277",0,0,1,17,1223,39,34043.37109375,5049
"3292",1,0,1,12,2262,30,28140,2466
"3303",0,0,1,12,2400,35,74370,1629
"3306",1,0,1,17,1863,33,74370,4099
"3336",0,0,1,13,1279,28,24120,2018
"3352",0,0,0,12,1936,33,57285,2576
"3392",0,0,1,12,0,42,0,4509
"3397",1,0,1,12,2176,32,86430,6155
"3412",0,0,0,14,0,38,0,919
"3419",0,0,1,17,852,34,42612,4830
"3425",1,0,1,17,2888,38,90450,1164
"3426",0,0,1,14,2700,40,38391,833
"3444",0,0,1,17,0,34,0,5368
"3449",0,1,0,9,0,32,0,4247
"3454",1,0,1,16,1552,36,46029,3322
"3478",1,0,1,12,2800,35,44220,3048
"3488",0,0,1,17,1544,48,64320,5107
"3493",1,0,1,12,2060,25,46230,2556
"3523",1,0,1,12,920,36,16401.599609375,5965
"3527",1,0,1,16,2241,29,37428.2109375,1646
"3532",0,0,1,12,1463,46,16080,1441
"3534",0,0,1,16,176,46,0,5433
"3541",1,0,1,12,4160,48,52260,6992
"3545",0,0,1,13,1744,29,1929.59997558594,1329
"3582",1,0,1,17,1967,39,76524.71875,541
"3588",1,0,1,16,3472,41,180900,3435
"3591",0,0,0,12,2028,40,24120,4449
"3599",0,0,1,9,2340,32,5748.60009765625,5530
"3601",0,1,0,12,0,26,0,5103
"3627",1,0,1,17,2224,32,70149,729
"3630",1,0,1,15,1900,29,28140,5732
"3646",0,0,1,11,2250,56,28542,1426
"3672",0,0,1,12,2000,54,29748,3668
"3676",1,0,1,17,3120,53,60300,2630
"3710",0,0,1,16,1030,39,12060,3914
"3714",0,0,1,12,2280,27,60300,2850
"3726",0,0,1,16,1743,26,80902.5,625
"3762",0,0,1,15,1908,47,24767.220703125,4503
"3772",0,0,1,17,4335,42,84420,6455
"3780",1,0,1,13,3640,54,46230,3296
"3814",0,0,1,12,2060,34,25125,96
"3818",1,0,1,12,2293,29,90450,5547
"3830",1,0,0,14,1936,52,79013.1015625,5594
"3886",0,0,1,17,1604,41,36224.21875,1383
"3951",1,0,1,16,3367,42,29145,3560
"3953",0,0,1,16,2026,37,36180,1752
"3958",0,0,1,13,0,39,0,4891
"3980",1,0,1,10,2850,50,94470,5269
"4071",1,0,1,12,1984,30,37989,4771
"4080",1,0,1,16,2580,32,85425,5856
"4082",0,0,1,16,2866,33,18323.16015625,7111
"4112",0,0,1,12,1250,25,8040,5868
"4116",1,0,1,13,1880,53,42210,1722
"4128",1,0,1,14,2448,35,96480,2345
"4131",0,0,1,12,2160,37,56280,5283
"4140",1,0,1,12,2550,30,31959,3839
"4151",0,1,0,12,1164,52,14070,3371
"4157",1,0,1,17,3217,39,84420,6953
"4190",0,0,1,17,1568,41,80400,5730
"4192",0,0,1,14,3030,32,35577,1502
"4197",0,0,1,16,0,37,0,541
"4224",1,0,1,12,2080,37,46230,6997
"4225",1,0,1,11,3920,30,44684.30859375,1678
"4231",0,0,1,16,1400,36,34170,552
"4251",1,0,1,15,2480,34,111458.5234375,4261
"4267",0,0,1,12,0,40,0,3435
"4275",0,0,1,16,2480,33,70953,4360
"4283",1,0,1,17,1586,46,84420,892
"4323",0,0,1,16,1822,26,31155,3241
"4333",1,0,1,16,1980,46,138690,1428
"4342",0,0,1,11,0,29,0,3056
"4365",1,1,0,12,1630,30,16080,1913
"4377",0,0,1,16,2460,38,49245,43
"4397",1,0,1,11,2416,47,27235.5,1571
"4434",0,0,1,13,2500,28,42210,2164
"4448",0,0,1,12,2016,33,8040,3528
"4459",1,0,1,15,1808,33,22230.599609375,2657
"4466",0,0,1,13,1392,30,20100,3600
"4477",1,0,1,12,2450,45,36180,5082
"4478",1,0,1,12,2460,41,34590.08984375,4372
"4493",0,1,0,13,80,28,281.399993896484,6854
"4502",1,0,1,16,2214,28,52260,5322
"4509",1,0,1,17,2480,27,50250,5272
"4513",0,0,1,15,0,29,0,2703
"4529",0,0,1,14,2000,46,54270,709
"4535",0,0,1,13,0,28,0,2248
"4591",1,0,1,17,2590,34,73407.2109375,815
"4636",1,0,1,16,2784,30,86430,5161
"4671",0,0,1,13,0,33,0,815
"4766",0,0,1,16,2214,25,32160,5679
"4768",1,1,0,11,0,51,0,6080
"4772",1,0,1,16,2250,33,70350,462
"4778",0,0,1,12,1824,34,28140,4700
"4781",1,0,1,12,2516,35,44895.359375,25
"4801",0,0,1,13,1994,47,42210,3659
"4806",0,0,1,17,2077,34,54270,3983
"4818",0,0,1,12,1880,55,66768.1796875,706
"4855",0,0,1,13,360,38,1608,1392
"4857",1,0,1,14,880,42,70350,6398
"4869",0,0,1,12,0,34,0,2675
"4876",0,0,1,12,264,45,402,862
"4881",1,1,0,13,0,31,0,6353
"4893",1,0,1,17,2040,26,56280,4045
"4894",0,0,1,14,2405,37,36180,3082
"4922",1,0,1,17,1764,36,57687,6294
"4948",0,0,1,12,0,33,0,3839
"4961",0,0,1,17,0,56,0,1266
"4965",1,0,1,17,2232,33,140700,3893
"4978",0,1,0,13,1944,27,32160,3877
"4999",0,0,1,12,0,30,0,1601
"5026",0,0,0,12,0,27,0,2578
"5033",1,0,1,11,3000,35,36180,1876
"5052",0,0,1,12,0,30,0,1851
"5094",0,0,1,17,0,38,0,6286
"5097",0,0,1,12,0,50,0,5174
"5110",0,0,1,12,2080,31,18090,2542
"5117",1,0,1,12,2228,26,46230,3799
"5121",1,0,1,12,2405,58,76380,5803
"5142",0,0,1,10,0,59,0,1070
"5144",0,0,1,12,0,54,0,4480
"5146",0,0,1,15,2168,35,47235,273
"5160",1,0,1,14,2548,25,86446.078125,5969
"5163",1,0,1,16,2092,43,37347.80859375,6806
"5186",0,0,1,14,1752,37,44220,5212
"5188",1,0,1,16,2550,41,100500,4147
"5200",1,0,1,16,2205,36,54270,4407
"5236",0,0,1,17,2052,27,63918,2102
"5300",0,0,1,17,2450,56,31155,2354
"5301",0,0,1,12,1960,51,30150,142
"5347",0,0,1,10,1568,46,6030,6882
"5366",1,0,1,12,2100,54,56280,6213
