"","male","black","hours","age","inc_labor","works","int_id"
"2",1,0,3210,38,120450,1,1203
"3",0,0,2024,40,24750,1,318
"5",1,0,2060,30,30426,1,1189
"6",1,0,2805,35,18150,1,1296
"7",1,0,2800,34,27328.94921875,1,331
"8",0,0,2720,39,16500,1,1204
"9",1,0,3048,36,55852.5,1,1298
"10",0,0,2160,28,14850,1,227
"11",1,1,1680,25,35475,1,5222
"12",1,1,0,27,0,1,6268
"16",0,1,1697,31,36300,1,6390
"18",0,1,693,40,3300,0,5219
"19",0,0,1715,37,47850,1,6450
"20",1,1,2104,30,38395.5,1,7739
"21",0,1,1825,35,42900,1,6355
"25",0,0,331,36,4620,1,2637
"26",1,0,2585,39,82500,1,2492
"27",1,0,2448,45,107250,1,2499
"28",0,0,1012,29,34650,1,1848
"30",1,0,2916,42,82500,1,2490
"31",0,0,1960,40,47850,1,2638
"32",0,0,0,32,0,0,7240
"33",1,0,2600,34,320100,1,2504
"34",1,0,2145,27,41250,1,7238
"37",0,0,860,40,3630,0,8645
"38",0,0,1936,41,24750,1,5564
"39",0,0,0,31,0,0,6380
"41",1,0,0,36,0,0,8646
"42",1,0,2000,45,29700,1,5587
"43",0,0,1062,44,6600,1,7256
"44",0,0,2133,33,23760,1,6360
"45",1,0,2160,43,46200,1,8719
"48",0,0,1785,33,14850,1,1263
"49",0,0,1996,29,30525,1,289
"50",1,0,1960,43,34650,1,183
"51",0,0,2340,34,24750,1,184
"52",0,0,1600,45,12375,1,180
"55",1,0,1950,45,26400,1,1392
"56",1,0,1985,45,22275,1,1492
"57",1,0,2220,47,3432,0,3368
"58",0,0,0,33,0,1,477
"59",1,0,2080,38,10230,0,470
"60",1,0,2040,40,37950,1,1521
"61",1,0,2080,32,8250,1,7549
"62",1,0,2277,42,19800,1,2959
"63",0,0,113,29,3630,0,524
"64",1,0,2340,37,35145,1,528
"65",1,0,2280,30,25080,1,522
"68",0,1,0,28,0,0,4719
"69",1,1,400,33,0,0,3926
"70",1,1,360,31,1980,0,4621
"72",0,1,3320,41,24750,1,7046
"73",1,1,1300,32,19800,0,5152
"75",1,1,2088,40,52800,1,3929
"76",0,1,2040,35,2145,1,3931
"600",1,0,1970,38,67650,1,2105
"624",1,0,3570,25,95290.796875,1,7085
"637",1,0,2430,49,135300,1,3190
"671",0,0,1280,39,11550,1,992
"677",0,0,0,59,0,0,3222
"688",0,0,2182,27,47850,1,1511
"701",1,0,2227,37,66000,1,6206
"731",1,0,2849,27,15097.5,1,9883
"759",0,0,2500,34,87319.6484375,1,2039
"764",0,0,1591,33,18150,1,6408
"769",0,0,108,33,79.1999969482422,0,1296
"770",0,1,1984,34,33000,1,4165
"780",1,0,2167,32,27225,1,3656
"790",1,0,2500,41,67650,1,69
"796",1,0,2250,40,66181.5,1,319
"805",1,1,2060,43,29700,1,2809
"817",1,0,2480,51,31350,1,5756
"839",1,0,2700,48,39600,1,66
"840",1,0,3410,39,199650,1,3773
"841",0,0,0,51,0,0,3171
"842",0,0,0,49,0,0,3203
"849",1,0,3000,30,82500,1,6877
"856",1,0,1604,29,18150,1,9234
"863",0,0,1940,42,79200,1,3126
"865",1,0,2574,36,58665.75,1,3618
"892",1,0,992,60,22047.30078125,0,512
"893",0,0,448,36,3469.94995117188,1,276
"894",0,0,2420,50,40228.6484375,1,3482
"951",0,0,1960,34,28611,1,4170
"961",0,0,0,29,0,0,10435
"970",0,0,1368,44,14850,1,3817
"975",1,0,1800,54,66000,1,430
"976",0,0,693,33,13200,1,4784
"998",0,0,2069,35,21821.25,1,3768
"1036",0,1,2750,45,41250,1,212
"1068",1,0,2550,43,74250,1,47
"1081",0,0,0,30,0,0,5455
"1100",1,0,818,25,13200,1,10939
