"","male","black","hours","age","inc_labor","works","int_id"
"1863",1,0,2032,53,46440,1,1772
"1885",0,0,520,39,25800,1,4168
"1889",1,0,1984,49,103200,1,2911
"1890",0,0,2000,53,24510,1,3580
"1894",1,0,2400,31,0,1,6064
"1914",1,0,2080,33,12900,1,3925
"1918",1,0,3036,39,0,1,3257
"1925",1,1,3542,28,14190,1,3262
"1927",0,0,1786,39,43860,1,184
"1928",1,0,2020,28,21930,0,3555
"1936",1,1,2381,33,32250,1,2533
"1945",1,0,2618,56,180600,1,7577
"1956",0,0,347,44,7740,1,5128
"1958",0,1,0,52,0,0,105
"1973",1,0,2292,33,65790,0,334
"1981",0,0,1907,53,52374,1,4379
"1990",0,0,0,55,0,0,2030
"1993",0,0,1748,35,33540,1,5021
"1996",0,0,1820,36,12900,0,181
"2001",0,0,1880,49,25800,1,6589
"2005",0,0,366,26,2322,0,3798
"2007",1,0,360,60,7056.2998046875,1,3293
"2016",0,0,1309,53,34830,1,2309
"2032",1,0,3213,55,60630,1,2455
"2033",0,0,2156,48,30960,1,1240
"2048",0,0,1188,56,32250,1,2308
"2065",1,0,1960,57,121260,1,7612
"2074",1,0,2104,32,46440,1,1671
"2077",0,0,2232,46,23220,1,7810
"2086",0,1,2080,53,79980,1,6673
"2094",1,0,2518,42,127710,1,1765
"2099",0,0,259,30,3612,0,4929
"2107",1,0,360,49,49020,0,3452
"2140",1,0,2223,57,63210,1,1466
"2162",0,0,1992,31,58050,1,3435
"2170",0,0,2304,41,33540,1,5613
"2194",1,0,1954,42,59340,1,7807
"2204",0,0,2450,29,50310,1,2482
"2209",0,0,2142,56,45150,1,3708
"2212",0,0,2040,35,29025,1,6100
"2248",0,0,2761,40,0,1,907
"2249",1,0,2750,49,54180,1,7024
"2253",1,0,2805,47,52890,1,7260
"2259",1,0,2080,43,0,1,7246
"2260",1,0,2490,27,50310,1,6641
"2263",1,0,1638,54,232200,1,4549
"2269",1,0,2750,48,94170,1,7177
"2273",1,0,3736,51,38700,1,2987
"2284",0,1,1180,41,3225,1,5089
"2347",1,0,2216,50,107070,1,3614
"2348",1,0,0,51,0,0,7506
"2355",1,0,2000,57,23063.91015625,1,487
"2363",1,0,533,39,10578,1,2002
"2374",1,0,2500,49,20640,1,7328
"2383",1,0,1000,49,25542,0,4744
"2385",1,0,2362,26,29670,1,691
"2387",0,1,1736,55,68370,1,837
"2394",1,0,0,59,0,0,1379
"2405",0,0,1984,28,58050,1,1631
"2423",0,0,1788,51,51858,1,4705
"2433",1,0,1920,25,54180,1,6349
"2437",1,0,2250,45,73530,1,6823
"2455",0,0,1055,33,11597.099609375,1,4530
"2515",1,0,2016,26,32250,1,3421
"2538",0,1,1904,37,47730,1,6771
"2540",0,0,680,48,1806,1,5076
"2552",1,0,655,25,21801,1,6704
"2568",0,0,2065,37,60630,1,864
"2582",1,0,3339,53,51600,1,6267
"2602",1,0,2205,33,72589.59375,1,7025
"2609",0,0,1530,55,2902.5,1,1363
"2612",1,0,2086,34,67467,1,1999
"2625",0,0,2008,28,21930,1,7320
"2654",1,0,2820,51,283800,1,527
"2664",0,0,280,41,10707,1,4221
"2679",0,0,2080,40,31282.5,0,7138
"2694",1,0,2080,49,32250,1,3956
"2712",1,0,3966,36,65790,1,4161
"2719",0,0,2400,33,141900,1,3082
"2733",0,0,1502,39,67338,1,2779
"2734",1,0,0,53,0,0,3565
"2753",1,0,1248,42,64500,1,5170
"2770",0,1,1936,38,36120,1,7269
"2777",1,0,2446,30,50310,1,3031
"2791",0,0,506,55,21543,1,6487
"2795",1,0,2624,47,258000,1,5528
"2807",1,0,600,58,6450,0,1367
"2821",1,0,1330,31,6450,1,1263
"2842",1,0,3315,35,58050,1,3330
"2856",1,0,2214,41,61533,1,4693
"2866",1,0,1992,45,86137.171875,1,507
"2871",1,0,2450,52,125130,1,2532
"2873",1,0,2550,31,72240,1,1732
"2882",1,0,3036,55,103200,1,495
"2885",1,1,1560,57,33540,1,7016
"2892",0,0,2048,44,29670,1,3873
"2896",0,0,1250,34,9030,1,3071
"2923",1,0,2068,29,90300,1,997
"2927",1,0,2450,52,245100,1,5485
"2933",1,0,1462,47,50310,1,3682
"2954",1,0,0,48,0,0,4622
"2962",1,1,3060,51,62368.921875,1,6700
"2970",1,0,2169,45,70950,1,2321
"2971",0,0,0,53,0,1,6431
"2984",0,0,2112,36,33540,1,2369
"2999",1,0,2340,45,139965,1,7355
"3022",0,0,1992,41,67080,1,3951
"3054",0,0,1986,37,28767,1,1880
"3062",0,0,1984,30,86430,1,964
"3079",1,0,2159,26,32250,1,1237
"3090",0,0,0,56,0,0,4169
"3092",0,0,2000,50,26697.83984375,1,1633
"3114",0,0,2080,33,45150,1,7866
"3115",1,0,2600,30,35250.5390625,1,1427
"3136",1,0,2056,28,39603,1,6633
"3159",1,0,2940,53,141900,1,1442
"3167",1,0,2340,31,70950,1,3444
"3189",0,0,1444,30,25800,0,1874
"3195",1,0,2160,45,180600,1,3254
"3198",1,0,1923,32,24123,1,559
"3202",1,0,2370,37,32637,1,4595
"3213",0,0,1960,47,25864.5,1,6963
"3223",0,0,2501,41,85841.7578125,1,2113
"3231",1,0,1917,41,39990,1,6451
"3236",1,1,0,49,0,0,7518
"3248",1,0,2558,39,73745.4296875,1,5758
"3253",1,0,3927,54,0,1,3308
"3292",1,0,1960,45,35549.8203125,1,5346
"3296",1,1,2461,29,24510,1,7824
"3300",1,0,2115,44,41925,1,5216
"3322",0,0,1846,39,22064.16015625,1,2682
"3336",0,0,1285,43,25800,1,4801
"3351",1,0,2002,32,25800,1,483
"3352",0,0,1920,47,109650,1,5485
"3365",0,1,0,32,0,0,5884
"3392",0,0,0,57,0,0,3145
"3397",1,0,2209,47,113520,1,1526
"3412",0,0,0,53,0,0,1903
"3425",1,0,1188,53,61920,1,3037
"3426",0,0,1865,55,23220,1,1155
"3434",1,0,2394,32,34830,1,2905
"3444",0,0,2000,49,54180,1,5791
"3454",1,0,2500,51,51600,1,1861
"3459",1,0,1495,41,32250,1,3794
"3464",1,0,2430,28,51600,1,7682
"3478",1,0,2784,50,47123.69921875,1,2762
"3496",0,1,2105,42,55470,1,1054
"3523",1,0,1380,51,0,1,4300
"3527",1,0,2560,44,0,1,1579
"3536",0,0,2000,29,39990,1,4015
"3545",0,0,2000,44,6789.27001953125,1,1697
"3582",1,0,2107,54,79980,1,1907
"3599",0,0,2080,48,10320,1,4853
"3601",0,1,0,41,0,0,3097
"3603",0,0,2744,28,46440,1,7712
"3627",1,0,2624,47,65790,1,4440
"3628",0,0,0,34,0,0,5633
"3630",1,0,2500,44,116100,1,1460
"3649",1,0,1188,36,46440,1,3541
"3680",1,0,3380,47,58050,1,6427
"3696",0,0,1792,35,64500,1,3116
"3706",0,0,3185,33,129000,1,4408
"3710",0,0,2210,54,55083,1,4155
"3714",0,0,1960,42,41280,1,956
"3726",0,0,1645,41,70950,1,1610
"3772",0,0,2510,57,67080,1,640
"3790",0,0,955,50,14104.8603515625,0,327
"3809",0,0,312,52,15480,1,6324
"3814",0,0,1960,49,27090,1,1338
"3818",1,0,2410,44,99242.28125,1,3271
"3872",0,0,2040,40,22575,1,5335
"3882",1,1,2600,34,43860,1,2642
"3886",0,0,974,56,25800,1,851
"3887",0,0,0,30,0,1,2441
"3905",1,0,2562,31,61920,1,6532
"3920",1,0,2480,51,70950,1,4984
"3958",0,0,0,54,0,0,3598
"3978",1,0,260,41,0,1,3310
"4027",1,0,2434,38,64500,1,7572
"4044",0,0,0,40,0,0,6512
"4068",0,0,2161,49,63210,1,5044
"4071",1,0,1809,45,23902.41015625,1,1760
"4082",0,0,1976,48,18576,1,2232
"4086",0,0,0,29,0,0,3846
"4111",0,0,1555,32,11997,1,2469
"4127",0,0,137,37,774,1,5445
"4128",1,0,2450,51,123840,1,4171
"4147",1,0,2750,26,60630,1,2215
"4157",1,0,5488,54,108360,1,944
"4183",1,0,1814,44,36120,1,4320
"4190",0,0,2490,56,103200,1,2204
"4192",0,0,1766,47,48891,1,942
"4197",0,0,2064,52,41615.3984375,1,1907
"4225",1,0,2860,45,38700,1,4850
"4231",0,0,1920,51,39990,1,4104
"4232",1,0,2130,28,25800,0,4763
"4249",1,0,102,56,387,1,5627
"4251",1,0,2660,50,106425,1,7148
"4259",1,0,4250,30,47730,1,4991
"4260",1,0,2040,30,90300,1,2443
"4275",0,0,2597,48,129000,1,506
"4290",0,0,2550,47,109650,1,5300
"4301",1,0,2000,51,70950,1,3921
"4304",1,0,1944,33,58050,1,2767
"4318",0,0,0,37,0,0,3223
"4323",0,0,0,41,0,0,4979
"4330",1,0,2024,38,51600,1,585
"4342",0,0,0,44,0,0,2934
"4365",1,1,2910,45,42570,1,1643
"4368",1,0,2080,25,36120,1,4836
"4377",0,0,1887,53,48323.3984375,1,5172
"4385",0,0,0,50,0,0,5126
"4388",1,0,3159,25,49020,1,6183
"4403",1,0,2000,30,51600,1,2823
"4434",0,0,2268,43,63210,1,5915
"4448",0,0,2008,48,20213.009765625,1,786
"4459",1,0,2000,48,18705,1,2801
"4464",1,0,1518,27,32250,1,5552
"4466",0,0,1300,45,10320,1,1665
"4481",1,0,3920,27,51600,1,7043
"4502",1,0,2250,43,122550,1,5239
"4509",1,0,2600,43,109650,1,5695
"4513",0,0,104,44,1290,1,5597
"4532",1,0,2015,35,29670,1,225
"4536",1,0,1792,37,74820,1,4939
"4540",1,0,1890,37,39990,1,2810
"4542",0,0,1456,28,34079.21875,1,722
"4559",0,0,2260,50,34507.5,1,5265
"4591",1,0,3072,49,87720,1,5878
"4626",1,0,2000,60,30960,1,6794
"4636",1,0,2988,45,86430,1,3028
"4642",0,0,2510,38,130290,1,3766
"4646",1,0,1494,29,41280,1,6855
"4648",0,0,2096,45,64706.3984375,1,1301
"4651",0,0,1632,36,39178.58984375,1,7681
"4655",1,0,1589,36,38700,1,4732
"4663",1,0,1748,36,23296.109375,1,6747
"4670",0,0,1148,30,64500,1,2956
"4671",0,0,1956,48,20640,1,5878
"4691",0,0,1564,32,38055,1,1039
"4705",1,0,1960,38,77400,1,5995
"4716",1,1,2480,52,64500,1,3405
"4721",0,0,1530,35,12900,1,7140
"4725",0,0,772,37,10320,1,6215
"4766",0,0,1271,41,28767,1,7355
"4772",1,0,3374,48,96626.15625,1,889
"4778",0,0,1944,50,28896,1,2214
"4781",1,0,2660,51,76110,1,6147
"4804",1,0,1949,55,91590,1,1509
"4806",0,0,1880,49,55470,1,4250
"4815",0,0,2080,26,32250,0,2352
"4855",0,0,416,53,7559.39990234375,1,108
"4857",1,0,1400,57,33798,1,2563
"4863",1,0,1976,48,43860,1,7297
"4864",1,0,610,30,38700,1,2609
"4869",0,0,0,49,0,0,573
"4871",1,0,1672,26,36120,1,5578
"4876",0,0,3640,59,22048.6796875,1,1238
"4879",1,0,2460,39,153510,1,6512
"4881",1,1,1632,46,9288,1,3556
"4893",1,0,2748,41,51600,1,6150
"4894",0,0,2000,52,28380,1,3078
"4913",1,0,1560,41,103200,1,1917
"4922",1,0,2295,51,71143.5,1,5765
"4948",0,0,0,48,0,0,5706
"4953",0,1,1560,50,33540,1,3612
"4962",1,0,2682,34,0,1,1112
"4971",0,0,2048,39,91590,1,4371
"4978",0,1,1960,43,28380,1,6021
"4994",0,0,3500,25,38700,1,7043
"4999",0,0,1928,45,28901.16015625,1,1976
"5001",1,0,1240,29,38700,1,7558
"5015",1,0,2873,34,46440,1,6820
"5023",0,0,2824,44,15944.400390625,1,1647
"5026",0,0,414,42,2322,0,567
"5033",1,0,3120,50,92880,1,5074
"5052",0,0,2080,45,14190,1,324
"5087",1,0,1020,30,13158,1,4015
"5094",0,0,1950,54,59340,1,1782
"5110",0,0,2000,46,30960,1,5851
"5115",0,0,675,37,20640,1,3413
"5117",1,0,2250,41,70950,1,2216
"5119",1,0,2664,50,98556,1,5029
"5146",0,0,0,50,0,0,72
"5160",1,0,2350,41,174150,1,3888
"5182",0,0,237,38,5418,0,6614
"5185",1,1,2156,42,38700,1,761
"5188",1,0,2100,56,83850,1,3962
"5190",1,0,2500,30,70950,1,6593
"5200",1,0,1909,51,50310,1,1883
"5209",0,0,1000,39,38700,1,6716
"5211",1,0,2080,37,33540,1,2417
"5234",1,0,2500,44,61920,1,3124
"5236",0,0,0,42,35591.1015625,0,1444
"5275",0,0,2085,25,51600,1,2052
"5303",0,0,2552,40,18060,1,4678
"5306",0,0,874,30,12900,1,7449
"5315",0,0,1944,29,55470,1,7281
"5334",0,0,2036,31,83850,1,5900
"5338",1,0,5069,41,23220,1,5393
"5348",1,0,2047,38,398610,1,2177
"5382",0,0,1813,60,25800,1,1011
"5412",1,0,2450,34,87720,1,1211
"5427",1,1,2490,44,30960,1,1323
"5429",1,0,2184,37,64500,1,1554
"5431",1,1,1692,31,41022,1,6769
"5434",1,0,2100,46,6450,1,3284
"5442",0,0,40,28,516,0,3530
"5445",0,0,2000,25,19350,1,3740
"5447",0,0,1040,30,14190,0,2287
"5448",1,0,1744,41,38700,1,1989
"5458",1,0,1798,49,41280,1,3220
"5461",0,0,1240,35,19350,1,2729
"5468",0,0,2050,40,54180,1,7481
"5470",0,0,0,44,0,0,5490
"5496",0,0,972,41,21495.26953125,1,4440
"5522",1,0,2600,49,147060,1,488
"5558",1,0,955,47,14190,1,3656
"5562",0,0,2205,40,54180,1,4118
"5571",1,0,1715,37,0,1,2154
"5608",1,0,2976,51,73788,1,1126
"5614",1,0,2455,44,147622.4375,1,6344
"5653",1,0,1896,27,16770,1,1611
"5662",0,1,0,48,0,0,7823
"5670",1,0,2024,27,24510,1,2327
"5683",0,0,2000,46,30960,1,6147
"5685",1,0,3865,46,60630,1,3482
"5690",1,0,0,41,0,0,4328
"5702",1,0,2000,55,149640,1,2899
"5708",0,0,0,52,0,0,3398
"5736",1,0,1952,56,0,1,4963
"5738",1,0,2250,52,100178.8203125,1,4193
"5754",0,0,1300,27,13191.5400390625,1,1932
"5762",1,0,2662,30,46053,1,6043
"5779",0,0,0,26,0,0,4888
"5798",0,0,2080,49,32250,1,5257
"5817",1,0,2205,42,77400,1,5363
"5818",0,0,840,25,19350,1,4836
"5834",0,0,293,50,12900,0,4257
"5839",1,1,1670,35,6612.5400390625,1,4026
"5854",1,0,2952,30,90300,1,4267
"5859",0,1,1804,52,83850,1,3716
"5864",1,1,2080,30,46440,1,2927
"5868",1,0,152,57,2525.82006835938,1,5241
"5871",0,0,2500,37,32250,1,4561
"5874",1,0,2092,49,74551.6796875,1,852
"5880",1,0,2205,26,38055,1,367
"5894",1,0,1966,45,12900,1,5200
"5911",1,0,2381,39,32508,1,6208
"5915",1,1,2565,30,51600,1,2725
"5919",0,0,2104,34,40506,1,3315
"5921",1,0,1275,30,14190,1,7450
"5935",0,0,1888,51,34449.44921875,1,649
"5960",1,0,3036,32,53277,1,4442
