"","male","black","white","edu","hours","age","inc_labor","int_id"
"27",1,0,1,17,2327,26,83980,1736
"42",1,0,1,14,2376,28,34034,4779
"45",1,0,1,12,2200,26,39780,3848
"50",1,0,1,11,1732,25,23868,4503
"52",0,0,1,10,0,27,0,1902
"55",1,0,1,12,4117,28,28906.80078125,4504
"56",1,0,1,6,2660,27,24089,2210
"57",1,0,1,4,2080,28,7956,2209
"622",0,0,1,9,0,29,0,2275
"637",1,0,1,17,512,31,20332,389
"652",0,0,0,12,1200,33,15470,281
"665",1,0,1,12,4284,45,0,3854
"677",0,0,1,8,2000,41,24310,3039
"680",1,1,0,12,1752,59,97240,844
"805",1,1,0,12,2000,25,51272,5101
"811",1,1,0,6,4080,44,66300,2417
"813",1,0,1,7,2000,58,53040,3467
"817",1,0,1,12,2470,33,44200,1320
"839",1,0,1,12,1936,30,37128,2538
"841",0,0,1,12,0,32,0,4344
"842",0,0,1,16,0,31,0,5034
"859",1,0,1,13,1936,55,63648,2381
"892",1,0,1,12,2075,42,74945.5234375,987
"894",0,0,1,17,960,31,22100,2165
"970",0,0,1,12,0,26,0,5113
"975",1,0,0,12,2270,36,64090,2076
"991",0,0,1,12,1920,52,22100,3215
"1141",1,0,1,16,1760,25,44200,4123
"1161",1,0,1,13,2990,44,97240,1444
"1180",0,0,1,17,375,26,1105,5600
"1211",0,0,1,17,1620,31,37570,312
"1212",0,0,1,12,2080,31,22542,2076
"1237",1,0,1,14,2205,33,75140,1643
"1264",0,0,1,12,2115,25,35360,4549
"1313",0,1,0,12,1600,50,13260,4914
"1328",1,0,1,16,2642,48,75140,1440
"1334",0,0,1,12,1920,33,28730,4800
"1358",0,0,1,12,0,32,0,2684
"1371",1,0,1,17,2746,26,35360,4322
"1374",0,0,1,12,1600,48,15368.33984375,109
"1431",1,0,1,16,1840,48,110500,3648
"1489",1,0,1,8,1920,46,31382,4218
"1490",0,0,1,11,2500,33,29614,1045
"1495",0,0,1,12,1482,31,15028,1738
"1519",1,0,1,16,1631,58,132600,1221
