"","male","black","white","edu","hours","age","inc_labor","int_id"
"2",1,0,1,12,2000,25,45850,3258
"3",0,0,1,11,1200,28,14132.2802734375,5245
"8",0,0,1,13,571,27,14410,4844
"15",1,1,0,14,2040,26,47684,6146
"18",0,1,0,16,2070,27,44540,6452
"19",0,0,1,15,1708,25,23580,6320
"26",1,0,1,14,2552,26,71264,271
"27",1,0,1,17,2160,32,109516,540
"30",1,0,1,17,2520,30,61570,743
"31",0,0,1,16,2026,28,41920,183
"37",0,0,1,12,312,27,5240,2521
"38",0,0,1,12,40,29,314.399993896484,173
"40",1,0,1,11,1702,26,45850,483
"42",1,0,1,14,2208,33,39300,586
"45",1,0,1,12,2550,31,34060,6140
"50",1,0,1,11,2545,31,22511.0390625,5214
"52",0,0,1,10,1725,32,14410,2357
"54",1,0,1,12,1867,27,28820,3300
"55",1,0,1,12,2160,33,15720,5403
"56",1,0,1,6,2394,33,24101.380859375,4848
"59",1,0,1,10,1437,26,10364.7197265625,5710
"60",1,0,1,12,1920,27,22532,4637
"62",1,0,1,12,2176,29,22008,4192
"72",0,1,0,12,2750,28,31440,1361
"75",1,1,0,12,1960,28,31440,2048
"600",1,0,1,12,1924,26,44618.6015625,2580
"622",0,0,1,9,2544,35,31927.3203125,2425
"637",1,0,1,17,1920,37,94702.5234375,5842
"652",0,0,0,12,2510,39,23580,6510
"674",0,0,1,17,1140,29,9170,3322
"677",0,0,1,8,0,47,0,4784
"701",1,0,1,17,2600,25,48470,1985
"762",1,0,1,10,2205,30,78600,5315
"790",1,0,1,12,2352,29,68120,3804
"796",1,0,1,12,1960,28,33536,122
"805",1,1,0,12,2744,31,78600,5277
"817",1,0,1,12,2964,39,36680,3224
"839",1,0,1,12,160,36,3379.80004882812,516
"841",0,0,1,12,0,39,0,6490
"842",0,0,1,16,0,37,0,2725
"892",1,0,1,12,2020,48,61046,4623
"894",0,0,1,17,576,38,11004,894
"970",0,0,1,12,1920,31,20960,3411
"975",1,0,0,12,2256,42,68644,823
"991",0,0,1,12,2000,56,20960,5145
"1036",0,1,0,13,480,33,11004,5311
"1114",1,0,1,14,1806,27,55020,5262
"1141",1,0,1,16,2340,31,54496,1684
"1154",0,0,1,17,1884,26,31440,2722
"1161",1,0,1,13,2111,50,178160,5510
