"","male","black","white","edu","hours","age","inc_labor","int_id"
"2",1,0,1,12,1960,30,56420,2871
"3",0,0,1,11,1500,33,10307.5,3104
"6",1,0,1,12,4002,27,38192,2876
"7",1,0,1,12,2046,25,27125,3103
"8",0,0,1,13,716,32,14105,6528
"9",1,0,1,12,2112,29,34720,3102
"17",1,1,0,13,2195,25,33635,300
"18",0,1,0,16,1810,33,52080,6893
"19",0,0,1,15,1750,30,40145,2741
"21",0,1,0,12,2189,28,30744.560546875,1070
"25",0,0,1,16,1740,29,32550,4042
"26",1,0,1,14,2662,31,86800,2004
"27",1,0,1,17,2207,38,145390,2929
"30",1,0,1,17,2684,35,75950,2002
"31",0,0,1,16,2214,33,53382,4041
"32",0,0,1,16,1996,25,41772.5,3377
"33",1,0,1,17,2048,27,17902.5,2354
"37",0,0,1,12,607,32,8680,4931
"38",0,0,1,12,2660,34,28752.5,4234
"41",1,0,1,9,1428,29,44485,6070
"42",1,0,1,14,2800,38,62930,4761
"44",0,0,1,16,1229,26,13020,4233
"45",1,0,1,12,2754,36,45743.6015625,5308
"48",0,0,1,8,1500,25,34720,5370
"50",1,0,1,11,2101,36,23870,3523
"51",0,0,1,12,2008,27,15190,1928
"52",0,0,1,10,1104,37,21700,659
"54",1,0,1,12,1560,33,15190,5174
"55",1,0,1,12,1785,38,30380,5162
"56",1,0,1,6,2538,38,24955,6862
"59",1,0,1,10,868,31,6510,6861
"60",1,0,1,12,2508,32,22656.970703125,6819
"62",1,0,1,12,2260,34,14105,1273
"72",0,1,0,12,1964,33,28242.55078125,3100
"73",1,1,0,12,1184,25,14131.0400390625,3099
"75",1,1,0,12,1962,33,47740,3098
"76",0,1,0,12,2200,28,30380,3632
"600",1,0,1,12,1856,31,62930,1107
"632",1,0,1,11,2283,51,66799.109375,897
"637",1,0,1,17,2003,42,117180,2368
"671",0,0,1,12,0,31,0,6629
"674",0,0,1,17,684,34,15190,1967
"677",0,0,1,8,0,52,0,2464
"701",1,0,1,17,3750,30,69440,6246
"764",0,0,1,13,2104,25,23870,1662
"769",0,0,1,12,0,25,0,2876
"770",0,1,0,13,2916,27,46655,6993
"780",1,0,1,15,2080,25,30380,6186
"790",1,0,1,12,3120,34,65100,2732
"796",1,0,1,12,2079,34,36456,5784
"805",1,1,0,12,1944,36,36890,4300
"817",1,0,1,12,2607,44,23870,3116
"839",1,0,1,12,2805,40,49910,345
"840",1,0,1,17,2608,31,73780,5754
"841",0,0,1,12,172,44,1840.16003417969,1380
"842",0,0,1,16,100,41,4557,5254
"865",1,0,1,10,2696,29,64535.80078125,2681
"892",1,0,1,12,1968,53,45570,2724
"893",0,0,1,16,1520,29,21700,5300
"894",0,0,1,17,1990,42,28210,479
"951",0,0,1,17,1860,27,26040,6866
"970",0,0,1,12,1542,36,14942.6201171875,6171
"975",1,0,0,12,2832,47,91140,3155
"976",0,0,1,12,1960,25,30380,1344
"998",0,0,1,12,1440,27,14962.150390625,2322
"1036",0,1,0,13,1824,38,28210,2076
"1068",1,0,1,17,2860,36,12325.599609375,4862
"1114",1,0,1,14,1758,32,78814.3984375,6043
"1154",0,0,1,17,1239,32,40362,2719
"1161",1,0,1,13,2840,55,0,5239
"1172",1,0,1,16,2165,26,58590,551
"1180",0,0,1,17,1908,37,52080,135
"1185",1,0,1,12,2440,27,36890,1420
"1187",0,0,1,17,2232,34,73780,6722
"1205",1,0,1,17,2460,29,71610,3306
"1211",0,0,1,17,2130,42,46438,4460
"1212",0,0,1,12,1132,42,15841,3155
"1247",0,0,1,17,1904,29,40145,5268
"1249",1,0,1,14,2827,28,60760,2468
"1289",0,0,1,14,1368,27,12152,2245
"1313",0,1,0,12,1904,59,30380,3749
"1314",0,0,1,14,2328,25,24390.80078125,5323
"1328",1,0,1,16,2530,59,97650,2314
"1334",0,0,1,12,1800,44,26040,6147
"1345",1,0,1,17,1544,32,24269.279296875,442
"1358",0,0,1,12,1913,42,14105,4045
"1371",1,0,1,17,1992,37,42315,1564
"1374",0,0,1,12,1350,60,16275,813
"1412",0,0,1,12,848,25,8680,79
"1419",0,0,1,12,0,29,0,6095
"1427",1,0,1,16,1350,33,52080,1771
"1431",1,0,1,16,2200,59,117180,3880
"1490",0,0,1,11,1784,44,29742.01953125,582
"1495",0,0,1,12,1307,42,8680,855
"1506",0,1,0,14,1992,32,30488.5,1269
"1544",0,0,1,12,900,35,13454,2921
"1546",0,0,1,14,120,34,2170,1370
"1558",1,0,1,12,2288,27,59132.5,4900
"1584",0,0,1,16,1750,42,10578.75,5170
"1597",1,1,0,14,1870,28,28210,2233
"1608",0,0,1,16,1176,49,21266,6098
"1612",0,1,0,12,1992,33,33431.01953125,240
"1626",0,0,1,14,0,35,0,3868
"1631",0,0,1,16,448,32,8708.2099609375,769
"1644",0,1,0,16,1576,27,10850,2934
"1647",0,0,1,12,0,32,0,1094
"1662",0,0,1,16,1314,47,29512,2153
"1664",0,0,1,12,1980,34,80724,2089
"1674",0,0,1,16,787,36,13020,6792
"1679",0,0,1,12,0,29,0,2856
"1722",0,0,1,12,1384,31,130200,954
"1734",0,0,1,12,2391,36,34134.1015625,1535
"1772",1,0,1,8,1948,58,49910,3066
"1776",1,0,1,12,2563,48,39060,2396
"1781",1,0,1,11,2340,26,30380,3769
"1834",1,0,1,12,1910,56,33635,1009
"1844",1,0,1,12,2040,57,73129,2582
"1847",0,1,0,12,1160,27,5425,893
"1863",1,0,1,17,2194,36,82460,5169
"1869",0,0,1,13,2457,27,32550,1183
"1889",1,0,1,15,2144,32,39060,4315
"1929",1,0,1,16,2200,59,47718.30078125,5885
"1945",1,0,1,16,2695,40,112840,5933
"1955",0,0,1,12,0,25,0,214
"1956",0,0,1,12,1166,27,17360,3558
"1981",0,0,1,12,1215,36,30163,6178
"1982",0,0,1,16,0,34,0,2028
"1990",0,0,1,12,1920,38,71610,4367
"2001",0,0,1,16,1188,32,15190,2559
"2016",0,0,1,16,1595,36,16492,912
"2031",1,0,1,16,3072,46,16353.1201171875,494
"2032",1,0,1,16,2880,39,71479.796875,6684
"2048",0,0,1,17,0,38,0,6919
"2065",1,0,1,16,2350,40,93310,6101
"2077",0,0,1,12,1305,28,19530,4054
"2086",0,1,0,17,1422,35,49910,3209
"2094",1,0,1,16,2318,25,78120,2158
"2096",1,0,1,13,2040,55,23870,1209
"2107",1,0,0,12,1515,32,23870,3532
"2143",0,0,1,12,1922,31,32333,3741
"2147",1,0,1,14,2759,36,33242.23046875,81
"2209",0,0,1,15,585,39,8680,903
"2249",1,0,1,10,2340,31,36890,6748
"2253",1,0,1,12,2128,29,64015,1506
"2263",1,0,1,16,2450,37,45570,4874
"2269",1,0,1,17,3060,31,86800,6815
"2275",0,1,0,15,1960,34,60760,383
"2280",0,0,1,11,0,41,0,717
"2281",1,0,1,12,2000,30,112840,6996
"2285",1,0,1,16,1960,34,47740,990
"2296",0,1,0,7,2244,35,17941.560546875,6307
"2347",1,0,1,16,2097,33,78120,3719
"2355",1,0,1,12,2619,40,41848.44921875,52
"2357",0,0,1,12,1222,39,26040,4316
"2368",0,0,1,13,0,43,0,4023
"2374",1,0,0,8,0,31,0,2432
"2387",0,1,0,16,1027,38,21700,939
"2393",1,0,1,12,1960,51,82460,538
"2394",1,0,1,10,2650,42,34720,3147
"2404",1,0,1,16,1946,33,42749,4982
"2415",0,0,1,7,1460,47,15190,881
"2423",0,0,1,12,1850,34,34720,5913
"2443",1,0,1,12,1989,41,82460,2865
"2445",0,0,1,16,0,30,0,3291
"2451",0,0,1,17,588,37,14539,1197
"2452",1,0,1,12,0,59,0,2697
"2540",0,0,1,12,2173,31,43400,1337
