"","male","black","white","edu","hours","age","inc_labor","int_id"
"42",1,0,1,14,2104,26,35376,4546
"52",0,0,1,10,0,25,0,2131
"55",1,0,1,12,3556,28,36448,4385
"56",1,0,1,6,2704,25,24312.9609375,1666
"57",1,0,1,4,3750,27,26800,5227
"607",1,1,0,12,1927,58,55744,3927
"622",0,0,1,9,1634,27,21440,4241
"637",1,0,1,17,600,29,16080,3443
"652",0,0,0,12,0,31,0,2492
"665",1,0,1,12,2803,43,74509.359375,2753
"677",0,0,1,8,2000,39,21440,1222
"680",1,1,0,12,1960,57,96480,4870
"811",1,1,0,6,2750,42,64320,4450
"813",1,0,1,7,2000,57,32160,2043
"817",1,0,1,12,2500,31,46096,1773
"839",1,0,1,12,2223,27,40200,42
"841",0,0,1,12,0,31,0,1158
"842",0,0,1,16,0,29,0,1202
"859",1,0,1,13,1823,53,77720,618
"892",1,0,1,12,2304,40,53868,1260
"894",0,0,1,17,300,29,8040,49
"970",0,0,1,12,0,25,0,763
"975",1,0,0,12,2981,34,61640,4856
"991",0,0,1,12,2250,48,31088,148
"1132",0,0,1,12,2352,45,77586,2438
"1161",1,0,1,13,2510,42,107200,2206
"1211",0,0,1,17,32,29,921.919982910156,855
"1212",0,0,1,12,2040,29,8361.599609375,4856
"1313",0,1,0,12,2000,46,18224,4704
"1328",1,0,1,16,2350,46,69680,2204
"1334",0,0,1,12,2040,31,31088,1012
"1358",0,0,1,12,0,30,0,3843
"1374",0,0,1,12,1520,47,12864,940
"1431",1,0,1,16,1927,46,118134.3984375,3041
"1489",1,0,1,8,1960,44,31624,4257
"1490",0,0,1,11,2200,31,28944,1411
"1495",0,0,1,12,1760,29,21440,2526
"1519",1,0,1,16,2520,56,134000,4800
"1532",0,0,1,12,672,43,12328,1960
"1583",0,0,1,12,0,26,0,1465
"1584",0,0,1,16,0,29,0,1581
"1604",1,0,1,12,1936,60,85760,4593
"1608",0,0,1,16,0,36,0,394
"1662",0,0,1,16,540,34,6432,310
"1680",0,0,1,12,0,49,0,1044
"1700",1,0,1,12,2000,56,58960,5108
"1772",1,0,1,8,2180,45,47168,2330
"1776",1,0,1,12,2432,42,80400,4482
"1778",0,0,1,12,0,52,0,4851
"1787",1,0,1,12,3120,52,61961.6015625,1148
"1815",0,0,1,9,1926,57,50384,3592
"1822",0,0,1,12,0,49,0,2270
"1834",1,0,1,12,2100,43,45881.6015625,3620
"1838",1,1,0,12,2000,42,56708.80078125,3576
"1844",1,0,1,12,2058,44,67418.078125,2458
"1858",1,0,1,12,2940,53,64320,261
"1888",0,0,1,13,0,52,0,1002
"1929",1,0,1,16,2225,46,53600,4675
"1945",1,0,1,16,2596,26,50384,471
"1990",0,0,1,12,1912,25,45560,1920
"2031",1,0,1,16,3120,33,29801.599609375,3866
"2032",1,0,1,16,2054,26,53600,1658
"2048",0,0,1,17,1900,26,53600,1199
"2065",1,0,1,16,2205,27,80400,4311
"2096",1,0,1,13,1846,42,55867.28125,343
"2192",1,0,0,4,2556,39,35161.6015625,5005
"2209",0,0,1,15,2102,26,34840,4181
"2219",0,0,1,12,880,49,16080,3529
"2224",1,0,1,12,4368,29,37520,4387
"2263",1,0,1,16,1600,25,21440,4694
"2280",0,0,1,11,455,29,4824,2203
"2340",1,0,1,12,1960,59,36448,1486
"2355",1,0,1,12,1952,27,25829.83984375,1876
"2357",0,0,1,12,480,26,13400,4187
"2368",0,0,1,13,0,31,0,3933
"2393",1,0,1,12,2060,38,53600,106
"2394",1,0,1,10,3244,29,24656,2600
"2415",0,0,1,7,1326,34,8040,185
"2443",1,0,1,12,2100,28,53600,1656
"2452",1,0,1,12,0,46,0,4370
"2464",0,0,0,6,0,27,0,5216
"2490",0,0,1,11,963,30,12864,851
"2539",1,1,0,10,0,58,0,522
"2581",0,0,1,15,225,48,3001.60009765625,3208
"2586",0,0,1,8,250,43,2278,3286
"2616",0,0,1,12,0,36,0,5175
"2636",0,0,1,12,1560,36,31088,2808
"2666",0,1,0,12,1960,43,21440,4098
"2668",1,0,1,12,2448,36,85760,3209
"2695",1,0,1,13,3888,30,72896,2498
"2701",1,0,1,12,2060,48,112560,342
"2710",1,0,1,12,2949,56,33232,2881
"2713",1,0,1,15,2000,27,83616,771
"2801",1,0,1,12,3117,31,35161.6015625,5157
"2804",1,1,0,5,2448,42,24039.599609375,378
"2807",1,0,1,12,2128,28,64320,2758
"2839",1,0,1,16,2695,46,348400,737
"2882",1,0,1,14,3198,25,40896.80078125,693
"2888",1,0,1,12,1632,51,64320,2603
"2922",1,0,1,14,1098,57,91120,2014
"2947",1,0,1,13,2080,28,69680,974
"2978",0,0,1,16,250,28,1340,3819
"2997",1,0,1,12,2225,38,35912,242
"3012",0,0,1,16,1260,43,40200,765
"3077",1,0,1,16,2327,45,192960,1599
"3090",0,0,1,15,0,26,0,1836
"3099",0,0,1,14,600,44,8576,1599
"3103",0,0,1,7,0,59,0,1015
"3111",1,0,1,8,3640,48,21815.19921875,4651
"3127",1,0,1,10,1200,58,9648,1187
"3132",1,1,0,3,2448,55,31988.48046875,1070
"3143",0,0,1,11,0,60,0,650
"3169",1,0,1,16,2286,54,48642,2047
"3174",0,0,1,8,0,26,0,3880
"3229",1,0,1,12,2261,48,64320,1413
"3240",0,0,1,16,0,60,0,3413
"3304",1,0,1,17,2880,55,75576,1494
"3344",1,0,1,16,1990,55,107200,3758
"3392",0,0,1,12,704,27,26800,4840
"3426",0,0,1,14,2340,25,29212,3986
"3485",1,1,0,12,90,25,12864,3485
"3488",0,0,1,17,0,33,0,1174
"3498",0,0,1,12,0,54,0,65
"3509",1,0,1,10,1200,42,24656,4982
"3513",0,0,1,8,0,50,0,1029
"3532",0,0,1,12,0,32,0,2798
"3534",0,0,1,16,2080,31,64320,5016
"3580",1,0,1,17,2182,51,53600,936
"3588",1,0,1,16,3196,26,128640,2251
"3591",0,0,0,12,0,25,0,2490
"3607",0,0,1,8,2041,60,42210,1804
"3614",0,0,1,11,0,46,0,4751
"3646",0,0,1,11,468,41,2572.80004882812,612
"3672",0,0,1,12,675,39,5896,2514
"3676",1,0,1,17,1810,38,107200,1451
"3710",0,0,1,16,160,25,1768.80004882812,4132
"3731",0,0,1,12,0,56,0,243
"3748",0,0,1,12,0,60,0,2823
"3759",0,0,1,12,0,43,0,4340
"3764",1,0,1,13,2637,40,85760,2321
"3772",0,0,1,17,600,27,1072,1170
"3780",1,0,1,13,2880,36,42880,1481
"3789",1,0,1,16,2070,60,160800,2290
"3830",1,0,0,14,1976,37,75040,3245
"3867",1,0,1,8,4020,51,82329.6015625,3470
"3886",0,0,1,17,1188,26,39020.80078125,219
"3908",0,1,0,12,1435,51,12328,1644
"3936",1,0,1,12,1763,52,49848,2196
"3959",1,0,1,12,2780,49,50384,93
"3966",1,0,1,15,1680,25,39128,1109
"3980",1,0,1,10,2100,35,67000,3482
"4081",1,0,1,16,2475,26,84152,1471
"4116",1,0,1,13,2160,38,52260,2575
"4142",0,1,0,11,0,54,0,4542
"4144",1,0,1,7,1778,47,49848,177
"4151",0,1,0,12,2080,38,16080,382
"4171",0,0,1,17,1200,42,58960,495
"4172",0,0,1,10,1808,52,9262.080078125,847
"4193",1,1,0,14,1864,50,18331.19921875,1750
"4249",1,0,1,15,1997,26,31157.6796875,4189
"4265",0,0,1,6,0,48,0,381
"4267",0,0,1,12,0,25,0,2251
"4283",1,0,1,17,1780,31,67536,553
"4397",1,0,1,11,1785,33,24329.0390625,101
"4437",1,0,1,14,3360,53,56280,2521
"4442",0,0,1,12,1938,50,13936,2740
"4453",0,0,1,7,1996,56,48240,1812
"4478",1,0,1,12,2700,25,46632,849
"4490",0,1,0,8,252,47,3065.919921875,4244
"4529",0,0,1,14,1353,31,20636,5209
"4551",0,0,1,12,1960,43,42880,2906
"4595",1,0,1,8,2600,45,35912,2795
"4597",1,0,1,13,2940,46,66003.0390625,2334
"4603",1,0,1,12,1824,30,45560,2308
"4611",0,0,1,12,2040,29,21440,1786
"4632",1,1,0,17,2327,46,142040,4855
"4658",0,0,1,15,0,32,0,1389
"4693",1,0,1,11,2304,44,77720,3615
"4696",1,0,1,8,2470,55,46819.6015625,3193
"4768",1,1,0,11,3876,35,27872,3139
"4801",0,0,1,13,200,32,1125.59997558594,4231
"4818",0,0,1,12,1920,40,39664,3459
"4842",1,0,1,8,2250,59,19574.720703125,4536
"4858",1,0,1,12,640,58,5306.39990234375,1233
"4861",0,0,1,12,2300,54,19590.80078125,4536
"4876",0,0,1,12,2000,29,27872,270
"4886",0,1,0,9,0,59,0,1206
"4907",0,0,1,11,0,59,0,3651
"4920",1,0,1,12,3120,52,15452.8798828125,2854
"4961",0,0,1,17,0,41,0,2550
"4967",0,0,1,8,0,49,0,3078
"4987",1,0,1,10,1936,56,54136,1029
"5082",1,0,1,12,4405,43,52008.078125,3157
"5085",0,0,1,13,320,60,3001.60009765625,1607
"5097",0,0,1,12,0,35,0,3171
"5121",1,0,1,12,1833,44,70752,2876
"5142",0,0,1,10,0,41,0,3625
"5144",0,0,1,12,0,39,0,4648
"5163",1,0,1,16,1692,27,33768,574
"5188",1,0,1,16,2646,26,61640,4059
"5191",1,0,1,10,1936,46,46632,1519
"5252",0,0,1,12,1968,42,26800,4580
"5300",0,0,1,17,0,41,0,2524
"5301",0,0,1,12,2080,37,26800,4414
"5347",0,0,1,10,0,31,0,2377
"5366",1,0,1,12,2750,39,76803.4375,1557
"5380",0,1,0,12,1470,31,31624,1218
"5382",0,0,1,15,1875,30,27872,4500
"5407",0,0,1,14,1875,59,34840,1434
"5478",1,0,1,7,1680,59,26800,2091
"5487",0,0,1,9,0,34,0,5260
"5586",0,0,1,12,102,60,938,2746
"5638",0,0,1,14,1200,45,21440,3041
"5689",1,0,1,17,3434,35,175272,5226
"5695",0,0,1,17,800,35,42880,2590
"5702",1,0,1,16,1873,25,45361.6796875,2868
"5712",1,0,1,16,1856,52,56280,362
"5715",0,0,1,14,1260,37,14472,1275
"5736",1,0,1,14,2860,26,45560,2164
"5743",1,0,1,17,2048,39,108272,2476
"5784",0,0,1,12,4076,44,40998.640625,1114
"5787",1,0,1,12,2120,60,41824.078125,2519
"5809",1,0,1,14,2380,49,85760,2682
"5810",0,0,1,11,80,40,804,1490
"5841",1,0,1,12,2135,32,33768,540
"5850",0,0,1,12,2000,37,42880,2763
"5868",1,0,1,16,770,27,17152,5200
"5890",0,0,1,12,2000,26,27872,697
"5947",0,1,0,9,0,56,0,759
"5963",1,0,1,16,2250,54,96480,3250
"5973",0,1,0,11,832,49,3902.080078125,3397
"5983",1,0,1,12,1806,27,43416,1470
"6011",1,0,1,12,2040,28,61640,4711
"6049",0,0,1,12,2064,48,23412.48046875,2272
"6117",1,0,1,10,4380,31,3752,3684
"6191",1,1,0,11,1880,56,24184.3203125,4218
"6217",0,0,1,11,0,34,0,1091
"6220",0,0,1,12,0,31,0,490
"6228",0,0,1,10,1800,32,22512,1816
"6264",0,0,1,12,1920,49,53600,1334
"6286",1,0,1,17,1784,57,112560,3639
"6300",0,0,1,17,1935,34,64320,4852
"6379",0,0,1,8,1920,60,21440,3066
"6397",1,0,1,12,1960,39,187600,2454
"6479",1,0,1,9,2800,35,42997.921875,2162
"6483",1,0,1,17,2895,51,50920,3288
"6495",0,0,1,14,1840,44,28944,3697
"6499",0,0,1,12,3060,59,77880.796875,4002
"6503",0,0,1,17,1755,26,35912,459
"6544",1,0,1,7,875,37,10720,1687
"6559",1,0,1,10,1540,52,69680,4258
"6589",1,0,1,12,2522,49,107200,1308
"6608",0,0,1,12,1920,36,48240,4417
"6815",1,1,0,3,0,52,0,1795
"6826",0,0,1,7,384,47,4941.919921875,2712
"6827",0,0,1,13,1152,50,32160,3483
"6851",0,0,1,12,0,43,0,2613
"6872",1,0,1,13,3105,33,54672,2793
"6883",1,0,1,12,1960,49,69680,3945
"6897",0,0,1,14,2000,59,36984,55
"6907",0,0,1,12,2040,42,18760,3739
"6912",0,0,1,12,0,41,0,448
"6914",0,1,0,5,0,59,0,523
"6931",0,0,1,12,0,25,0,4653
"6942",1,0,1,12,2500,44,58960,2916
"6949",0,0,1,5,2000,52,18760,1915
"7008",1,1,0,7,1770,48,22297.599609375,2702
"7023",0,0,1,12,2020,34,22297.599609375,294
"7031",1,0,1,12,2107,38,58960,354
"7033",1,0,1,8,2400,50,91120,4308
"7088",1,0,1,16,2525,52,134000,2181
"7089",0,0,1,11,0,27,0,682
"7153",1,0,1,16,2500,30,112560,1660
"7159",1,0,1,17,680,26,13132,2506
"7228",0,0,1,12,0,34,0,3939
"7254",0,0,1,12,0,41,0,1934
"7268",0,0,1,12,1040,48,4341.60009765625,958
"7282",1,0,1,10,2508,45,75040,3751
"7298",0,0,1,12,0,43,0,26
"7333",1,0,1,10,1659,26,23605.439453125,436
"7336",0,1,0,12,1875,34,26800,1919
"7349",0,0,1,12,0,40,0,2916
"7372",0,0,1,12,0,49,0,820
"7385",1,0,1,11,1880,48,80400,1062
"7403",1,0,1,6,2610,44,84688,1139
"7405",1,0,1,14,1960,26,43416,3020
"7445",0,0,1,14,0,25,0,4564
"7450",1,0,1,5,900,52,16080,4330
"7483",0,0,1,12,0,39,0,1717
"7555",1,0,1,10,1966,33,40200,4999
"7585",1,0,1,14,1040,27,20368,2983
"7609",1,0,1,12,2021,55,51456,246
"7650",1,0,1,12,2250,33,53600,2902
"7746",0,0,1,13,288,38,3216,1416
"7795",1,0,1,15,2940,33,87142.8828125,1389
"7796",0,0,1,11,0,50,0,2974
"7798",1,0,1,16,1944,26,47168,1223
"7800",1,0,1,13,1878,27,40200,5056
"7839",1,0,1,16,2818,59,134000,2189
"7850",1,0,1,3,3331,25,42880,17
"7864",0,0,1,12,261,57,1554.40002441406,719
"7878",0,0,1,12,80,27,2144,574
"7902",1,1,0,11,2600,25,16723.19921875,376
"7904",1,0,1,12,2940,31,46096,2359
"7935",0,0,1,12,0,49,0,4089
"8011",1,0,1,12,1777,47,61640,1499
"8035",1,0,1,12,2107,50,51134.3984375,671
"8088",0,0,1,14,2080,25,30552,5200
"8148",0,0,1,9,1330,56,10452,2811
"8151",0,0,1,16,1638,38,40200,2082
"8154",0,0,1,12,0,41,0,1825
"8159",1,0,1,11,2677,26,42880,4537
"8198",1,0,1,16,2000,31,82972.796875,1683
"8214",0,0,1,12,0,39,0,2234
"8242",1,0,1,13,3055,25,38592,79
"8247",1,0,1,14,2220,30,92192,1158
"8303",0,0,1,16,0,34,0,5076
"8322",0,0,1,14,800,40,8576,3714
"8352",0,0,1,12,0,51,0,1792
"8391",0,0,1,16,0,25,0,4552
"8400",1,0,1,12,2550,51,22914,3096
"8452",1,0,1,12,1760,60,126496,3766
"8493",0,0,1,11,416,50,3752,5190
"8509",0,0,1,12,0,40,0,3724
"8532",0,0,1,12,0,47,0,4440
"8541",1,0,1,10,2160,44,69680,1507
"8551",0,0,1,16,0,30,0,1660
"8573",1,0,1,16,2580,25,91120,1175
"8591",1,0,1,17,3000,43,111220,3767
"8597",0,1,0,13,1960,34,18760,4199
"8645",0,0,1,2,0,43,0,3417
