"","male","black","hours","age","inc_labor","works","int_id"
"3",0,0,1214,27,10404,1,5395
"8",0,0,180,26,1734,0,2331
"15",1,1,2156,25,34680,1,1361
"18",0,1,1892,26,34680,1,3183
"26",1,0,2390,25,65603,1,120
"27",1,0,2358,31,166059.40625,1,2018
"30",1,0,2250,29,59245,1,121
"31",0,0,1951,27,39382.03125,1,434
"37",0,0,0,27,0,0,4192
"38",0,0,1080,28,11560,1,1231
"40",1,0,2310,25,33235,1,1260
"42",1,0,2016,32,37570,1,4186
"45",1,0,2550,30,58956,1,482
"50",1,0,2528,30,24206.640625,1,2642
"52",0,0,1560,31,10519.599609375,1,2204
"54",1,0,1520,27,22903.25,1,2641
"55",1,0,2500,33,23120,1,6192
"56",1,0,2683,32,27166,1,625
"59",1,0,2933,25,17340,1,4803
"60",1,0,1821,26,23987,1,2021
"62",1,0,2300,28,25143,1,623
"72",0,1,2250,27,26010,1,2065
"75",1,1,1880,27,31790,1,1452
"600",1,0,2040,25,40460,1,4208
"622",0,0,2754,34,20230,1,2036
"637",1,0,1920,36,91511.8515625,1,1216
"652",0,0,2350,38,20230,1,4429
"674",0,0,900,28,17340,0,3371
"677",0,0,0,46,0,0,2031
"762",1,0,2106,29,76585,1,4490
"790",1,0,2400,28,75140,1,5246
"796",1,0,2010,27,31067.5,1,553
"805",1,1,2227,30,82076,1,1438
"811",1,1,3600,49,75140,1,6380
"817",1,0,2150,38,49130,1,2327
"839",1,0,520,35,26010,1,3538
"841",0,0,0,38,0,0,3202
"842",0,0,0,35,0,0,1808
"859",1,0,1960,60,62135,1,3418
"892",1,0,1640,48,49130,1,99
"894",0,0,1280,37,17340,0,5128
"970",0,0,732,31,5780,1,986
"975",1,0,2573,41,80631,1,3775
"991",0,0,2015,55,23120,1,6074
"1036",0,1,330,32,1734,1,1328
"1114",1,0,1680,26,69360,1,5976
"1141",1,0,2250,30,72250,1,542
"1154",0,0,2060,26,36125,1,1858
"1161",1,0,2904,49,225420,1,6167
"1180",0,0,80,31,1011.5,1,3442
"1187",0,0,1888,27,40460,1,3210
"1211",0,0,1795,36,36240.6015625,1,5676
"1212",0,0,1437,36,13033.900390625,1,3775
"1264",0,0,1900,30,20230,1,2152
"1313",0,1,2142,54,27053.2890625,1,3022
"1328",1,0,2820,53,75140,1,3923
"1334",0,0,1668,38,22542,1,1095
"1345",1,0,2703,26,44401.9609375,1,1790
"1358",0,0,0,36,0,0,2807
"1371",1,0,1972,31,65314,1,4746
"1374",0,0,1309,54,15669.580078125,1,210
"1427",1,0,2512,27,43350,1,5027
"1431",1,0,1780,52,104040,1,728
"1490",0,0,1960,38,26010,1,913
"1495",0,0,0,36,0,0,3288
"1506",0,1,1960,28,26010,1,3157
"1544",0,0,0,29,0,0,2356
"1546",0,0,320,28,2890,0,918
"1583",0,0,0,33,0,0,2179
"1584",0,0,780,36,33813,1,2551
"1608",0,0,10,44,130.050003051758,0,3620
"1612",0,1,2040,27,26010,1,1788
"1626",0,0,1220,29,16184,1,1870
"1631",0,0,2000,26,37570,1,4891
"1647",0,0,0,26,0,0,2619
"1662",0,0,1010,41,28900,1,3876
"1664",0,0,2428,28,46240,1,1031
"1674",0,0,1920,29,34680,0,2635
"1680",0,0,110,55,867,0,352
"1734",0,0,1960,30,19074,1,4950
"1772",1,0,1899,52,34564.3984375,1,4600
"1776",1,0,2040,42,34737.80078125,1,6183
"1778",0,0,1125,59,6647,1,5442
"1787",1,0,2040,59,180336,1,5687
"1822",0,0,432,56,2890,1,4866
"1834",1,0,3640,50,67787.84375,1,194
"1838",1,1,1225,53,20498.76953125,1,2227
"1844",1,0,1920,51,62129.21875,1,3295
"1858",1,0,0,60,0,0,2
"1863",1,0,1981,30,75140,1,3026
"1888",0,0,0,59,0,0,2740
"1889",1,0,2080,26,55051.609375,1,4384
"1929",1,0,2200,53,49939.19921875,1,5534
"1945",1,0,2750,33,95370,1,4381
"1981",0,0,1328,30,26299,1,173
"1982",0,0,0,28,0,0,4007
"1990",0,0,2090,32,69360,1,2620
"2001",0,0,0,26,0,1,5840
"2016",0,0,807,30,8092,1,1736
"2031",1,0,3380,40,33784.1015625,1,5029
"2032",1,0,1908,33,80920,1,5147
"2048",0,0,0,33,0,0,3355
"2065",1,0,1750,33,66470,1,3555
"2086",0,1,1688,29,34680,1,2150
"2096",1,0,1820,48,38032.3984375,1,3990
"2107",1,0,4009,26,66470,1,5712
"2114",1,0,1912,50,92480,1,4269
"2143",0,0,156,25,2485.39990234375,0,2202
"2147",1,0,3060,30,57800,1,4133
"2209",0,0,1180,33,20230,1,2686
"2219",0,0,0,56,0,0,3615
"2249",1,0,2295,25,30923,1,1847
"2263",1,0,250,31,28177.5,1,1787
"2269",1,0,2856,25,66470,1,2649
"2275",0,1,560,29,14450,0,3909
"2280",0,0,0,35,0,0,3931
"2296",0,1,1851,30,3468,1,624
"2330",1,1,1840,25,46240,0,6404
"2347",1,0,2012,27,57684.3984375,1,3499
"2355",1,0,2031,34,27258.48046875,1,2943
"2357",0,0,1248,32,17918,1,6014
"2368",0,0,0,37,0,0,539
"2374",1,0,120,26,2985.3701171875,0,6357
"2387",0,1,1610,32,26010,1,6000
"2393",1,0,1960,45,59987.73046875,1,5662
"2394",1,0,2805,37,31790,1,3389
"2404",1,0,2025,27,40460,1,3720
"2415",0,0,728,42,4335,1,2871
"2423",0,0,1440,28,17340,1,586
"2443",1,0,2226,35,64447,1,1232
"2451",0,0,880,31,13005,0,2605
"2452",1,0,0,53,0,0,2738
"2490",0,0,0,37,0,0,3293
"2581",0,0,0,55,0,0,4506
"2582",1,0,3060,30,27038.83984375,1,5519
"2586",0,0,20,50,173.399993896484,0,2080
"2609",0,0,0,32,0,0,793
"2616",0,0,0,44,0,0,6170
"2636",0,0,2080,43,30056,1,3927
"2654",1,0,1602,28,43928,1,4647
"2666",0,1,0,50,0,0,950
"2695",1,0,2600,38,14450,1,4163
"2701",1,0,1040,55,34680,1,2659
"2713",1,0,2750,34,59447.30078125,1,5954
"2725",1,0,2263,26,65025,1,2193
"2734",1,0,2286,30,39882,1,369
"2801",1,0,2600,38,49130,1,952
"2804",1,1,2295,55,29183.220703125,1,1834
"2807",1,0,3598,35,25718.109375,1,5573
"2839",1,0,3010,52,288997.125,1,3356
"2855",0,0,520,28,7803,0,779
"2871",1,0,2165,29,53031.5,1,1684
"2882",1,0,3775,32,46240,1,1676
"2919",0,0,0,58,0,0,5115
"2927",1,0,2202,29,46240,1,1694
"2954",1,0,1812,25,23120,1,4471
"2997",1,0,3010,47,32070.330078125,1,3142
"3012",0,0,1218,50,37570,1,4963
"3033",1,1,2004,27,52020,1,2176
"3077",1,0,2304,52,205190,1,3395
"3090",0,0,48,33,647.359985351562,1,5168
"3092",0,0,1940,27,23120,1,3792
"3099",0,0,960,51,4335,1,3395
"3111",1,0,3380,55,15516.41015625,1,3066
"3159",1,0,2500,30,40460,1,5527
"3174",0,0,0,33,0,0,1682
"3229",1,0,2400,55,53465,1,514
"3253",1,0,2331,31,34680,1,1385
"3259",0,0,0,26,0,0,304
"3271",1,0,2205,29,44217,1,3061
"3303",0,0,2000,27,40171,1,5527
"3306",1,0,2680,25,37570,1,4708
"3392",0,0,0,34,0,0,3328
"3412",0,0,0,30,0,0,1615
"3419",0,0,1244,26,23747.130859375,1,6425
"3425",1,0,1960,30,52020,1,4477
"3426",0,0,2080,32,29911.5,1,686
"3444",0,0,160,26,2312,0,2607
"3454",1,0,1900,28,30345,1,1858
"3478",1,0,2630,27,46240,1,4909
"3488",0,0,1532,40,34102,1,4304
"3513",0,0,717,57,6011.2001953125,1,3093
"3532",0,0,504,38,3236.80004882812,1,5595
"3534",0,0,32,38,231.199996948242,0,5577
"3580",1,0,1504,58,37570,1,3051
"3582",1,0,2116,31,54988.03125,1,1678
"3588",1,0,3120,33,101150,1,5460
"3591",0,0,2223,32,26010,1,6331
"3614",0,0,0,52,0,0,5068
"3646",0,0,2032,48,15895,1,6060
"3672",0,0,1482,46,26010,1,1118
"3676",1,0,2600,45,231200,1,4669
"3710",0,0,0,31,0,0,3837
"3759",0,0,0,50,0,0,1242
"3772",0,0,2000,34,57800,1,5446
"3780",1,0,2280,43,41905,1,6105
"3814",0,0,0,26,0,0,1131
"3830",1,0,1928,44,65360.23828125,1,4779
"3867",1,0,2027,59,45728.46875,1,5711
"3881",0,1,1640,29,39882,1,1551
"3886",0,0,0,33,0,0,5365
"3908",0,1,1387,58,23120,1,4601
"3936",1,0,1350,59,38726,1,6012
"3951",1,0,2928,34,26010,1,5361
"3953",0,0,1484,29,21675,1,1075
