"","male","black","white","edu","hours","age","inc_labor","int_id"
"2",1,0,1,12,2450,31,63000,5214
"3",0,0,1,11,1696,34,16879.80078125,4920
"6",1,0,1,12,4121,29,42000,6333
"7",1,0,1,12,2368,27,25200,4919
"8",0,0,1,13,1901,33,21000,6045
"9",1,0,1,12,2460,30,39900,5229
"17",1,1,0,13,2060,26,30450,2807
"18",0,1,0,16,1048,33,2730,3279
"19",0,0,1,15,1729,31,39900,2839
"21",0,1,0,12,2010,29,34610.1015625,2806
"25",0,0,1,16,1242,30,28350,4303
"26",1,0,1,14,2965,32,94500,3103
"27",1,0,1,17,2028,39,151200,5106
"30",1,0,1,17,2420,36,92400,3864
"31",0,0,1,16,2089,34,54442.5,5401
"32",0,0,1,16,2480,26,46200,5733
"33",1,0,1,17,3982,28,60900,3598
"37",0,0,1,12,0,34,0,5597
"38",0,0,1,12,2266,35,21000,1714
"39",0,0,1,17,2000,25,28350,6083
"41",1,0,1,9,1736,30,39900,6977
"42",1,0,1,14,2968,39,60900,3650
"44",0,0,1,16,1810,27,12747,5184
"45",1,0,1,12,2856,37,60270,2597
"48",0,0,1,8,2080,26,16800,4135
"50",1,0,1,11,2100,37,23100,550
"51",0,0,1,12,2040,28,14700,1252
"52",0,0,1,10,1250,38,7140,224
"54",1,0,1,12,1717,34,18900,1253
"55",1,0,1,12,1561,39,18900,2901
"56",1,0,1,6,2500,39,21583.80078125,6513
"59",1,0,1,10,835,32,5449.5,6596
"60",1,0,1,12,1308,33,12576.900390625,1097
"61",1,0,1,10,2522,26,14700,6673
"62",1,0,1,12,1904,35,18375,254
"64",1,0,1,14,4258,31,39963,6597
"70",1,1,0,12,2356,25,33600,2103
"72",0,1,0,12,2100,34,25620,1519
"73",1,1,0,12,1505,26,27300,1518
"75",1,1,0,12,1892,34,47250,4716
"76",0,1,0,12,1970,29,31500,2930
"600",1,0,1,12,1882,32,63105,3839
"632",1,0,1,11,2450,52,144900,152
"637",1,0,1,17,2160,43,126000,3087
"671",0,0,1,12,325,32,1260,4746
"674",0,0,1,17,634,35,14700,2867
"677",0,0,1,8,0,53,0,1976
"701",1,0,1,17,5200,31,67200,3916
"759",0,0,1,17,3060,27,23940,3576
"764",0,0,1,13,1936,26,25200,5393
"769",0,0,1,12,704,27,1365,6333
"770",0,1,0,13,1871,28,43260,30
"780",1,0,1,15,2860,26,0,3206
"790",1,0,1,12,3263,35,58800,2766
"796",1,0,1,12,1762,35,36617.69921875,5208
"805",1,1,0,12,88,37,2520,3035
"817",1,0,1,12,2232,45,39900,5095
"839",1,0,1,12,3060,42,47250,1163
"840",1,0,1,17,2509,32,84000,5269
"841",0,0,1,12,0,45,0,4878
"842",0,0,1,16,250,43,5880,6364
"863",0,0,1,17,1740,36,66150,4325
"865",1,0,1,10,1800,30,52500,2133
"892",1,0,1,12,1864,54,46200,5643
"893",0,0,1,16,1384,30,17850,1611
"894",0,0,1,17,2013,44,29977.5,3039
"951",0,0,1,17,1512,28,27300,3616
"970",0,0,1,12,2040,38,16380,6204
"975",1,0,0,12,2410,48,88200,6314
"976",0,0,1,12,2000,26,29400,1624
"998",0,0,1,12,1114,29,9645.2998046875,6368
"1036",0,1,0,13,2000,39,27300,1030
"1068",1,0,1,17,3440,37,24612,1559
"1114",1,0,1,14,1560,33,76650,5897
"1154",0,0,1,17,1756,33,55650,6516
"1172",1,0,1,16,2214,27,65520,2842
"1180",0,0,1,17,80,38,8400,1596
"1185",1,0,1,12,2550,28,39900,2682
"1187",0,0,1,17,1434,34,56700,1713
"1205",1,0,1,17,2470,30,84000,3954
"1211",0,0,1,17,1780,43,42000,4762
"1212",0,0,1,12,1344,42,14280,6314
"1247",0,0,1,17,1308,30,31500,3318
"1249",1,0,1,14,2698,29,79800,1178
"1289",0,0,1,14,1752,28,25200,2504
"1290",0,0,1,16,2480,25,37800,3449
"1313",0,1,0,12,2000,60,30450,3709
"1314",0,0,1,14,2076,26,16800,1544
"1328",1,0,1,16,2508,60,129150,3656
"1334",0,0,1,12,1528,45,25830,2837
"1345",1,0,1,17,2153,33,48888,1968
"1358",0,0,1,12,1800,43,21420,4623
"1371",1,0,1,17,1880,38,65100,1548
"1412",0,0,1,12,1912,27,22050,3230
"1419",0,0,1,12,0,31,0,2224
"1431",1,0,1,16,1944,60,110040,5493
"1490",0,0,1,11,1936,45,29400,1716
"1495",0,0,1,12,1785,43,25200,4294
"1505",1,0,1,12,2210,43,65465.3984375,4502
"1506",0,1,0,14,1984,33,31836,500
"1511",1,0,1,16,1250,29,0,542
"1544",0,0,1,12,904,36,13337.099609375,2048
"1546",0,0,1,14,0,35,0,3093
"1584",0,0,1,16,1820,43,79800,751
"1597",1,1,0,14,1990,29,39690,1785
"1608",0,0,1,16,0,50,0,2223
"1612",0,1,0,12,1920,34,31500,127
"1626",0,0,1,14,1085,36,7560,5259
"1631",0,0,1,16,256,33,8721.2998046875,1497
"1644",0,1,0,16,1452,28,6300,2516
"1647",0,0,1,12,0,33,0,4502
"1662",0,0,1,16,973,48,22260,895
"1664",0,0,1,12,1822,35,60900,3400
"1674",0,0,1,16,490,36,8400,6979
"1679",0,0,1,12,0,30,0,1981
"1722",0,0,1,12,2088,33,136500,4944
"1734",0,0,1,12,1988,37,29610,938
"1772",1,0,1,8,1962,59,48300,3809
"1776",1,0,1,12,2090,49,33600,6831
"1781",1,0,1,11,1892,27,16800,4087
"1834",1,0,1,12,1634,57,25200,863
"1843",0,0,1,13,2214,25,21630,1056
