"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"607",1,1,0,12,2352,56,42185,3085,2,1,57034.12109375
"665",1,0,1,12,4080,40,70027.1015625,2726,2,1,126555
"677",0,0,1,8,1032,35,12980,1817,3,1,67658.25
"680",1,1,0,12,2208,53,63277.5,1198,0,0,94105
"811",1,1,0,6,3000,38,53867,2793,3,1,63770.73828125
"813",1,0,1,7,1976,53,46403.5,4058,1,1,66068.203125
"817",1,0,1,12,2650,27,41536,3312,2,1,52569
"841",0,0,1,12,0,28,0,2653,2,1,55502.48046875
"859",1,0,1,13,1808,49,46728,1144,0,1,73226.671875
"892",1,0,1,12,2142,36,56800.48046875,2514,2,1,62505.19140625
"894",0,0,1,17,2000,26,26609,1859,1,1,45430
"917",1,0,1,6,2238,44,56463,1657,1,1,63537.1015625
"975",1,0,0,12,2237,30,56917.30078125,1812,3,1,66262.8984375
"991",0,0,1,12,2000,44,26641.44921875,3458,1,1,117501.453125
"1132",0,0,1,12,2448,41,46520.3203125,2806,1,0,51303.44921875
"1161",1,0,1,13,2880,38,97350,3430,5,1,129800
"1211",0,0,1,17,1254,25,33423.5,2503,1,1,75608.5
"1212",0,0,1,12,2000,25,9345.599609375,1812,3,1,66262.8984375
"1277",0,0,1,12,64,58,1869.11999511719,2976,0,1,34968.12109375
"1328",1,0,1,16,1960,43,71390,2085,2,1,74505.203125
"1334",0,0,1,12,2000,27,31106.5703125,1444,0,1,49538.171875
"1358",0,0,1,12,0,26,0,3944,2,1,45430
"1431",1,0,1,16,2156,42,123310,2612,3,1,157058
"1489",1,0,1,8,1960,40,42834,1020,0,0,55009.23828125
"1490",0,0,1,11,1890,27,18619.810546875,3373,3,1,67826.9921875
"1495",0,0,1,12,0,25,0,4024,1,1,116820
"1517",1,0,1,8,2000,40,45430,3604,0,1,64900
"1519",1,0,1,16,2475,52,134992,1258,0,1,259600
"1532",0,0,1,12,680,40,3245,957,0,1,66652.296875
"1583",0,0,1,12,0,25,0,1146,2,1,58410
"1604",1,0,1,12,2304,56,64900,3678,1,1,68391.6171875
"1608",0,0,1,16,0,32,0,1477,3,1,169129.40625
"1662",0,0,1,16,0,31,0,1407,2,1,96376.5
"1680",0,0,1,12,0,44,0,1940,1,1,88582.0078125
"1700",1,0,1,12,2076,56,50622,4044,0,1,66847
"1772",1,0,1,8,2496,41,59708,3650,3,1,73337
"1776",1,0,1,12,1824,38,22715,4078,2,1,31444.05078125
"1778",0,0,1,12,2070,49,32450,1860,1,1,103840
"1787",1,0,1,12,3612,48,90860,3067,1,1,90860
"1815",0,0,1,9,2080,42,38940,3788,0,1,39589
"1822",0,0,1,12,0,45,0,413,1,1,107026.59375
"1834",1,0,1,12,2200,39,35695,2284,2,1,35695
"1838",1,1,0,12,2110,40,84370,3734,3,1,84370
"1844",1,0,1,12,2500,40,65549,4099,3,1,65600.921875
"1858",1,0,1,12,3750,49,38128.75,2135,0,1,67301.296875
"1888",0,0,1,13,0,48,0,3338,0,1,454364.90625
"2031",1,0,1,16,2984,29,44002.19921875,2791,2,1,68015.203125
"2075",1,0,1,12,1608,37,16225,3811,5,1,25960
"2082",1,0,1,11,2488,26,38940,2987,1,1,38940
"2096",1,0,1,13,2672,38,27907,1933,5,1,28017.330078125
"2192",1,0,0,4,920,35,14381.83984375,1871,6,1,36097.37890625
"2205",1,0,1,13,1600,31,29685.259765625,3868,1,1,37285.05078125
"2224",1,0,1,12,3514,25,31281.80078125,3295,1,1,37771.80078125
"2340",1,0,1,12,2000,55,34397,3685,0,1,42834
"2368",0,0,1,13,0,27,0,3741,4,1,82176.3828125
"2389",1,0,1,12,3500,60,37966.5,2462,1,1,98544.15625
