"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"72902",0,0,1,17,680,36,36556,3890,2,1,49400
"72910",0,0,1,12,0,57,0,3460,0,0,20510.880859375
"72920",1,0,1,12,2700,59,74100,5738,0,0,88179
"73015",1,0,1,12,3145,28,34760.30859375,4134,0,1,61750
"73019",0,1,0,12,2344,54,66690,3393,1,0,88505.0390625
"73028",1,0,1,14,378,25,7410,540,1,1,8645
"73035",0,0,1,14,0,25,0,454,2,1,61750
"73048",0,0,1,14,3500,45,66690,6334,2,0,128440
"73105",1,0,1,17,2613,27,23605.7890625,2947,0,0,40755
"73123",0,0,1,10,280,28,2470,5653,3,1,22971
"73128",0,1,0,16,2390,27,37050,3396,0,0,37050
"73144",1,0,1,12,1912,46,113620,2655,2,1,160550
"73195",1,0,1,12,2010,47,36160.80078125,555,0,1,75088
