"","male","black","white","edu","hours","age","inc_labor","int_id"
"2",1,0,1,12,2360,33,105600,1688
"3",0,0,1,11,0,36,0,1425
"5",1,0,1,12,2328,26,39744,444
"6",1,0,1,12,2392,30,35664,412
"7",1,0,1,12,1865,29,25896.9609375,397
"8",0,0,1,13,1718,35,26880,640
"9",1,0,1,12,2476,32,49920,987
"16",0,1,0,12,3692,26,37440,5640
"17",1,1,0,13,2272,28,52919.0390625,4493
"18",0,1,0,16,1627,35,13440,5267
"19",0,0,1,15,1708,33,48000,3751
"20",1,1,0,13,2000,25,38400,6781
"21",0,1,0,12,1945,31,45888,6414
"25",0,0,1,16,0,32,0,5959
"26",1,0,1,14,2584,34,78720,5903
"27",1,0,1,17,2510,40,172800,6020
"28",0,0,1,15,1828,25,19200,5902
"30",1,0,1,17,2430,38,115200,5749
"31",0,0,1,16,842,36,19200,4334
"32",0,0,1,16,2000,28,46080,6071
"33",1,0,1,17,3344,30,163200,6123
"37",0,0,1,12,980,35,6336,5579
"38",0,0,1,12,2783,37,33408,3024
"39",0,0,1,17,2308,27,28800,3420
"41",1,0,1,9,620,32,28800,6444
"42",1,0,1,14,717,41,32640,2345
"44",0,0,1,16,1670,29,3072,2347
"45",1,0,1,12,3250,39,53760,2348
"47",1,0,1,10,2090,26,40320,3254
"48",0,0,1,8,1235,28,6460.7998046875,1736
"50",1,0,1,11,2000,39,19200,3255
"51",0,0,1,12,2090,30,15360,4363
"52",0,0,1,10,5120,40,1152,3251
"54",1,0,1,12,1465,36,15360,3253
"55",1,0,1,12,2600,41,32640,5237
"56",1,0,1,6,2600,41,21120,5724
"59",1,0,1,10,1912,34,30720,2058
"60",1,0,1,12,2070,35,23040,2683
"61",1,0,1,10,2470,28,17280,5764
"62",1,0,1,12,2400,37,22431.359375,2292
"63",0,0,1,12,1232,25,6144,5759
"64",1,0,1,14,2244,33,37372.80078125,2060
"65",1,0,1,12,2080,26,19200,4052
"70",1,1,0,12,2216,27,28800,652
"72",0,1,0,12,2268,37,36480,1705
"73",1,1,0,12,920,28,13248,626
"75",1,1,0,12,2126,36,47040,1194
"76",0,1,0,12,968,31,15360,6043
"600",1,0,1,12,1748,34,57600,5647
"632",1,0,1,11,2733,54,151680,2255
"637",1,0,1,17,2160,45,115200,3581
"670",1,0,1,12,2838,26,20960.640625,6849
"671",0,0,1,12,1041,34,7680,2865
"674",0,0,1,17,1361,37,28800,5230
"677",0,0,1,8,0,55,0,3870
"701",1,0,1,17,3430,33,70656,4849
"759",0,0,1,17,2032,30,24192,5951
"764",0,0,1,13,2128,28,17280,1266
"769",0,0,1,12,0,28,0,412
"770",0,1,0,13,2677,30,61056,2141
"780",1,0,1,15,2340,28,0,2165
"790",1,0,1,12,2490,37,64128,1111
"796",1,0,1,12,2066,36,36019.19921875,3413
"805",1,1,0,12,2000,39,28800,2888
"817",1,0,1,12,1968,47,13440,5015
"839",1,0,1,12,2750,44,46848,4291
"840",1,0,1,17,2788,35,119040,6053
"841",0,0,1,12,230,47,2112,2177
"842",0,0,1,16,824,45,11520,4762
"849",1,0,1,13,2145,26,21120,2331
"863",0,0,1,17,1512,38,67200,988
"865",1,0,1,10,2898,32,57408,5380
"892",1,0,1,12,2006,56,48000,2945
"893",0,0,1,16,864,32,10560,5298
"894",0,0,1,17,2412,46,37440,5765
"951",0,0,1,17,1498,30,5667.83984375,708
"970",0,0,1,12,2040,40,21120,6033
"975",1,0,0,12,2875,50,90624,3644
"976",0,0,1,12,1935,28,26880,2779
"998",0,0,1,12,2057,30,23251.19921875,2951
"1036",0,1,0,13,1960,41,28800,1162
"1068",1,0,1,17,3380,39,17644.80078125,6059
"1081",0,0,1,12,160,26,0,2984
"1114",1,0,1,14,1812,35,75436.796875,333
"1154",0,0,1,17,2136,35,84480,2072
"1162",1,0,1,15,2550,25,35520,4515
"1172",1,0,1,16,2050,29,80244.4765625,661
"1180",0,0,1,17,120,40,0,3252
"1183",1,0,1,12,2151,30,0,315
"1185",1,0,1,12,2500,30,55680,1416
