"","male","black","hours","age","inc_labor","works","int_id"
"2",1,0,3060,39,63961.55859375,1,3274
"3",0,0,520,42,4368,0,1639
"5",1,0,1960,32,34320,1,2543
"6",1,0,2080,36,23400,1,125
"7",1,0,2016,35,24336,1,132
"8",0,0,0,41,0,0,124
"9",1,0,2750,38,93603.1171875,1,3739
"10",0,0,1975,30,18720,1,127
"11",1,1,1673,27,40873.55859375,1,6468
"12",1,1,2397,28,45240,1,5212
"16",0,1,1573,32,43680,1,3101
"18",0,1,0,41,0,0,3100
"19",0,0,1547,39,49920,1,3745
"20",1,1,2040,31,52261.55859375,1,9838
"21",0,1,1475,37,44929.55859375,1,3098
"25",0,0,1110,38,46800,1,1323
"26",1,0,2099,40,66769.5625,1,926
"27",1,0,2438,46,0,1,6950
"28",0,0,2420,31,109203.1171875,1,925
"30",1,0,2435,44,234007.796875,1,2130
"31",0,0,2040,42,49310.0390625,1,3529
"32",0,0,0,34,0,0,3530
"33",1,0,2266,36,304210.90625,1,2448
"34",1,0,2057,29,23400,1,3097
"37",0,0,1620,41,10764,1,4085
"38",0,0,1827,43,21840,1,1637
"39",0,0,1000,33,11700,1,1649
"41",1,0,1467,38,46800,0,138
"42",1,0,2000,47,34320,1,1653
"43",0,0,2052,46,17472,1,3277
"44",0,0,1842,35,16536,1,1642
"45",1,0,2605,45,54601.55859375,1,1634
"48",0,0,1696,34,14038.4404296875,1,6067
"49",0,0,2168,31,28080,1,3945
"50",1,0,2000,45,29640,1,4624
"51",0,0,2296,36,26520,1,8227
"52",0,0,2400,46,24960,1,9812
"55",1,0,1950,47,35880,1,6951
"56",1,0,2072,47,20278.439453125,1,3572
"57",1,0,0,48,0,0,5033
"58",0,0,0,35,0,0,3573
"59",1,0,1960,40,18720,1,10239
"60",1,0,2112,41,36505.55859375,1,3570
"61",1,0,3120,34,18720,1,10284
"62",1,0,2500,43,23400,1,2181
"63",0,0,613,31,1870.43994140625,0,3367
"64",1,0,2288,39,36972,1,4932
"65",1,0,1760,32,22620,0,3571
"68",0,1,1050,30,7873.31982421875,0,8651
"70",1,1,1952,33,27011.400390625,1,8648
"72",0,1,3300,43,23400,1,9537
"75",1,1,1948,42,53041.55859375,1,8649
"76",0,1,4024,37,18720,1,8650
"600",1,0,2154,40,78001.5625,1,458
"637",1,0,1940,51,135724.6875,1,640
"668",1,0,2000,38,40709.76171875,1,4253
"671",0,0,1932,40,7798.43994140625,1,141
"674",0,0,787,43,48360,1,5445
"688",0,0,2124,29,48360,1,1957
"701",1,0,2310,39,73479.1171875,1,2891
"731",1,0,2490,29,43680,1,609
"759",0,0,2420,35,85801.5625,1,547
"764",0,0,2035,34,24960,1,1181
"769",0,0,518,34,4212,1,125
"780",1,0,2340,34,46800,1,4262
"790",1,0,3060,43,56161.55859375,1,2536
"796",1,0,2160,42,71761.5625,1,3282
"805",1,1,960,45,11544,0,2799
"817",1,0,2450,53,53041.55859375,1,4196
"829",0,0,2040,25,14038.4404296875,1,759
"839",1,0,967,49,23400,1,2670
"840",1,0,2500,40,187206.234375,1,8965
"841",0,0,260,53,3432,1,1054
"842",0,0,0,51,0,0,1574
"849",1,0,1703,31,34320,1,443
"850",1,0,0,26,0,0,8261
"856",1,0,1213,31,16380,1,2170
"863",0,0,2280,44,74881.5625,1,2900
"865",1,0,2160,38,49920,1,1511
"867",0,0,864,29,9358.4404296875,0,3898
"893",0,0,117,38,7252.43994140625,1,39
"894",0,0,2600,51,49637.640625,1,3808
"912",1,0,2223,25,41340,1,7558
"915",0,0,2000,25,39000,1,10218
"951",0,0,1782,36,27064.439453125,1,2135
"970",0,0,1785,46,20280,1,512
"975",1,0,3450,56,95941.5625,1,1751
"976",0,0,1632,34,28080,1,7182
"998",0,0,2098,36,23548.19921875,1,353
"1036",0,1,2500,47,19557.720703125,1,1579
"1068",1,0,2304,45,107253.1171875,1,623
"1114",1,0,1904,41,92043.1171875,1,2848
"1138",1,0,1634,25,33735,1,5708
"1154",0,0,2435,41,101403.1171875,1,1407
"1162",1,0,1988,31,32760,1,1076
"1172",1,0,2205,35,99843.1171875,1,3490
"1180",0,0,600,46,23400,1,633
"1185",1,0,2420,36,78001.5625,1,5439
"1187",0,0,2450,42,101403.1171875,1,4607
"1205",1,0,2142,37,92626.5625,1,1942
"1211",0,0,1920,51,56005.55859375,1,5202
"1212",0,0,1522,51,15598.4404296875,1,1751
"1247",0,0,2372,38,47581.55859375,1,3772
"1285",1,0,2124,42,56161.55859375,1,3537
"1289",0,0,0,36,0,0,3114
"1290",0,0,1417,33,22776,1,5279
"1314",0,0,972,34,7798.43994140625,1,301
"1334",0,0,1613,53,29484,1,6032
"1345",1,0,1900,41,61428.12109375,1,1924
"1358",0,0,1922,51,21840,1,2381
"1363",1,1,1907,44,141955.3125,1,10081
"1371",1,0,1904,46,87361.5625,1,2384
"1412",0,0,87,35,466.440002441406,1,4100
"1415",1,0,0,49,0,1,242
"1419",0,0,1828,39,28080,1,4979
"1451",0,0,1868,30,39936,1,3440
"1466",0,0,1708,43,18720,1,6854
"1472",0,0,825,38,31200,1,3957
"1490",0,0,0,53,0,0,2291
"1495",0,0,2249,50,43680,1,1365
"1505",1,0,2148,51,0,1,1612
"1506",0,1,1935,41,39330.71875,1,215
"1511",1,0,2450,37,59281.55859375,1,936
"1524",0,0,923,29,9358.4404296875,0,1414
"1544",0,0,1944,44,27300,1,980
"1546",0,0,880,43,15598.4404296875,1,320
"1560",0,0,1900,31,24960,1,1802
"1597",1,1,1880,37,46021.55859375,1,1872
"1608",0,0,0,58,0,0,376
"1612",0,1,0,42,0,0,590
"1613",1,0,1581,49,24960,1,232
"1626",0,0,1700,44,21996,1,6594
"1631",0,0,0,42,0,0,10278
"1637",0,1,1912,29,29640,1,1128
"1644",0,1,2080,36,31574.400390625,1,7302
"1647",0,0,0,41,0,0,1612
"1662",0,0,1080,56,24960,1,2901
"1664",0,0,1584,43,2808,1,1858
"1674",0,0,2106,44,46800,1,1828
"1675",1,0,3315,26,59281.55859375,1,978
"1734",0,0,0,45,0,0,335
"1797",0,0,2585,34,62401.55859375,1,176
"1843",0,0,3136,33,28860,1,403
"1847",0,1,2540,36,18720,1,722
"1863",1,0,2133,45,146644.6875,1,2730
"1885",0,0,1990,31,37535.16015625,1,3937
"1889",1,0,1976,40,79951.5625,1,3242
"1890",0,0,1750,45,17160,1,8642
"1927",0,0,1862,31,25647.9609375,1,1730
"1936",1,1,2168,25,24960,1,6635
"1945",1,0,2400,48,162244.6875,1,2676
"1956",0,0,1200,36,13728,1,1447
"1958",0,1,0,44,0,0,2089
"1981",0,0,1896,45,48673.55859375,1,1024
"1982",0,0,1380,43,18716.880859375,1,6623
"1990",0,0,2092,47,31348.19921875,1,3863
"1993",0,0,1972,26,23400,1,9752
"1996",0,0,2125,28,31200,1,426
"2001",0,0,1470,41,24155.0390625,1,3249
"2007",1,0,2400,52,40489.80078125,1,1376
"2016",0,0,2167,45,31200,1,2533
"2031",1,0,3120,55,70201.5625,1,1292
"2032",1,0,2277,47,43680,1,1644
"2033",0,0,1928,40,18720,1,3495
"2042",0,0,1410,37,6238.43994140625,1,4997
"2048",0,0,40,48,0,1,544
"2065",1,0,2040,48,101403.1171875,1,111
"2077",0,0,277,37,24960,0,3954
"2086",0,1,1693,44,73321.5625,1,913
"2094",1,0,2160,34,74881.5625,1,385
"2107",1,0,1907,41,65521.55859375,0,3320
"2140",1,0,2390,49,32760,1,1129
"2147",1,0,3621,45,106972.3203125,1,8127
"2170",0,0,653,32,934.440002441406,1,3096
"2205",1,0,1000,57,6238.43994140625,1,3231
"2209",0,0,2127,48,36660,1,1915
"2212",0,0,2008,26,19500,1,2174
"2248",0,0,2500,32,0,1,2816
"2249",1,0,2340,40,51480,1,79
"2253",1,0,1872,38,24180,1,3586
"2263",1,0,2750,46,78001.5625,1,594
"2269",1,0,4160,40,112323.1171875,1,26
"2273",1,0,2400,43,46800,1,6854
"2280",0,0,0,50,0,0,1038
"2284",0,1,1820,32,7798.43994140625,1,1615
"2296",0,1,0,44,0,0,1629
"2330",1,1,2162,40,22618.439453125,1,1992
"2347",1,0,2106,42,84241.5625,1,2864
"2348",1,0,720,42,11232,0,4930
"2355",1,0,1820,49,19297.19921875,1,2076
"2357",0,0,829,47,15231.83984375,1,1809
"2363",1,0,2040,31,28080,1,2093
"2368",0,0,774,52,5026.31982421875,0,3422
"2374",1,0,2056,40,0,1,4061
"2379",0,0,0,27,0,0,712
"2383",1,0,2187,41,24913.19921875,1,2169
"2387",0,1,1668,47,43525.55859375,1,2051
"2394",1,0,0,51,0,0,1474
"2415",0,0,2000,56,20320.560546875,1,2273
"2423",0,0,2176,43,54601.55859375,1,366
"2437",1,0,3185,37,49920,1,113
"2445",0,0,0,39,0,0,540
"2455",0,0,980,25,3118.43994140625,0,1640
"2512",0,0,1387,26,10918.4404296875,1,6463
"2516",0,1,2160,31,48360,1,8275
"2517",1,0,2835,25,59281.55859375,1,4057
"2538",0,1,1813,29,24648,1,2537
"2540",0,0,913,40,28080,1,1184
"2568",0,0,1893,29,46800,0,1946
"2582",1,0,2270,45,39000,1,5879
"2609",0,0,907,47,0,1,280
"2612",1,0,1715,26,39000,1,1305
"2636",0,0,1270,58,35880,1,2722
"2654",1,0,2740,43,343212.46875,1,5706
"2664",0,0,1936,32,46800,1,2825
"2679",0,0,0,32,0,0,1267
"2712",1,0,2016,28,31200,1,8298
"2733",0,0,104,30,934.440002441406,1,994
"2734",1,0,4160,45,31200,1,2283
"2753",1,0,1560,34,53041.55859375,1,2556
"2770",0,1,1840,30,20280,1,3914
"2791",0,0,1128,46,46800,1,8637
"2795",1,0,2904,39,210607.796875,1,5538
"2801",1,0,975,53,8424,1,23
"2807",1,0,2600,50,70201.5625,1,501
"2842",1,0,3920,27,78001.5625,1,8010
"2856",1,0,2032,33,51480,1,3600
"2866",1,0,2146,37,51480,1,4554
"2871",1,0,2304,44,0,1,1594
"2882",1,0,3390,47,82678.4375,1,83
"2885",1,1,227,48,1680.11999511719,1,7434
"2892",0,0,0,36,780,0,5793
"2896",0,0,0,26,0,0,2975
"2915",0,0,780,36,6238.43994140625,0,2400
"2927",1,0,2032,44,93603.1171875,1,5609
"2933",1,0,1640,39,65520,1,2973
"2954",1,0,0,40,0,0,3973
"2970",1,0,2430,37,54601.55859375,1,1637
"2984",0,0,2040,28,34320,1,818
"2997",1,0,2500,60,0,1,2963
"2999",1,0,2580,37,62401.55859375,1,6290
"3022",0,0,1440,33,10918.4404296875,1,8838
"3054",0,0,552,29,3118.43994140625,0,3024
"3065",1,0,2250,37,39000,1,2052
"3090",0,0,0,48,0,0,2942
"3092",0,0,2000,42,16536,1,3771
"3159",1,0,2450,44,35880,1,3489
"3168",0,0,1767,36,32760,1,3247
"3195",1,0,1739,37,182526.234375,1,9583
"3202",1,0,2470,29,57721.55859375,1,1208
"3213",0,0,0,39,0,0,3463
"3231",1,0,2000,33,28158,0,4223
"3236",1,1,0,41,0,0,350
"3248",1,0,2000,30,53041.55859375,1,525
"3253",1,0,3542,46,44461.55859375,1,82
"3277",0,0,2654,45,46703.28125,1,4654
"3292",1,0,2191,37,39000,1,1459
"3294",0,0,2020,30,23400,1,4537
"3300",1,0,2050,35,47821.80078125,1,3773
"3303",0,0,2400,42,93603.1171875,1,3489
"3322",0,0,2109,30,21060,1,1966
"3336",0,0,0,35,0,0,2399
"3352",0,0,1960,39,70201.5625,1,5609
"3392",0,0,0,48,0,0,1362
"3397",1,0,2064,39,78001.5625,1,3306
"3412",0,0,820,45,53236.55859375,1,4743
"3419",0,0,1200,41,54601.55859375,1,8965
"3425",1,0,2930,45,95163.1171875,1,1740
"3426",0,0,1168,47,21060,1,2401
"3444",0,0,2000,41,46800,1,5006
"3454",1,0,2000,43,0,1,1407
"3478",1,0,3120,42,49920,1,1486
"3488",0,0,1800,55,96723.1171875,1,6948
"3493",1,0,2000,32,73321.5625,1,10302
"3496",0,1,1000,34,36973.55859375,1,1745
"3523",1,0,2110,43,24960,1,271
"3527",1,0,2600,36,0,1,3114
"3532",0,0,1330,53,20280,1,293
"3534",0,0,1051,53,11838.83984375,0,2934
"3541",1,0,1935,54,35817.6015625,1,4290
"3545",0,0,1648,36,9358.4404296875,1,727
"3582",1,0,2093,46,74881.5625,1,4237
"3599",0,0,2360,39,18720,1,433
"3601",0,1,40,33,327.600006103516,0,2133
"3627",1,0,3085,39,65208,1,698
"3630",1,0,1083,36,0,1,3366
"3676",1,0,2040,60,156004.6875,1,6285
"3680",1,0,3570,38,93603.1171875,1,8003
"3690",0,0,1688,43,26520,0,8520
"3696",0,0,1188,27,37542.9609375,1,3425
"3710",0,0,1960,46,49920,1,6345
"3714",0,0,1857,34,54693.6015625,1,848
"3726",0,0,1500,33,42120,1,2913
"3762",0,0,2040,54,24960,1,5406
"3772",0,0,2420,49,78001.5625,1,3806
"3781",0,0,867,38,4678.43994140625,1,8262
"3809",0,0,0,44,0,0,10383
"3814",0,0,2000,41,37129.55859375,1,3184
"3818",1,0,2424,36,84241.5625,1,3165
"3830",1,0,304,59,82049.7578125,0,2882
"3872",0,0,1517,32,7798.43994140625,1,2213
"3882",1,1,2550,26,32760,1,1971
"3886",0,0,1744,48,40722.23828125,1,299
"3931",1,0,1213,26,21840,1,5954
"3951",1,0,3675,49,70201.5625,1,5848
"3958",0,0,0,46,0,0,3417
"3966",1,0,750,47,78001.5625,1,1214
"3972",1,0,2448,33,65520,1,603
"3978",1,0,1080,33,11700,0,1047
"3983",1,0,1400,33,0,1,709
"4027",1,0,3023,29,73321.5625,1,3331
"4044",0,0,0,31,0,0,2447
"4071",1,0,3384,37,22400.0390625,1,3545
"4080",1,0,3036,39,95163.1171875,1,3232
"4082",0,0,1583,40,28080,1,9286
"4112",0,0,1500,32,7798.43994140625,1,4116
"4116",1,0,2056,60,39000,0,847
"4127",0,0,2460,29,32761.560546875,1,1257
"4128",1,0,2640,42,96723.1171875,1,313
"4131",0,0,1960,44,90481.5625,1,562
"4140",1,0,3360,37,39000,1,7100
"4151",0,1,1008,59,8424,0,6
"4157",1,0,3146,46,101403.1171875,1,1828
"4183",1,0,1833,36,31200,0,6622
"4190",0,0,2024,48,148828.6875,1,6950
"4192",0,0,2750,39,49920,1,1229
"4197",0,0,1519,44,26208,1,4237
"4225",1,0,520,37,10918.4404296875,1,2344
"4231",0,0,1950,43,37440,1,4069
"4249",1,0,2145,48,34320,1,10422
"4251",1,0,2820,41,118563.1171875,1,208
"4275",0,0,2684,40,109203.1171875,1,561
"4283",1,0,1830,53,81121.5625,1,3469
"4301",1,0,1596,43,54601.55859375,1,1360
"4304",1,0,2450,25,46800,1,67
"4318",0,0,1500,29,4678.43994140625,1,2881
"4323",0,0,0,33,0,0,5347
"4330",1,0,2520,30,31200,1,940
"4333",1,0,1517,54,78001.5625,1,8835
"4342",0,0,1930,36,20280,1,2488
"4365",1,1,2850,37,28080,1,2077
"4377",0,0,2080,45,40973.3984375,1,1626
"4385",0,0,2060,42,31200,1,2837
"4397",1,0,1032,54,0,1,3441
"4434",0,0,2232,35,66363.9609375,1,2433
"4448",0,0,1760,40,12478.4404296875,1,2342
"4459",1,0,2063,40,16614,1,1654
"4466",0,0,0,37,0,1,9811
"4477",1,0,1900,52,0,1,4072
"4502",1,0,2750,35,93603.1171875,1,8640
"4509",1,0,2788,34,107643.1171875,1,6878
"4513",0,0,2250,36,15598.4404296875,0,1425
"4522",0,0,1600,53,4992,1,2639
"4529",0,0,2150,53,39000,1,3089
"4536",1,0,2632,29,68005.078125,1,3402
"4555",0,0,2250,36,42120,1,6210
"4559",0,0,2452,42,44909.28125,1,1335
"4568",0,0,1920,30,23309.51953125,1,3341
"4591",1,0,3000,41,71761.5625,1,9704
"4626",1,0,1944,52,18188.0390625,1,4118
"4636",1,0,2066,36,62401.55859375,1,1925
"4642",0,0,0,30,0,0,4236
"4648",0,0,2160,37,87361.5625,1,8102
"4651",0,0,2150,27,37440,1,9296
"4655",1,0,2018,28,28080,1,4892
"4658",0,0,2025,54,31348.19921875,1,6558
"4663",1,0,1280,28,18720,1,3498
"4671",0,0,0,40,0,0,9704
"4717",0,0,0,38,0,0,3978
"4721",0,0,360,27,7798.43994140625,0,10131
"4725",0,0,2080,29,18720,1,3173
"4766",0,0,1576,32,49920,1,6290
"4768",1,1,64,58,2808,0,3464
"4772",1,0,2760,40,96723.1171875,1,1983
"4778",0,0,0,42,0,0,1735
"4781",1,0,2050,42,38689.55859375,1,2020
"4801",0,0,1638,54,54601.55859375,1,7815
"4806",0,0,454,41,30207.83984375,0,5994
"4838",1,0,3112,25,34320,1,10423
"4855",0,0,1328,45,22932,1,3330
"4857",1,0,800,49,28080,1,1478
"4863",1,0,2205,40,34320,1,94
"4869",0,0,0,41,0,0,2600
"4876",0,0,2080,51,35880,1,309
"4879",1,0,2500,30,61776,1,2447
"4881",1,1,3405,38,26367.119140625,1,2863
"4893",1,0,2550,33,99061.5625,1,4971
"4894",0,0,2040,44,29640,1,4735
"4922",1,0,1833,43,62401.55859375,1,2638
"4948",0,0,1968,40,26520,1,7100
"4953",0,1,2056,42,22620,1,9198
