"","male","black","white","edu","hours","age","inc_labor","int_id"
"607",1,1,0,12,740,57,41160,4359
"622",0,0,1,9,1750,25,15729,4286
"652",0,0,0,12,0,29,0,3481
"665",1,0,1,12,4602,40,114366,649
"677",0,0,1,8,2040,36,23520,2016
"680",1,1,0,12,1915,54,64680,4321
"811",1,1,0,6,2500,41,87024,4523
"813",1,0,1,7,1920,54,54789.83984375,2223
"817",1,0,1,12,2320,29,47040,1650
"839",1,0,1,12,2562,26,38390.51953125,3297
"841",0,0,1,12,0,29,0,3235
"842",0,0,1,16,384,27,7056,4698
"859",1,0,1,13,2040,55,65908.921875,1914
"892",1,0,1,12,2100,38,58682.3984375,1409
"894",0,0,1,17,989,28,17640,4477
"975",1,0,0,12,2508,32,42924,3399
"991",0,0,1,12,2000,46,26460,2934
"1132",0,0,1,12,2624,43,44688,856
"1161",1,0,1,13,2570,40,88200,1696
"1211",0,0,1,17,14,27,235.199996948242,3280
"1212",0,0,1,12,2080,27,7056,3399
"1277",0,0,1,12,320,60,5715.35986328125,1527
"1313",0,1,0,12,1600,47,15288,1288
"1328",1,0,1,16,1928,44,70560,395
"1334",0,0,1,12,1560,29,12936,3700
"1358",0,0,1,12,0,28,0,3824
"1374",0,0,1,12,1760,45,14776.4404296875,603
"1411",0,0,1,14,0,29,0,554
"1431",1,0,1,16,2159,44,105840,848
"1489",1,0,1,8,1960,42,32222.400390625,3818
"1490",0,0,1,11,2000,29,26771.640625,1450
"1495",0,0,1,12,224,27,382.200012207031,1691
"1519",1,0,1,16,1936,54,137592,2917
"1532",0,0,1,12,700,41,7644,1242
"1584",0,0,1,16,2000,27,58800,565
"1604",1,0,1,12,2808,58,76440,2189
"1608",0,0,1,16,0,34,0,1461
"1662",0,0,1,16,750,32,20580,2261
"1680",0,0,1,12,1300,46,0,411
"1700",1,0,1,12,1440,54,54096,2769
"1772",1,0,1,8,2000,43,45864,3386
"1776",1,0,1,12,1396,40,38308.19921875,4193
"1778",0,0,1,12,1260,50,17640,3352
"1787",1,0,1,12,3120,50,92904,3332
"1815",0,0,1,9,2000,44,44100,2248
"1822",0,0,1,12,80,46,1176,900
"1834",1,0,1,12,1890,41,42630,1257
"1838",1,1,0,12,1545,41,39690,4647
"1844",1,0,1,12,2460,42,70560,2246
"1858",1,0,1,12,2695,52,34380.359375,136
"1888",0,0,1,13,0,50,0,2544
"2031",1,0,1,16,3328,31,74440.796875,838
"2065",1,0,1,16,1000,25,29400,4724
"2096",1,0,1,13,1870,40,22696.80078125,3204
"2192",1,0,0,4,1974,38,52614.23828125,1796
"2219",0,0,1,12,960,47,7056,1621
"2224",1,0,1,12,2200,27,49156.80078125,2082
"2280",0,0,1,11,1960,26,24696,1328
"2340",1,0,1,12,2000,57,47040,4515
"2355",1,0,1,12,1360,25,17346,127
"2368",0,0,1,13,112,28,2622.47998046875,288
"2393",1,0,1,12,2030,36,44688,750
"2415",0,0,1,7,1326,33,8820,511
"2443",1,0,1,12,2050,26,47040,4539
"2452",1,0,1,12,860,44,32340,3249
"2490",0,0,1,11,72,28,1117.19995117188,3551
"2539",1,1,0,10,0,56,0,242
"2581",0,0,1,15,0,47,0,2897
"2586",0,0,1,8,0,41,0,4644
"2616",0,0,1,12,0,34,0,3948
"2636",0,0,1,12,2080,34,25872,4352
"2666",0,1,0,12,1920,41,21720.720703125,2615
"2668",1,0,1,12,2044,34,70560,2367
"2695",1,0,1,13,3018,28,47128.19921875,4542
"2701",1,0,1,12,2140,46,105840,2292
"2710",1,0,1,12,3905,54,31752,2084
"2713",1,0,1,15,2421,25,42336,4474
"2801",1,0,1,12,2124,30,44276.3984375,1797
"2804",1,1,0,5,2080,48,24972.359375,93
"2807",1,0,1,12,2040,26,70560,2155
"2839",1,0,1,16,2450,43,188160,1738
"2888",1,0,1,12,2050,49,60593.3984375,1158
"2922",1,0,1,14,3000,55,82320,3488
"2947",1,0,1,13,1960,26,82320,3864
"2978",0,0,1,16,0,26,0,4324
"2997",1,0,1,12,2100,36,32340,741
"3012",0,0,1,16,1080,41,41160,2266
"3077",1,0,1,16,2142,43,176400,4615
"3099",0,0,1,14,80,42,2205,4615
"3103",0,0,1,7,0,56,0,2807
"3111",1,0,1,8,3120,46,20574.119140625,2654
"3127",1,0,1,10,1600,57,8820,372
"3132",1,1,0,3,2419,53,25578,3115
"3143",0,0,1,11,0,58,0,1423
