"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,3020,38,64401.609375,5749,3,1,106709.1875
"5",1,0,1,12,1960,31,31485.16015625,5745,4,1,51138.4296875
"6",1,0,1,12,2500,36,19318.390625,5744,3,1,21733.390625
"7",1,0,1,12,2120,34,21250.390625,5743,3,1,31715.390625
"8",0,0,1,13,988,40,6438.39013671875,5746,1,1,78400.5625
"9",1,0,1,12,3289,37,77278.390625,5747,3,1,118009.78125
"10",0,0,1,14,2250,29,19318.390625,5742,0,0,19318.390625
"11",1,1,0,16,1680,26,35418.390625,12105,2,1,52779.01953125
"12",1,1,0,12,1920,28,22540,12104,0,0,22597.9609375
"16",0,1,0,12,1529,32,53128.390625,12101,1,1,103358.78125
"18",0,1,0,16,0,40,0,12100,4,0,22755.740234375
"19",0,0,1,15,2460,38,48298.390625,12098,2,1,146476.1875
"20",1,1,0,13,2080,30,57958.390625,12103,0,0,57958.390625
"21",0,1,0,12,1900,36,49908.390625,12102,3,0,55609.3984375
"25",0,0,1,16,980,37,27368.390625,12130,3,1,124208.28125
"26",1,0,1,14,2218,40,69228.390625,12129,0,0,77292.8828125
"27",1,0,1,17,2286,46,0,12131,1,1,356457.21875
"28",0,0,1,15,1365,30,56348.390625,12128,0,0,56348.390625
"30",1,0,1,17,2450,43,0,12127,2,1,341281.375
"31",0,0,1,16,2033,41,48298.390625,12126,0,1,114783.34375
"33",1,0,1,17,2080,35,313945.15625,12133,3,1,427443.71875
"34",1,0,1,12,1840,28,20928.390625,12179,0,0,22478.8203125
"39",0,0,1,17,0,32,0,12177,1,1,78064.0703125
"41",1,0,1,9,0,37,0,12183,4,1,22792.76953125
"42",1,0,1,14,2000,46,33808.390625,12173,3,1,45078.390625
"43",0,0,1,12,1454,45,9660,12181,3,1,76053.1796875
"45",1,0,1,12,2200,44,45883.390625,12175,0,1,133143.78125
"49",0,0,1,12,1984,30,27368.390625,12236,0,0,27368.390625
"50",1,0,1,11,2010,45,35418.390625,12232,1,1,64871.73046875
"51",0,0,1,12,2383,36,19318.390625,12233,2,1,72448.390625
"55",1,0,1,12,1300,47,6451.27001953125,12235,5,1,10315.26953125
"56",1,0,1,6,2135,46,38963.609375,12411,1,1,58422.0703125
"57",1,0,1,4,0,47,0,12414,5,1,23142.140625
"58",0,0,1,9,0,34,161,12415,3,1,18785.48046875
"59",1,0,1,10,3337,39,16100,12406,2,1,30982.83984375
"60",1,0,1,12,2130,41,37835,12409,1,1,58761.78125
"61",1,0,1,10,3084,33,17708.390625,12413,0,1,17708.390625
"62",1,0,1,12,2275,43,25758.390625,12408,1,1,46179.62890625
"63",0,0,1,12,1190,30,12878.3896484375,12412,2,0,63326.12890625
"64",1,0,1,14,2340,38,1769.39001464844,12407,2,1,14647.7802734375
"65",1,0,1,12,3098,31,19318.390625,12410,0,0,19318.390625
"68",0,1,0,12,0,29,0,7022,3,0,6356.27978515625
"70",1,1,0,12,2036,32,38638.390625,7017,0,0,44047.98828125
"72",0,1,0,12,2940,42,8853.3896484375,7019,0,0,32525.220703125
"75",1,1,0,12,1968,41,46690,7018,2,1,78859.40625
"76",0,1,0,12,3136,36,0,7021,3,0,13680.169921875
"600",1,0,1,12,1910,39,75360.8828125,6117,2,1,75360.8828125
"637",1,0,1,17,2160,50,141676.78125,2758,1,1,200374.15625
"668",1,0,1,11,2000,37,37028.390625,5279,2,1,66444.703125
"674",0,0,1,17,880,42,49908.390625,10599,0,0,78460.1328125
"688",0,0,1,17,2115,28,48298.390625,2622,0,0,48298.390625
"701",1,0,1,17,3190,38,77278.390625,12257,2,1,106211.703125
"731",1,0,1,16,2530,28,20928.390625,4427,3,0,34887.08984375
"759",0,0,1,17,2500,35,56116.55078125,2679,0,1,150132.5
"764",0,0,1,13,1900,34,19318.390625,5007,2,1,46688.390625
"770",0,1,0,13,1930,35,48298.390625,6591,3,1,88546.78125
"780",1,0,1,15,2184,33,0,5814,0,0,17507.140625
"790",1,0,1,12,2250,42,59568.390625,4180,0,1,126518.6328125
"796",1,0,1,12,2241,42,64610.91015625,12115,0,0,68394.40625
"805",1,1,0,12,1960,44,48298.390625,6462,4,1,76341.3671875
"817",1,0,1,12,2450,52,48298.390625,6448,0,0,48298.390625
