"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,1960,27,52580,6117,2,1,52580,2,0.600000023841858,0,0,0,0,0,0,0,0,11,10,21271,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,656,30,6144.68994140625,6237,3,1,59750,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,11,10,21271,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,NA,1125,32,NA,6115,1,0,22752.80078125,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,10,21271,0,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,24,800,25,11950,5165,1,1,22705,3,0.800000011920929,0,10755,10755,0,0,0,0,0,11,10,21271,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,1248,29,8365,5254,3,1,86040,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,10,21271,0,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,2260,26,49616.3984375,3725,3,1,49616.3984375,1,1.29999995231628,0,0,0,0,0,0,0,0,11,10,21271,0,0,0,0,2,24,0,1,1,0
"15",1,1,0,14,8,9,1954,29,2771,28,56165,3424,0,0,56165,5,1,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,1590,29,43856.5,3423,1,0,44812.5,7,0.300000011920929,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"19",0,0,1,15,12,9,1955,29,1365,27,25095,3480,2,0,28225.900390625,5,0.800000011920929,2772.39990234375,0,2772.39990234375,0,0,0,358.5,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,1456,25,19359,3411,2,0,21557.80078125,1,0.800000011920929,0,0,2366.10009765625,0,1720.80004882812,270,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,34,2000,26,43020,3074,0,1,96317,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,113047,NA,NA,0,0,2,34,0,1,NA,1
"26",1,0,1,14,6,11,1954,34,3276,28,74090,1010,2,1,93329.5,4,0.800000011920929,0,0,0,0,0,0,0,0,NA,16,113047,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,2277,34,129657.5,1758,0,1,211873.5,9,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,113047,NA,NA,0,0,2,21,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2400,32,83650,1017,1,1,146746,2,0.400000005960464,0,0,0,0,0,0,0,0,NA,16,113047,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,1991,30,49114.5,1714,0,0,49912.76171875,7,0.200000002980232,0,0,0,0,0,0,0,0,NA,16,113047,NA,NA,0,0,2,34,0,1,1,0
