"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"33821",0,NA,NA,12,5,12,1933,2160,44,23725,4039,0,NA,104791.5,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,28,NA,NA,NA,NA,NA,1
"33829",0,0,1,12,3,10,1952,0,26,0,2923,2,1,62050,6,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,12,56575,0,0,0,0,4,2,NA,NA,NA,NA,NA,1
"33845",0,0,1,5,1,6,1918,0,60,0,5784,0,1,32090.80078125,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"33875",1,0,1,16,3,12,1947,3289,30,17454.30078125,1602,2,1,45260,8,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,11,0,1,1,0
"33880",0,0,1,17,3,13,1952,48,26,1825,3113,0,0,5475,3,0.200000002980232,0,0,0,0,0,0,0,0,14,16,131400,0,0,0,0,2,48,NA,NA,1,0,1,0
"33898",1,0,1,10,4,11,1934,2500,43,38507.5,239,1,1,66977.5,24,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,92,0,1,1,0
"33908",1,0,1,16,9,13,1946,2520,31,35770,2484,0,1,54020,7,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,61,0,1,1,0
"33909",0,0,1,12,3,8,1947,1279,30,5475,1786,0,0,15023.400390625,3,1,0,0,9548.400390625,9548.400390625,0,0,0,0,8,8,11457.349609375,0,0,0,0,2,14,4,83,0,1,1,0
"33920",0,0,1,12,2,10,1932,0,46,0,1531,2,1,64605,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"33927",0,0,1,12,2,9,1936,1718,42,23126.400390625,1558,0,0,33069,23,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,37,4,56,0,1,1,0
"33931",1,0,1,12,10,7,1944,2832,33,32302.5,5373,0,1,58582.5,14,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,11,0,1,1,0
"33953",1,0,1,12,12,9,1952,1040,25,NA,1135,1,NA,79807.25,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12410,0,NA,0,1,37,NA,NA,NA,NA,NA,0
"33974",1,0,1,6,5,8,1949,1560,28,NA,3301,0,NA,35525.44921875,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,2,34,NA,NA,NA,NA,NA,0
"34002",0,0,1,8,7,8,1917,0,60,0,4053,0,1,22338,3,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"34024",1,0,1,12,6,10,1946,2550,31,52103.75,7,2,1,95630,11,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,51,0,1,1,0
"34025",0,0,1,12,1,13,1934,40,44,438,4140,2,1,68510.5,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"34115",1,0,1,12,7,10,1943,2489,34,45990,479,3,1,45990,14,0.600000023841858,0,0,0,0,0,0,0,0,9,8,14746,0,0,0,0,2,14,NA,61,0,1,1,0
"34118",0,0,1,12,1,9,1920,1044,58,10950,5600,0,NA,42997,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"34133",1,0,1,5,7,11,1917,2205,60,51465,2224,0,1,51465,40,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,30,0,1,1,0
"34140",1,0,1,12,8,10,1921,2200,56,54750,66,0,1,79570,37,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,33,0,1,1,0
"34145",1,0,1,14,5,13,1928,2040,49,34675,2433,2,1,44895,29,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,87,0,1,1,0
"34155",1,0,1,13,10,11,1936,2000,41,42960.5,2599,0,1,78190.296875,21,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,51,0,1,1,0
"34187",1,0,1,9,5,12,1945,2112,34,83950,4951,3,1,83950,13,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,21,0,1,1,0
"34217",0,0,1,12,11,10,1933,0,44,0,2322,1,1,38544,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"34219",1,0,1,11,1,8,1933,2500,45,58400,3606,3,1,70372,28,1.20000004768372,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,61,0,1,1,0
