"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"3",0,0,1,11,9,10,1952,0,25,0,3164,3,1,53472.5,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,32850,0,0,0,0,2,24,NA,NA,NA,NA,NA,1
"4",1,0,1,4,10,10,1950,1530,27,NA,1890,3,0,85410,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,32850,0,0,0,0,2,24,NA,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,2361,30,90702.5,4872,0,1,164432.5,9,0.300000011920929,0,0,0,0,0,0,0,0,12,16,109500,0,0,0,0,2,21,NA,92,0,1,1,0
"30",1,0,1,17,10,11,1951,79,27,365,266,0,1,56575,2,0.300000011920929,0,0,0,0,0,0,0,0,12,16,109500,0,0,0,0,2,34,NA,88,0,1,1,0
"31",0,0,1,16,2,11,1953,2087,25,34401.25,3763,0,0,35054.6015625,7,0.200000002980232,0,0,0,0,0,0,0,0,12,16,109500,0,0,0,0,2,34,NA,56,0,1,1,0
"37",0,0,1,12,5,10,1953,0,25,0,791,1,NA,43070,4,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,8,9,38325,0,0,0,0,2,13,NA,NA,NA,NA,NA,1
"38",0,0,1,12,10,11,1951,1210,27,18250,3999,1,1,77745,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,8,9,38325,0,0,0,0,2,13,NA,NA,NA,NA,NA,1
"42",1,0,1,14,10,10,1947,2340,30,43800,800,0,0,43800,10,0.200000002980232,0,0,0,0,0,0,0,0,8,9,38325,0,0,0,0,2,13,NA,32,0,1,1,0
"45",1,0,1,12,11,7,1949,3999,28,48362.5,3448,2,1,48362.5,9,0.800000011920929,0,0,0,0,0,0,0,0,8,9,38325,0,0,0,0,3,9,NA,55,0,1,1,0
"50",1,0,1,11,6,9,1949,1430,28,14600,4883,3,1,21535,NA,0.800000011920929,0,0,0,0,0,0,0,0,12,12,23725,0,0,0,0,2,14,NA,11,0,1,1,0
"52",0,0,1,10,6,6,1948,2032,30,6570,2483,2,0,20498.400390625,3,0.5,0,0,16556.400390625,0,0,720,0,3816,12,12,23725,0,0,0,0,2,14,NA,61,0,1,1,0
"54",1,0,1,12,3,9,1953,2080,25,14600,5821,1,1,16790,NA,0.5,0,0,0,0,0,0,0,0,12,12,23725,0,0,0,0,2,14,NA,51,0,1,1,0
"55",1,0,1,12,5,12,1947,1960,29,16425,5282,0,0,19710,12,0.5,0,3285,3285,0,0,0,0,0,12,12,23725,0,0,0,0,2,14,NA,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2694,30,29419,6137,2,1,29419,10,1,0,0,0,0,0,0,0,0,2,NA,912.5,0,0,0,0,3,3,NA,11,0,1,1,0
"62",1,0,1,12,5,11,1951,2530,26,24049.849609375,6138,2,1,25758.05078125,6,1,0,1708.19995117188,3022.19995117188,0,0,360,0,0,2,NA,912.5,0,0,0,0,3,3,NA,11,0,1,1,0
"72",0,1,0,12,4,8,1952,2120,25,34675,2628,1,0,34675,4,0.5,0,0,0,0,0,0,0,0,12,8,31025,0,0,0,0,3,10,NA,61,0,1,1,0
"75",1,1,0,12,2,8,1953,NA,26,NA,2338,3,NA,46019.19921875,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,12,8,31025,0,0,0,0,3,10,NA,NA,NA,NA,NA,0
"622",0,0,1,9,NA,8,NA,0,32,0,955,2,NA,72251.75,7,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,2000,34,80300,1150,1,1,95265,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,92,0,1,1,0
"652",0,0,0,12,10,2,1941,0,36,0,5537,2,NA,27696.19921875,15,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"674",0,0,1,17,8,10,1951,0,26,0,2398,0,1,36500,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"677",0,0,1,8,2,11,1934,0,44,0,768,0,0,17454.30078125,26,0.200000002980232,0,0,9548.400390625,9548.400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,2,NA,0,0,1,0
"691",0,NA,NA,12,NA,9,NA,0,26,0,3576,2,NA,69350,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"762",1,0,1,10,1,9,1951,1800,27,58765,3564,1,1,60590,7,0.800000011920929,1825,0,1825,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,55,0,1,1,0
"768",1,0,1,12,NA,9,NA,1000,29,NA,1654,1,NA,29747.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,0,0
"790",1,0,1,12,2,11,1952,2075,26,54750,3979,0,1,91250,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,1,1,0
"796",1,0,1,12,5,12,1952,2650,25,27083,3490,0,0,29820.5,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,60192.1484375,0,0,0,0,2,48,3,85,0,1,1,0
"805",1,1,0,12,12,8,1949,2276,28,68985,2601,2,1,68985,8,0.699999988079071,0,0,0,0,0,0,0,0,12,6,80300,13578,0,0,0,2,34,NA,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,4000,47,82125,5535,0,1,116873,27,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,44,0,1,1,0
"817",1,0,1,12,1,10,1943,1347,36,32850,3454,0,0,37230,12,0.200000002980232,0,4380,4380,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
"839",1,0,1,12,3,10,1945,2040,33,37412.5,6047,1,0,37412.5,12,0.300000011920929,0,0,0,0,0,0,0,0,8,8,24820,10950,0,0,0,3,41,NA,42,0,1,1,0
"841",0,0,1,12,12,10,1941,0,35,0,782,3,1,92710,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,0,34,0,557,3,1,331785,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,2004,58,75190,4162,0,1,91615,37,0.400000005960464,0,0,1460,1460,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"892",1,0,1,12,7,9,1932,2362,46,77416.5,4660,0,1,93476.5,25,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,31,0,1,1,0
"894",0,0,1,17,4,9,1943,72,35,8030,5322,2,1,69350,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"970",0,0,1,12,10,11,1948,320,29,2190,3901,1,1,129940,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,2556,39,93075,2106,3,1,110996.5,19,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"991",0,0,1,12,8,11,1924,2000,53,28470,992,0,1,98550,17,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1036",0,1,0,13,7,10,1947,624,30,12775,2166,1,1,41993.25,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"1050",0,NA,NA,12,NA,9,NA,1984,33,21900,710,2,NA,60590,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"1141",1,0,1,16,8,11,1949,1960,28,65700,5022,1,1,124100,8,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,5,50,NA,91,0,1,1,0
"1161",1,0,1,13,9,10,1930,2640,47,208050,4276,1,1,275392.5,27,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"1180",0,0,1,17,9,12,1948,0,29,0,4375,0,1,209510,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,11,73365,1376.05004882812,0,0,0,2,24,NA,NA,NA,NA,NA,1
"1211",0,0,1,17,11,7,1943,1239,34,36500,1569,2,1,97090,14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,1170,34,11497.5,2106,3,1,110996.5,9,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1264",0,0,1,12,9,9,1949,1440,28,18250,953,0,0,19345,8,0.5,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,9,NA,61,0,1,1,0
"1313",0,1,0,12,6,9,1924,1823,52,22776,4085,0,NA,49786,22,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,2618,51,73000,3220,0,1,105667.5,31,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,32,0,1,1,0
"1334",0,0,1,12,1,10,1942,1960,36,23360,1707,1,1,63820.25,16,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,0,34,0,1417,2,1,56940,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1371",1,0,1,17,11,12,1948,2339,29,68255,5114,1,1,83074,6,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,92,0,1,1,0
"1374",0,0,1,12,2,10,1926,1404,51,17885,4778,1,NA,42413,15,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"1427",1,0,1,16,12,11,1952,780,25,7300,4694,0,1,13505,3,0.5,0,0,686.200012207031,0,0,188,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,1,0,1,0
"1431",1,0,1,16,3,11,1927,2136,51,113150,4093,0,1,175200,29,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,32,0,1,1,0
"1452",0,NA,NA,12,NA,10,NA,2496,27,31390,6046,0,NA,74095,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"1489",1,0,1,8,NA,0,NA,1893,49,32229.5,650,0,0,41953.1015625,29,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,4,31,0,1,1,0
"1490",0,0,1,11,10,11,1941,1602,36,23725,1383,2,1,77343.5,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,0,33,0,443,3,NA,60517,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"1544",0,0,1,12,12,9,1950,0,27,0,1991,1,1,60225,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"1546",0,0,1,14,9,10,1951,1040,26,9581.25,3641,0,1,78110,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,NA,1
"1583",0,0,1,12,4,10,1947,0,34,0,4447,3,NA,94900,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1584",0,0,1,16,9,11,1943,416,34,21900,1727,3,1,85775,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,NA,NA,NA,NA,NA,1
"1608",0,0,1,16,7,9,1936,0,41,0,3062,4,1,119902.5,2,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"1612",0,1,0,12,5,7,1952,2080,25,32850,4443,1,0,37595,5,1,4745,0,4745,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,4,NA,0,0,1,0
"1626",0,0,1,14,9,10,1950,1200,28,18250,3856,0,1,102747.5,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,46077.6015625,0,NA,0,2,34,NA,NA,NA,NA,NA,1
"1662",0,0,1,16,9,11,1938,400,39,10950,2959,2,1,139795,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1664",0,0,1,12,11,12,1951,2000,26,43891.25,226,0,0,49001.25,5,0.200000002980232,0,0,0,0,0,0,2920,0,12,16,0,277.399993896484,0,0,0,4,4,NA,71,0,1,1,0
"1674",0,0,1,16,5,8,1950,2470,27,32850,740,0,1,87600,4,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"1680",0,0,1,12,10,13,1924,0,54,0,585,0,1,64108.6015625,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,NA,1
"1734",0,0,1,12,11,12,1949,192,28,1825,3876,2,0,77599,3,0.600000023841858,0,0,0,0,0,0,2737.5,0,10,12,6205,29200,0,0,0,4,4,NA,85,0,1,1,0
"1772",1,0,1,8,2,10,1928,2529,50,25550,5158,0,1,33977.8515625,30,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,30,0,1,1,0
"1776",1,0,1,12,1,10,1938,1920,40,22666.5,969,2,1,38325,19,0.600000023841858,0,0,657,0,0,180,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,51,0,1,1,0
"1778",0,0,1,12,8,10,1920,1200,57,10950,4623,0,1,89790,15,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1787",1,0,1,12,3,13,1921,2600,56,226300,236,0,1,229950,26,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,31,0,1,1,0
"1822",0,0,1,12,8,12,1923,160,54,1376.05004882812,1447,0,1,81858.546875,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1834",1,0,1,12,8,9,1929,2280,48,48804.1484375,1364,1,1,54753.6484375,27,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,51,0,1,1,0
"1838",1,1,0,12,NA,8,NA,1527,49,38423.55078125,556,2,1,53304.6015625,27,1.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,4,51,0,1,1,0
"1844",1,0,1,12,12,11,1928,1920,49,65736.5,501,3,1,71773.6015625,30,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,30,0,1,1,0
"1858",1,0,1,12,9,10,1919,2156,58,25834.69921875,4609,0,0,51100,39,0.100000001490116,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"1863",1,0,1,17,6,9,1949,1846,28,80300,2428,2,1,97236,7,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,92,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,2040,51,19677.150390625,4329,1,NA,117530,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"1888",0,0,1,13,12,13,1920,0,57,0,3931,0,1,277400,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"1929",1,0,1,16,8,11,1926,2250,51,56940,5564,0,1,98039,27,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"1945",1,0,1,16,10,11,1946,2940,31,103295,4038,1,1,103842.5,11,0.400000005960464,0,0,0,0,0,0,0,0,16,16,54750,73000,0,0,0,1,28,NA,62,0,1,1,0
"1981",0,0,1,12,2,10,1950,1235,28,22900.099609375,1955,2,1,75106.046875,6,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1982",0,0,1,16,5,12,1951,1000,26,25550,3046,1,1,71905,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,12,45625,45625,0,0,0,2,22,NA,NA,NA,NA,NA,1
"1990",0,0,1,12,9,10,1947,1920,30,60225,1190,1,1,128115,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"2016",0,0,1,16,6,8,1949,25,26,547.5,559,3,1,62933.30078125,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"2031",1,0,1,16,11,10,1939,3084,38,38795.8515625,3010,1,1,101378.75,18,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,11,0,1,1,0
"2032",1,0,1,16,5,11,1947,4332,31,65700,414,3,1,80300,6,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,42,0,1,1,0
"2044",1,0,1,NA,NA,12,NA,130,32,NA,5024,0,NA,43252.5,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,12,35770,0,0,0,0,5,51,NA,NA,NA,NA,NA,0
"2048",0,0,1,17,1,10,1947,0,31,0,3846,2,1,119537.5,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,16,80665,383.25,0,0,0,1,29,NA,NA,NA,NA,NA,1
"2065",1,0,1,16,4,13,1946,2500,31,56575,2142,0,0,76650,11,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,44,0,1,1,0
"2086",0,1,0,17,7,5,1950,1440,27,36500,203,3,1,102930,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,31025,0,NA,0,3,1,NA,NA,NA,NA,NA,1
"2096",1,0,1,13,12,11,1930,2048,47,18848.599609375,4640,3,1,105667.5,27,1.10000002384186,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,57,0,1,1,0
"2111",0,NA,NA,12,NA,10,NA,2040,42,25623,2066,1,NA,142897.5,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"2114",1,0,1,15,4,10,1930,2350,47,76650,1747,0,1,89936,22,0.300000011920929,0,0,9636,9636,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,31,0,1,1,0
"2147",1,0,1,14,8,9,1949,2940,28,65700,3162,1,1,65700,8,1,0,0,0,0,0,0,0,0,12,14,91250,0,0,0,0,3,9,NA,61,0,1,1,0
"2205",1,0,1,13,3,11,1938,NA,38,NA,3229,2,1,29090.5,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,NA,NA,0,NA
"2209",0,0,1,15,11,12,1946,1824,31,14965,1895,1,0,33215,10,0.400000005960464,0,0,18250,18250,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,83,0,1,1,0
"2219",0,0,1,12,7,10,1923,0,54,0,514,0,0,78475,18,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,1,NA,0,0,1,0
"2263",1,0,1,16,7,12,1948,2100,29,18432.5,2474,0,0,29200,6,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,11,0,1,1,0
"2280",0,0,1,11,11,11,1944,0,33,0,4282,2,0,14329.900390625,12,0.800000011920929,0,0,7876.7001953125,0,0,832,9490,1326,NA,NA,NA,NA,NA,NA,0,1,37,4,NA,0,0,1,0
"2296",0,1,0,7,10,8,1950,2020,28,18250,4801,5,1,37230,4,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"2347",1,0,1,16,10,12,1952,2100,25,54750,4787,0,0,55480,5,0.5,0,0,0,0,0,0,0,0,12,15,131400,0,0,0,0,2,34,NA,92,0,1,1,0
"2355",1,0,1,12,6,10,1945,2249,31,27991.849609375,397,0,0,29203.650390625,12,0.5,0,0,0,0,0,0,0,0,10,NA,NA,0,0,NA,0,2,13,NA,40,0,1,1,0
"2357",0,0,1,12,3,10,1947,496,30,9125,1685,3,1,43015.25,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2368",0,0,1,13,4,10,1942,992,35,14965,159,4,NA,138079.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"2387",0,1,0,16,8,10,1947,1750,30,NA,2724,0,NA,45406,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,22995,0,NA,0,3,16,NA,NA,NA,NA,NA,0
"2393",1,0,1,12,11,10,1934,1990,43,69350,3992,1,1,149799.65625,23,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,57,0,1,1,0
"2394",1,0,1,10,5,12,1943,2805,34,33215,842,2,1,33215,14,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,33,0,1,1,0
"2404",1,0,1,16,8,10,1952,2979,25,36682.5,5988,0,1,62232.5,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,40150,730,0,0,0,1,37,NA,31,0,1,1,0
"2415",0,0,1,7,3,7,1938,270,40,1825,5331,0,1,74452.703125,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"2423",0,0,1,12,7,8,1952,616,26,11497.5,4450,1,0,99287.296875,8,0.699999988079071,0,14424.7998046875,14424.7998046875,0,0,0,0,0,12,NA,NA,5292.5,0,NA,0,1,31,NA,NA,0,1,1,0
"2443",1,0,1,12,2,10,1945,2400,33,65700,1267,0,1,106054.3984375,13,0.300000011920929,0,0,0,0,0,0,0,0,12,8,5840,0,0,0,0,2,13,NA,44,0,1,1,0
"2451",0,0,1,17,6,11,1948,1800,29,20805,3816,0,1,113880,9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,12,56575,0,0,0,0,4,4,NA,NA,NA,NA,NA,1
"2452",1,0,1,12,1,6,1927,0,51,0,2901,0,1,27681.599609375,25,0.300000011920929,0,0,14585.400390625,14585.400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,4,NA,0,0,1,0
"2490",0,0,1,11,11,7,1942,0,35,0,1453,2,0,59703.05078125,2,0.5,27353.099609375,0,59703.05078125,32349.94921875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,2,NA,0,0,1,0
"2581",0,0,1,15,3,12,1924,300,53,6935,2198,0,1,112237.5,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"2582",1,0,1,12,1,8,1950,3528,28,40150,849,0,1,80300,7,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,15,NA,83,0,1,1,0
"2586",0,0,1,8,9,5,1929,80,48,1314,3425,2,0,16738.900390625,2,1,0,0,17556.5,0,0,884,0,3926,NA,NA,NA,NA,NA,NA,0,1,37,3,NA,0,0,1,0
"2609",0,0,1,12,7,10,1947,1530,30,10220,344,1,NA,92454.5,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"2616",0,0,1,12,3,10,1937,0,42,0,2377,8,1,35302.80078125,5,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2633",0,NA,NA,11,NA,10,NA,0,51,0,1719,0,NA,8665.099609375,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"2636",0,0,1,12,8,7,1936,2040,41,33507,3365,1,1,102054,21,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,37,NA,NA,NA,NA,NA,1
"2654",1,0,1,17,10,10,1951,1760,26,50370,3197,0,1,95630,7,0.5,0,5840,5840,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,86,0,1,1,0
"2666",0,1,0,12,8,8,1929,1576,48,13578,983,0,1,121891.75,24,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"2667",0,0,1,4,4,0,1934,NA,44,NA,4022,1,NA,33156.6015625,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,0
"2668",1,0,1,12,NA,9,NA,2060,41,76650,2213,2,1,120085,22,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,71,0,1,1,0
"2695",1,0,1,13,NA,11,NA,960,35,27375,5138,0,1,27375,15,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,0,0,1,0
