"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","hhchildren","married","fam_inc","works","age","state","inc_afdc","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","head","wife"
1957,2,1695001,0,1,1695009,1,8,13,NA,NA,7,NA,55554.3984375,NA,12,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1947,10,1695001,0,1,1695003,1,10,13,NA,2132,7,1,55554.3984375,NA,21,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1948,10,1695001,0,1,1695004,0,NA,13,NA,NA,7,1,55554.3984375,NA,20,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1959,9,1695001,0,1,1695010,0,8,13,NA,NA,7,NA,55554.3984375,NA,9,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1949,11,1695001,0,1,1695005,1,7,13,NA,NA,7,NA,55554.3984375,NA,19,13,NA,6490,0,0,0,1,2,13,NA,NA,0
1969,8,1786001,0,1,1786030,0,9,14,NA,NA,6,0,38291,NA,NA,14,NA,29626.849609375,1947,0,0,NA,2,14,NA,0,NA
1962,5,1786001,0,1,1786009,1,9,14,NA,NA,6,NA,38291,NA,6,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1960,7,1786001,0,1,1786008,0,9,14,NA,NA,6,NA,38291,NA,8,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1963,9,1786001,0,1,1786010,0,9,14,NA,NA,6,NA,38291,NA,5,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1949,6,1786001,0,1,1786021,1,9,14,NA,NA,6,NA,38291,NA,22,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1958,6,1786001,0,1,1786007,0,9,14,NA,NA,6,NA,38291,NA,10,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1948,6,1786001,0,1,1786003,0,6,14,NA,NA,6,NA,38291,NA,20,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,3,1786001,0,1,1786005,1,9,14,NA,NA,6,NA,38291,NA,16,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1947,5,1786001,0,1,1786004,1,12,14,NA,NA,6,NA,38291,NA,19,14,NA,29626.849609375,1947,0,0,0,2,14,NA,NA,0
1948,2,2302001,0,1,2302021,1,10,3,7074.10009765625,1755,0,1,12428.349609375,1,21,3,0,7009.2001953125,1070.84997558594,0,0,0,3,3,0,1,0
1946,8,2302001,0,1,2302003,1,8,3,6490,2580,0,1,6652.25,1,22,3,0,7009.2001953125,1070.84997558594,0,0,0,3,3,0,1,0
1959,8,2302001,0,1,2302008,0,8,3,NA,NA,8,NA,18379.6796875,NA,9,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1955,2,2302001,0,1,2302006,1,8,3,NA,160,8,NA,18379.6796875,NA,14,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1953,7,2302001,0,1,2302005,1,8,3,NA,NA,8,NA,18379.6796875,NA,15,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1960,11,2302001,0,1,2302009,1,8,3,NA,NA,8,NA,18379.6796875,NA,8,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1951,5,2302001,0,1,2302004,1,11,3,NA,776,8,NA,18379.6796875,NA,17,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1963,10,2302001,0,1,2302011,0,8,3,NA,NA,8,NA,18379.6796875,NA,5,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1956,1,2302001,0,1,2302007,1,8,3,NA,NA,8,NA,18379.6796875,NA,13,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
1962,10,2302001,0,1,2302010,1,8,3,NA,NA,8,NA,18379.6796875,NA,6,3,NA,7009.2001953125,1070.84997558594,0,0,0,3,3,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,3,2848001,1,0,2848010,0,8,10,NA,NA,8,NA,35500.30078125,NA,4,10,NA,29205,0,0,0,0,3,10,NA,NA,0
1960,2,2848001,1,0,2848007,1,8,10,NA,NA,8,0,35500.30078125,NA,9,10,NA,29205,0,0,0,0,3,10,NA,NA,0
1962,3,2848001,1,0,2848009,1,8,10,NA,NA,8,NA,35500.30078125,NA,7,10,NA,29205,0,0,0,0,3,10,NA,NA,0
1950,12,NA,1,0,2848172,1,8,10,NA,NA,8,NA,35500.30078125,NA,NA,10,NA,NA,0,0,NA,NA,3,10,NA,0,NA
1952,4,2848001,1,0,2848003,0,8,10,NA,360,8,NA,35500.30078125,NA,17,10,NA,29205,0,0,0,0,3,10,NA,NA,0
1961,3,2848001,1,0,2848008,1,8,10,NA,NA,8,0,35500.30078125,NA,8,10,NA,29205,0,0,0,0,3,10,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,2,2848001,1,0,2848004,1,8,10,NA,1032,8,NA,35500.30078125,NA,16,10,NA,29205,0,0,0,0,3,10,NA,NA,0
1958,3,2848001,1,0,2848006,0,8,10,NA,NA,8,NA,35500.30078125,NA,11,10,NA,29205,0,0,0,0,3,10,NA,NA,0
1969,4,5012172,1,0,5012030,0,9,12,NA,NA,7,0,30295.3203125,NA,1,12,NA,NA,0,0,NA,0,2,12,NA,NA,0
1966,1,5012172,1,0,5012007,1,9,12,NA,NA,7,0,30295.3203125,NA,3,12,NA,NA,0,0,NA,0,2,12,NA,NA,0
1969,10,NA,1,0,5136032,0,8,39,NA,NA,9,NA,29373.740234375,NA,NA,39,NA,NA,14602.5,0,NA,NA,3,39,NA,0,NA
1953,10,NA,1,0,5136007,0,8,39,NA,NA,9,NA,29373.740234375,NA,15,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1960,1,5136177,1,0,5136010,0,8,39,NA,NA,9,NA,29373.740234375,NA,8,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1950,12,NA,1,0,5136003,1,9,39,NA,480,9,NA,29373.740234375,NA,17,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1956,9,NA,1,0,5136005,1,8,39,NA,NA,9,0,29373.740234375,NA,12,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1954,12,NA,1,0,5136008,0,8,39,NA,NA,9,NA,29373.740234375,NA,14,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1957,11,NA,1,0,5136006,1,8,39,NA,NA,9,NA,29373.740234375,NA,11,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1952,11,NA,1,0,5136004,1,8,39,NA,NA,9,NA,29373.740234375,NA,16,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1960,1,NA,1,0,5136009,0,8,39,NA,NA,9,NA,29373.740234375,NA,8,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1967,9,NA,1,0,5136011,0,8,39,NA,NA,9,0,29373.740234375,NA,1,39,NA,NA,14602.5,0,NA,0,3,39,NA,NA,0
1965,5,NA,0,1,5235012,1,6,37,NA,NA,10,NA,45170.3984375,NA,4,37,NA,NA,0,0,NA,0,1,37,NA,NA,0
1952,3,NA,0,1,5235003,1,6,37,NA,NA,10,NA,45170.3984375,NA,17,37,NA,NA,0,0,NA,0,1,37,NA,NA,0
1960,7,NA,0,1,5235008,1,6,37,NA,NA,10,NA,45170.3984375,NA,9,37,NA,NA,0,0,NA,0,1,37,NA,NA,0
1957,8,5235001,0,1,5235007,1,6,37,NA,NA,10,NA,45170.3984375,NA,12,37,NA,7788,0,0,0,0,1,37,NA,NA,0
1962,3,NA,0,1,5235009,1,6,37,NA,NA,10,NA,45170.3984375,NA,7,37,NA,NA,0,0,NA,0,1,37,NA,NA,0
1954,6,5235001,0,1,5235005,1,6,37,NA,NA,10,NA,45170.3984375,NA,15,37,NA,7788,0,0,0,0,1,37,NA,NA,0
1964,5,NA,0,1,5235011,0,6,37,NA,NA,10,NA,45170.3984375,NA,5,37,NA,NA,0,0,NA,0,1,37,NA,NA,0
1953,5,5235001,0,1,5235004,1,6,37,NA,NA,10,NA,45170.3984375,NA,16,37,NA,7788,0,0,0,0,1,37,NA,NA,0
1963,4,NA,0,1,5235010,1,6,37,NA,NA,10,NA,45170.3984375,NA,6,37,NA,NA,0,0,NA,0,1,37,NA,NA,0
1955,11,5235001,0,1,5235006,0,6,37,NA,NA,10,NA,45170.3984375,NA,13,37,NA,7788,0,0,0,0,1,37,NA,NA,0
1966,8,5299001,1,0,5299012,0,9,23,NA,NA,10,0,11422.400390625,NA,2,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1964,7,5299001,1,0,5299010,0,9,23,NA,NA,10,0,11422.400390625,NA,3,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1961,11,5299001,1,0,5299009,0,9,23,NA,NA,10,NA,11422.400390625,NA,4,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1951,11,5299001,1,0,5299003,1,9,23,NA,NA,10,0,11422.400390625,NA,17,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1959,12,5299001,1,0,5299008,0,9,23,NA,NA,10,NA,11422.400390625,NA,7,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1955,8,5299001,1,0,5299006,0,9,23,NA,NA,10,NA,11422.400390625,NA,12,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1957,1,5299001,1,0,5299007,0,9,23,NA,NA,10,0,11422.400390625,NA,11,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1954,6,5299001,1,0,5299005,0,9,23,NA,NA,10,NA,11422.400390625,NA,14,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1953,1,5299001,1,0,5299004,0,9,23,NA,NA,10,0,11422.400390625,NA,15,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1958,8,5299001,1,0,5299011,0,9,23,NA,NA,10,NA,11422.400390625,NA,10,23,NA,6749.60009765625,0,0,0,0,3,23,NA,NA,0
1958,10,5366001,1,0,5366012,0,7,32,NA,NA,8,NA,54146.0703125,NA,10,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1949,12,5366001,1,0,5366005,1,7,32,NA,180,8,NA,54146.0703125,NA,19,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1952,9,5366001,1,0,5366007,1,7,32,NA,180,8,NA,54146.0703125,NA,16,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1957,9,5366001,1,0,5366011,1,7,32,NA,NA,8,NA,54146.0703125,NA,11,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1948,3,5366001,1,0,5366003,1,7,32,NA,2080,8,NA,54146.0703125,NA,21,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1955,7,5366001,1,0,5366009,0,7,32,NA,30,8,NA,54146.0703125,NA,13,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1949,1,5366001,1,0,5366004,1,7,32,NA,800,8,0,54146.0703125,NA,20,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1951,6,5366001,1,0,5366006,0,NA,32,NA,180,8,NA,54146.0703125,NA,17,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1956,10,5366001,1,0,5366010,0,7,32,NA,NA,8,NA,54146.0703125,NA,12,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1954,7,5366001,1,0,5366008,0,7,32,NA,180,8,NA,54146.0703125,NA,14,32,NA,17782.599609375,882.640014648438,0,0,0,3,32,NA,NA,0
1965,11,5430227,1,0,5430010,1,8,39,NA,NA,6,0,15576,NA,3,39,NA,NA,NA,0,NA,0,3,39,NA,NA,0
1949,12,5437001,0,1,5437022,1,6,12,NA,NA,8,NA,78788.6015625,NA,19,12,NA,64900,0,0,0,1,2,12,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,9,5437001,0,1,5437012,1,10,12,NA,NA,8,0,78788.6015625,NA,3,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1956,9,5437001,0,1,5437007,1,10,12,NA,520,8,NA,78788.6015625,NA,12,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1961,1,5437001,0,1,5437009,0,10,12,NA,NA,8,NA,78788.6015625,NA,8,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1951,3,5437001,0,1,5437004,0,10,12,NA,NA,8,NA,78788.6015625,NA,18,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1959,4,5437001,0,1,5437008,0,10,12,NA,NA,8,NA,78788.6015625,NA,10,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1964,5,5437001,0,1,5437011,0,10,12,NA,NA,8,NA,78788.6015625,NA,4,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1948,10,5437001,0,1,5437003,0,11,12,19470,880,0,1,68145,NA,20,4,NA,64900,0,0,0,0,4,4,NA,NA,1
1962,7,5437001,0,1,5437010,0,10,12,NA,NA,8,NA,78788.6015625,NA,6,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1952,12,5437001,0,1,5437005,1,10,12,NA,500,8,NA,78788.6015625,NA,16,12,NA,64900,0,0,0,0,2,12,NA,NA,0
