"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"1612",0,1,0,12,5,7,1952,19,1880,29,30628,28,1,0,31616,5,0.5,0,0,988,0,988,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"1626",0,0,1,14,9,10,1950,NA,1555,31,23465,1717,0,1,124488,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,39179.140625,0,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,34,2232,28,49400,495,0,1,128687,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,16,12,0,901.549987792969,0,0,0,3,42,0,1,NA,1
"1647",0,0,1,12,5,9,1953,32,0,28,0,779,2,1,103184.25,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,11,8,44460,0,0,0,0,3,45,0,0,NA,1
"1662",0,0,1,16,9,11,1938,NA,1806,43,29640,3920,0,1,147293.515625,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,4,1673,30,49400,744,0,NA,135850,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,16,0,222.300003051758,0,0,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,NA,792,32,508.820007324219,5774,1,1,76090.8203125,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,1,0,NA,1
"1679",0,0,1,12,10,12,1956,29,0,25,0,2589,2,1,87685,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,0,0,0,0,0,1,29,0,0,NA,1
"1680",0,0,1,12,10,13,1924,NA,200,57,988,630,0,1,62871.37890625,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,0,NA,0,1,29,0,0,NA,1
"1722",0,0,1,12,3,11,1954,36,2880,28,74100,1543,0,NA,208715,9,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1734",0,0,1,12,11,12,1949,NA,1517,32,10094.8896484375,1119,0,0,13286.1298828125,3,0.5,0,3191.23999023438,3191.23999023438,0,0,0,0,0,10,12,0,0,0,0,0,4,4,0,1,1,0
"1772",1,0,1,8,2,10,1928,NA,2176,54,44828.03125,817,0,0,45151.6015625,30,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"1776",1,0,1,12,1,10,1938,NA,2496,44,30252.560546875,3485,0,0,54340,24,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
