"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"1374",0,0,1,12,2,10,1926,1600,45,14765.5498046875,1073,3,NA,94505.2109375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"1411",0,0,1,14,NA,9,NA,30,30,1707,3626,2,NA,88650.203125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1431",1,0,1,16,3,11,1927,1864,45,113800,1569,1,1,179178.09375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,32,0,1,1,0
"1489",1,0,1,8,NA,0,NA,1960,43,31522.599609375,422,0,0,44837.19921875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,3,31,0,1,1,0
"1490",0,0,1,11,10,11,1941,2000,30,25605,585,2,1,94880.75,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,0,28,0,4713,2,0,37554,0.400000005960464,0,0,0,0,0,8535,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,71,0,1,1,0
"1519",1,0,1,16,1,11,1917,1791,55,136560,614,0,1,240118,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,44,0,1,1,0
"1532",0,0,1,12,8,11,1929,845,42,6657.2998046875,3622,0,1,82926.0625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"1583",0,0,1,12,4,10,1947,0,25,0,2664,3,NA,62590,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1584",0,0,1,16,9,11,1943,1440,29,35847,1147,1,1,75961.5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
