"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,2450,31,63000,5214,3,1,63000,11,3,0,0,0,0,0,0,0,0,11,9,22339.80078125,4620,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,1696,34,16879.80078125,4920,3,1,80640,7,1,0,0,0,0,0,NA,0,0,11,9,22339.80078125,4620,0,0,0,2,24,0,0,NA,1
"4",1,0,1,4,10,10,1950,NA,1470,36,NA,3816,1,0,40979.3984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,22339.80078125,4620,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,24,4121,29,42000,6333,2,1,48825,9,1,0,0,0,0,0,0,0,0,11,9,22339.80078125,4620,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,24,2368,27,25200,4919,3,1,33600,7,3,0,0,0,0,0,0,0,0,11,9,22339.80078125,4620,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,1901,33,21000,6045,3,1,100800,13,1,0,0,0,0,0,NA,0,0,11,9,22339.80078125,4620,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,2460,30,39900,5229,3,1,58800,10,1,0,0,0,0,0,0,0,0,11,9,22339.80078125,4620,0,0,0,2,24,0,1,1,0
"17",1,1,0,13,11,9,1960,29,2060,26,30450,2807,2,1,71400,4,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,1048,33,2730,3279,3,0,63630,13,3,0,0,0,0,0,NA,0,0,11,11,0,0,0,0,0,1,29,0,0,NA,1
"19",0,0,1,15,12,9,1955,29,1729,31,39900,2839,2,0,39900,8,1,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,2010,29,34610.1015625,2806,3,0,34610.1015625,9,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"23",1,1,0,14,8,9,1958,29,533,27,NA,2807,2,0,71400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,0,0,0,1,29,0,1,NA,0
"25",0,0,1,16,12,11,1956,34,1242,30,28350,4303,2,1,105630,10,1,0,0,0,0,0,NA,0,0,NA,17,6300,NA,NA,0,0,4,4,0,1,NA,1
"26",1,0,1,14,6,11,1954,34,2965,32,94500,3103,0,0,94500,12,1,0,0,0,0,0,0,0,0,NA,17,6300,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,2028,39,151200,5106,1,1,249900,19,2,0,0,0,0,0,0,0,0,NA,17,6300,NA,NA,0,0,3,19,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2420,36,92400,3864,2,1,179550,10,2,0,0,0,0,0,0,0,0,NA,17,6300,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,2089,34,54442.5,5401,0,0,54572.69921875,14,1,0,0,0,0,0,0,0,0,NA,17,6300,NA,NA,0,0,2,34,0,1,1,0
"32",0,0,1,16,9,11,1960,34,2480,26,46200,5733,0,NA,46200,7,2,0,0,0,0,0,NA,0,0,NA,17,6300,NA,NA,0,0,2,34,0,1,NA,1
"33",1,0,1,17,1,11,1959,34,3982,28,60900,3598,1,1,132720,8,3,0,0,0,0,0,0,0,0,NA,17,6300,NA,NA,0,0,2,34,0,1,1,0
"37",0,0,1,12,5,10,1953,13,0,34,0,5597,3,NA,62475,NA,4,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,13,2266,35,21000,1714,1,0,27161.400390625,10,3,0,0,0,0,0,0,6048,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"39",0,0,1,17,2,8,1962,13,2000,25,28350,6083,0,1,72135,5,3,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,13,1736,30,39900,6977,0,1,77983.5,10,3,0,317.100006103516,317.100006103516,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,NA,2968,39,60900,3650,3,1,57750,17,3,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,13,1810,27,12747,5184,3,0,63315,4,1,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,2856,37,60270,2597,2,1,60270,21,3,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,14,2080,26,16800,4135,2,NA,61950,8,3,0,0,0,0,0,NA,6300,0,12,12,15794.099609375,8400,0,0,0,2,14,0,1,NA,1
"50",1,0,1,11,6,9,1949,NA,2100,37,23100,550,0,0,23100,18,2,0,0,0,0,0,0,0,0,12,12,15794.099609375,8400,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,14,2040,28,14700,1252,2,1,46830,5,3,0,0,0,0,0,NA,0,0,12,12,15794.099609375,8400,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,NA,1250,38,7140,224,2,NA,79758,20,2,0,0,20160,20160,0,NA,0,0,12,12,15794.099609375,8400,0,0,0,2,14,0,1,NA,1
"54",1,0,1,12,3,9,1953,14,1717,34,18900,1253,1,1,26040,14,3,0,840,840,0,0,0,0,0,12,12,15794.099609375,8400,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,NA,1561,39,18900,2901,4,1,25620,19,4,6720,0,6720,0,0,0,0,0,12,12,15794.099609375,8400,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2500,39,21583.80078125,6513,3,1,25764.900390625,19,4,0,0,1974,0,0,940,0,0,3,NA,5880,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,3,835,32,5449.5,6596,1,0,29775.900390625,12,4,0,0,0,0,0,0,0,0,3,NA,5880,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,3,1308,33,12576.900390625,1097,3,1,34232.1015625,13,5,0,4200,5573.39990234375,0,0,654,0,0,3,NA,5880,0,0,0,0,3,3,0,0,1,0
"61",1,0,1,10,11,8,1960,3,2522,26,14700,6673,0,0,17610.599609375,8,2,0,2910.60009765625,3433.5,0,0,249,0,0,3,NA,5880,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,3,1904,35,18375,254,2,1,47638.5,17,3,0,0,842.099975585938,0,0,401,0,0,3,NA,5880,0,0,0,0,3,3,0,1,1,0
"64",1,0,1,14,1,8,1956,3,4258,31,39963,6597,2,1,43050,12,3,0,0,0,0,0,0,0,0,3,NA,5880,0,0,0,0,3,3,0,1,1,0
"69",1,1,0,12,2,8,1960,10,2080,27,NA,547,1,0,33217.80078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,0,0,0,0,0,3,10,0,1,NA,0
"70",1,1,0,12,3,8,1962,10,2356,25,33600,2103,4,0,36960,5,3,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
