"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"4",1,0,1,4,10,10,1950,2100,26,NA,1221,4,0,50304,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,32226,0,0,0,0,2,24,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,1944,28,95499,4613,0,1,204753,9,0.300000011920929,0,0,0,0,0,0,0,0,12,16,110040,0,0,0,0,2,21,92,0,1,1,0
"30",1,0,1,17,10,11,1951,0,26,0,2256,0,1,55098.6015625,2,0.5,0,0,0,0,0,0,0,0,12,16,110040,0,0,0,0,2,21,NA,0,0,1,0
"38",0,0,1,12,10,11,1951,360,26,7074,2126,1,1,62094,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,8,9,29082,3930,0,0,0,2,13,NA,NA,NA,NA,1
"42",1,0,1,14,10,10,1947,2076,29,41265,2139,0,0,41265,10,0.200000002980232,0,0,0,0,0,0,0,0,8,9,29082,3930,0,0,0,2,13,32,0,1,1,0
"45",1,0,1,12,11,7,1949,2580,28,6091.5,3780,2,1,6500.22021484375,9,NA,0,408.720001220703,408.720001220703,0,0,0,0,0,8,9,29082,3930,0,0,0,2,13,55,0,1,1,0
"50",1,0,1,11,6,9,1949,2500,28,24079.109375,2028,1,1,24079.109375,NA,0.5,0,0,0,0,0,0,0,0,12,12,11790,0,0,0,0,2,14,11,0,1,1,0
"52",0,0,1,10,6,6,1948,0,29,0,3042,2,0,41980.26171875,3,0.400000005960464,0,0,3702.06005859375,0,0,60,7074,882,12,12,11790,0,0,0,0,2,14,NA,0,0,1,0
"55",1,0,1,12,5,12,1947,2805,30,16914.720703125,2027,2,1,23422.80078125,12,0.600000023841858,0,6508.080078125,6508.080078125,0,0,0,0,0,12,12,11790,0,0,0,0,2,14,11,0,1,1,0
"56",1,0,1,6,2,10,1948,2970,29,25545,1444,2,1,25545,10,1,0,0,0,0,0,0,0,0,2,NA,589.5,0,0,0,0,3,3,11,0,1,1,0
"57",1,0,1,4,8,8,1946,1804,30,16545.30078125,4550,2,1,18903.30078125,12,1,0,0,2283.330078125,0,0,581,0,0,2,NA,589.5,0,0,0,0,3,9,11,0,1,1,0
"62",1,0,1,12,5,11,1951,2750,26,25938,1575,1,1,35094.8984375,6,0.800000011920929,0,0,255.449996948242,0,0,65,0,0,2,NA,589.5,0,0,0,0,3,3,11,0,1,1,0
"75",1,1,0,12,2,8,1953,NA,25,NA,5664,3,NA,36156,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,12,8,33405,0,0,0,1,3,10,NA,NA,NA,NA,0
"622",0,0,1,9,NA,8,NA,0,31,0,5219,1,NA,66024,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,1984,33,77703.9609375,738,0,1,101480.4609375,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,92,0,1,1,0
"652",0,0,0,12,10,2,1941,0,35,0,3465,2,NA,28626.119140625,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,4500,47,97267.5,5121,0,1,198465,26,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,61,0,1,1,0
"674",0,0,1,17,8,10,1951,880,25,11790,4188,0,1,22794,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,NA,NA,NA,NA,1
"677",0,0,1,8,2,11,1934,0,43,0,130,0,0,1674.18005371094,26,0.200000002980232,0,0,1674.18005371094,1674.18005371094,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,1,0
"691",0,NA,NA,12,NA,9,NA,0,26,0,2580,2,NA,69954,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"762",1,0,1,10,1,9,1951,1960,26,66810,1883,1,1,66810,7,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
"768",1,0,1,12,NA,9,NA,1896,29,23862.9609375,5325,0,1,45045.66015625,9,0.400000005960464,0,1768.5,1768.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,0,1,0
"790",1,0,1,12,2,11,1952,2260,25,55020,1796,0,1,86460,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,55,0,1,1,0
"805",1,1,0,12,12,8,1949,2100,27,60129,1364,1,1,60129,8,0.5,0,0,0,0,0,0,0,0,12,6,70740,17685,0,0,0,2,34,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,3626,46,66810,4623,1,1,112398,27,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,44,0,1,1,0
