"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,2000,25,45850,3258,2,1,45850,2,0.5,0,0,0,0,0,0,0,0,11,10,41920,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1200,28,14132.2802734375,5245,3,1,83840,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,41920,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,1560,30,NA,2208,2,0,45850,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,10,41920,0,0,0,0,2,24,0,1,NA,0
"8",0,0,1,13,9,10,1953,571,27,14410,4844,3,1,100346,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,41920,0,0,0,0,3,9,0,1,NA,1
"15",1,1,0,14,8,9,1954,2040,26,47684,6146,0,1,73360,5,0.699999988079071,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,2070,27,44540,6452,0,0,44540,7,NA,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"19",0,0,1,15,12,9,1955,1708,25,23580,6320,1,0,23789.599609375,5,NA,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"26",1,0,1,14,6,11,1954,2552,26,71264,271,2,1,79124,4,0.699999988079071,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2160,32,109516,540,0,1,203207.203125,9,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,21,0,1,1,0
"30",1,0,1,17,10,11,1951,2520,30,61570,743,0,1,119210,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2026,28,41920,183,0,0,42438.76171875,7,0.200000002980232,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,34,0,1,1,0
"37",0,0,1,12,5,10,1953,312,27,5240,2521,2,NA,47812.37890625,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,8,9,49780,0,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,40,29,314.399993896484,173,1,1,26514.400390625,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,8,9,49780,0,0,0,0,2,13,0,0,NA,1
"40",1,0,1,11,NA,8,NA,1702,26,45850,483,0,0,51548.5,3,0.300000011920929,5698.5,0,5698.5,0,0,0,0,0,8,9,49780,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,2208,33,39300,586,2,1,64190,10,0.800000011920929,0,0,0,0,0,0,0,0,8,9,49780,0,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,2550,31,34060,6140,2,1,34426.80078125,9,0.800000011920929,0,0,0,0,0,0,0,0,8,9,49780,0,0,0,0,4,43,0,1,1,0
"50",1,0,1,11,6,9,1949,2545,31,22511.0390625,5214,3,1,25979.919921875,NA,0.800000011920929,0,0,0,0,0,0,0,0,12,12,15720,10480,0,0,0,2,14,0,1,1,0
"52",0,0,1,10,6,6,1948,1725,32,14410,2357,2,0,21850.80078125,3,0.400000005960464,0,0,7440.7998046875,7440.7998046875,0,0,0,0,12,12,15720,10480,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,1867,27,28820,3300,2,1,34060,NA,1,0,0,0,0,0,0,0,0,12,12,15720,10480,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,2160,33,15720,5403,1,1,16506,12,0.5,0,0,0,0,0,0,0,0,12,12,15720,10480,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,2394,33,24101.380859375,4848,3,1,24232.380859375,10,1.29999995231628,0,0,4433.0400390625,0,0,1692,0,0,2,NA,10480,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,1437,26,10364.7197265625,5710,1,1,10364.7197265625,3,0.800000011920929,0,0,1171.14001464844,0,0,447,0,0,2,NA,10480,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,1920,27,22532,4637,3,1,35886.140625,5,1,0,254.139999389648,741.460021972656,0,0,186,0,0,2,NA,10480,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,2176,29,22008,4192,2,1,23488.30078125,6,1,0,0,1886.40002441406,0,0,720,0,0,2,NA,10480,0,0,0,0,3,3,0,1,1,0
"72",0,1,0,12,4,8,1952,2750,28,31440,1361,1,0,31440,4,0.5,0,0,0,0,0,0,0,0,12,8,36680,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,1960,28,31440,2048,1,1,52400,5,0.5,0,0,0,0,0,0,0,0,12,8,36680,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,38,0,113,2,NA,46848.21875,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"600",1,0,1,12,7,3,1954,1924,26,44618.6015625,2580,1,1,45142.6015625,4,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"622",0,0,1,9,NA,8,NA,2544,35,31927.3203125,2425,1,0,42554.0390625,10,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"637",1,0,1,17,12,12,1943,1920,37,94702.5234375,5842,1,1,108064.5234375,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"652",0,0,0,12,10,2,1941,2510,39,23580,6510,2,NA,56068,21,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"674",0,0,1,17,8,10,1951,1140,29,9170,3322,0,1,31833,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,0,47,0,4784,0,NA,63469.5,18,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,2600,25,48470,1985,2,1,52719.640625,2,0.800000011920929,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,4,4,0,1,1,0
"762",1,0,1,10,1,9,1951,2205,30,78600,5315,2,1,78600,7,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"790",1,0,1,12,2,11,1952,2352,29,68120,3804,2,1,147899,6,0.600000023841858,0,786,786,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,1960,28,33536,122,0,0,38356.80078125,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,49706.640625,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,2744,31,78600,5277,2,1,96678,8,0.600000023841858,0,0,0,0,0,0,0,0,12,6,81220,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,2964,39,36680,3224,0,0,36680,12,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,160,36,3379.80004882812,516,1,0,24470.80078125,12,0.300000011920929,0,0,0,0,0,0,0,0,8,8,23580,15552.3203125,0,0,0,3,41,0,0,1,0
"841",0,0,1,12,12,10,1941,0,39,0,6490,3,1,86695.796875,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"842",0,0,1,16,2,11,1944,0,37,0,2725,3,1,282960,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,NA,1
"892",1,0,1,12,7,9,1932,2020,48,61046,4623,0,1,95808.15625,25,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"894",0,0,1,17,4,9,1943,576,38,11004,894,2,1,84757,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,0,NA,1
"970",0,0,1,12,10,11,1948,1920,31,20960,3411,1,1,47160,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"975",1,0,0,12,12,9,1938,2256,42,68644,823,1,1,83735.203125,19,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,4,4,0,1,1,0
"991",0,0,1,12,8,11,1924,2000,56,20960,5145,0,1,105882.0625,17,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"1036",0,1,0,13,7,10,1947,480,33,11004,5311,1,1,54296.87890625,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1050",0,NA,NA,12,NA,9,NA,2040,36,23580,4888,1,NA,86460,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"1114",1,0,1,14,12,13,1953,1806,27,55020,5262,0,0,61137.69921875,4,0.400000005960464,0,0,0,0,0,0,0,0,14,14,60260,20960,0,0,0,4,4,0,1,1,0
"1141",1,0,1,16,8,11,1949,2340,31,54496,1684,2,1,79648,8,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"1154",0,0,1,17,12,8,1953,1884,26,31440,2722,0,1,55020,3,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1161",1,0,1,13,9,10,1930,2111,50,178160,5510,1,1,335360,27,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1180",0,0,1,17,9,12,1948,1520,32,12743.6796875,3017,0,1,123684.9609375,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,11,68644,4118.64013671875,0,0,0,2,24,0,1,NA,1
"1187",0,0,1,17,5,9,1952,1920,28,47160,5728,0,1,120782,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1211",0,0,1,17,11,7,1943,1800,37,39300,1791,2,1,110171,14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1212",0,0,1,12,11,9,1943,1278,37,15091.2001953125,823,1,1,83735.203125,9,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1264",0,0,1,12,9,9,1949,1290,31,61570,5939,0,0,82490.703125,8,0.5,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,9,0,1,1,0
"1313",0,1,0,12,6,9,1924,2016,55,20598.439453125,280,0,NA,47961.71875,22,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1328",1,0,1,16,8,12,1926,2300,54,69430,5689,0,1,104800,31,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1334",0,0,1,12,1,10,1942,1768,39,22794,2748,1,1,66548,16,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,1888,27,27517.859375,2409,0,0,56337.859375,4,1,0,0,0,0,0,0,0,0,15,16,74015,37728,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,0,38,0,2663,2,1,46243,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"1371",1,0,1,17,11,12,1948,1860,32,62880,873,2,1,63626.69921875,6,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1374",0,0,1,12,2,10,1926,1564,55,14148,5056,0,NA,36051.19921875,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"1419",0,0,1,12,1,8,1956,0,25,0,4821,2,1,44540,3,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,11,62880,1572,0,0,0,1,20,0,0,NA,1
"1427",1,0,1,16,12,11,1952,2550,28,48208,847,0,1,83203.34375,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1431",1,0,1,16,3,11,1927,2112,53,116590,1642,0,1,174754,29,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"1490",0,0,1,11,10,11,1941,1400,39,15720,121,2,1,68549.6796875,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1495",0,0,1,12,3,11,1944,1032,37,5240,1080,3,NA,59039.078125,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1506",0,1,0,14,10,4,1953,1920,27,28820,3620,1,1,44540,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7860,0,NA,0,3,10,0,1,NA,1
"1544",0,0,1,12,12,9,1950,0,30,0,4825,2,1,65631,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,0,NA,1
"1546",0,0,1,14,9,10,1951,822,29,6550,308,1,1,85150,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"1583",0,0,1,12,4,10,1947,144,34,1572,5545,3,NA,80997.296875,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1584",0,0,1,16,9,11,1943,936,37,31440,1757,3,1,91804.796875,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1608",0,0,1,16,7,9,1936,0,44,0,2628,4,1,137183.203125,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"1612",0,1,0,12,5,7,1952,2080,28,28720.439453125,103,1,0,31460.9609375,5,0.400000005960464,0,0,2609.52001953125,0,2609.52001953125,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"1626",0,0,1,14,9,10,1950,960,30,8515,6138,0,1,104145,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,39614.3984375,0,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,2500,27,44540,5234,0,1,107420,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,16,12,524,2620,0,0,0,3,42,0,1,NA,1
"1647",0,0,1,12,5,9,1953,0,27,0,4339,2,1,109673.203125,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,11,8,36680,0,0,0,0,3,45,0,0,NA,1
"1654",0,NA,NA,12,NA,8,NA,1440,25,NA,5997,0,NA,52127.51953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,0
"1662",0,0,1,16,9,11,1938,1752,42,28820,507,0,1,148554,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,2100,29,52400,2382,0,NA,127594,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,16,0,353.700012207031,0,0,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,200,30,4716,5429,1,1,79988.6015625,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"1680",0,0,1,12,10,13,1924,120,56,1310,2570,0,1,62188.3203125,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,0,NA,0,1,29,0,0,NA,1
"1722",0,0,1,12,3,11,1954,2600,27,39300,4592,0,NA,105586,9,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1734",0,0,1,12,11,12,1949,1880,31,20960,6087,0,0,37570.80078125,3,0.5,0,0,0,0,0,0,5502,0,10,12,0,0,0,0,0,4,4,0,1,1,0
"1762",0,NA,NA,NA,NA,8,NA,780,34,NA,5504,0,NA,76228.8984375,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,0
"1772",1,0,1,8,2,10,1928,2080,53,46486.66015625,1584,0,1,46840.359375,30,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"1776",1,0,1,12,1,10,1938,2458,43,62880,1157,0,0,62880,24,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"1778",0,0,1,12,8,10,1920,1504,60,5764,5667,0,1,81220,15,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1787",1,0,1,12,3,13,1921,2040,60,209600,2698,0,1,223137.546875,26,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"1822",0,0,1,12,8,12,1923,432,57,4118.64013671875,3014,0,1,76983.4609375,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"1834",1,0,1,12,8,9,1929,3315,51,70740,2111,0,1,70740,27,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"1844",1,0,1,12,12,11,1928,1200,52,56536.98046875,1077,2,1,64737.578125,30,0.699999988079071,0,6707.2001953125,7545.60009765625,0,0,320,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"1863",1,0,1,17,6,9,1949,2375,31,78600,3898,3,1,79202.6015625,7,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,190,55,NA,902,0,NA,87070.4609375,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,0,1,NA,0
"1888",0,0,1,13,12,13,1920,0,60,0,4543,0,1,334547.8125,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,27,0,0,NA,1
"1889",1,0,1,15,4,11,1954,1920,26,57640,2597,0,1,103883,5,0.5,0,0,0,0,0,0,0,0,12,14,83840,18340,0,0,0,4,46,0,1,1,0
"1916",0,NA,NA,12,NA,12,NA,1968,29,31440,1279,1,NA,45008.98046875,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,27,0,1,NA,1
"1929",1,0,1,16,8,11,1926,2200,54,46819.3984375,1805,0,1,77918.796875,27,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1945",1,0,1,16,10,11,1946,2550,34,89080,3472,2,1,98512,11,0.5,0,0,0,0,0,0,0,0,16,16,65500,57640,0,0,0,1,18,0,1,1,0
"1981",0,0,1,12,2,10,1950,1659,31,27510,1727,2,1,77552,6,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1982",0,0,1,16,5,12,1951,0,29,0,3478,2,1,33798,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,12,44540,52400,0,0,0,2,40,0,0,NA,1
"1990",0,0,1,12,9,10,1947,2185,33,65500,1681,1,1,144990.796875,11,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"2001",0,0,1,16,10,13,1953,780,27,5240,5213,1,1,44540,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"2016",0,0,1,16,6,8,1949,1015,31,9825,1796,3,1,51923.16015625,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"2031",1,0,1,16,11,10,1939,3120,41,17187.19921875,3395,0,1,68164.5390625,18,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"2032",1,0,1,16,5,11,1947,1431,33,81220,4788,3,1,116590,6,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"2048",0,0,1,17,1,10,1947,0,34,0,4149,3,1,156152,8,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,589.5,0,NA,0,4,4,0,0,NA,1
"2064",1,0,1,15,NA,10,NA,1033,25,21484,312,0,1,58426,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"2065",1,0,1,16,4,13,1946,2000,35,66286,5969,1,1,122092,11,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"2086",0,1,0,17,7,5,1950,1392,30,31440,2505,4,1,89080,5,6,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,33536,0,NA,0,3,1,0,1,NA,1
"2096",1,0,1,13,12,11,1930,1667,50,33669.62109375,3471,2,1,109909,27,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"2107",1,0,0,12,10,10,1953,2000,27,62880,4137,1,1,72469.203125,4,0.5,0,1729.19995117188,1999.06005859375,0,0,103,0,0,NA,8,34060,NA,NA,0,0,4,4,0,1,1,0
"2114",1,0,1,15,4,10,1930,1992,51,91700,5725,0,1,100817.6015625,22,0.400000005960464,0,0,7545.60009765625,7545.60009765625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"2143",0,0,1,12,1,10,1955,0,27,0,3060,2,1,62880,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,0,NA,1
"2147",1,0,1,14,8,9,1949,2778,31,55020,3016,4,1,78600,8,1,0,0,0,0,0,0,0,0,12,14,117900,0,0,0,0,3,39,0,1,1,0
"2205",1,0,1,13,3,11,1938,NA,41,NA,2645,2,1,31843.48046875,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,0,NA
"2209",0,0,1,15,11,12,1946,750,34,10480,4776,1,NA,100372.203125,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,1,0,NA,1
"2219",0,0,1,12,7,10,1923,0,57,0,537,0,0,68088.5625,18,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,0,1,0
"2249",1,0,1,10,7,10,1954,1949,26,28820,2623,2,1,28820,4,1.29999995231628,0,0,0,0,0,0,0,0,7,4,12576,0,0,0,0,3,3,0,1,1,0
"2263",1,0,1,16,7,12,1948,2805,31,39300,1408,0,1,68120,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"2269",1,0,1,17,9,9,1954,3000,26,78600,2947,0,0,79124,4,0.200000002980232,0,0,0,0,0,0,0,0,NA,13,0,NA,NA,0,0,4,2,0,1,1,0
"2275",0,1,0,15,9,9,1951,0,30,0,940,3,NA,73360,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"2280",0,0,1,11,11,11,1944,0,36,0,5212,2,0,20559.140625,12,0.600000023841858,0,0,4763.16015625,0,3882.84008789062,336,6288,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,1,0
"2281",1,0,1,12,8,10,1956,660,25,NA,3921,0,0,105455,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,16,94320,1965,0,0,0,1,29,0,1,NA,0
"2285",1,0,1,16,7,10,1951,1618,29,NA,4528,0,NA,29894.19921875,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,0
"2296",0,1,0,7,10,8,1950,1792,30,17019.51953125,3660,6,1,34919.359375,4,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"2330",1,1,0,13,1,12,1956,385,26,13624,4734,1,1,51823.6015625,5,1,0,11737.599609375,11737.599609375,0,0,0,0,0,12,11,1904.73999023438,41920,0,0,0,2,24,0,0,1,0
"2347",1,0,1,16,10,12,1952,2016,28,64190,4845,0,0,65369,5,0.5,0,0,0,0,0,0,0,0,12,15,115280,0,0,0,0,2,34,0,1,1,0
"2355",1,0,1,12,6,10,1945,2287,35,25584.30078125,2657,0,0,26260.259765625,12,0.5,0,0,0,0,0,0,0,0,10,NA,NA,0,0,NA,0,2,13,0,1,1,0
"2357",0,0,1,12,3,10,1947,1162,34,15720,4666,3,1,48470,9,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"2368",0,0,1,13,4,10,1942,0,38,0,885,3,NA,123218.6015625,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"2374",1,0,0,8,5,7,1954,0,27,0,5113,3,1,8378.759765625,NA,1.70000004768372,0,0,7440.7998046875,0,4454,1140,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"2387",0,1,0,16,8,10,1947,1187,33,11004,6573,0,1,66024,15,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,23580,0,NA,0,3,16,0,0,NA,1
"2393",1,0,1,12,11,10,1934,1352,46,48994,3148,0,1,126100.6015625,23,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"2394",1,0,1,10,5,12,1943,2083,37,28820,4602,2,1,31440,14,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"2404",1,0,1,16,8,10,1952,2352,28,39300,2864,0,1,73360,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,41920,0,0,0,0,1,37,0,1,1,0
