"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"8641",0,0,1,13,NA,11,NA,346,27,NA,505,0,NA,207504,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,0
"8645",0,0,1,2,12,8,1929,0,51,0,5711,2,1,17548.759765625,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,0,NA,1
"8650",1,0,1,7,1,10,1928,2250,53,34060,1959,0,1,34060,29,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"8704",0,0,1,12,2,10,1929,0,52,0,4196,0,1,81220,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"8710",1,0,1,17,3,12,1953,219,28,10480,2173,0,1,59212,9,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"8738",1,0,1,12,10,12,1944,2400,36,41920,4916,1,1,68120,13,0.400000005960464,0,0,0,0,0,0,0,0,9,NA,NA,6681,0,NA,0,1,37,0,1,1,0
"8770",0,0,1,8,8,7,1932,0,49,0,1843,2,0,16212.5595703125,NA,0.600000023841858,0,0,18381.919921875,0,0,828,0,6188,NA,NA,NA,NA,NA,NA,0,4,4,0,0,1,0
"8784",0,0,1,11,11,12,1938,0,42,0,2755,2,1,34950.80078125,16,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,0,NA,1
"8798",1,1,0,9,4,8,1953,2184,27,23580,4224,3,1,31141.3203125,5,1,0,0,0,0,0,0,0,0,8,NA,NA,2358,0,NA,0,3,32,0,1,1,0
"8808",0,0,1,17,11,11,1920,1790,60,0,2090,0,NA,102206.203125,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,1,18,1,0,NA,0
"8815",0,0,1,13,11,13,1932,160,48,15720,1903,0,0,17816,20,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,1,0
