"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"4",1,0,1,4,10,10,1950,1530,26,NA,606,4,0,66796.3984375,NA,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,11,10,45980,0,0,0,0,2,24,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,1900,27,79420,4959,0,1,143792,9,1,0.200000002980232,0,0,0,0,0,0,0,12,16,108680,0,0,0,0,2,21,92,0,1,1,0
"30",1,0,1,17,10,11,1951,0,25,0,1262,0,1,59326.73828125,2,2,0.5,0,0,0,0,0,0,0,12,16,108680,0,0,0,0,2,21,NA,1,0,1,0
"38",0,0,1,12,10,11,1951,160,25,1337.59997558594,1351,1,1,63536,6,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,8,9,30932,11286,0,0,0,2,13,NA,0,0,NA,1
"42",1,0,1,14,10,10,1947,1720,29,30932,3181,0,0,32436.80078125,10,3,0.200000002980232,1504.80004882812,1705.43994140625,0,0,48,0,0,8,9,30932,11286,0,0,0,2,13,34,0,1,1,0
"45",1,0,1,12,11,7,1949,5096,27,37620,5834,2,1,37620,9,2,0.5,0,0,0,0,0,0,0,8,9,30932,11286,0,0,0,2,13,85,0,1,1,0
"50",1,0,1,11,6,9,1949,2371,27,20189.400390625,3127,1,1,23951.400390625,NA,3,0.699999988079071,0,0,0,0,0,0,0,12,12,12540,0,0,0,0,2,14,11,0,1,1,0
"52",0,0,1,10,6,6,1948,325,28,1254,3402,1,NA,63954,3,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,12,12,12540,0,0,0,0,2,14,NA,0,0,NA,1
"55",1,0,1,12,5,12,1947,1935,29,16720,5136,2,1,20064,12,3,0.600000023841858,0,1354.31994628906,0,0,324,0,0,12,12,12540,0,0,0,0,2,14,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2918,28,27170,3190,2,1,28424,10,3,1,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,3,3,11,0,1,1,0
"57",1,0,1,4,8,8,1946,1610,30,11724.900390625,5707,2,1,17974,12,NA,0.800000011920929,0,3569.71997070312,0,0,854,0,0,2,NA,0,0,0,0,0,3,3,81,0,1,1,0
"622",0,0,1,9,NA,8,NA,0,30,0,4386,3,NA,77873.3984375,7,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,0,NA,1
"637",1,0,1,17,12,12,1943,1800,32,68794.4375,2036,0,1,79169.203125,14,1,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,92,0,1,1,0
"652",0,0,0,12,10,2,1941,0,34,0,1331,2,NA,23512.5,15,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,0,NA,1
"665",1,0,1,12,NA,11,NA,3430,46,32248.69921875,3728,0,1,85690,26,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,61,0,1,1,0
"677",0,0,1,8,2,11,1934,1040,42,9614,2361,0,0,14630,26,5,0.200000002980232,5016,5016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,1,0
"680",1,1,0,12,2,12,1916,1800,60,100320,3468,5,1,138943.203125,42,3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,92,0,1,1,0
"691",0,NA,NA,12,NA,9,NA,0,25,0,1810,2,NA,68970,3,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"762",1,0,1,10,1,9,1951,2130,25,58520,980,1,1,66880,7,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
"768",1,0,1,12,NA,9,NA,2296,27,24160.400390625,653,0,1,45060.3984375,9,NA,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,33,0,1,1,0
"805",1,1,0,12,12,8,1949,2701,26,88198,3757,1,1,90267.1015625,8,3,0.400000005960464,0,0,0,0,0,0,0,12,6,79420,20235.380859375,0,0,0,2,34,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,4000,45,71060,5190,1,1,93005,27,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,44,0,1,1,0
"813",1,0,1,7,5,8,1916,1624,60,20114.16015625,3228,0,1,39960.80078125,41,4,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,51,0,1,1,0
"817",1,0,1,12,1,10,1943,2316,34,45980,1318,0,0,45980,12,2,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,71,0,1,1,0
"839",1,0,1,12,3,10,1945,2178,31,34276,872,1,0,34547.69921875,12,2,0.300000011920929,0,0,0,0,0,0,0,8,8,34276,0,0,0,0,3,41,42,0,1,1,0
"841",0,0,1,12,12,10,1941,120,34,1672,986,3,1,88281.6015625,4,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,NA,1
"842",0,0,1,16,2,11,1944,0,32,0,5401,3,1,214016,5,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,0,0,NA,1
"859",1,0,1,13,10,9,1919,1995,56,77530.640625,5009,0,1,93723.9609375,37,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,92,0,1,1,0
"892",1,0,1,12,7,9,1932,2338,43,75240,1062,1,1,88595.1015625,25,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,33,0,1,1,0
"894",0,0,1,17,4,9,1943,288,33,9196,3861,2,1,72314,15,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,NA,1
"970",0,0,1,12,10,11,1948,288,28,7574.16015625,4992,1,1,4.17999982833862,8,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,0,1,NA,1
"975",1,0,0,12,12,9,1938,2280,37,66880,4127,3,1,82764,19,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,56,0,1,1,0
"991",0,0,1,12,8,11,1924,2640,52,25080,3399,0,1,94677,17,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,0,NA,1
"1036",0,1,0,13,7,10,1947,2000,28,NA,3193,1,1,38234.4609375,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,0
"1050",0,NA,NA,12,NA,9,NA,1200,30,10450,549,2,NA,43890,1,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,NA,1
"1141",1,0,1,16,8,11,1949,1880,26,41800,1252,1,1,41800,8,NA,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,5,50,91,0,1,1,0
"1161",1,0,1,13,9,10,1930,2568,45,417995.8125,4750,2,1,417995.8125,27,5,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,30,0,1,1,0
"1180",0,0,1,17,9,12,1948,1260,27,6270,5006,0,1,120802,6,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,12,11,87362,0,0,0,0,2,24,NA,0,1,NA,1
"1211",0,0,1,17,11,7,1943,1800,32,38038,790,2,1,98648,14,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
"1212",0,0,1,12,11,9,1943,2184,32,15048,4127,3,1,82764,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"1237",1,0,1,14,NA,12,NA,748,34,NA,4974,0,NA,76636.1171875,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,0,0
"1264",0,0,1,12,9,9,1949,1685,26,20900,2039,0,0,21318,8,NA,0.5,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,9,61,0,1,1,0
"1274",1,0,1,NA,NA,11,NA,NA,60,NA,5666,0,NA,93632,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,0
"1313",0,1,0,12,6,9,1924,1312,49,16302,987,0,NA,71916.8984375,22,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"1328",1,0,1,16,8,12,1926,2570,49,60839.8984375,4319,1,1,100549.8984375,31,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,32,0,1,1,0
"1334",0,0,1,12,1,10,1942,1000,34,16720,2359,1,1,66044,16,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"1358",0,0,1,12,5,10,1943,0,33,0,4926,2,1,45980,4,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,NA,1
"1363",1,1,0,12,11,4,1950,NA,27,NA,2815,0,0,8778,NA,NA,0.100000001490116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,0
"1371",1,0,1,17,11,12,1948,2064,27,54340,3250,0,1,86108,6,1,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,92,0,1,1,0
"1374",0,0,1,12,2,10,1926,1440,50,16720,2552,2,NA,56764.3984375,15,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,NA,1
"1431",1,0,1,16,3,11,1927,1920,49,117040,1637,0,1,203984,29,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,32,0,1,1,0
"1452",0,NA,NA,12,NA,10,NA,1440,26,20900,3863,0,NA,96140,8,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,NA,1
"1489",1,0,1,8,NA,0,NA,1880,47,29435.560546875,1931,0,0,39266.921875,29,NA,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,31,0,1,1,0
"1490",0,0,1,11,10,11,1941,1960,35,28006,1640,2,1,82931.203125,15,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,0,1,NA,1
"1495",0,0,1,12,3,11,1944,0,32,0,5527,3,NA,58520,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,NA,1
"1519",1,0,1,16,1,11,1917,1480,59,150480,347,0,0,152570,36,2,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,44,0,1,1,0
"1544",0,0,1,12,12,9,1950,0,25,0,752,1,1,54131,6,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,0,NA,1
"1583",0,0,1,12,4,10,1947,0,29,0,5486,3,NA,91960,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,NA,1
"1584",0,0,1,16,9,11,1943,200,32,8360,3414,3,1,67904.1015625,8,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,NA,0,1,NA,1
"1608",0,0,1,16,7,9,1936,12,39,183.919998168945,2487,4,1,380563.90625,2,NA,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,NA,1
"1626",0,0,1,14,9,10,1950,2040,25,25080,2148,0,1,100738,7,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,13794,0,NA,0,2,34,NA,0,1,NA,1
"1662",0,0,1,16,9,11,1938,952,38,20900,1074,2,1,135014,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
"1674",0,0,1,16,5,8,1950,1920,25,33440,1928,0,1,71478,4,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,1,NA,1
"1680",0,0,1,12,10,13,1924,0,52,0,965,0,1,61680.078125,7,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,0,0,NA,1
"1700",1,0,1,12,7,9,1916,2010,59,60610,3094,0,1,77330,41,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,61,0,1,1,0
"1734",0,0,1,12,11,12,1949,1200,26,4180,5284,3,1,97812,4,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,10,12,0,31517.19921875,0,0,0,3,19,NA,0,0,NA,1
"1745",0,0,0,NA,NA,8,NA,1200,25,NA,4060,2,NA,96407.5234375,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,0
"1772",1,0,1,8,2,10,1928,2204,48,58520,4368,1,1,58770.80078125,30,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,31,0,1,1,0
"1776",1,0,1,12,1,10,1938,1152,38,40964,1956,2,1,40964,19,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,1,0
"1778",0,0,1,12,8,10,1920,1560,55,7106,5043,0,1,92796,15,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"1787",1,0,1,12,3,13,1921,2550,55,83704.5,708,1,1,87884.5,26,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,31,0,1,1,0
"1815",0,0,1,9,10,11,1915,1939,60,48070,3059,0,0,48613.3984375,41,3,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,11,0,1,1,0
"1822",0,0,1,12,8,12,1923,0,52,0,4494,0,1,91542,6,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,0,NA,1
"1834",1,0,1,12,8,9,1929,2805,45,62700,155,1,1,63490.01953125,27,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,11,0,1,1,0
"1838",1,1,0,12,NA,8,NA,1330,45,38706.80078125,4252,4,1,50996,27,NA,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,51,0,1,1,0
"1844",1,0,1,12,12,11,1928,1920,48,63118,5481,3,1,68426.6015625,30,4,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,31,0,1,1,0
"1858",1,0,1,12,9,10,1919,2304,57,25715.359375,124,0,1,54340,39,1,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,61,0,1,1,0
"1863",1,0,1,17,6,9,1949,2136,27,83600,2416,2,1,96904.9375,7,2,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,92,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,2040,49,17326.099609375,2667,2,NA,105754,11,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,0,1,NA,1
"1888",0,0,1,13,12,13,1920,0,55,0,2346,0,1,269158.5625,10,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,0,NA,1
"1896",0,NA,NA,16,NA,7,NA,NA,28,NA,3938,0,NA,25506.359375,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,0
"1929",1,0,1,16,8,11,1926,2456,49,56430,5673,0,1,94058.359375,27,3,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,61,0,1,1,0
"1945",1,0,1,16,10,11,1946,2796,29,78500.3984375,3266,0,1,82680.3984375,11,1,0.300000011920929,0,0,0,0,0,0,0,16,16,58520,75240,0,0,0,1,28,62,0,1,1,0
"1958",0,1,0,11,12,NA,1950,NA,26,NA,3621,0,1,27621.439453125,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,2633.39990234375,0,NA,0,3,32,NA,NA,NA,NA,0
"1981",0,0,1,12,2,10,1950,675,26,24244,3019,2,1,74320.3984375,6,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,0,1,NA,1
"1990",0,0,1,12,9,10,1947,1960,28,50160,5496,1,1,117416.203125,11,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
"2016",0,0,1,16,6,8,1949,60,26,877.799987792969,291,2,1,67820.5,8,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,0,NA,1
"2031",1,0,1,16,11,10,1939,3080,36,97494.3203125,3148,2,1,219868,18,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,11,0,1,1,0
"2032",1,0,1,16,5,11,1947,3583,29,52250,4892,2,1,61237,6,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,87,0,1,1,0
"2048",0,0,1,17,1,10,1947,0,29,0,2740,2,1,114323,8,NA,0.5,NA,NA,NA,NA,NA,NA,NA,12,16,133760,1463,0,0,0,2,22,NA,0,0,NA,1
"2065",1,0,1,16,4,13,1946,2500,29,37620,624,2,1,54340,11,2,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,44,0,1,1,0
"2086",0,1,0,17,7,5,1950,1480,25,33440,1129,3,1,90706,5,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,33440,0,NA,0,3,1,NA,0,1,NA,1
"2096",1,0,1,13,12,11,1930,2080,45,56597.19921875,1391,4,1,141785.59375,27,3,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,57,0,1,1,0
"2111",0,NA,NA,12,NA,10,NA,2080,40,12707.2001953125,204,1,NA,73651.6015625,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,NA,1
"2114",1,0,1,15,4,10,1930,2085,45,75240,2419,0,1,76744.796875,22,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,31,0,1,1,0
"2147",1,0,1,14,8,9,1949,2470,26,75240,4290,0,1,89870,8,2,0.400000005960464,0,0,0,0,0,0,0,12,14,68970,0,0,0,0,3,9,61,0,1,1,0
"2192",1,0,0,4,NA,5,NA,1627,42,22572,4305,4,1,26200.240234375,21,NA,1.20000004768372,0,7172.8798828125,0,0,848,0,868,NA,NA,NA,NA,NA,NA,0,4,2,40,0,1,1,0
"2205",1,0,1,13,3,11,1938,NA,36,NA,3147,2,1,26501.19921875,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,NA,0,NA
"2209",0,0,1,15,11,12,1946,1058,29,10450,1752,1,0,36031.6015625,10,2,0.400000005960464,0,23073.599609375,23073.599609375,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,87,0,1,1,0
"2219",0,0,1,12,7,10,1923,337,52,6215.66015625,3911,0,0,64317.66015625,18,5,0.300000011920929,0,33962.5,33962.5,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"2224",1,0,1,12,NA,9,NA,2040,33,50160,5138,2,0,50996,16,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,51,0,1,1,0
"2255",1,0,1,12,10,9,1913,0,60,0,5691,0,1,71060,30,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"2263",1,0,1,16,7,12,1948,2160,28,17054.400390625,2756,0,0,30346.80078125,6,1,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,11,0,1,1,0
"2280",0,0,1,11,11,11,1944,0,31,0,5709,2,0,24260.720703125,12,3,0.600000023841858,0,20565.599609375,0,16109.7197265625,1066,6270,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,1,0
"2296",0,1,0,7,10,8,1950,1440,26,4180,4182,5,1,42176.19921875,4,NA,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,NA,1
"2355",1,0,1,12,6,10,1945,2276,30,33552.859375,2026,0,0,34263.4609375,12,2,0.5,0,0,0,0,0,0,0,10,NA,NA,2257.19995117188,0,NA,0,2,13,40,0,1,1,0
"2357",0,0,1,12,3,10,1947,504,29,6688,3495,2,1,40483.30078125,9,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"2368",0,0,1,13,4,10,1942,0,33,0,789,4,0,85414.1171875,NA,2,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,0,1,0
"2387",0,1,0,16,8,10,1947,2000,28,NA,1867,0,NA,48170.3203125,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,16720,0,NA,0,3,16,NA,NA,NA,NA,0
"2393",1,0,1,12,11,10,1934,2008,41,61028,791,1,1,148979.375,23,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,57,0,1,1,0
"2394",1,0,1,10,5,12,1943,2805,32,29260,1183,2,1,32269.599609375,14,1,1,0,0,0,0,0,3135,0,NA,NA,NA,NA,NA,NA,0,3,45,33,0,1,1,0
"2415",0,0,1,7,3,7,1938,0,37,0,33,1,1,56012,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,0,NA,1
"2443",1,0,1,12,2,10,1945,2112,31,58520,3183,0,1,81510,13,3,0.300000011920929,0,0,0,0,0,0,0,12,8,2508,0,0,0,0,2,13,44,0,1,1,0
"2451",0,0,1,17,6,11,1948,1120,27,17556,4130,0,1,91019.5,9,NA,0.5,NA,NA,NA,NA,NA,NA,NA,12,12,66880,0,0,0,0,4,4,NA,0,0,NA,1
"2452",1,0,1,12,1,6,1927,0,49,0,1247,0,1,33590.48046875,25,4,0.300000011920929,0,14847.3603515625,14847.3603515625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,0,0,1,0
"2490",0,0,1,11,11,7,1942,0,32,0,4651,2,0,43288.078125,2,NA,0.400000005960464,10483.4404296875,43288.078125,32804.640625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"2539",1,1,0,10,NA,6,NA,0,59,0,2974,0,1,11862.83984375,47,NA,0.400000005960464,0,10759.3203125,9254.51953125,0,360,0,0,NA,NA,NA,NA,NA,NA,0,3,17,NA,0,0,1,0
"2581",0,0,1,15,3,12,1924,480,52,12540,2486,0,1,118294,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,NA,1
"2582",1,0,1,12,1,8,1950,3284,26,50160,5375,0,1,64790,7,3,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,15,55,0,1,1,0
"2586",0,0,1,8,9,5,1929,0,46,0,1121,2,1,43150.140625,2,4,1.29999995231628,0,24260.720703125,0,8151,676,0,3178,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,1,0
"2616",0,0,1,12,3,10,1937,0,40,0,4749,8,1,32771.19921875,5,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,NA,1
"2633",0,NA,NA,11,NA,10,NA,0,49,0,2997,0,NA,12790.7998046875,6,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,NA,1
"2636",0,0,1,12,8,7,1936,1880,39,35028.3984375,3850,1,1,99985.6015625,21,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,37,NA,0,1,NA,1
"2666",0,1,0,12,8,8,1929,1960,47,20235.380859375,683,0,1,141706.1875,24,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
"2667",0,0,1,4,4,0,1934,NA,42,NA,1290,2,NA,49825.6015625,NA,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,0
"2668",1,0,1,12,NA,9,NA,2100,40,89870,5832,3,1,137731,22,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,71,0,1,1,0
"2695",1,0,1,13,NA,11,NA,3797,33,58520,5668,0,0,60275.6015625,15,NA,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,62,0,1,1,0
"2701",1,0,1,12,6,11,1924,1920,51,104500,914,1,1,122892,31,1,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,51,0,1,1,0
"2710",1,0,1,12,5,10,1917,2100,58,25080,2796,0,1,32988.55859375,40,3,0.699999988079071,0,1705.43994140625,0,0,408,0,0,NA,NA,NA,NA,0,NA,0,3,9,83,0,1,1,0
"2713",1,0,1,15,11,12,1945,2550,30,93214,1639,2,1,93214,12,1,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,61,0,1,1,0
"2734",1,0,1,12,2,11,1950,2095,27,31350,1181,1,1,31350,8,3,0.699999988079071,0,0,0,0,0,0,0,7,6,38874,16720,0,0,0,3,45,42,0,1,1,0
"2801",1,0,1,12,12,12,1941,2260,34,44726,2226,0,1,46941.3984375,16,2,0.200000002980232,1254,1776.5,0,0,125,0,0,NA,NA,NA,NA,NA,NA,0,4,46,61,0,1,1,0
"2804",1,1,0,5,3,8,1925,2040,50,18810,3550,1,1,29343.599609375,32,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,62,0,1,1,0
