"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"18313",1,0,1,17,11,11,1947,2000,28,61446,30,2,1,61889.078125,10,NA,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,85,0,1,1,0
"18315",1,0,1,4,8,8,1922,3000,53,33440,1547,1,1,92624.6171875,35,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,11,0,1,1,0
"18345",0,0,1,12,3,10,1924,0,52,0,1028,0,NA,33929.05859375,18,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,0,1,NA,1
"18349",1,0,1,10,6,10,1943,2580,32,62700,968,1,1,63327,14,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,30,0,1,1,0
"18369",1,0,1,16,10,12,1941,2000,34,100320,1795,2,1,163438,17,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,86,0,1,1,0
"18376",0,0,1,12,9,9,1935,1800,40,25498,4782,3,1,101574,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"18389",0,0,1,12,8,10,1950,1960,25,NA,2382,0,NA,117708.796875,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,4012.80004882812,0,NA,0,1,20,NA,NA,NA,NA,0
"18391",1,0,1,12,9,12,1948,1960,27,50160,270,1,1,87780,9,1,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,92,0,1,1,0
"18400",1,0,1,12,NA,10,NA,2250,25,NA,5782,0,NA,42656.8984375,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,0
"18416",0,0,1,12,7,10,1947,0,28,0,2191,1,1,128493.203125,8,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,0,NA,1
"18467",1,0,1,16,10,11,1949,2004,26,40546,1902,0,0,40755,8,NA,0.200000002980232,0,0,0,0,0,0,0,NA,10,10450,NA,NA,0,0,3,9,92,0,1,1,0
"18477",0,0,1,12,3,12,1927,0,48,0,449,1,NA,135850,6,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"18479",1,0,1,12,6,11,1927,2295,49,67703.4609375,3024,0,1,125400,31,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,11,0,1,1,0
"18501",0,0,1,12,3,11,1926,2090,50,47714.69921875,1982,1,0,58499.1015625,23,NA,0.400000005960464,0,10032,10032,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,86,0,1,1,0
"18518",0,0,1,12,1,9,1930,0,46,0,4265,0,1,103664,3,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,NA,1
"18523",1,0,1,16,6,12,1950,264,25,4180,4583,0,0,24210.560546875,7,1,0.5,14546.400390625,14546.400390625,0,0,0,0,0,12,16,125400,0,0,0,0,1,37,NA,1,0,1,0
