"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"1838",1,1,0,12,NA,8,NA,NA,2000,42,56708.80078125,3576,5,1,56708.80078125,1.70000004768372,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,51,0,1,1,0
"1844",1,0,1,12,12,11,1928,NA,2058,44,67418.078125,2458,4,1,67686.078125,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,92,0,1,1,0
"1848",0,0,1,NA,NA,12,NA,NA,360,56,NA,5083,0,NA,120064,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,0
"1858",1,0,1,12,9,10,1919,NA,2940,53,64320,261,0,1,80400,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,NA,1200,46,9197.759765625,2602,2,NA,134621.765625,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"1888",0,0,1,13,12,13,1920,NA,0,52,0,1002,0,1,535994.625,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"1929",1,0,1,16,8,11,1926,NA,2225,46,53600,4675,0,1,97820,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"1945",1,0,1,16,10,11,1946,NA,2596,26,50384,471,0,1,62444,0.5,0,0,0,0,0,0,NA,16,96480,69680,0,0,0,1,20,NA,62,0,1,1,0
"1990",0,0,1,12,9,10,1947,NA,1912,25,45560,1920,1,1,134000,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"2031",1,0,1,16,11,10,1939,NA,3120,33,29801.599609375,3866,2,1,64320,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,11,0,1,1,0
"2032",1,0,1,16,5,11,1947,NA,2054,26,53600,1658,1,1,56280,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,87,0,1,1,0
"2044",1,0,1,NA,NA,12,NA,NA,NA,27,NA,2087,0,NA,73566,0.5,NA,NA,NA,NA,NA,NA,12,12,65928,0,0,0,0,4,4,NA,NA,NA,NA,NA,0
"2048",0,0,1,17,1,10,1947,NA,1900,26,53600,1199,0,1,273360,NA,NA,NA,NA,NA,NA,NA,12,16,150080,1822.40002441406,0,0,0,2,22,NA,NA,NA,NA,NA,1
"2065",1,0,1,16,4,13,1946,NA,2205,27,80400,4311,2,1,103448,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,51,0,1,1,0
