"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"40341",0,0,1,16,8,11,1949,1994,30,31790,5555,1,1,96950.828125,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,11,10,55777,31212,0,0,0,4,4,NA,0,1,NA,1
"40345",1,0,1,14,11,11,1954,2040,25,36992,2869,0,1,45705.3515625,5,0.699999988079071,0,0,0,0,0,0,0,0,12,12,78030,0,0,0,0,4,5,51,0,1,1,0
"40357",0,0,1,16,2,10,1945,2060,34,30345,3196,2,0,38957.19921875,10,0.400000005960464,0,0,0,0,0,0,6011.2001953125,0,NA,NA,NA,NA,NA,NA,0,3,19,61,0,1,1,0
"40360",0,1,0,8,12,7,1921,630,58,4335,5386,0,1,17724.369140625,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,0,0,NA,1
"40373",1,0,1,14,9,12,1953,260,26,0,3035,0,0,223145.5625,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,16,130050,34680,0,0,0,3,16,NA,1,0,NA,0
"40375",1,0,1,17,4,11,1947,1950,32,58378,1577,0,0,60112,11,1,0,0,0,0,0,0,0,0,12,12,63580,0,0,0,0,2,22,87,0,1,1,0
"40376",1,0,1,17,8,11,1945,2043,34,17340,5516,2,1,54910,8,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,87,0,1,1,0
"40378",0,0,1,15,4,12,1952,2510,28,54910,3804,0,1,101150,3,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,1,NA,1
"40394",1,0,1,12,12,9,NA,1840,29,60690,4063,1,1,60690,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,51,0,1,1,0
"40441",1,0,1,17,6,11,1935,2550,44,52020,1643,3,1,254320,22,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,71,0,1,1,0
"40459",1,0,1,12,9,11,1933,1916,46,63580,4849,1,1,63580,23,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,31,0,1,1,0
"40488",0,0,1,11,5,7,1940,2142,40,13583,5470,4,1,57343.37890625,12,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,NA,1
"40495",0,0,1,12,8,8,1935,800,44,11028.240234375,2889,2,1,127561.7109375,7,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,0,1,NA,1
"40501",1,0,1,13,4,10,1937,1697,43,73258.609375,5690,1,0,142188,20,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,32,0,1,1,0
"40584",1,0,1,12,4,11,1949,3060,31,20808,3503,1,1,23698,5,0.400000005960464,0,0,0,0,0,0,0,0,12,8,43113.01953125,0,0,0,0,2,14,69,0,1,1,0
"40591",0,0,1,13,5,11,1949,0,30,0,1539,2,1,30345,7,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
