"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"677",0,0,1,8,2,11,1934,NA,0,50,0,1454,0,NA,57937,18,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,21,2760,28,68997.703125,5373,2,1,84272,2,1,0.800000011920929,0,0,0,0,0,0,0,0,12,NA,NA,11450,0,NA,0,4,4,0,1,1,0
"770",0,1,0,13,1,9,1959,20,2150,25,40075,6775,0,1,79577.5,7,1,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,12,48408.30859375,0,0,0,0,1,20,0,1,NA,1
"790",1,0,1,12,2,11,1952,12,3120,32,38930,4154,0,1,68700,6,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,48,1960,32,36983.5,5580,0,0,36983.5,6,2,0.300000011920929,0,0,0,0,0,0,0,0,12,12,42136,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,NA,1960,34,60456,4505,3,1,74425,8,2,0.699999988079071,0,0,0,0,0,0,0,0,12,6,70990,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,2805,42,77860,5705,0,0,77951.6015625,12,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,NA,2205,39,33205,2366,2,1,42994.75,12,2,0.800000011920929,0,171.75,171.75,0,0,0,0,0,8,8,8060.7998046875,0,0,0,0,3,41,0,1,1,0
"841",0,0,1,12,12,10,1941,NA,0,42,0,5004,4,1,93088.5,4,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"842",0,0,1,16,2,11,1944,NA,0,40,0,2576,3,1,593797,5,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,NA,1
