"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","weight","bmi","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,1960,30,56420,2871,3,1,56420,11,3,72,190,25.7658176422119,0,0,0,0,0,0,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1500,33,10307.5,3104,3,1,56420,7,3,63,115,20.3691101074219,0,0,0,0,0,NA,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,1410,35,NA,4306,1,0,31159.029296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,4002,27,38192,2876,2,1,40730.8984375,9,2,69,165,24.3635787963867,0,0,0,0,0,0,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2046,25,27125,3103,2,1,29928.640625,7,2,72,200,27.1219139099121,0,0,0,0,0,0,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,716,32,14105,6528,3,1,92277.078125,13,2,62,130,23.7747135162354,0,0,0,0,0,NA,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,2112,29,34720,3102,3,1,53000.078125,10,1,72,200,27.1219139099121,0,486.079986572266,1527.68005371094,0,0,480,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"17",1,1,0,13,11,9,1960,2195,25,33635,300,2,1,60760,4,2,65,137,22.795503616333,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,1810,33,52080,6893,3,0,113925,13,3,59,110,22.214879989624,0,0,0,0,0,NA,0,0,11,11,0,0,0,0,0,1,37,0,0,NA,1
"19",0,0,1,15,12,9,1955,1750,30,40145,2741,2,0,40145,8,3,62,137,25.0548915863037,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,2189,28,30744.560546875,1070,3,0,30896.4609375,9,3,62,175,32.0044212341309,0,0,477.399993896484,0,0,220,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"23",1,1,0,14,8,9,1958,1820,26,NA,787,3,0,82034.6796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,0,0,0,1,29,0,1,NA,0
"25",0,0,1,16,12,11,1956,1740,29,32550,4042,1,1,107415,10,1,65,115,19.1349105834961,0,0,0,0,0,NA,0,0,NA,17,13888,NA,NA,0,0,4,4,0,1,NA,1
"26",1,0,1,14,6,11,1954,2662,31,86800,2004,0,0,86800,12,1,72,220,29.8341045379639,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2207,38,145390,2929,0,1,206150,19,1,71,145,20.2211856842041,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,3,19,0,1,1,0
"30",1,0,1,17,10,11,1951,2684,35,75950,2002,2,1,157813.25,10,2,70,135,19.3683681488037,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2214,33,53382,4041,0,0,53382,14,1,64,115,19.737548828125,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,1,0
"32",0,0,1,16,9,11,1960,1996,25,41772.5,3377,0,NA,63526.75,7,2,69,130,19.1955471038818,0,0,0,0,0,NA,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,NA,1
"33",1,0,1,17,1,11,1959,2048,27,17902.5,2354,1,1,76709.5,8,3,74,240,30.8108100891113,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,12,0,1,1,0
"37",0,0,1,12,5,10,1953,607,32,8680,4931,3,NA,72901.1484375,NA,3,62,NA,NA,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,2660,34,28752.5,4234,1,0,35581.48828125,10,4,57,110,23.8011703491211,0,0,0,0,0,0,6770.39990234375,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"41",1,0,1,9,2,8,1957,1428,29,44485,6070,0,0,47609.80078125,10,1,65,140,23.2946739196777,2818.830078125,305.970001220703,3124.80004882812,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,2800,38,62930,4761,4,1,62930,17,3,69,180,26.5784492492676,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,1229,26,13020,4233,3,1,66592.9609375,4,3,62,115,21.0314769744873,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,1,NA,1
"45",1,0,1,12,11,7,1949,2754,36,45743.6015625,5308,2,1,46889.359375,21,2,66,170,27.4357204437256,1145.76000976562,0,1145.76000976562,0,0,0,0,0,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,1500,25,34720,5370,2,0,60760,NA,3,65,105,17.4710063934326,0,0,0,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,2101,36,23870,3523,0,0,23870,18,3,67,145,22.7077293395996,0,0,0,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,2008,27,15190,1928,2,1,80290,5,1,63,105,18.5978832244873,0,0,0,0,0,NA,0,0,12,12,15190,8680,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,1104,37,21700,659,2,0,52114.71875,12,3,65,114,18.9685211181641,0,0,20832,20832,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,1560,33,15190,5174,1,0,29342.740234375,14,3,73,175,23.0859451293945,0,3808.35009765625,3808.35009765625,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,1785,38,30380,5162,3,1,37975,19,3,70,165,23.6724491119385,0,0,0,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,2538,38,24955,6862,3,1,29755.0390625,19,3,69,284,41.934886932373,0,0,3124.80004882812,0,0,1440,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,868,31,6510,6861,2,0,12332.1103515625,12,4,66,180,29.0495872497559,0,0,0,0,0,0,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,2508,32,22656.970703125,6819,3,1,43957.69140625,13,5,67,165,25.8398303985596,0,0,1432.19995117188,0,0,660,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"61",1,0,1,10,11,8,1960,NA,25,NA,6863,0,NA,20990.41015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10850,0,0,0,0,3,3,NA,NA,NA,0
"62",1,0,1,12,5,11,1951,2260,34,14105,1273,2,1,41325.48046875,17,3,69,210,31.0081920623779,0,0,0,0,0,0,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"64",1,0,1,14,1,8,1956,344,30,NA,6861,2,1,12332.1103515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10850,0,0,0,0,3,3,0,1,NA,0
"69",1,1,0,12,2,8,1960,2080,26,NA,2824,0,0,33027.3984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,0,0,0,0,0,3,10,0,1,NA,0
"72",0,1,0,12,4,8,1952,1964,33,28242.55078125,3100,1,0,28242.55078125,15,3,65,180,29.9502964019775,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"73",1,1,0,12,3,8,1961,1184,25,14131.0400390625,3099,0,0,14673.5400390625,2,4,73,160,21.1071491241455,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,1962,33,47740,3098,2,1,76047.6484375,14,2,74,210,26.9594593048096,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,2200,28,30380,3632,2,0,30380,9,3,61,130,24.5606021881104,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,44,0,6036,1,NA,30312.73046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"600",1,0,1,12,7,3,1954,1856,31,62930,1107,1,1,62930,12,3,72,220,29.8341045379639,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"632",1,0,1,11,5,11,1934,2283,51,66799.109375,897,0,1,134540,33,1,70,150,21.5204086303711,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"637",1,0,1,17,12,12,1943,2003,42,117180,2368,1,1,151099.265625,23,1,74,190,24.3918914794922,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"671",0,0,1,12,7,11,1954,0,31,0,6629,2,NA,60760,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,1
"674",0,0,1,17,8,10,1951,684,34,15190,1967,2,1,111104,10,1,66,112,18.0752983093262,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,0,52,0,2464,0,NA,63218.609375,NA,5,64,270,46.34033203125,0,0,8697.3603515625,8697.3603515625,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,3750,30,69440,6246,2,1,87038.703125,11,1,76,225,27.3848686218262,0,0,0,0,0,0,0,0,12,NA,NA,14105,0,NA,0,4,4,0,1,1,0
"764",0,0,1,13,5,11,1960,2104,25,23870,1662,1,1,60760,7,3,64,235,40.333251953125,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"769",0,0,1,12,4,10,1960,0,25,0,2876,2,NA,40730.8984375,NA,2,66,120,19.3663921356201,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"770",0,1,0,13,1,9,1959,2916,27,46655,6993,0,1,92767.5,8,2,65,NA,NA,0,0,0,0,0,NA,0,0,12,11,49910,NA,0,0,0,1,20,0,1,NA,1
"780",1,0,1,15,10,13,1960,2080,25,30380,6186,0,0,30380,6,1,75,180,22.496000289917,0,0,0,0,0,0,0,0,16,16,79205,16275,0,0,0,3,32,0,1,1,0
"790",1,0,1,12,2,11,1952,3120,34,65100,2732,0,1,110670,15,1,73,190,25.0647392272949,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,2079,34,36456,5784,0,0,37150.3984375,15,2,72,165,22.3755779266357,0,0,0,0,0,0,0,0,12,12,50263.7109375,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,1944,36,36890,4300,4,1,36890,17,3,73,210,27.7031345367432,0,0,0,0,0,0,0,0,12,9,54250,0,0,0,0,2,34,0,0,1,0
"817",1,0,1,12,1,10,1943,2607,44,23870,3116,0,0,27559,25,2,76,185,22.5164470672607,0,2604,2604,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,2805,40,49910,345,2,1,50778,20,2,71,165,23.0103149414062,0,0,0,0,0,0,0,0,8,8,9114,0,0,0,0,3,41,0,1,1,0
"840",1,0,1,17,5,10,1954,2608,31,73780,5754,0,1,159061,13,1,70,165,23.6724491119385,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"841",0,0,1,12,12,10,1941,172,44,1840.16003417969,1380,3,1,122969.5625,7,1,63,125,22.1403369903564,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"842",0,0,1,16,2,11,1944,100,41,4557,5254,3,1,651455.6875,8,1,63,123,21.7860927581787,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"865",1,0,1,10,9,9,1956,2696,29,64535.80078125,2681,2,0,102983.859375,10,3,71,155,21.6157512664795,1681.75,0,6928.81005859375,5247.06005859375,0,0,0,0,5,NA,NA,26775.630859375,0,NA,0,2,48,0,1,1,0
"892",1,0,1,12,7,9,1932,1968,53,45570,2724,0,1,82677,33,3,70,180,25.8244895935059,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"893",0,0,1,16,2,10,1957,1520,29,21700,5300,1,1,81375,8,2,65,135,22.4627227783203,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,1990,42,28210,479,2,1,108500,21,2,69,190,28.0550308227539,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"951",0,0,1,17,11,11,1958,1860,27,26040,6866,1,NA,52731,4,3,66,130,20.9802570343018,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"970",0,0,1,12,10,11,1948,1542,36,14942.6201171875,6171,1,1,10602.6201171875,12,3,65,158,26.2897033691406,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"975",1,0,0,12,12,9,1938,2832,47,91140,3155,0,1,176796.40625,29,2,71,215,29.9831390380859,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"976",0,0,1,12,5,10,1960,1960,25,30380,1344,1,NA,95480,7,2,67,130,20.3586540222168,0,0,0,0,0,NA,0,0,5,5,3454.63989257812,9027.2001953125,0,0,0,3,41,0,1,NA,1
"998",0,0,1,12,5,11,1958,1440,27,14962.150390625,2322,0,0,15721.650390625,5,2,65,190,31.614200592041,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,1,0
"1036",0,1,0,13,7,10,1947,1824,38,28210,2076,1,1,87012.65625,12,3,67,132,20.6718654632568,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1068",1,0,1,17,1,11,1950,2860,36,12325.599609375,4862,1,1,39060,13,1,73,180,23.7455425262451,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1114",1,0,1,14,12,13,1953,1758,32,78814.3984375,6043,0,0,82720.3984375,13,1,71,155,21.6157512664795,0,0,0,0,0,0,0,0,14,14,12152,15624,0,0,0,4,4,0,1,1,0
"1154",0,0,1,17,12,8,1953,1239,32,40362,2719,1,1,86800,11,1,67,125,19.5756301879883,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1161",1,0,1,13,9,10,1930,2840,55,0,5239,1,1,76167,37,5,73,180,23.7455425262451,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,1,0
"1172",1,0,1,16,7,12,1959,2165,26,58590,551,0,0,61539.03125,7,2,70,145,20.8030605316162,0,0,0,0,0,0,0,0,16,17,86800,40904.5,0,0,0,2,21,0,1,1,0
"1180",0,0,1,17,9,12,1948,1908,37,52080,135,0,1,270165,NA,1,72,168,22.7824077606201,0,0,0,0,0,NA,0,0,12,12,36890,2148.30004882812,0,0,0,2,24,0,1,NA,1
"1185",1,0,1,12,7,10,1958,2440,27,36890,1420,0,1,73780,8,1,72,187,25.3589897155762,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"1187",0,0,1,17,5,9,1952,2232,34,73780,6722,1,1,182497,14,1,67,145,22.7077293395996,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1205",1,0,1,17,3,11,1957,2460,29,71610,3306,0,1,78445.5,10,2,73,175,23.0859451293945,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"1211",0,0,1,17,11,7,1943,2130,42,46438,4460,2,1,103953.8515625,19,1,64,130,22.31201171875,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1212",0,0,1,12,11,9,1943,1132,42,15841,3155,0,1,176796.40625,8,4,63,240,42.509449005127,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1247",0,0,1,17,8,10,1956,1904,29,40145,5268,2,1,78293.6015625,7,2,66,160,25.8218555450439,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1249",1,0,1,14,1,10,1958,2827,28,60760,2468,0,0,60760,9,2,67,172,26.9360656738281,0,0,0,0,0,0,0,0,12,14,41360.19921875,18445,0,0,0,1,31,0,1,1,0
"1289",0,0,1,14,3,12,1959,1368,27,12152,2245,0,1,66499.6484375,6,2,62,120,21.9458904266357,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"1313",0,1,0,12,6,9,1924,1904,59,30380,3749,0,NA,85129.1015625,41,1,62,234,42.7944831848145,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1314",0,0,1,14,9,11,1960,2328,25,24390.80078125,5323,0,1,59110.80078125,7,1,70,160,22.9551029205322,0,0,0,0,0,NA,0,0,12,14,0,18445,0,0,0,2,26,0,1,NA,1
"1328",1,0,1,16,8,12,1926,2530,59,97650,2314,0,1,136710,NA,2,69,170,25.1018695831299,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1334",0,0,1,12,1,10,1942,1800,44,26040,6147,1,1,66419.359375,25,3,66,185,29.8565196990967,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,1544,32,24269.279296875,442,0,0,28175.279296875,12,2,74,185,23.75,0,0,0,0,0,0,0,0,15,16,57939,26040,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,1913,42,14105,4045,1,1,76449.1015625,8,2,68,150,22.804931640625,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1371",1,0,1,17,11,12,1948,1992,37,42315,1564,2,1,70525,15,1,74,165,21.1824321746826,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1374",0,0,1,12,2,10,1926,1350,60,16275,813,0,NA,25996.599609375,23,3,63,140,24.7971782684326,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"1412",0,0,1,12,3,11,1960,848,25,8680,79,2,1,49910,NA,3,61,125,23.6159629821777,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"1419",0,0,1,12,1,8,1956,0,29,0,6095,3,1,63364,NA,3,67,140,21.9247055053711,0,0,0,0,0,NA,0,0,11,10,1953,12369,0,0,0,1,20,0,0,NA,1
"1427",1,0,1,16,12,11,1952,1350,33,52080,1771,0,1,72695,12,1,73,185,24.4051418304443,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1431",1,0,1,16,3,11,1927,2200,59,117180,3880,0,1,212660,40,2,71,175,24.4048805236816,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"1490",0,0,1,11,10,11,1941,1784,44,29742.01953125,582,0,1,91363.5078125,25,1,68,123,18.7000427246094,0,468.720001220703,468.720001220703,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1495",0,0,1,12,3,11,1944,1307,42,8680,855,2,NA,76818,11,4,62,120,21.9458904266357,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1506",0,1,0,14,10,4,1953,1992,32,30488.5,1269,2,0,32658.5,18,3,63,140,24.7971782684326,0,0,0,0,0,0,2170,0,8,NA,NA,0,0,NA,0,3,10,0,1,1,0
"1544",0,0,1,12,12,9,1950,900,35,13454,2921,2,1,76384,7,2,69,170,25.1018695831299,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,120,34,2170,1370,2,1,95822.859375,14,3,62,135,24.6891250610352,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,0,NA,1
"1558",1,0,1,12,6,10,1958,2288,27,59132.5,4900,2,1,202853.765625,NA,2,75,155,19.3715553283691,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"1576",1,0,1,12,12,10,1945,2080,40,NA,6430,0,NA,93355.5703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,0,NA
"1584",0,0,1,16,9,11,1943,1750,42,10578.75,5170,3,1,86800,23,2,65,135,22.4627227783203,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1597",1,1,0,14,1,1,1958,1870,28,28210,2233,0,1,39060,9,1,71,210,29.2858562469482,0,0,0,0,0,0,0,0,11,NA,0,0,0,0,0,2,34,0,1,1,0
"1608",0,0,1,16,7,9,1936,1176,49,21266,6098,1,1,214743.203125,8,3,68,140,21.2846012115479,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"1612",0,1,0,12,5,7,1952,1992,33,33431.01953125,240,1,0,33561.21875,14,2,66,150,24.2079887390137,0,0,0,0,0,0,130.199996948242,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"1626",0,0,1,14,9,10,1950,0,35,0,3868,0,1,121303,NA,2,65,120,19.9668636322021,0,0,0,0,0,NA,0,0,14,NA,NA,46459.69921875,0,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,448,32,8708.2099609375,769,1,1,142095.9375,12,1,71,160,22.3130340576172,0,0,0,0,0,NA,0,0,16,12,0,0,0,0,0,3,41,0,1,NA,1
"1644",0,1,0,16,2,4,1959,1576,27,10850,2934,1,1,38454.5703125,5,2,60,130,25.3861103057861,0,2313.21997070312,2313.21997070312,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"1647",0,0,1,12,5,9,1953,0,32,0,1094,2,0,10578.75,NA,3,67,140,21.9247055053711,0,0,5249.22998046875,0,141.050003051758,2354,10437.7001953125,0,11,7,0,1627.5,0,0,0,3,32,0,0,1,0
"1653",0,0,1,NA,NA,9,NA,1400,30,NA,2681,2,NA,102983.859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,1,1,NA,0
"1662",0,0,1,16,9,11,1938,1314,47,29512,2153,0,1,143918.734375,20,2,63,130,23.025951385498,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,1980,34,80724,2089,1,NA,98669.8984375,14,3,67,125,19.5756301879883,0,0,0,0,0,NA,2604,0,12,17,4904.2001953125,0,0,0,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,787,36,13020,6792,2,1,96131,17,2,67,120,18.7926044464111,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"1679",0,0,1,12,10,12,1956,0,29,0,2856,3,1,75950,NA,1,61,145,27.3945178985596,0,0,0,0,0,NA,0,0,12,12,0,0,0,0,0,1,29,0,0,NA,1
"1722",0,0,1,12,3,11,1954,1384,31,130200,954,1,NA,570710,14,2,62,140,25.6035385131836,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1734",0,0,1,12,11,12,1949,2391,36,34134.1015625,1535,2,0,36521.1015625,17,1,70,144,20.6595916748047,0,0,0,0,0,0,1736,0,9,12,0,0,0,0,0,4,4,0,1,1,0
"1751",1,0,1,13,4,9,1959,NA,27,NA,287,0,0,13888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,0,13888,0,0,1,1,37,NA,NA,NA,0
"1772",1,0,1,8,2,10,1928,1948,58,49910,3066,0,1,50995,40,3,72,185,25.0877704620361,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"1776",1,0,1,12,1,10,1938,2563,48,39060,2396,1,1,46655,29,3,68,190,28.8862457275391,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"1781",1,0,1,11,11,13,1959,2340,26,30380,3769,0,1,39928,8,3,71,220,30.680419921875,0,5208,5208,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1834",1,0,1,12,8,9,1929,1910,56,33635,1009,0,1,49910,37,2,74,240,30.8108100891113,0,3255,3255,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"1844",1,0,1,12,12,11,1928,2040,57,73129,2582,0,0,73129,NA,4,73,150,19.7879524230957,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"1847",0,1,0,12,7,9,1958,1160,27,5425,893,3,0,8094.10009765625,NA,3,61,135,25.505241394043,0,0,7625.3798828125,0,0,2284,0,1230,8,NA,NA,0,0,NA,0,3,16,0,0,1,0
"1863",1,0,1,17,6,9,1949,2194,36,82460,5169,3,1,84541.03125,17,2,69,170,25.1018695831299,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1869",0,0,1,13,2,11,1958,2457,27,32550,1183,0,NA,60760,8,2,67,130,20.3586540222168,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"1889",1,0,1,15,4,11,1954,2144,32,39060,4315,1,1,49910,13,1,75,180,22.496000289917,0,0,0,0,0,0,0,0,12,14,104952.046875,21700,0,0,0,4,46,0,1,1,0
"1929",1,0,1,16,8,11,1926,2200,59,47718.30078125,5885,0,1,81494.3515625,40,3,71,180,25.1021614074707,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1945",1,0,1,16,10,11,1946,2695,40,112840,5933,2,1,121086,20,1,73,185,24.4051418304443,0,0,0,0,0,0,0,0,17,16,20615,0,0,0,0,1,6,0,1,1,0
