"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","weight","bmi","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"59541",0,0,1,16,4,9,1949,0,37,0,1617,2,NA,27776,NA,3,66,140,22.594123840332,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"59546",0,0,1,12,2,12,1953,60,33,464.380004882812,3321,0,0,464.380004882812,NA,3,62,105,19.2026538848877,0,0,1215.19995117188,0,0,560,0,0,12,15,81042.9921875,0,0,0,0,4,43,0,0,1,0
"59552",0,0,1,12,8,13,1949,1041,36,10850,868,4,1,95697,6,3,67,120,18.7926044464111,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,NA,1
"59571",1,0,1,12,3,12,1957,2100,29,67270,4653,2,1,97867,10,4,71,185,25.7994441986084,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"59573",1,1,0,12,11,6,1951,1984,33,17611.720703125,3601,1,1,35006.44140625,15,4,68,220,33.4472312927246,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"59621",1,0,1,12,1,7,1955,2089,31,69657,2986,2,1,71310.5390625,12,2,60,195,38.0791664123535,0,0,0,0,0,0,0,0,8,NA,NA,23870,0,NA,0,2,24,0,1,1,0
"59648",0,0,1,15,1,10,1951,1122,35,13020,5835,2,1,44526.23046875,10,3,64,160,27.4609375,0,0,0,0,0,NA,0,0,17,12,8467.33984375,47740,0,0,0,3,45,0,1,NA,1
"59662",1,0,1,17,3,10,1949,1972,37,125860,5789,2,1,137686.5,11,1,72,158,21.4263114929199,0,0,0,0,0,0,0,0,17,16,20615,0,0,0,0,3,45,0,1,1,0
"59673",1,0,0,8,10,5,1956,2700,29,13020,6345,3,1,30814,10,1,69,180,26.5784492492676,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,1,0,1,0
"59681",0,0,1,13,9,9,1942,2172,43,23870,4815,0,0,42931.28125,25,3,65,180,29.9502964019775,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"59695",0,0,1,16,5,11,1944,0,41,0,3456,3,1,2.17000007629395,NA,2,68,130,19.7642726898193,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"59708",0,0,1,12,1,7,1934,1715,52,52080,1593,0,1,202678,16,3,64,122,20.93896484375,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
