"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"56597",1,0,0,11,7,7,1968,4,1907,25,NA,509,1,0,54654.6015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,0,0
"56622",0,0,1,16,2,13,1965,31,2000,28,44550,3592,0,1,94050,9,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"56626",0,0,1,12,11,10,1932,NA,1960,60,24255,178,0,1,52258.80078125,10,4,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"56631",0,0,1,16,9,12,1960,12,210,33,66000,10067,0,1,125070,15,1,0,0,0,0,0,NA,0,0,16,14,33000,36300,0,0,0,2,12,0,1,NA,1
"56650",1,0,1,12,10,10,1959,3,2040,33,24750,2531,2,1,49912.5,7,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"56652",0,0,0,12,8,9,1944,NA,1972,49,57750,4878,0,1,166485,24,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"56658",0,0,1,12,11,5,1954,37,510,38,NA,8366,1,NA,42376.94921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,0,0,1,37,0,1,NA,0
"56671",1,0,1,12,10,10,1956,18,2000,36,59400,1344,2,1,97350,10,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,18,0,1,1,0
"56692",1,0,1,15,8,10,1954,5,2250,39,107250,186,3,1,130597.5,9,1,0,0,0,0,0,0,0,0,12,12,16500,3702.60009765625,0,0,0,4,5,0,1,1,0
"56702",1,0,1,17,4,10,1960,21,967,33,8250,369,0,0,8992.5,14,4,0,742.5,1732.5,0,0,600,0,0,14,NA,NA,69300,0,NA,0,3,9,0,1,1,0
"56711",0,0,1,16,11,10,1964,4,2450,28,46200,1952,0,1,112150.5,6,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"56729",1,0,1,16,10,11,1949,NA,2500,43,81374.703125,872,1,1,190753.203125,16,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"56749",0,0,1,12,12,11,1937,NA,1762,55,16500,5937,0,NA,84976.6484375,15,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,30,0,1,NA,1
"56750",1,0,1,16,2,11,1957,12,2080,36,0,4590,0,0,75121.203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,2,12,0,0,NA,0
"56761",1,0,1,12,6,12,1966,29,1650,28,33000,9279,0,1,91410,10,1,0,3960,3960,0,0,0,0,0,12,13,37950,37950,0,0,0,1,29,0,1,1,0
"56776",1,0,1,17,4,11,1967,40,10,26,1650,7910,0,1,32455.5,8,2,0,0,0,0,0,0,0,0,13,17,115500,0,0,0,0,2,22,0,1,1,0
"56798",0,0,1,12,7,12,1939,NA,2120,53,1320,2623,1,0,2923.80004882812,27,3,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,2,34,0,1,1,0
"56817",0,0,1,13,2,10,1951,14,2080,42,0,53,3,NA,26895,16,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"56820",0,0,1,12,11,11,1960,24,2340,32,11550,3804,3,NA,47850,10,2,0,0,0,0,0,NA,0,0,12,11,30091.05078125,10568.25,0,0,0,4,49,0,0,NA,1
"56828",1,0,1,17,3,11,1948,NA,2030,45,96157.046875,5580,1,1,132391.046875,14,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"56838",1,0,1,12,2,10,1959,45,245,34,6600,3433,2,1,30525,9,3,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,3,45,0,1,1,0
"56863",1,0,1,16,10,11,1960,29,2000,32,NA,3301,0,NA,87616.6484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,0,0,0,0,0,1,29,0,1,NA,0
"56865",0,0,1,12,10,12,1959,24,0,33,0,26,2,1,99000,7,2,0,0,0,0,0,NA,0,0,9,NA,NA,NA,0,NA,0,2,24,0,0,NA,1
"56898",1,0,1,17,11,11,1963,3,2720,29,74250,560,0,0,74250,7,3,0,0,0,0,0,0,0,0,12,16,41250,37532.55078125,0,0,0,2,34,0,1,1,0
"56922",1,0,1,17,7,12,1947,NA,3360,45,288750,1592,1,1,292380,16,2,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,2,21,0,1,1,0
"56964",1,0,1,12,7,12,1968,34,NA,25,NA,9144,2,NA,9079.9501953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,0,0
