"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,2420,34,78533,4297,3,1,85540,11,3,0,0,0,0,0,0,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,0,37,0,4298,1,1,65520,7,3,0,0,0,0,0,NA,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,0,NA,1
"4",1,0,1,4,10,10,1950,NA,1500,39,NA,1356,0,0,69471.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,24,2080,27,27300,4472,3,1,30212,4,1,0,0,0,0,0,0,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,24,2158,32,23270.51953125,2204,2,1,26073.3203125,9,1,0,2802.80004882812,2802.80004882812,0,0,0,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,24,2261,30,25958.66015625,1845,3,1,33045.73828125,7,3,0,0,0,0,0,0,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,1560,36,14560,1275,3,1,51870,13,2,0,0,0,0,0,NA,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,2450,33,74438,3930,3,1,96278,10,2,0,0,0,0,0,0,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,24,1394,25,7280,1813,0,0,7826,4,1,0,0,0,0,0,0,0,0,11,9,15533.7001953125,1477.83996582031,0,0,0,2,21,0,0,1,0
"16",0,1,0,12,6,9,1962,29,2060,27,40040,2641,1,0,46592,9,4,0,0,0,0,0,0,6552,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,525,36,6353.6201171875,5314,3,0,20276.619140625,15,2,0,0,0,0,0,0,13104,0,11,11,0,0,0,0,0,1,29,0,0,1,0
"19",0,0,1,15,12,9,1955,29,1715,34,47320,3991,2,0,47320,8,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"20",1,1,0,13,8,9,1963,29,2002,26,30940,6756,3,1,47320,5,1,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,1962,32,38220,2770,3,0,43461.6015625,9,3,0,0,0,0,0,0,5241.60009765625,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,34,516,33,10556,4044,2,1,93366,10,1,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,4,4,0,1,NA,1
"26",1,0,1,14,6,11,1954,34,2608,35,83720,4985,0,0,83902,12,1,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,2827,41,101761.65625,4632,1,1,338338,19,2,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,34,2652,26,34580,5246,0,0,34580,3,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2892,39,79981.71875,4982,2,1,243152,10,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,2195,37,37492,5388,0,0,45500,14,1,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"32",0,0,1,16,9,11,1960,34,1344,29,48266.3984375,4063,1,NA,139630.40625,7,3,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,3,39,0,1,NA,1
"33",1,0,1,17,1,11,1959,34,2784,31,166071.359375,5060,2,1,350368.1875,8,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"37",0,0,1,12,5,10,1953,13,1344,36,4550,4249,3,NA,37128,NA,4,0,0,0,0,0,NA,0,0,8,8,0,6006,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,13,2259,38,31486,5486,0,0,38438.3984375,10,3,0,0,0,0,0,0,5678.39990234375,0,8,8,0,6006,0,0,0,2,13,0,1,1,0
"39",0,0,1,17,2,8,1962,13,864,28,22750,3621,1,1,70980,5,2,0,0,0,0,0,NA,0,0,8,8,0,6006,0,0,0,2,13,0,0,NA,1
"42",1,0,1,14,10,10,1947,NA,1888,42,30940,3623,4,1,31797.220703125,17,3,0,857.219970703125,857.219970703125,0,0,0,0,0,8,8,0,6006,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,13,0,30,0,5487,3,0,18782.400390625,4,3,0,0,1592.5,0,0,875,10410.400390625,0,8,8,0,6006,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,3060,40,63700,3263,1,1,89942.578125,21,3,0,0,0,0,0,0,0,0,8,8,0,6006,0,0,0,3,41,0,1,1,0
"47",1,0,1,10,5,9,1962,14,2140,27,40040,986,0,0,40040,5,3,0,0,0,0,0,0,0,0,12,12,14560,9100,0,0,0,2,14,0,1,1,0
"48",0,0,1,8,7,9,1960,14,1518,29,8372,987,3,NA,34216,8,1,0,0,0,0,0,NA,0,0,12,12,14560,9100,0,0,0,2,14,0,1,NA,1
"49",0,0,1,12,9,9,1963,14,1290,26,9100,5417,0,0,9100,8,3,0,0,0,0,0,0,0,0,12,12,14560,9100,0,0,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,NA,2080,40,20020,383,0,0,20020,18,1,0,0,0,0,0,0,0,0,12,12,14560,9100,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,14,2100,31,18200,468,2,1,85867.6015625,5,2,0,0,0,0,0,NA,0,0,12,12,14560,9100,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,NA,534,41,3276,5217,3,NA,68523,20,2,0,0,0,0,0,NA,0,0,12,12,14560,9100,0,0,0,2,14,0,1,NA,1
"54",1,0,1,12,3,9,1953,14,2080,37,21840,3812,1,1,30940,14,3,0,0,0,0,0,0,0,0,12,12,14560,9100,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,NA,2600,42,30940,899,4,1,30940,19,3,0,0,546,0,0,300,0,0,12,12,14560,9100,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2450,42,23004.80078125,7269,2,1,25046.83984375,19,4,0,0,1781.78002929688,0,0,979,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,3,1640,35,23660,4465,2,1,36012.33984375,12,4,278.459991455078,0,278.459991455078,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,0,1,0
"60",1,0,1,12,7,8,1953,3,2120,36,22750,5908,2,1,40999.140625,13,4,0,231.139999389648,231.139999389648,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"61",1,0,1,10,11,8,1960,3,824,28,2184,7268,0,1,9924.4599609375,8,2,0,5987.7998046875,5987.7998046875,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,3,2583,38,21840,5076,2,1,43962.1015625,17,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"63",0,0,1,12,10,8,1963,3,1180,26,9100,5050,2,NA,17606.6796875,4,1,0,2675.39990234375,2675.39990234375,0,0,NA,0,0,3,NA,0,0,0,0,0,3,3,0,1,NA,1
"64",1,0,1,14,1,8,1956,3,1890,34,39130,4464,2,1,51591.5390625,12,4,4944.93994140625,0,4944.93994140625,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"65",1,0,1,12,10,8,1962,3,2560,27,25396.279296875,7309,2,1,27398.279296875,4,3,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"68",0,1,0,12,3,8,1965,10,0,25,0,2658,2,0,4761.1201171875,7,1,0,0,8692.3203125,0,0,2160,0,2616,12,11,NA,0,0,0,0,3,10,0,0,1,0
"69",1,1,0,12,2,8,1960,10,2080,30,0,1807,0,0,32104.80078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,NA,0,0,0,0,3,10,0,0,NA,0
"70",1,1,0,12,3,8,1962,10,2008,28,32760,2598,4,1,40622.3984375,5,3,0,0,5460,0,0,3000,0,0,12,11,NA,0,0,0,0,3,10,0,1,1,0
"72",0,1,0,12,4,8,1952,10,2460,38,36400,1806,1,0,41860,15,1,0,0,0,0,0,0,0,0,12,11,NA,0,0,0,0,3,10,0,1,1,0
"73",1,1,0,12,3,8,1961,10,536,29,6763.1201171875,2034,2,1,21330.400390625,2,5,0,0,3931.19995117188,0,0,2160,0,0,12,11,NA,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,10,1962,37,44590,3751,2,1,57330,14,3,0,0,0,0,0,0,0,0,12,11,NA,0,0,0,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,10,2005,32,18200,5360,3,NA,50960,14,3,0,0,0,0,0,NA,0,0,12,11,NA,0,0,0,0,3,10,0,1,NA,1
"600",1,0,1,12,7,3,1954,4,1905,35,56420,4219,2,1,68650.3984375,12,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"632",1,0,1,11,5,11,1934,NA,1624,55,NA,3698,0,NA,115388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,0,0
