"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"3",0,0,1,11,9,10,1952,240,26,2624,4112,3,1,51824,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,49200,0,0,0,0,2,24,NA,0,0,NA,1
"4",1,0,1,4,10,10,1950,1500,28,NA,3201,3,0,118080,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,10,49200,0,0,0,0,2,24,NA,0,1,NA,0
"8",0,0,1,13,9,10,1953,102,25,1640,1,3,1,63960,5,1,NA,NA,NA,NA,NA,NA,NA,NA,11,10,49200,0,0,0,0,3,9,NA,0,0,NA,1
"18",0,1,0,16,6,9,1953,1948,25,16400,6086,0,0,16400,7,0.300000011920929,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,88,0,1,1,0
"27",1,0,1,17,6,11,1948,2560,30,98400,1421,0,1,171334.078125,9,0.300000011920929,0,0,0,0,0,0,0,0,14,16,106272,0,0,0,0,2,21,92,0,1,1,0
"30",1,0,1,17,10,11,1951,2350,28,55104,2145,0,1,97793.203125,2,0.300000011920929,0,0,0,0,0,0,0,0,14,16,106272,0,0,0,0,2,34,88,0,1,1,0
"31",0,0,1,16,2,11,1953,2084,26,40573.6015625,2438,0,0,41098.3984375,7,0.300000011920929,0,0,0,0,0,0,0,0,14,16,106272,0,0,0,0,2,34,56,0,1,1,0
"37",0,0,1,12,5,10,1953,0,26,0,5687,4,NA,31816,4,1,NA,NA,NA,NA,NA,NA,NA,NA,8,9,45920,0,0,0,0,2,13,NA,0,0,NA,1
"38",0,0,1,12,10,11,1951,1775,28,16400,130,1,1,75440,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,8,9,45920,0,0,0,0,2,13,NA,0,1,NA,1
"40",1,0,1,11,NA,8,NA,1600,25,29192,5618,0,0,29192,3,0.200000002980232,0,0,0,0,0,0,0,0,8,9,45920,0,0,0,0,2,13,33,0,1,1,0
"42",1,0,1,14,10,10,1947,2115,31,42640,2950,2,1,62910.3984375,10,0.800000011920929,0,0,721.599975585938,0,0,220,0,0,8,9,45920,0,0,0,0,2,13,32,0,1,1,0
"45",1,0,1,12,11,7,1949,2880,29,56219.19921875,3771,2,1,57468.87890625,9,0.600000023841858,1249.68005371094,0,1249.68005371094,0,0,0,0,0,8,9,45920,0,0,0,0,3,9,61,0,1,1,0
"50",1,0,1,11,6,9,1949,2100,30,19680,3963,2,1,25892.3203125,NA,0.699999988079071,0,0,0,0,0,0,0,0,12,12,29520,0,0,0,0,2,14,92,0,1,1,0
"52",0,0,1,10,6,6,1948,1248,31,8528,2779,2,0,21910.400390625,3,0.5,0,0,16334.400390625,0,0,900,0,4080,12,12,29520,0,0,0,0,2,14,61,0,1,1,0
"54",1,0,1,12,3,9,1953,1544,26,27880,4660,1,1,35394.48046875,NA,0.800000011920929,0,4562.47998046875,5244.72021484375,0,0,208,0,0,12,12,29520,0,0,0,0,2,14,51,0,1,1,0
"55",1,0,1,12,5,12,1947,1620,31,36080,4822,0,0,37388.71875,12,0.200000002980232,0,1308.71997070312,1308.71997070312,0,0,0,0,0,12,12,29520,0,0,0,0,2,14,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2704,31,29520,277,2,1,29782.400390625,10,1,0,0,0,0,0,0,0,0,2,NA,656,0,0,0,0,3,3,11,0,1,1,0
"60",1,0,1,12,7,8,1953,1600,25,29520,2747,2,1,30586,5,1.29999995231628,0,0,1636.71997070312,0,1066,174,0,0,2,NA,656,0,0,0,0,3,3,42,0,1,1,0
"62",1,0,1,12,5,11,1951,2025,27,23120.720703125,1552,2,1,29680.720703125,6,1,0,1968,3562.080078125,0,0,486,0,0,2,NA,656,0,0,0,0,3,3,11,0,1,1,0
"72",0,1,0,12,4,8,1952,2250,26,26463.0390625,2185,1,0,26463.0390625,4,0.5,0,0,0,0,0,0,0,0,12,8,36080,0,0,0,0,3,10,83,0,1,1,0
"75",1,1,0,12,2,8,1953,2040,26,27594.640625,3993,0,1,48914.640625,5,0.5,0,0,0,0,0,0,0,0,12,8,36080,0,0,0,0,3,10,NA,0,0,1,0
"622",0,0,1,9,NA,8,NA,426,33,1640,5659,1,0,61670.55859375,10,0.5,0,0,0,0,0,0,2361.60009765625,0,NA,NA,NA,NA,NA,NA,0,3,45,61,0,1,1,0
"637",1,0,1,17,12,12,1943,1948,35,88379.6015625,3315,1,1,92351.6796875,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,92,0,1,1,0
"652",0,0,0,12,10,2,1941,1784,37,14596,6231,2,0,27702.880859375,19,1,0,0,11958.8798828125,11958.8798828125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,0,1,0
"674",0,0,1,17,8,10,1951,1134,27,19680,128,0,1,53464,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,0,NA,1
"677",0,0,1,8,2,11,1934,0,45,0,4471,0,0,12418.080078125,26,0.200000002980232,0,0,8580.48046875,8580.48046875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,1,0
"762",1,0,1,10,1,9,1951,1960,28,65928,2566,2,1,65928,7,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
"790",1,0,1,12,2,11,1952,2232,27,52480,5380,0,1,96563.203125,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,32,0,1,1,0
"796",1,0,1,12,5,12,1952,2346,26,27880,4423,0,0,33390.3984375,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,55104,0,0,0,0,2,48,85,0,1,1,0
"805",1,1,0,12,12,8,1949,2130,29,65600,477,2,1,67240,8,0.600000023841858,0,0,0,0,0,0,0,0,12,6,72160,0,0,0,0,2,34,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,2550,48,59040,6277,0,1,89097.921875,27,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,44,0,1,1,0
"817",1,0,1,12,1,10,1943,1750,37,30504,5345,0,0,30504,12,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,71,0,1,1,0
