"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,3060,39,63961.55859375,3274,3,1,-8650.2001953125,11,3,11,9,0,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,520,42,4368,1639,0,0,11178.9599609375,20,4,11,9,0,0,0,0,0,2,24,0,0,1,0
"4",1,0,1,4,10,10,1950,NA,44,NA,133,0,0,34683.48046875,NA,NA,11,9,0,0,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,1960,32,34320,2543,4,1,58032,4,1,11,9,0,0,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,2080,36,23400,125,3,1,27612,9,2,11,9,0,0,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2016,35,24336,132,3,1,35566.44140625,7,3,11,9,0,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,0,41,0,124,1,1,79890.71875,13,2,11,9,0,0,0,0,0,3,9,0,0,NA,1
"9",1,0,1,12,10,10,1956,2750,38,93603.1171875,3739,2,1,130731.1171875,10,1,11,9,0,0,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,1975,30,18720,127,0,0,18720,4,2,11,9,0,0,0,0,0,2,21,0,1,1,0
"11",1,1,0,16,10,9,1967,1673,27,40873.55859375,6468,2,1,52834.078125,5,3,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"12",1,1,0,12,5,9,1966,2397,28,45240,5212,0,0,45240,6,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"13",1,1,0,14,3,9,1970,NA,25,0,3099,0,0,27844.439453125,NA,NA,NA,11,0,NA,NA,0,0,1,29,1,0,NA,0
"16",0,1,0,12,6,9,1962,1573,32,43680,3101,1,1,87361.5625,13,2,NA,11,0,NA,NA,0,0,1,29,0,1,NA,1
"18",0,1,0,16,6,9,1953,0,41,0,3100,4,0,45817.19921875,NA,3,NA,11,0,NA,NA,0,0,1,29,0,0,NA,1
"19",0,0,1,15,12,9,1955,1547,39,49920,3745,2,1,142825.796875,15,3,NA,11,0,NA,NA,0,0,1,29,0,1,NA,1
"20",1,1,0,13,8,9,1963,2040,31,52261.55859375,9838,0,0,52261.55859375,5,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,1475,37,44929.55859375,3098,3,0,52405.078125,9,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,1110,38,46800,1323,3,1,143445.125,10,1,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"26",1,0,1,14,6,11,1954,2099,40,66769.5625,926,0,0,66927.1171875,12,2,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2438,46,0,6950,1,1,505455.59375,19,2,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,2420,31,109203.1171875,925,0,0,109203.1171875,3,2,NA,17,0,NA,NA,0,0,2,12,0,1,1,0
"30",1,0,1,17,10,11,1951,2435,44,234007.796875,2130,2,1,325660.90625,10,1,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2040,42,49310.0390625,3529,0,1,121202.640625,NA,1,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"32",0,0,1,16,9,11,1960,0,34,0,3530,3,NA,107643.1171875,7,2,NA,17,0,NA,NA,0,0,3,19,0,0,NA,1
"33",1,0,1,17,1,11,1959,2266,36,304210.90625,2448,3,1,445100.75,8,3,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"34",1,0,1,12,11,8,1965,2057,29,23400,3097,0,0,23400,1,2,8,8,0,0,0,0,0,2,13,0,1,1,0
"37",0,0,1,12,5,10,1953,1620,41,10764,4085,1,NA,44714.28125,NA,1,8,8,0,0,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,1827,43,21840,1637,1,NA,76440,23,3,8,8,0,0,0,0,0,2,13,0,1,NA,1
"39",0,0,1,17,2,8,1962,1000,33,11700,1649,1,1,73633.5625,5,2,8,8,0,0,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,1467,38,46800,138,4,1,77429.0390625,16,5,8,8,0,0,0,0,0,1,20,0,0,1,0
"42",1,0,1,14,10,10,1947,2000,47,34320,1653,3,1,48358.44140625,17,3,8,8,0,0,0,0,0,2,13,0,1,1,0
"43",0,0,1,12,10,NA,1948,2052,46,17472,3277,2,1,93678,20,2,8,8,0,0,0,0,0,2,13,0,1,NA,1
"44",0,0,1,16,9,8,1959,1842,35,16536,1642,4,NA,81488.15625,14,3,8,8,0,0,0,0,0,2,13,0,1,NA,1
"45",1,0,1,12,11,7,1949,2605,45,54601.55859375,1634,0,1,78001.5625,21,2,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,1696,34,14038.4404296875,6067,3,NA,68016,8,3,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,NA,1
"49",0,0,1,12,9,9,1963,2168,31,28080,3945,0,0,28095.599609375,8,2,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,2000,45,29640,4624,0,1,65986.4375,18,1,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,2296,36,26520,8227,1,1,92150.7578125,5,2,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,2400,46,24960,9812,1,NA,113912.7578125,20,2,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,NA,1
"55",1,0,1,12,5,12,1947,1950,47,35880,6951,5,1,93083.640625,19,2,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,2072,47,20278.439453125,3572,1,1,37280.87890625,19,5,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,1,1,0
"57",1,0,1,4,8,8,1946,0,48,0,5033,5,1,29808.48046875,22,5,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,0,1,0
"58",0,0,1,9,8,8,1959,0,35,0,3573,3,1,19125.599609375,7,4,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,0,NA,1
"59",1,0,1,10,2,8,1955,1960,40,18720,10239,2,1,29638.439453125,12,4,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,2112,41,36505.55859375,3570,1,1,58344,13,5,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,1,1,0
"61",1,0,1,10,11,8,1960,3120,34,18720,10284,0,1,27298.439453125,8,2,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,2500,43,23400,2181,1,1,43992,17,4,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,1,1,0
"63",0,0,1,12,10,8,1963,613,31,1870.43994140625,3367,3,NA,61777.55859375,12,2,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,0,NA,1
"64",1,0,1,14,1,8,1956,2288,39,36972,4932,2,1,57564,12,2,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,1,1,0
"65",1,0,1,12,10,8,1962,1760,32,22620,3571,0,0,22620,4,4,NA,NA,310.440002441406,NA,NA,0,0,3,3,0,0,1,0
"68",0,1,0,12,3,8,1965,1050,30,7873.31982421875,8651,3,0,7873.31982421875,7,3,12,NA,NA,0,0,NA,0,3,10,0,0,1,0
"69",1,1,0,12,2,8,1960,NA,35,0,8022,0,0,15715.4404296875,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,0,NA,0
"70",1,1,0,12,3,8,1962,1952,33,27011.400390625,8648,0,0,27011.400390625,5,3,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"72",0,1,0,12,4,8,1952,3300,43,23400,9537,0,0,23400,15,3,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"73",1,1,0,12,3,8,1961,NA,34,NA,8022,0,0,15715.4404296875,NA,NA,12,NA,NA,0,0,NA,0,3,10,NA,NA,NA,0
"75",1,1,0,12,2,8,1953,1948,42,53041.55859375,8649,2,1,84240,14,2,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,4024,37,18720,8650,2,0,31354.439453125,15,2,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"600",1,0,1,12,7,3,1954,2154,40,78001.5625,458,1,1,78001.5625,12,2,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"637",1,0,1,17,12,12,1943,1940,51,135724.6875,640,1,1,193132.6875,23,1,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"668",1,0,1,11,12,8,1956,2000,38,40709.76171875,4253,2,1,61200.359375,19,1,NA,NA,NA,NA,NA,NA,0,3,23,0,1,1,0
"671",0,0,1,12,7,11,1954,1932,40,7798.43994140625,141,1,NA,53040,11,2,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"674",0,0,1,17,8,10,1951,787,43,48360,5445,0,NA,141711.953125,23,1,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"688",0,0,1,17,2,11,1966,2124,29,48360,1957,0,0,117937.5625,7,1,13,17,81825.1171875,33073.55859375,0,0,0,4,4,0,1,1,0
"701",1,0,1,17,9,9,1955,2310,39,73479.1171875,2891,2,1,118563.1171875,11,1,12,NA,NA,0,0,NA,0,4,4,0,1,1,0
"731",1,0,1,16,10,8,1965,2490,29,43680,609,0,1,51113.3984375,9,3,12,12,43992,43680,0,0,0,1,37,0,1,1,0
"759",0,0,1,17,4,11,1959,2420,35,85801.5625,547,0,1,185510.515625,1,3,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"764",0,0,1,13,5,11,1960,2035,34,24960,1181,2,1,53820,7,2,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"769",0,0,1,12,4,10,1960,518,34,4212,125,3,NA,27612,NA,2,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"780",1,0,1,15,10,13,1960,2340,34,46800,4262,0,0,46800,6,1,16,16,0,0,0,0,0,3,32,0,1,1,0
"790",1,0,1,12,2,11,1952,3060,43,56161.55859375,2536,0,1,120435.1171875,15,1,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,2160,42,71761.5625,3282,0,0,72588.359375,15,2,12,12,0,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,960,45,11544,2799,4,1,21060,17,4,12,9,0,0,0,0,0,2,34,0,0,1,0
"817",1,0,1,12,1,10,1943,2450,53,53041.55859375,4196,0,0,53041.55859375,25,3,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"829",0,0,1,14,12,10,1969,2040,25,14038.4404296875,759,1,1,68640,1,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"836",1,0,1,12,11,10,1969,NA,25,NA,783,0,NA,87751.5625,NA,NA,16,15,3118.43994140625,0,0,0,0,3,3,0,1,NA,0
"839",1,0,1,12,3,10,1945,967,49,23400,2670,1,0,31554.119140625,20,3,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"840",1,0,1,17,5,10,1954,2500,40,187206.234375,8965,2,1,358032.46875,13,1,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"841",0,0,1,12,12,10,1941,260,53,3432,1054,1,1,110870.7578125,7,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"842",0,0,1,16,2,11,1944,0,51,0,1574,0,1,527567.0625,8,2,NA,NA,NA,NA,NA,NA,0,3,1,0,0,NA,1
"849",1,0,1,13,3,9,1963,1703,31,34320,443,1,1,46165.078125,4,2,14,12,32076.720703125,11965.2001953125,0,0,0,3,35,0,1,1,0
"850",1,0,1,17,6,11,1968,0,26,0,8261,0,1,54887.0390625,4,1,NA,NA,NA,NA,NA,NA,0,3,41,1,0,1,0
"856",1,0,1,9,3,9,1964,1213,31,16380,2170,3,1,80018.640625,11,2,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"863",0,0,1,17,11,10,1950,2280,44,74881.5625,2900,1,NA,117000,18,2,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"865",1,0,1,10,9,9,1956,2160,38,49920,1511,0,1,90481.5625,10,3,5,NA,NA,0,0,NA,0,2,48,0,1,1,0
"867",0,0,1,12,10,12,1965,864,29,9358.4404296875,3898,1,1,53824.6796875,11,2,12,NA,NA,0,0,NA,0,1,37,0,0,NA,1
"893",0,0,1,16,2,10,1957,117,38,7252.43994140625,39,2,1,79029.6015625,8,1,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,2600,51,49637.640625,3808,0,0,58262.87890625,28,2,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"912",1,0,1,17,12,9,1969,2223,25,41340,7558,0,0,46330.44140625,7,1,16,12,78001.5625,0,0,0,0,1,20,0,1,1,0
"915",0,0,1,12,2,10,1970,2000,25,39000,10218,0,1,94068,7,3,12,14,101403.1171875,3432,0,0,0,1,37,0,1,NA,1
"951",0,0,1,17,11,11,1958,1782,36,27064.439453125,2135,2,NA,57016.44140625,4,3,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"970",0,0,1,12,10,11,1948,1785,46,20280,512,0,1,129483.1171875,12,2,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"975",1,0,0,12,12,9,1938,3450,56,95941.5625,1751,0,1,130199.15625,29,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"976",0,0,1,12,5,10,1960,1632,34,28080,7182,2,NA,82680,7,3,5,5,0,0,0,0,0,3,41,0,1,NA,1
"998",0,0,1,12,5,11,1958,2098,36,23548.19921875,353,0,1,51082.19921875,NA,3,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1036",0,1,0,13,7,10,1947,2500,47,19557.720703125,1579,0,1,93795,12,3,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1068",1,0,1,17,1,11,1950,2304,45,107253.1171875,623,0,1,228312.234375,13,2,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1086",1,0,1,NA,5,11,1967,NA,27,NA,3362,0,NA,167704.6875,NA,NA,12,14,165676.6875,0,0,0,1,3,32,NA,NA,NA,0
"1114",1,0,1,14,12,13,1953,1904,41,92043.1171875,2848,0,1,189546.234375,13,1,14,14,0,0,0,0,0,4,4,0,1,1,0
"1119",1,NA,NA,13,3,10,1968,NA,27,NA,2825,0,0,125737.5625,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,0
"1138",1,0,1,17,3,10,1970,1634,25,33735,5708,0,1,43093.44140625,5,1,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"1154",0,0,1,17,12,8,1953,2435,41,101403.1171875,1407,1,1,106861.5625,11,1,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1162",1,0,1,15,11,11,1963,1988,31,32760,1076,0,1,63960,3,2,14,16,22230,6238.43994140625,0,0,0,3,42,0,1,1,0
"1172",1,0,1,16,7,12,1959,2205,35,99843.1171875,3490,2,1,123037.203125,7,2,16,17,110761.5625,15598.4404296875,0,0,0,2,21,0,1,1,0
"1180",0,0,1,17,9,12,1948,600,46,23400,633,2,1,296410.90625,NA,1,12,NA,NA,0,0,NA,0,2,24,0,1,NA,1
"1185",1,0,1,12,7,10,1958,2420,36,78001.5625,5439,1,1,123633.1171875,8,1,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"1187",0,0,1,17,5,9,1952,2450,42,101403.1171875,4607,2,1,260529.359375,14,1,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1205",1,0,1,17,3,11,1957,2142,37,92626.5625,1942,2,1,140988.125,10,2,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"1211",0,0,1,17,11,7,1943,1920,51,56005.55859375,5202,0,0,70448.0390625,24,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1212",0,0,1,12,11,9,1943,1522,51,15598.4404296875,1751,0,1,130199.15625,8,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1247",0,0,1,17,8,10,1956,2372,38,47581.55859375,3772,3,1,100699.5625,7,1,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1285",1,0,1,14,4,10,1952,2124,42,56161.55859375,3537,1,1,96208.3203125,20,2,NA,NA,NA,NA,NA,NA,0,4,49,0,1,1,0
"1289",0,0,1,14,3,12,1959,0,36,0,3114,2,1,54601.55859375,6,2,NA,NA,NA,NA,NA,NA,0,2,22,0,0,NA,1
"1290",0,0,1,16,5,10,1961,1417,33,22776,5279,2,1,93554.7578125,6,1,12,NA,NA,0,0,NA,0,1,29,0,1,NA,1
"1314",0,0,1,14,9,11,1960,972,34,7798.43994140625,301,3,1,70200,7,1,12,14,4992,20280,0,0,0,2,26,0,1,NA,1
"1334",0,0,1,12,1,10,1942,1613,53,29484,6032,0,1,83218.203125,25,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,1900,41,61428.12109375,1924,0,0,61531.078125,12,3,15,NA,NA,0,0,NA,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,1922,51,21840,2381,0,1,124798.4375,8,3,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1363",1,1,0,12,11,4,1950,1907,44,141955.3125,10081,0,0,143984.875,NA,3,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"1371",1,0,1,17,11,12,1948,1904,46,87361.5625,2384,2,1,149248.3125,15,2,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1402",1,0,1,13,6,NA,1969,NA,25,NA,5281,1,0,71115.71875,NA,NA,12,12,0,25624.560546875,0,0,0,1,20,1,1,NA,0
"1412",0,0,1,12,3,11,1960,87,35,466.440002441406,4100,2,1,63024,1,5,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"1415",1,0,1,13,11,8,1945,0,49,0,242,0,NA,107513.640625,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1419",0,0,1,12,1,8,1956,1828,39,28080,4979,3,0,50570.51953125,NA,3,11,10,53041.55859375,13260,0,0,0,1,20,0,1,1,0
"1429",1,0,0,3,10,8,1964,NA,30,0,3488,0,0,0,NA,NA,6,NA,NA,0,0,NA,0,1,31,0,0,NA,0
"1451",0,0,1,13,9,11,1964,1868,30,39936,3440,0,0,40327.55859375,6,3,12,12,0,0,0,0,0,4,43,0,1,1,0
"1466",0,0,1,12,9,12,1951,1708,43,18720,6854,2,1,78619.3203125,10,1,13,12,0,0,0,0,0,1,31,0,1,NA,1
"1472",0,0,1,17,4,11,1956,825,38,31200,3957,2,1,90793.5625,10,3,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"1490",0,0,1,11,10,11,1941,0,53,0,2291,0,1,43096.55859375,25,3,NA,NA,NA,NA,NA,NA,0,2,48,0,0,NA,1
"1495",0,0,1,12,3,11,1944,2249,50,43680,1365,0,NA,97629.4765625,11,2,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1505",1,0,1,12,8,9,1943,2148,51,0,1612,0,1,-9032.400390625,26,3,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"1506",0,1,0,14,10,4,1953,1935,41,39330.71875,215,1,0,50749.921875,18,2,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"1511",1,0,1,16,4,10,1957,2450,37,59281.55859375,936,1,1,85800,8,2,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1524",0,0,1,12,10,12,1965,923,29,9358.4404296875,1414,2,NA,59280,8,2,14,16,46800,64847.640625,0,0,0,3,42,0,0,NA,1
"1544",0,0,1,12,12,9,1950,1944,44,27300,980,1,1,91572,7,2,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,880,43,15598.4404296875,320,3,1,124183.796875,14,2,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"1560",0,0,1,13,6,11,1963,1900,31,24960,1802,0,NA,127923.1171875,7,1,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,1
"1571",0,0,1,15,6,10,1968,NA,25,0,5427,2,1,82681.5625,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,0
"1576",1,0,1,12,12,10,1945,NA,49,NA,3953,0,NA,66939.6015625,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,0,NA
"1597",1,1,0,14,1,1,1958,1880,37,46021.55859375,1872,2,1,92665.5625,9,3,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1608",0,0,1,16,7,9,1936,0,58,0,376,0,1,219964.6875,8,1,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"1612",0,1,0,12,5,7,1952,0,42,0,590,2,NA,61790.0390625,18,4,NA,NA,NA,NA,NA,NA,0,3,45,0,0,NA,1
"1613",1,0,1,14,4,11,1945,1581,49,24960,232,0,1,176284.6875,38,2,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"1626",0,0,1,14,9,10,1950,1700,44,21996,6594,0,NA,90951.1171875,18,1,13,NA,NA,1402.43994140625,0,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,0,42,0,10278,3,1,156472.6875,12,1,16,12,NA,0,0,0,0,3,42,0,0,NA,1
"1637",0,1,0,14,5,0,1965,1912,29,29640,1128,1,0,33384,9,2,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"1644",0,1,0,16,2,4,1959,2080,36,31574.400390625,7302,1,0,41664.48046875,16,1,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"1647",0,0,1,12,5,9,1953,0,41,0,1612,0,NA,-9032.400390625,NA,4,11,NA,NA,0,0,NA,0,3,32,0,0,NA,1
"1662",0,0,1,16,9,11,1938,1080,56,24960,2901,0,1,145353,20,1,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,1584,43,2808,1858,0,NA,115131.1171875,14,2,12,NA,NA,0,0,NA,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,2106,44,46800,1828,2,1,148249.921875,17,2,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"1675",1,0,1,14,4,10,1968,3315,26,59281.55859375,978,0,1,96721.5625,3,2,12,12,52690.55859375,23400,0,0,0,2,14,0,1,1,0
"1734",0,0,1,12,11,12,1949,0,45,0,335,0,0,5889,17,4,9,12,0,0,0,0,0,4,46,0,0,1,0
"1797",0,0,1,16,9,9,1961,2585,34,62401.55859375,176,0,1,128324.0390625,7,3,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1843",0,0,1,13,11,10,1961,3136,33,28860,403,0,0,28891.19921875,10,2,12,NA,NA,30420,0,NA,0,3,35,0,1,1,0
"1847",0,1,0,12,7,9,1958,2540,36,18720,722,2,0,30324.83984375,NA,4,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"1863",1,0,1,17,6,9,1949,2133,45,146644.6875,2730,1,1,266624.28125,17,1,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1885",0,0,1,12,11,10,1963,1990,31,37535.16015625,3937,2,0,45413.16015625,11,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1889",1,0,1,15,4,11,1954,1976,40,79951.5625,3242,2,1,97422,13,2,12,14,15707.6396484375,1.55999994277954,0,0,0,4,46,0,1,1,0
"1890",0,0,1,12,6,10,1949,1750,45,17160,8642,0,NA,95161.5625,NA,2,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1927",0,0,1,16,6,10,1963,1862,31,25647.9609375,1730,0,0,27100.3203125,3,2,12,12,0,0,0,0,0,3,39,0,1,1,0
"1936",1,1,0,12,2,11,1970,2168,25,24960,6635,0,0,25896,2,3,12,NA,NA,42901.55859375,0,NA,0,3,19,0,1,1,0
"1945",1,0,1,16,10,11,1946,2400,48,162244.6875,2676,1,1,181933.4375,20,1,17,16,6238.43994140625,0,0,0,0,1,31,0,1,1,0
"1956",0,0,1,12,8,11,1958,1200,36,13728,1447,3,1,68329.5625,8,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1958",0,1,0,11,12,NA,1950,0,44,0,2089,2,0,1249.56005859375,7,1,10,NA,NA,0,0,NA,0,1,37,0,0,1,0
"1981",0,0,1,12,2,10,1950,1896,45,48673.55859375,1024,0,1,91027.5625,15,1,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1982",0,0,1,16,5,12,1951,1380,43,18716.880859375,6623,4,1,52116.48046875,10,1,12,12,0,0,0,0,0,2,40,0,1,NA,1
"1990",0,0,1,12,9,10,1947,2092,47,31348.19921875,3863,0,1,118845.4765625,18,2,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"1993",0,0,1,12,5,8,1968,1972,26,23400,9752,1,NA,29847.48046875,8,3,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1996",0,0,1,12,11,9,1966,2125,28,31200,426,1,1,32602.439453125,6,2,NA,NA,NA,NA,NA,NA,0,4,5,0,1,NA,1
"2001",0,0,1,16,10,13,1953,1470,41,24155.0390625,3249,2,1,89968.3203125,10,1,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"2007",1,0,1,17,6,10,1942,2400,52,40489.80078125,1376,0,1,63889.80078125,32,1,NA,NA,NA,NA,NA,NA,0,2,40,0,1,1,0
"2016",0,0,1,16,6,8,1949,2167,45,31200,2533,1,1,72298.203125,10,2,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"2031",1,0,1,16,11,10,1939,3120,55,70201.5625,1292,0,1,201244.6875,27,2,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"2032",1,0,1,16,5,11,1947,2277,47,43680,1644,2,1,124957.5625,16,1,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"2033",0,0,1,14,5,NA,1954,1928,40,18720,3495,2,1,93913.5625,22,2,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"2042",0,0,1,12,3,11,1958,1410,37,6238.43994140625,4997,0,NA,64270.44140625,12,3,NA,NA,NA,NA,NA,NA,0,4,43,0,1,NA,1
"2048",0,0,1,17,1,10,1947,40,48,0,544,2,1,275559.96875,8,1,12,NA,NA,0,0,NA,0,4,4,0,1,NA,1
"2065",1,0,1,16,4,13,1946,2040,48,101403.1171875,111,2,1,99772.921875,21,2,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"2077",0,0,1,12,10,8,1957,277,37,24960,3954,3,0,42823.55859375,11,3,12,13,15598.4404296875,15598.4404296875,0,0,0,2,34,0,0,1,0
"2086",0,1,0,17,7,5,1950,1693,44,73321.5625,913,1,1,136503.125,13,3,NA,NA,NA,NA,NA,NA,0,4,1,0,1,NA,1
"2094",1,0,1,16,10,10,1960,2160,34,74881.5625,385,0,1,132915.125,7,1,12,NA,NA,30420,0,NA,0,4,46,0,1,1,0
"2107",1,0,0,12,10,10,1953,1907,41,65521.55859375,3320,2,1,100311.1171875,13,4,NA,NA,NA,NA,NA,NA,0,4,4,0,0,1,0
