"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"57424",0,0,0,12,7,10,1958,0,37,0,10302,3,NA,78001.5625,5,2,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,1
"57444",0,0,1,14,3,11,1970,2080,25,23400,1442,0,NA,56659.19921875,6,2,NA,12,2026.43994140625,NA,NA,0,0,2,21,0,1,NA,1
"57467",0,0,1,12,3,12,1934,0,60,0,869,0,NA,34789.55859375,35,3,NA,NA,NA,NA,NA,NA,0,3,9,0,0,NA,1
"57468",0,0,1,17,12,11,1966,2420,28,54601.55859375,4985,0,0,54601.55859375,6,2,12,16,449295.59375,42120,0,0,0,4,27,0,1,1,0
"57475",0,0,1,14,2,12,1947,1144,48,59281.55859375,3455,1,NA,145259.40625,30,4,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"57532",0,1,0,12,7,7,1955,1456,39,70201.5625,490,1,1,187312.3125,11,1,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,1
"57563",1,NA,NA,13,2,8,1968,NA,27,NA,3870,0,NA,45240,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,0
"57592",1,0,1,12,9,11,1935,3328,59,0,957,0,1,17269.19921875,31,3,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"57593",0,0,1,10,9,7,1960,1460,34,7798.43994140625,435,2,1,22772.880859375,2,4,11,NA,NA,0,0,NA,0,2,13,0,1,NA,1
"57606",1,0,1,4,6,10,1937,0,57,310.440002441406,9108,0,1,44115.23828125,39,4,NA,NA,NA,NA,NA,NA,0,3,9,0,0,1,0
"57611",1,0,1,12,11,11,1950,2250,44,43680,4735,0,1,73320,16,3,NA,12,0,NA,NA,0,0,2,22,0,1,1,0
"57620",1,0,1,12,10,10,1961,1840,33,59967.9609375,9814,3,1,117277.6796875,4,2,12,16,120435.1171875,25272,0,0,0,3,3,0,1,1,0
"57639",1,0,1,12,9,10,1943,2040,51,74720.8828125,3863,0,1,118845.4765625,23,2,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"57689",0,0,1,16,7,10,1960,1900,34,28080,2059,2,1,66768,10,2,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"57695",1,0,1,16,12,12,1963,1950,31,46800,2870,1,1,96721.5625,8,1,13,12,0,0,0,0,0,1,31,0,1,1,0
"57718",1,0,1,16,3,10,1960,3120,35,822931.1875,6593,1,1,1077378.125,7,1,NA,14,93603.1171875,NA,NA,0,0,6,NA,0,1,1,0
"57780",0,0,1,16,2,12,1958,1200,37,28080,2149,1,NA,574098.75,18,2,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"57784",0,0,1,14,12,6,1960,2050,34,24960,9211,1,NA,57306.6015625,9,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"57785",0,0,1,12,8,9,1953,1750,41,10918.4404296875,2052,1,NA,63960,21,2,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"57805",0,0,1,14,11,8,1962,2406,32,36504,6048,0,0,35880,NA,2,12,11,0,0,0,0,0,2,21,0,1,1,0
"57813",1,0,1,17,10,10,1956,2550,38,9358.4404296875,4519,2,1,30576,10,1,12,NA,NA,0,0,NA,0,1,6,0,1,1,0
"57839",0,0,1,11,8,9,1966,52,28,68.6399993896484,2262,0,0,12548.6396484375,2,3,13,NA,NA,32760,0,NA,0,3,35,0,0,1,0
"57842",1,0,1,12,6,12,1944,2820,50,56161.55859375,1748,1,1,154752,31,2,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"57852",1,0,1,12,11,7,1958,3278,36,59281.55859375,9299,0,0,87361.5625,NA,3,11,11,0,18720,0,0,0,2,13,0,1,1,0
"57859",1,0,1,16,9,10,1942,1920,52,82681.5625,1600,0,1,109228.078125,24,2,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"57884",0,1,0,12,7,11,1941,0,53,0,3466,0,1,18167.759765625,NA,4,NA,NA,NA,NA,NA,NA,0,3,3,0,0,NA,1
"57925",1,0,1,15,12,9,1952,2000,42,37129.55859375,3079,2,1,75046.921875,14,3,12,NA,NA,30420,0,NA,0,2,40,0,1,1,0
"57937",1,0,1,16,11,12,1951,1960,43,109203.1171875,546,2,1,135801.125,15,1,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"57950",0,0,1,16,9,10,1961,1720,33,35880,3518,2,1,121681.5625,6,2,16,NA,NA,74881.5625,0,NA,0,1,29,0,1,NA,1
"57959",1,0,1,12,8,10,1954,2340,40,0,2946,1,1,54601.55859375,13,3,12,NA,NA,0,0,NA,0,2,34,0,1,1,0
"57961",1,0,1,9,6,4,1950,NA,44,0,790,0,0,14809.080078125,NA,NA,6,NA,NA,0,0,NA,0,1,29,0,0,NA,0
"58024",0,0,1,14,2,11,1947,1600,48,31200,6456,0,NA,30421.560546875,6,1,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"58029",1,0,1,12,7,10,1962,1960,32,29173.560546875,3213,0,0,29173.560546875,5,1,15,17,21840,0,0,0,0,2,22,0,1,1,0
"58031",1,1,0,13,5,8,1957,2000,37,85801.5625,3807,0,1,154443.125,9,2,NA,NA,NA,NA,NA,NA,0,3,8,0,1,1,0
"58032",0,0,1,12,4,9,1964,0,30,0,603,2,1,65520,7,2,8,12,0,0,0,0,0,1,37,0,0,NA,1
"58057",1,1,0,12,12,2,1950,NA,44,0,3372,0,0,21902.400390625,NA,NA,11,NA,NA,0,0,NA,0,3,3,0,0,NA,0
"58072",1,0,1,12,9,10,1964,0,30,0,5656,0,0,312,2,1,14,8,14038.4404296875,10918.4404296875,0,0,0,2,40,0,0,1,0
"58082",0,0,1,17,5,NA,1942,2547,52,78001.5625,338,0,0,78547.5625,28,1,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"58084",1,0,1,17,7,11,1958,2450,36,89703.1171875,547,0,1,185510.515625,1,3,12,16,0,0,0,0,0,4,46,0,1,1,0
"58087",0,0,1,12,5,11,1960,2325,34,18720,647,2,NA,84240,15,2,NA,NA,NA,NA,NA,NA,0,3,16,0,1,NA,1
"58095",1,0,1,16,5,11,1958,2434,36,134164.6875,9657,2,1,144187.6875,NA,2,NA,12,0,NA,NA,0,0,2,12,0,1,1,0
"58111",0,0,0,14,8,9,1966,1816,28,28548,4276,1,0,34788,5,2,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"58114",1,0,1,15,11,NA,1943,2740,51,85800,1974,0,0,85800,26,3,NA,NA,NA,NA,NA,NA,0,3,35,0,1,1,0
"58130",0,0,1,12,6,12,1947,0,47,0,10374,0,1,81121.5625,NA,3,NA,NA,NA,NA,NA,NA,0,3,19,0,0,NA,1
"58141",0,0,1,11,12,9,1951,1100,43,9358.4404296875,393,0,NA,28764.83984375,4,2,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"58165",1,0,1,12,5,9,1968,2094,26,31200,2296,0,1,67080,1,1,12,12,28080,10918.4404296875,0,0,0,2,48,0,1,1,0
"58172",0,0,1,6,1,10,1935,NA,60,NA,4233,1,NA,67348.3203125,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,0
"58192",1,0,1,12,6,8,1951,3512,43,151323.125,6074,2,1,227265.484375,15,3,NA,NA,NA,NA,NA,NA,0,2,48,0,1,1,0
"58222",1,0,1,13,11,10,1949,0,45,0,3560,0,0,8611.2001953125,20,4,NA,NA,NA,NA,NA,NA,0,2,21,0,0,1,0
"58241",1,0,1,9,12,11,1968,3060,26,0,7868,0,1,-3121.56005859375,1,1,12,14,4992,20280,0,0,0,2,14,0,1,1,0
"58251",0,0,1,16,2,10,1958,0,37,0,4517,1,NA,33415.19921875,5,3,11,11,9358.4404296875,0,0,0,0,4,4,0,0,NA,1
