"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,3871,35,76504.75,6062,3,1,103635,11,1,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1431,38,9371.25,5824,1,0,54250,17,3,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,24,0,1,1,0
"4",1,0,1,4,10,10,1950,1470,40,NA,6018,0,0,44422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,6317.5,2457,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,2860,29,42000,6017,3,1,47075,4,1,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,2315,33,31272.5,6100,3,1,32375,9,2,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2299,32,25550,5872,3,1,32900,7,3,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,2208,37,22750,7267,3,1,63546,13,3,0,0,0,0,0,NA,0,0,11,9,6317.5,2457,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,2860,34,68250,5800,3,1,85750,10,1,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,725,26,2808.75,5864,0,0,3342.5,4,2,0,0,0,0,0,0,0,0,11,9,6317.5,2457,0,0,0,2,21,0,1,1,0
"12",1,1,0,12,5,9,1966,2000,25,24500,8793,0,0,24500,6,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,0,1,0
"16",0,1,0,12,6,9,1962,2800,28,43750,2433,1,0,44275,9,4,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,258,37,700,8124,4,0,17500,15,2,0,0,3325,0,0,1900,16800,0,11,11,0,0,0,0,0,1,29,0,0,1,0
"19",0,0,1,15,12,9,1955,1820,35,35000,2434,2,0,35000,8,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"20",1,1,0,13,8,9,1963,1984,27,35000,8129,3,1,56000,5,3,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,1855,33,42000,7617,3,0,47040,9,3,0,0,0,0,0,0,5040,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,1200,34,31500,2502,3,1,117250,10,2,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,4,4,0,0,NA,1
