"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"30758",1,0,0,16,3,10,1928,1840,57,110500,3942,0,1,192049,40,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"30768",0,0,1,17,1,13,1955,541,30,11050,1213,2,1,125970,NA,2,0.5,0,0,NA,NA,NA,NA,0,NA,12,NA,NA,15470,0,NA,0,4,10,0,0,NA,1
"30789",1,0,1,16,11,8,1948,1056,36,9945,5072,0,0,23233.73046875,18,1,0.400000005960464,0,10608,10608,0,0,0,0,0,17,12,8287.5,41452.96875,0,0,0,2,12,0,1,1,0
"30810",0,0,1,16,11,11,1954,100,30,3536,4016,3,1,180336,12,1,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"30892",0,0,1,14,7,9,1948,1823,36,88400,4053,0,NA,176800,18,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,7,12,1348.09997558594,0,0,0,0,1,31,0,1,NA,1
"30928",1,0,1,16,4,13,1952,2068,33,117130,5356,1,1,251343.296875,15,1,0.400000005960464,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,2,21,0,1,1,0
"30936",0,0,1,16,8,13,1952,1905,32,35360,1310,2,1,92820,14,2,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"30956",0,0,1,14,10,11,1956,871,28,15470,5901,2,1,37570,8,4,0.800000011920929,0,1768,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"30986",0,1,0,7,5,7,1945,2000,38,21145.279296875,435,2,0,21145.279296875,18,3,0.600000023841858,0,0,0,0,0,0,0,0,8,NA,NA,0,0,NA,0,3,3,0,1,1,0
"30992",0,0,1,12,5,6,1959,310,26,884,3686,0,NA,28509,7,1,0.5,0,0,NA,NA,NA,NA,0,NA,8,5,30940,0,0,0,0,3,23,0,1,NA,1
"31000",0,0,1,16,5,9,1954,1845,30,41106,3692,1,1,161095.734375,12,3,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"31014",1,0,1,10,7,5,1956,1800,29,35802,6693,2,1,37128,11,4,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"31026",1,0,1,10,12,11,1942,1976,42,70720,4329,3,1,75803,25,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"31047",0,0,1,14,4,12,1950,456,35,1768,5511,3,0,19138.599609375,12,2,0.699999988079071,0,0,11403.599609375,0,3447.60009765625,0,0,3600,NA,10,39780,15470,0,0,0,3,45,1,0,1,0
"31053",0,0,1,14,5,11,1951,1964,33,30940,1939,3,NA,112323.25,8,1,0.600000023841858,0,0,NA,NA,NA,NA,7956,NA,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"31109",1,1,0,12,9,8,1933,2000,51,72930,6097,3,1,96577,33,2,1.39999997615814,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"31158",0,0,1,17,5,11,1953,400,31,16575,985,2,1,105196,13,1,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,14,17,159120,0,0,0,0,1,6,0,1,NA,1
"31179",0,0,1,7,9,10,1926,0,58,0,3043,0,1,57093.140625,NA,4,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,0,NA,1
"31207",1,0,1,12,12,7,1954,0,30,0,261,0,0,32520.150390625,NA,4,0.600000023841858,0,0,0,0,0,0,0,0,14,NA,NA,30940,0,NA,0,4,4,0,0,1,0
"31208",1,0,1,16,5,9,1932,2405,52,119340,728,0,1,215696,34,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"31210",0,0,1,12,12,10,1948,1930,36,48620,3858,1,1,125970,14,3,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"31212",1,0,1,9,11,8,1953,2116,31,66300,3749,2,1,66300,14,2,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"31240",0,0,1,12,2,10,1932,105,53,1326,2696,0,1,140281.953125,35,4,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"31252",1,0,1,15,3,9,1950,2008,35,59670,4831,2,1,72930,17,3,0.800000011920929,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,9,0,1,1,0
"31264",0,0,1,12,10,10,1936,1600,48,30940,6159,0,NA,106199.34375,26,3,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,10,NA,NA,0,0,NA,0,3,3,0,1,NA,1
"31274",0,NA,NA,12,5,10,1947,1750,37,NA,162,0,NA,225110.59375,NA,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,0
"31275",1,0,1,7,1,8,1937,NA,48,NA,2318,0,NA,8424.51953125,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,7,9,0,0,0,0,0,2,24,0,1,NA,0
"31282",0,0,1,15,2,9,1934,2760,52,46410,3314,0,0,61880,34,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"31283",0,0,1,16,10,12,1953,0,31,0,6024,3,1,89947,NA,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,17,0,0,NA,1
"31311",0,0,1,11,11,11,1943,2548,41,48620,657,0,NA,103595.9609375,13,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"31316",0,0,1,12,1,8,1953,1020,32,11492,795,2,1,65141.9609375,4,3,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,12,10,75140,0,0,0,0,2,34,0,1,NA,1
"31330",1,0,1,12,1,10,1938,4584,47,0,3823,0,1,2.21000003814697,29,2,0.899999976158142,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"31338",0,0,1,11,10,12,1933,1832,52,39780,1903,0,1,66963,NA,3,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"31370",0,0,1,12,8,11,1950,2116,34,50830,5325,0,0,53040,17,1,0.300000011920929,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,2,12,0,1,1,0
"31388",0,0,1,12,6,11,1951,1820,34,NA,6497,0,NA,107019.25,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,0
"31411",0,0,1,14,6,11,1955,2040,29,31824,4330,0,1,78256.1015625,11,3,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"31444",0,0,1,12,1,10,1945,981,40,663,6075,0,NA,74678.109375,NA,2,0.300000011920929,0,221,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"31467",1,1,0,17,6,9,1959,960,25,0,2247,0,NA,49725,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,35360,0,NA,0,2,24,1,0,NA,0
"31479",1,0,1,17,10,11,1946,2088,38,81770,1017,0,1,153369.578125,17,2,0.300000011920929,0,439.790008544922,439.790008544922,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,1,0
"31483",0,0,1,12,8,13,1931,3080,53,46410,324,0,1,59245.6796875,29,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"31517",1,0,1,12,7,10,1950,2916,34,68510,2008,2,1,124423,17,1,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"31529",1,0,1,16,7,11,1959,1731,25,36465,4706,0,1,72709,8,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"31530",0,1,0,8,7,9,1959,0,25,0,2462,0,0,9149.400390625,NA,4,0.300000011920929,0,0,7001.27978515625,6205.68017578125,0,360,0,0,8,3,0,0,0,0,0,3,16,0,0,1,0
"31540",1,0,1,14,12,11,1956,1920,28,17355.130859375,6284,0,1,53451.05859375,NA,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"31646",1,0,1,17,1,10,1931,2004,54,46410,6228,1,1,69979.6484375,36,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,18,0,0,1,0
"31663",1,0,1,12,2,12,1957,2371,28,68510,4483,2,1,68510,10,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"31669",1,0,1,17,7,10,1951,2012,33,63869,2059,4,1,64311,15,2,0.899999976158142,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"31708",0,0,1,12,12,10,1958,1634,26,19890,6543,0,0,71683.5625,8,3,0.200000002980232,0,0,0,0,0,0,0,0,12,13,14482.1298828125,8274.240234375,0,0,0,4,46,0,1,1,0
"31733",0,0,1,16,11,10,1957,1980,27,33150,2441,1,1,87295,NA,2,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,15,13,141440,0,0,0,0,1,37,0,0,NA,1
"31734",1,0,1,17,1,9,1950,2169,35,103870,7017,1,1,181220,17,1,0.400000005960464,0,0,0,0,0,0,0,0,14,14,45424.33984375,66300,0,0,0,4,4,0,1,1,0
"31738",0,0,1,17,11,12,1955,2916,29,66300,6421,0,NA,262254.0625,11,1,0.5,0,0,NA,NA,NA,NA,0,NA,NA,16,NA,NA,NA,NA,0,1,31,0,1,NA,1
"31761",1,0,1,14,9,12,1940,2765,44,68224.90625,4765,0,1,102977.15625,26,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
"31765",0,0,1,16,5,12,1959,1061,25,NA,1800,0,0,93803.453125,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,36350.078125,0,NA,0,4,43,0,1,NA,0
"31790",1,0,1,7,9,7,1940,2140,45,24310,655,2,0,28376.400390625,NA,3,0.5,0,1768,1768,0,0,0,2298.39990234375,0,NA,NA,NA,NA,NA,NA,0,2,34,0,0,1,0
"31796",0,1,0,10,1,9,1928,1920,57,26299,2769,0,0,26299,25,2,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"31802",0,0,1,12,2,13,1949,0,36,0,2762,1,1,89284,NA,1,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,0,NA,1
"31827",0,0,1,17,11,8,1947,2,37,1326,2947,3,1,91936,16,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"31863",0,0,1,13,7,11,1955,1157,29,22100,5285,2,1,107185,11,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"31871",1,0,1,15,4,5,1952,1960,33,35802,2369,1,1,80002,16,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"31879",0,0,1,10,7,9,1935,1625,49,20385.0390625,1062,1,NA,100977.109375,23,3,0.800000011920929,0,203.320007324219,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"31881",0,0,0,8,3,7,1955,2776,30,15470,5497,2,1,32045,NA,2,0.800000011920929,0,1105,NA,NA,NA,NA,0,NA,8,5,21417.109375,11050,0,0,0,4,4,0,0,NA,1
