"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,2764,29,57460,3300,3,1,35360,11,2,0.699999988079071,0,0,0,0,0,0,0,0,11,9,26520,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1440,31,9186.9697265625,3522,3,1,44200,7,2,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,11,9,26520,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,1500,34,NA,3521,1,0,35139,NA,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,9,26520,0,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,3370,27,38675,3298,2,1,38675,9,1,1,0,0,0,0,0,0,0,0,11,9,26520,0,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2600,25,29669.25,3931,2,1,30498,7,3,0.699999988079071,0,0,0,0,0,0,0,0,11,9,26520,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,873,31,21724.30078125,4728,3,1,102678.8125,13,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,11,9,26520,0,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,2080,28,35360,2753,3,1,38933.5703125,NA,1,1.29999995231628,0,0,216.580001831055,0,0,98,0,0,11,9,26520,0,0,0,0,2,24,0,0,1,0
"15",1,1,0,14,8,9,1954,2080,30,58565,4080,0,0,58565,12,1,1,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,1696,31,55247.7890625,2768,2,0,114917.7890625,13,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,11,11,0,0,0,0,0,1,37,0,1,NA,1
"19",0,0,1,15,12,9,1955,1666,29,40885,2595,2,0,40885,8,2,0.600000023841858,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,1374,27,20774,4086,3,0,21923.19921875,9,3,0.800000011920929,0,0,2210,0,0,480,0,520,11,11,0,0,0,0,0,1,29,0,1,1,0
"23",1,1,0,14,8,9,1958,NA,25,NA,4091,5,0,20672.33984375,NA,NA,1.79999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,0,0,0,1,29,0,1,NA,0
"25",0,0,1,16,12,11,1956,1309,28,28730,3286,1,1,108290,10,2,0.5,0,0,NA,NA,NA,NA,0,NA,NA,17,121550,NA,NA,0,0,4,4,0,0,NA,1
"26",1,0,1,14,6,11,1954,2240,30,66300,3663,0,0,99659.953125,12,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,17,121550,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2074,37,147628,4599,0,1,228779.203125,19,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,17,121550,NA,NA,0,0,2,21,0,1,1,0
"30",1,0,1,17,10,11,1951,2410,34,81770,2908,2,1,144788.15625,10,1,0.5,0,0,0,0,0,0,0,0,NA,17,121550,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,1938,32,54145,2575,0,0,54145,14,2,0.200000002980232,0,0,0,0,0,0,0,0,NA,17,121550,NA,NA,0,0,2,34,0,1,1,0
"33",1,0,1,17,1,11,1959,200,26,2210,3664,1,1,60112,NA,3,0.600000023841858,0,0,0,0,0,0,0,0,NA,17,121550,NA,NA,0,0,2,12,1,0,1,0
"37",0,0,1,12,5,10,1953,2467,32,13260,6525,3,NA,66465.75,NA,4,1,0,0,NA,NA,NA,NA,0,NA,8,8,0,0,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,2040,33,17680,4707,1,0,24575.19921875,10,3,0.400000005960464,0,0,0,0,0,0,6895.2001953125,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"41",1,0,1,9,2,8,1957,1885,28,49725,5985,0,0,49725,10,1,NA,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,2100,37,48620,5986,3,1,48637.6796875,17,1,0.600000023841858,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,571,25,4420,6282,3,1,53356.03125,4,2,1,0,0,NA,NA,NA,NA,0,NA,8,8,0,0,0,0,0,2,13,0,1,NA,1
"45",1,0,1,12,11,7,1949,2370,35,29614,4367,2,1,43607.71875,21,4,0.699999988079071,2585.69995117188,0,3239.86010742188,0,0,296,0,0,8,8,0,0,0,0,0,3,41,0,1,1,0
"50",1,0,1,11,6,9,1949,1930,35,24089,5386,0,0,24089,18,1,0.200000002980232,0,0,0,0,0,0,0,0,12,12,18785,8840,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,2040,26,13260,2718,2,1,66300,5,1,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,12,12,18785,8840,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,1455,36,17680,403,2,0,38896,12,3,0.600000023841858,0,0,21216,21216,0,0,0,0,12,12,18785,8840,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,1737,32,27152.060546875,1187,2,1,32071.51953125,14,1,1,0,941.460021972656,4243.2001953125,0,0,414,0,1080,12,12,18785,8840,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,1208,37,28730,2708,3,1,38202.05859375,19,2,1,0,5525,5525,0,0,0,0,0,12,12,18785,8840,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,3500,37,23426,6023,3,1,23481.25,19,3,0.800000011920929,0,0,4641,0,0,2100,0,0,3,NA,8840,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,2145,30,17680,6672,0,0,17680,12,3,1,0,0,0,0,0,0,0,0,3,NA,8840,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,1382,32,29684.720703125,6699,3,1,65484.51171875,13,5,1.5,0,2514.97998046875,2514.97998046875,0,0,0,0,0,3,NA,8840,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,2330,34,18785,5901,2,1,37570,17,3,0.800000011920929,0,0,442,0,0,200,0,0,3,NA,8840,0,0,0,0,3,3,0,1,1,0
"69",1,1,0,12,2,8,1960,2080,25,NA,1456,0,0,58949.5390625,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,11,996.710021972656,0,0,0,0,3,10,0,1,NA,0
"71",1,1,0,9,12,8,1950,693,35,NA,4383,0,NA,28791.880859375,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,1,NA,0
"72",0,1,0,12,4,8,1952,3212,32,34255,1097,1,0,34255,15,1,0.5,0,0,0,0,0,0,0,0,12,11,996.710021972656,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,2042,32,48620,1096,2,1,67707.7734375,14,4,0.699999988079071,0,0,0,0,0,0,0,0,12,11,996.710021972656,0,0,0,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,1970,27,26520,3440,2,0,27470.30078125,9,2,0.600000023841858,0,0,0,0,0,0,950.299987792969,0,12,11,996.710021972656,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,43,NA,6562,2,NA,52514.01953125,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,0
"600",1,0,1,12,7,3,1954,1937,30,61880,6186,1,1,61946.30078125,12,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"632",1,0,1,11,5,11,1934,660,50,0,524,0,NA,57460,NA,NA,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"637",1,0,1,17,12,12,1943,2016,41,106080,2996,1,1,153990.59375,23,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"663",0,0,1,9,4,1,1959,0,25,0,1786,2,1,24310,NA,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"674",0,0,1,17,8,10,1951,676,33,15470,4747,2,1,91715,10,1,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,0,51,0,5178,0,NA,64576.19921875,NA,5,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,2815,29,74698,4615,2,1,94510.6484375,11,1,0.600000023841858,0,0,0,0,0,0,0,0,12,NA,NA,12818,0,NA,0,4,4,0,1,1,0
"769",0,0,1,12,4,10,1960,0,25,0,3298,2,NA,38675,NA,3,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"770",0,1,0,13,1,9,1959,2450,26,43537,6859,0,1,86632,8,2,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,12,11,66300,0,0,0,0,1,20,0,1,NA,1
"790",1,0,1,12,2,11,1952,3036,33,55250,4138,0,1,89284,15,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,1957,33,36796.5,3082,0,0,36825.23046875,15,2,0.300000011920929,0,0,0,0,0,0,0,0,12,12,51126.140625,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,2400,35,21437,1203,3,1,43095,17,2,0.699999988079071,0,0,0,0,0,0,0,0,12,9,68289,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,1903,43,35360,1714,0,0,44200,25,2,0.300000011920929,0,8840,8840,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,2208,40,35360,554,2,1,41362.359375,20,3,0.800000011920929,0,729.299987792969,729.299987792969,0,0,0,0,0,8,8,19890,0,0,0,0,3,41,0,1,1,0
"841",0,0,1,12,12,10,1941,256,43,2645.3701171875,1615,3,1,98795.84375,NA,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"842",0,0,1,16,2,11,1944,48,41,442,1174,3,1,681122,8,1,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"865",1,0,1,10,9,9,1956,2247,28,50830,810,2,1,62960.69140625,10,3,0.600000023841858,0,426.529998779297,426.529998779297,0,0,0,0,0,5,NA,NA,0,0,NA,0,2,48,0,1,1,0
"892",1,0,1,12,7,9,1932,688,52,97240,4030,0,1,137462,33,3,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"893",0,0,1,16,2,10,1957,2136,28,26520,1932,1,1,81770,8,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,16,44200,35360,0,0,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,297,42,35360,720,2,1,125307,21,2,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"951",0,0,1,17,11,11,1958,1940,26,27846,6541,1,NA,56576,4,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"970",0,0,1,12,10,11,1948,1214,36,9964.8896484375,3144,1,1,50321.69921875,12,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"975",1,0,0,12,12,9,1938,2696,46,113815,6625,0,1,154611.59375,29,2,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"976",0,0,1,12,5,10,1960,1956,25,30940,1862,1,NA,99354.96875,7,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,5,5,10537.2802734375,0,0,0,0,3,41,0,1,NA,1
"991",0,0,1,12,8,11,1924,1216,60,15470,6627,0,1,92212.25,26,4,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"998",0,0,1,12,5,11,1958,2040,26,18263.439453125,1657,0,0,18508.75,5,2,0.5,0,0,0,0,0,0,0,0,12,NA,NA,54145,0,NA,0,1,37,0,1,1,0
"1036",0,1,0,13,7,10,1947,1936,37,24310,2517,1,1,84101.546875,12,3,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1068",1,0,1,17,1,11,1950,3060,35,28385.240234375,5306,1,1,126633,13,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"1114",1,0,1,14,12,13,1953,1844,31,70720,5444,0,0,87958,13,1,0.300000011920929,0,0,0,0,0,0,0,0,14,14,66300,26520,0,0,0,4,4,0,1,1,0
"1141",1,0,1,16,8,11,1949,1733,35,NA,3270,3,NA,69515.546875,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,0,0
"1154",0,0,1,17,12,8,1953,1452,31,41990,565,1,1,79462.7578125,11,1,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1161",1,0,1,13,9,10,1930,2304,54,141440,4110,1,1,153595,37,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1172",1,0,1,16,7,12,1959,2286,25,52598,3470,0,0,69504.5,7,2,0.300000011920929,0,0,0,0,0,0,0,0,16,17,88400,39342.421875,0,0,0,2,21,0,1,1,0
"1180",0,0,1,17,9,12,1948,267,36,4420,3595,0,1,150280,NA,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,12,12,75140,1657.5,0,0,0,2,24,0,0,NA,1
"1185",1,0,1,12,7,10,1958,2277,26,32487,3160,0,1,100327.3671875,8,2,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"1187",0,0,1,17,5,9,1952,2470,33,75140,7017,1,1,181220,14,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1205",1,0,1,17,3,11,1957,2124,28,64090,4432,0,1,66521,10,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"1211",0,0,1,17,11,7,1943,2160,41,37570,5647,2,1,104718.640625,19,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1212",0,0,1,12,11,9,1943,1225,41,20906.599609375,6625,0,1,154611.59375,8,3,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,4,1,0,NA,1
"1247",0,0,1,17,8,10,1956,1952,28,39780,4418,1,1,77438.3984375,7,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1249",1,0,1,14,1,10,1958,2025,27,51935,3342,0,0,51935,9,2,0.300000011920929,0,0,0,0,0,0,0,0,12,14,55802.5,17680,0,0,0,1,31,0,1,1,0
"1264",0,0,1,12,9,9,1949,2040,35,17680,6576,0,0,17680,17,2,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1289",0,0,1,14,3,12,1959,0,26,0,2278,0,1,35249.5,6,2,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"1313",0,1,0,12,6,9,1924,1911,59,28730,6306,0,NA,88400,41,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1328",1,0,1,16,8,12,1926,2530,58,99450,4399,0,1,135915,NA,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1334",0,0,1,12,1,10,1942,1961,43,33150,6786,1,1,88400,25,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,2052,31,40484.98828125,2933,0,0,40518.140625,12,2,1,0,0,0,0,0,0,0,0,15,16,58123,43979,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,976,41,2210,1158,1,1,62173.9296875,8,2,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1371",1,0,1,17,11,12,1948,1036,36,11934,4124,2,1,37349,15,1,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,1,0
"1374",0,0,1,12,2,10,1926,1380,59,17680,4494,0,NA,32266,23,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"1412",0,0,1,12,3,11,1960,0,25,0,22,2,1,49901.80078125,NA,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,39,0,0,NA,1
"1419",0,0,1,12,1,8,1956,0,29,0,5238,3,1,56111.8984375,NA,1,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,11,10,0,14365,0,0,0,1,20,0,0,NA,1
"1427",1,0,1,16,12,11,1952,0,32,0,5266,0,1,46189,NA,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,0,1,0
"1431",1,0,1,16,3,11,1927,1944,58,110500,1790,0,1,192491,40,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"1490",0,0,1,11,10,11,1941,1920,43,30940,3558,1,1,93173.6015625,25,3,0.600000023841858,0,99.4499969482422,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1495",0,0,1,12,3,11,1944,176,41,1193.40002441406,3485,2,NA,71626.1015625,11,2,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,1
"1506",0,1,0,14,10,4,1953,1920,31,29313.439453125,2452,2,0,31965.439453125,18,2,0.600000023841858,0,0,0,0,0,0,2652,0,8,NA,NA,0,0,NA,0,3,10,0,1,1,0
"1544",0,0,1,12,12,9,1950,821,34,8840,4831,2,1,72930,7,3,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,1385,33,16575,1176,1,1,81873.8671875,NA,1,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,0,NA,1
"1576",1,0,1,12,12,10,1945,2124,39,NA,4259,0,NA,95730.5703125,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,0,NA
"1584",0,0,1,16,9,11,1943,1275,41,33150,6131,3,1,97240,23,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1597",1,1,0,14,1,1,1958,2690,27,23205,1333,0,0,23205,9,1,0.5,0,0,0,0,0,0,0,0,11,NA,0,0,0,0,0,2,34,0,1,1,0
"1608",0,0,1,16,7,9,1936,621,48,20111,5620,2,1,216586.625,8,2,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"1612",0,1,0,12,5,7,1952,1952,33,31824,5053,1,0,32409.650390625,14,5,0.5,0,0,0,0,0,0,530.400024414062,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"1626",0,0,1,14,9,10,1950,0,34,0,5534,0,1,127738,NA,2,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,14,NA,NA,44604.4296875,0,NA,0,2,34,0,0,NA,1
"1631",0,0,1,16,8,12,1953,200,31,1768,9,1,1,125528,12,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,16,12,0,0,0,0,0,3,41,0,0,NA,1
"1644",0,1,0,16,2,4,1959,588,26,6630,3462,1,1,46410,5,3,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"1647",0,0,1,12,5,9,1953,0,32,0,3899,2,0,4490.72021484375,NA,3,0.800000011920929,0,0,4755.919921875,0,0,1560,3182.39990234375,592,11,7,0,0,0,0,0,3,32,0,0,1,0
"1653",0,0,1,NA,NA,9,NA,490,29,NA,810,2,NA,62960.69140625,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,1,1,NA,0
"1662",0,0,1,16,9,11,1938,1737,46,37570,26,0,1,209950,20,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,2002,33,61552.921875,2163,1,NA,138184.671875,14,3,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,12,17,18939.69921875,0,0,0,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,944,34,13260,5461,2,1,98791.421875,17,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"1679",0,0,1,12,10,12,1956,0,28,0,3492,2,1,70156.453125,NA,1,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,12,12,0,0,0,0,0,1,29,0,0,NA,1
"1680",0,0,1,12,10,13,1924,0,60,0,2952,0,1,70242.640625,NA,4,0.5,0,0,NA,NA,NA,NA,0,NA,8,NA,NA,0,0,NA,0,1,29,0,0,NA,1
"1722",0,0,1,12,3,11,1954,1380,31,66300,6118,0,NA,265200,14,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1734",0,0,1,12,11,12,1949,2849,35,25361.9609375,697,2,0,26687.9609375,17,1,0.400000005960464,0,0,0,0,0,0,1326,0,9,12,0,0,0,0,0,4,4,0,1,1,0
"1751",1,0,1,13,4,9,1959,NA,26,NA,2306,0,0,14144,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,14144,0,0,1,1,37,NA,NA,NA,0
"1772",1,0,1,8,2,10,1928,2048,57,49725,5395,0,1,50034.3984375,40,4,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"1776",1,0,1,12,1,10,1938,1776,47,19182.80078125,2295,1,1,32929,29,2,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"1834",1,0,1,12,8,9,1929,1740,55,39780,905,0,1,48098.44140625,37,2,0.400000005960464,0,4561.43994140625,4561.43994140625,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"1844",1,0,1,12,12,11,1928,1904,56,70720,3185,2,1,82433,38,3,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"1847",0,1,0,12,7,9,1958,0,26,0,3684,3,0,6523.919921875,NA,3,1,0,0,13047.83984375,0,0,2952,0,2952,8,3,0,0,0,0,0,3,16,0,1,1,0
"1863",1,0,1,17,6,9,1949,2821,35,83078.3203125,3173,3,1,83962.3203125,17,2,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1869",0,0,1,13,2,11,1958,2400,27,35581,2502,0,NA,66963,8,3,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,14,13,30069.259765625,28816.189453125,0,0,0,3,32,0,1,NA,1
"1889",1,0,1,15,4,11,1954,2420,31,41371.19921875,2973,1,1,55957.19921875,13,2,0.600000023841858,0,0,0,0,0,0,0,0,12,14,101660,28811.76953125,0,0,0,4,46,0,1,1,0
"1929",1,0,1,16,8,11,1926,2350,58,40885,5613,0,1,69394,40,3,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1945",1,0,1,16,10,11,1946,2662,39,123760,3132,2,1,137020,20,1,0.5,0,0,0,0,0,0,0,0,17,16,55250,0,0,0,0,1,6,0,1,1,0
"1955",0,0,1,12,5,12,1960,0,25,0,6645,3,0,6523.919921875,NA,4,1,0,0,13366.080078125,0,0,3096,0,2952,10,9,0,35360,0,0,0,3,16,0,0,1,0
"1956",0,0,1,12,8,11,1958,1236,26,17238,2364,1,1,59228,8,2,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1981",0,0,1,12,2,10,1950,1078,35,29835,4641,2,1,72598.5,15,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1982",0,0,1,16,5,12,1951,88,33,132.600006103516,1899,4,1,2.21000003814697,NA,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,12,12,48620,66300,0,0,0,2,40,0,0,NA,1
"1990",0,0,1,12,9,10,1947,1960,37,64090,522,1,1,181220,18,2,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"2001",0,0,1,16,10,13,1953,1275,31,15470,3428,2,1,72267,10,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"2016",0,0,1,16,6,8,1949,1468,35,17017,2398,3,1,56651.140625,10,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"2031",1,0,1,16,11,10,1939,3120,45,0,2481,0,1,4420,27,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"2032",1,0,1,16,5,11,1947,2190,38,32067.099609375,5984,3,1,69836,16,1,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"2048",0,0,1,17,1,10,1947,0,38,0,5174,4,1,203320,NA,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,12,NA,NA,0,0,NA,0,4,4,0,0,NA,1
"2065",1,0,1,16,4,13,1946,2450,39,88400,4405,1,0,88400,21,2,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
