"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"32106",0,0,1,13,11,12,1926,1170,47,23868,2633,1,1,175474,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"32127",1,0,0,4,NA,6,NA,2381,40,57460,4125,1,1,83980,23,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,30,0,1,1,0
"32150",0,0,1,11,NA,10,NA,2282,43,34215.21875,1661,0,0,36862.80078125,25,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,85,0,1,1,0
"32154",1,0,1,16,11,11,1924,900,50,44200,2763,0,0,44200,27,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,0,0,1,0
"32162",1,0,1,16,1,11,1916,1888,59,79560,1914,0,1,143208,41,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,31,0,1,1,0
"32210",0,1,0,15,4,8,1943,2000,33,8840,2678,1,1,38489.359375,15,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"32225",1,0,1,12,7,10,1939,2060,35,92820,3861,4,1,92820,16,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,51,0,1,1,0
"32234",0,1,0,13,11,9,1949,1875,25,28031.640625,322,3,1,63175.05859375,3,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,22201.66015625,0,NA,0,3,19,NA,NA,NA,NA,NA,1
"32249",0,0,1,NA,NA,10,NA,2000,41,NA,2724,0,NA,31470.400390625,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,0
"32318",0,0,1,12,8,13,1943,1200,31,NA,2259,3,1,52598,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1768,0,NA,0,3,23,NA,NA,NA,NA,NA,0
"32341",0,1,0,10,7,8,1938,0,35,0,2409,6,1,33150,4,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
