"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"36750",0,0,1,14,2,11,1936,1750,38,54808,3389,1,1,127340.203125,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"36758",1,0,1,14,11,8,1947,1960,27,30674.80078125,381,1,1,30674.80078125,8,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,92,0,1,1,0
"36797",1,0,1,13,5,11,1937,2500,37,110500,259,3,1,110500,19,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,88,0,1,1,0
"36814",0,0,1,12,10,8,1922,1249,52,12376,3467,0,1,65592.796875,26,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"36885",1,0,0,14,6,9,1948,1560,26,22100,247,2,1,24981.83984375,8,1,0,2528.23999023438,1113.83996582031,0,320,0,0,12,7,31824,0,0,0,0,2,34,NA,NA,0,0,1,0
"36894",1,0,1,8,7,10,1925,1040,49,83980,3003,4,1,99538.3984375,27,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,51,0,1,1,0
"36950",1,0,1,12,11,9,1918,2230,56,53482,106,0,1,135473,38,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,81,0,1,1,0
"36978",1,0,1,14,8,11,1946,3640,28,53040,1038,1,1,53924,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,71,0,1,1,0
"37023",0,0,1,5,6,3,1926,0,48,0,3716,2,0,30524.51953125,NA,1,0,9228.9599609375,0,2598.9599609375,1500,0,0,NA,NA,NA,NA,0,NA,0,3,41,NA,NA,0,0,1,0
"37037",0,0,1,12,11,12,1938,1536,36,35360,1923,1,1,93129.3984375,18,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"37059",0,0,1,14,2,11,1941,240,36,9724,2630,1,1,254150,16,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"37060",0,0,1,15,11,12,1940,0,34,0,2736,0,1,74698,14,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
