"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"10327",1,0,1,17,5,9,1938,NA,2880,32,79380,2840,3,1,79644.6015625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,44,0,1,1,0
"10332",0,0,1,8,7,9,1915,NA,2080,54,6485.64013671875,2506,0,1,24813.599609375,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"10333",0,0,1,6,10,8,1945,NA,0,25,0,2576,2,1,26460,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"10345",0,0,1,12,NA,11,NA,NA,2000,36,35280,1378,6,NA,98196,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"10364",1,0,1,13,9,8,1940,NA,2246,30,62916,2146,3,1,94668,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,81,0,1,1,0
"10404",0,0,1,14,3,12,1929,NA,0,42,0,1335,1,1,99960,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"10407",0,0,1,16,6,9,1930,NA,0,40,0,2767,2,1,84672,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"10415",1,0,1,11,9,13,1932,NA,NA,38,NA,2957,2,NA,37102.80078125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,32,NA,NA,NA,NA,NA,0
"10430",0,0,1,12,12,11,1921,NA,1560,50,6409.2001953125,1999,1,1,102200.28125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"10441",1,1,0,NA,NA,9,NA,NA,NA,27,NA,1681,0,NA,81990.71875,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,0
"10476",1,0,1,12,3,9,1921,NA,2448,50,70560,3927,2,1,111720,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,69,0,1,1,0
"10496",0,0,1,11,6,8,1937,NA,0,33,0,3902,4,1,67620,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"10500",1,0,1,8,NA,8,NA,NA,2340,57,26601.119140625,3274,3,1,26601.119140625,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,3,61,0,1,1,0
"10509",1,0,1,8,2,11,1915,NA,3825,56,14112,1647,0,1,34333.3203125,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,1,21,0,1,1,0
"10515",1,0,1,14,6,11,1937,NA,3120,33,170520,3802,2,1,171696,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,62,0,1,1,0
"10524",0,NA,NA,12,NA,9,NA,NA,2000,57,36456,4434,0,NA,102312,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"10539",0,0,1,15,5,11,1914,NA,1920,56,59388,1157,0,1,126302.3984375,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"10579",0,0,1,1,10,11,1917,NA,950,52,7056,326,0,1,104076,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"10583",1,0,1,17,6,9,1943,NA,1227,27,NA,3116,2,1,62745.48046875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,39,NA,NA,NA,NA,0,0
"10612",0,0,0,12,12,10,1930,NA,600,40,11760,3366,4,1,95491.203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"10731",0,0,1,9,2,12,1944,NA,2167,27,23520,3030,1,0,27753.599609375,0.5,0,0,0,0,0,4410,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,42,0,1,1,0
"10753",0,0,1,12,8,10,1943,NA,1000,26,17640,1373,1,1,29400,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"10755",0,NA,NA,12,8,10,1923,NA,0,47,0,1989,0,NA,106680.84375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"10768",1,0,1,15,NA,11,NA,NA,2860,55,47040,2589,1,1,74558.3984375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,61,0,1,1,0
"10775",0,0,1,12,10,10,1938,NA,1960,32,36944.0390625,1143,2,1,101559.359375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,NA,1
"10788",0,0,1,15,12,11,1910,NA,0,60,0,2338,0,1,169814.40625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,1,NA,0,0,1,0
"10941",0,0,1,15,11,12,1922,NA,2000,47,24696,3175,0,1,133922.875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"10999",1,0,1,12,NA,11,NA,NA,3370,40,105898.796875,2672,3,1,125538,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,82,0,1,1,0
"11015",0,0,1,13,6,10,1918,NA,3001,50,60916.80078125,1346,0,0,63033.6015625,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,30,0,1,1,0
"11037",1,0,1,13,12,11,1942,NA,2600,28,70560,4840,2,1,72030,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,30,0,1,1,0
"11064",1,0,1,6,1,12,1916,NA,3305,55,29400,3025,0,1,36667.6796875,0.400000005960464,0,7267.68017578125,7267.68017578125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,33,0,1,1,0
"11071",0,0,1,11,NA,9,NA,NA,0,51,0,743,1,NA,26460,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"11117",0,0,1,9,12,8,1929,NA,0,41,0,3855,4,NA,68360.8828125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"11124",0,0,1,12,NA,8,NA,NA,1600,55,19992,1079,0,0,25872,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,87,0,1,1,0
"11132",1,0,1,8,2,9,1927,NA,2565,44,62963.0390625,753,5,1,64932.83984375,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,NA,40,0,1,1,0
"11169",0,NA,NA,11,NA,11,NA,NA,0,56,0,685,0,NA,70654.078125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"11183",0,0,1,12,3,13,1928,NA,1968,42,38220,558,1,0,83625.359375,0.600000023841858,0,0,0,0,0,8820,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,71,0,1,1,0
"11199",1,0,1,11,NA,11,NA,NA,2860,43,134828.40625,3890,3,1,252840,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,NA,11,0,1,1,0
"11207",1,0,1,16,8,9,1938,NA,2040,32,60564,4281,0,0,90552,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,11,0,1,1,0
"11209",1,0,1,12,2,13,1946,NA,1980,25,39984,3420,1,1,69384,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2,22,3,55,0,1,1,0
"11241",0,1,0,14,11,11,1940,NA,1622,30,41160,1904,2,0,44688,0.5,3528,3528,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,2,86,0,1,1,0
"11247",1,0,1,16,7,11,1939,NA,2552,32,122333.3984375,1286,2,1,122333.3984375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,86,0,1,1,0
"11270",0,0,1,8,11,7,1923,NA,0,47,0,1122,0,NA,30576,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"11284",1,0,1,12,6,11,1926,NA,2016,44,101724,282,6,1,106369.203125,1.29999995231628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,85,0,1,1,0
"11302",1,1,0,12,9,11,1938,NA,2438,32,35280,2842,2,1,64709.3984375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,71,0,1,1,0
"11320",0,0,1,NA,NA,6,NA,NA,0,57,0,1519,0,NA,42924,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"11324",0,0,1,14,10,10,1921,NA,1250,49,105840,2199,1,NA,299880,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"11329",0,0,1,6,8,11,1938,NA,0,33,0,2531,3,1,55860,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"11347",1,0,1,17,8,10,1927,NA,3218,43,71736,3720,0,1,150645.59375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"11365",0,0,1,12,10,11,1940,NA,1840,30,25872,2018,2,1,74552.5234375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,NA,NA,NA,NA,NA,1
"11410",0,0,1,8,12,4,1918,NA,2304,51,11760,935,0,1,45276,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"11441",0,0,1,16,3,8,1927,NA,840,43,3704.39990234375,20,0,NA,35474.0390625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"11473",1,1,0,6,NA,6,NA,NA,2000,51,35868,2708,8,1,130300.796875,1.39999997615814,0,42924,0,0,0,0,7300,NA,NA,NA,NA,NA,NA,0,4,4,NA,82,0,1,1,0
"11503",1,0,1,5,7,6,1916,NA,1840,54,27048,514,0,1,27048,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,4,30,0,1,1,0
"11581",0,0,1,12,10,11,1910,NA,0,60,0,849,0,1,38808,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"11588",0,0,1,12,7,9,1923,NA,850,47,13818,1377,0,0,49803.6015625,0.300000011920929,0,8467.2001953125,8467.2001953125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,71,0,1,1,0
"11614",0,NA,NA,10,NA,NA,NA,NA,NA,47,NA,1558,1,NA,64680,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,0
"11628",1,0,1,8,6,7,1920,NA,1225,49,41160,677,1,1,91992.6015625,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,82,0,1,1,0
"11659",0,0,1,16,2,8,1925,NA,450,46,11113.2001953125,4288,0,1,151945.078125,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"11690",0,0,1,12,5,11,1934,NA,0,36,0,1222,3,1,282240,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"11775",0,0,1,14,9,12,1944,NA,1120,25,3292.80004882812,4157,2,1,36220.80078125,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"11805",1,1,0,12,11,7,1931,NA,2440,39,41718.6015625,3283,0,1,53802,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,0,1,1,0
"11814",1,0,1,16,10,11,1941,NA,2080,29,84672,4740,0,1,93492,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,91,0,1,1,0
"11821",1,0,1,10,NA,NA,NA,NA,NA,55,NA,2657,0,NA,18557.279296875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,0,0
"11858",1,0,1,12,10,11,1938,NA,1960,32,91140,3674,2,1,126772.796875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,71,0,1,1,0
"11872",0,0,1,8,8,8,1930,NA,0,41,0,3385,5,1,21638.400390625,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"11881",0,1,0,14,8,10,1933,NA,2036,37,28812,4613,4,0,32340,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,8,NA,92,0,1,1,0
"11896",0,0,1,14,4,12,1917,NA,1488,53,22344,3869,0,0,22344,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,82,0,1,1,0
"11898",0,0,1,13,7,12,1944,NA,0,26,0,3117,2,1,65032.80078125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"11954",0,0,1,11,10,12,1937,NA,1440,33,8820,2588,3,1,55860,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"11979",0,0,1,13,3,11,1943,NA,0,28,0,2412,2,1,113425.203125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,NA,1
"11994",1,0,1,12,5,11,1943,NA,2232,27,67714.078125,193,3,1,124068,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,21,0,1,1,0
"12012",1,0,1,13,10,9,1945,NA,2000,25,NA,4622,1,NA,164640,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,12,12,70560,0,0,0,0,3,9,NA,NA,NA,NA,NA,0
"12019",1,0,1,7,2,1,1941,NA,2431,30,NA,922,0,NA,43541.3984375,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,16,NA,NA,NA,NA,NA,0
"12029",1,0,1,12,7,10,1940,NA,2040,30,NA,2083,0,1,74676,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22344,0,0,0,0,3,9,NA,NA,NA,NA,NA,0
"12030",1,0,1,12,10,12,1936,NA,2544,34,82320,1023,3,1,82602.2421875,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,57,0,1,1,0
"12040",1,0,1,10,7,8,1928,NA,2140,42,50568,815,5,1,58623.6015625,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,92,0,1,1,0
"12045",0,0,1,12,8,10,1945,NA,0,25,0,1134,3,1,22837.919921875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"12081",0,1,0,NA,NA,7,NA,NA,2376,25,9261,3786,4,0,31887.240234375,1.10000002384186,0,11219.0400390625,0,2469.60009765625,1488,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,0,0,1,0
"12083",1,0,0,14,5,10,1941,NA,2472,30,70560,3216,2,1,70618.796875,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,85,0,1,1,0
"12084",1,0,1,13,9,11,1941,NA,2194,29,58035.6015625,4294,2,1,58623.6015625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,92,0,1,1,0
"12120",0,0,1,6,10,12,1927,NA,2500,42,33980.51953125,609,2,1,90834.2421875,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"12150",0,0,1,12,2,8,1935,NA,0,34,0,458,5,1,47187,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"12170",0,0,1,8,1,10,1915,NA,2112,56,45864,1139,0,1,87559.078125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12195",1,1,0,3,10,5,1936,NA,0,54,0,1509,2,1,21309.119140625,1.20000004768372,0,21309.119140625,21309.119140625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,4,NA,0,0,1,0
"12209",0,0,1,9,10,9,1928,NA,1600,42,15876,925,2,NA,67384.796875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"12226",1,0,1,12,2,9,1920,NA,2705,51,79479.9609375,684,1,1,140114.515625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,31,0,1,1,0
"12235",0,0,1,9,5,5,1918,NA,800,52,3292.80004882812,738,1,1,8531.8798828125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"12248",0,0,1,8,11,11,1914,NA,0,56,0,1995,1,1,64680,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"12268",0,0,1,17,1,12,1932,NA,2370,39,67620,1575,0,0,67931.640625,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"12273",0,0,1,14,12,9,1940,NA,2250,30,38808,52,0,1,108339,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"12311",1,0,1,10,NA,12,NA,NA,3315,53,24443.16015625,3473,0,1,81144,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"12340",0,0,1,12,6,8,1941,NA,2040,29,23520,2386,2,1,94080,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"12341",1,0,1,12,NA,10,NA,NA,2864,32,78756.71875,2225,2,1,78756.71875,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,2,61,0,1,1,0
"12348",1,0,1,9,NA,NA,NA,NA,NA,60,NA,274,0,NA,13512.240234375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,0,0
"12365",1,0,1,12,11,6,1942,NA,2052,28,42336,2411,1,1,43512,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,55,0,1,1,0
"12380",0,0,1,7,5,10,1944,NA,0,26,0,1437,6,1,37632,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"12435",0,NA,NA,8,NA,10,NA,NA,0,60,0,4252,0,NA,40336.80078125,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"12439",1,0,1,9,11,10,1927,NA,2471,43,37779,1070,8,1,56971.3203125,1.79999995231628,1675.80004882812,3686.76000976562,0,0,342,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,51,0,1,1,0
"12441",1,0,1,10,NA,8,NA,NA,2250,26,24202.080078125,1940,3,1,29558.759765625,1.20000004768372,1317.11999511719,4174.7998046875,0,882,336,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,51,0,1,1,0
"12480",0,0,1,12,6,12,1932,NA,864,38,15288,2180,2,0,44923.19921875,0.600000023841858,0,21168,21168,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,88,0,1,1,0
"12490",1,0,1,11,4,7,1921,NA,2907,49,23831.640625,1694,0,1,30576,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,11,0,1,1,0
"12492",0,NA,NA,12,NA,10,NA,NA,0,36,0,1303,0,NA,35585.76171875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"12509",0,0,1,NA,NA,NA,NA,NA,NA,49,NA,293,0,NA,33092.640625,0.100000001490116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,0
"12518",0,0,1,12,4,9,1929,NA,0,42,0,1599,1,1,59435.0390625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"12535",0,1,0,12,NA,10,NA,NA,NA,59,NA,4676,1,NA,49980,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,0
"12542",0,1,0,16,6,11,1922,NA,0,48,0,4440,2,1,88435.203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,1
"12545",1,0,1,16,NA,12,NA,NA,2805,50,129360,3499,0,1,135240,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,87,0,1,1,0
"12549",0,0,1,8,1,11,1922,NA,1920,48,18228,833,0,1,41748,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"12575",0,0,1,8,3,9,1932,NA,1105,40,17022.599609375,2787,0,1,60622.80078125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"12579",0,0,1,11,6,11,1926,NA,0,45,0,3823,3,1,123774,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12604",0,0,1,12,NA,10,NA,NA,1170,56,16464,3349,0,0,16464,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"12619",0,0,1,12,10,12,1924,NA,1875,46,28617.9609375,4020,3,1,126960.9609375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,NA,1
"12641",0,0,1,12,6,11,1944,NA,180,26,1117.19995117188,193,3,1,124068,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"12645",1,0,1,16,10,11,1934,NA,3450,36,152880,4377,6,1,159936,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,71,0,1,1,0
"12687",0,0,1,15,11,9,1938,NA,160,32,1622.88000488281,53,4,1,69683.8828125,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"12718",0,1,0,12,4,11,1938,NA,2000,32,29400,1909,3,1,117600,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12790",0,0,1,12,9,13,1917,NA,1715,54,24519.599609375,4535,1,1,68619.6015625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12804",1,0,1,8,10,9,1915,NA,1188,54,32845.6796875,1452,0,0,37432.078125,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,51,0,1,1,0
"12824",1,0,1,15,8,11,1940,NA,2032,30,73500,18,2,1,73535.28125,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,81,0,1,1,0
"12883",1,0,1,17,12,12,1945,NA,2722,25,47040,1531,0,1,79380,0.699999988079071,0,0,0,0,0,0,0,NA,7,14112,NA,NA,0,0,3,3,NA,87,0,1,1,0
"12895",1,0,1,12,6,7,1924,NA,2056,46,52332,2123,4,1,109320.9609375,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,31,0,1,1,0
"12904",0,0,1,12,9,10,1915,NA,0,56,0,4607,0,1,52920,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12910",0,1,0,9,3,5,1924,NA,0,47,0,4359,0,1,46569.6015625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"12939",0,NA,NA,13,NA,10,NA,NA,0,32,0,2225,2,NA,78756.71875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"12966",0,0,1,12,7,8,1927,NA,2293,43,19686.240234375,260,3,1,65403.23828125,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"12974",0,0,1,16,11,11,1944,NA,1760,26,52920,777,0,1,73111.921875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,16,137592,61740,0,0,0,1,44,NA,NA,NA,NA,NA,1
"13031",0,0,1,16,10,10,1941,NA,1200,29,23520,4053,2,1,94080,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,NA,1
"13072",0,1,0,8,NA,2,NA,NA,NA,59,NA,625,0,NA,24343.19921875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,0
