"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"1277",0,0,1,12,11,11,1910,320,59,10604.900390625,2244,0,1,44932.8984375,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1313",0,1,0,12,6,9,1924,1248,46,12260,4069,0,NA,44136,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,1960,43,67430,1860,2,1,89498,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"1334",0,0,1,12,1,10,1942,1280,28,24992.009765625,4210,0,1,67583.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,0,27,0,1393,2,1,61300,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"1368",0,0,1,NA,NA,NA,NA,NA,25,NA,3785,1,NA,63647.7890625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,0
"1374",0,0,1,12,2,10,1926,1400,43,12260,430,3,NA,101071.4375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,1
"1411",0,0,1,14,NA,9,NA,0,28,0,3688,2,NA,78464,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1431",1,0,1,16,3,11,1927,2217,43,119535,3758,2,1,156805.40625,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,1,1,0
"1489",1,0,1,8,NA,0,NA,1974,41,35327.19140625,621,0,0,43492.3515625,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,4,0,1,1,0
"1490",0,0,1,11,10,11,1941,2250,28,30600.9609375,3415,3,1,89455.09375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,0,26,0,2907,2,NA,98080,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"1517",1,0,1,8,NA,NA,NA,2136,41,49040,3295,0,1,73560,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"1519",1,0,1,16,1,11,1917,2450,53,134860,1146,0,1,277689,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,1,1,0
"1532",0,0,1,12,8,11,1929,624,40,7950.60986328125,29,0,1,72499.5078125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"1604",1,0,1,12,3,11,1913,1760,57,81173.4609375,1599,0,1,105540.2109375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
