"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,2376,36,88952.5,7243,3,1,114869,11,1,0,0,0,0,0,0,0,0,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,1680,39,12090.400390625,5815,1,0,24548,17,4,0,0,0,0,0,0,3570,0,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,1,1,0
"4",1,0,1,4,10,10,1950,NA,1200,41,0,5526,0,0,34773.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,0,NA,0
"5",1,0,1,12,5,10,1962,24,2100,30,28900,6294,3,1,35700,4,1,0,0,0,0,0,0,0,0,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,24,2313,34,28900,6463,3,1,29070,9,2,0,0,0,0,0,0,0,0,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,24,2492,32,26775,5744,3,1,37740,7,3,0,0,0,0,0,0,0,0,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,2222,38,20400,5747,2,1,86870,13,2,0,0,0,0,0,NA,0,0,11,9,13421.5,1756.09997558594,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,3036,35,75869.296875,5663,3,1,98940,10,1,0,0,0,0,0,0,0,0,11,9,13421.5,1756.09997558594,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,24,2500,27,15937.5,5319,0,0,16277.5,4,2,0,0,0,0,0,0,0,0,11,9,13421.5,1756.09997558594,0,0,0,2,21,0,1,1,0
"12",1,1,0,12,5,9,1966,29,12,25,110.5,5227,0,0,280.5,6,3,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,0,1,0
"16",0,1,0,12,6,9,1962,29,1744,29,40800,7217,1,0,41990,9,3,0,0,0,0,0,0,1190,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,0,38,0,4665,4,0,25228,15,2,0,0,629,0,0,370,17680,0,11,11,0,0,0,0,0,1,29,0,0,1,0
"19",0,0,1,15,12,9,1955,29,1820,36,54400,9400,2,1,63253.6015625,15,2,0,0,0,0,0,NA,0,0,11,11,0,0,0,0,0,1,29,0,1,NA,1
"20",1,1,0,13,8,9,1963,29,2080,28,35715.30078125,8478,3,1,57815.30078125,5,1,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,1945,34,40800,4553,3,0,46675.19921875,9,2,0,0,0,0,0,0,5875.2001953125,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,34,0,35,0,6078,3,1,84150,10,2,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,2,34,0,0,NA,1
"26",1,0,1,14,6,11,1954,34,2410,37,81600,5547,0,0,81600,12,1,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
