"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"49508",1,0,1,16,NA,12,NA,NA,1935,29,48300,440,3,1,48300,9,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,5,51,NA,92,0,1,1,0
"49535",1,0,1,15,2,11,1928,NA,3486,46,70035,578,1,1,92011.5,28,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,84,0,1,1,0
"49561",1,0,1,14,1,12,1937,NA,2037,37,63369.6015625,3713,3,1,63369.6015625,16,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,92,0,1,1,0
"49574",0,0,1,17,9,13,1934,NA,600,39,24150,455,0,1,137655,18,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"49578",0,1,0,11,5,11,1947,NA,0,27,0,4475,1,1,42325.2890625,4,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,8,NA,NA,NA,NA,NA,1
"49592",0,0,1,12,8,11,1946,NA,0,28,0,1707,0,1,65929.5,9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"49607",0,0,1,14,11,10,1933,NA,0,40,0,1092,1,1,74865,16,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"49617",0,0,1,12,10,11,1947,NA,0,26,0,632,3,1,133308,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"49646",1,0,1,14,1,9,1949,NA,3354,25,34664.91015625,2836,1,1,53130,7,0.699999988079071,0,0,0,0,0,0,0,16,NA,NA,44436,0,NA,0,3,32,NA,61,0,1,1,0
"49663",1,0,1,4,7,10,1944,NA,NA,29,NA,4794,0,0,42175.55859375,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,10143,0,NA,0,3,42,NA,NA,NA,NA,NA,0
"49667",1,0,1,12,8,11,1916,NA,1645,57,67620,903,0,1,68054.703125,40,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,85,0,1,1,0
"49692",1,0,1,12,4,10,1949,NA,2468,25,31395,4743,0,1,38640,7,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,40,0,1,1,0
"49708",0,0,1,12,9,9,1919,NA,560,55,2028.59997558594,3005,0,0,21155.400390625,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,3,3,4,NA,0,0,1,0
"49709",1,0,1,10,7,9,1914,NA,2640,59,81844.3515625,1398,0,1,212186.734375,41,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,61,0,1,1,0
"49725",1,0,1,16,4,11,1946,NA,2250,28,62790,1660,2,1,65688,10,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,57,0,1,1,0
"49734",0,NA,NA,16,NA,10,NA,NA,0,36,0,3108,2,NA,202860,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,1
"49750",0,0,1,16,7,11,1948,NA,0,25,0,2336,0,NA,60375,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"49785",1,0,1,13,8,9,1947,NA,2127,26,49266,898,0,0,85201.203125,8,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,4,5,NA,71,0,1,1,0
"49832",1,0,1,12,7,13,1928,NA,2008,45,63393.75,1091,2,1,104448.75,27,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,31,0,1,1,0
"49850",1,0,1,16,NA,13,NA,NA,2500,33,169050,2870,4,1,169050,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,51,0,1,1,0
"49876",0,0,1,12,10,10,1945,NA,0,26,0,512,1,1,73261.4375,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"49974",1,0,1,12,7,10,1926,NA,2000,47,58443,4832,2,1,58781.1015625,27,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,92,0,1,1,0
