"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,2360,33,105600,1688,3,1,115200,11,2,0,0,0,0,0,0,0,0,11,9,7138.56005859375,960,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,0,36,0,1425,1,1,106560,7,2,0,0,0,0,0,NA,0,0,11,9,7138.56005859375,960,0,0,0,2,24,0,0,NA,1
"4",1,0,1,4,10,10,1950,NA,1500,38,NA,3038,0,0,27609.599609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,7138.56005859375,960,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,24,2328,26,39744,444,3,1,43584,4,2,0,0,0,0,0,0,0,0,11,9,7138.56005859375,960,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,24,2392,30,35664,412,2,1,35664,9,2,0,0,0,0,0,0,0,0,11,9,7138.56005859375,960,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,24,1865,29,25896.9609375,397,3,1,33609.6015625,7,3,0,0,0,0,0,0,0,0,11,9,7138.56005859375,960,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,1718,35,26880,640,3,1,65337.6015625,13,2,0,0,0,0,0,NA,0,0,11,9,7138.56005859375,960,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,2476,32,49920,987,3,1,71136,10,1,0,0,0,0,0,0,0,0,11,9,7138.56005859375,960,0,0,0,2,24,0,1,1,0
"16",0,1,0,12,6,9,1962,29,3692,26,37440,5640,1,0,56862.71875,9,4,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"17",1,1,0,13,11,9,1960,29,2272,28,52919.0390625,4493,2,1,127249.921875,4,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,1627,35,13440,5267,3,0,41280,15,3,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"19",0,0,1,15,12,9,1955,29,1708,33,48000,3751,2,0,48000,8,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"20",1,1,0,13,8,9,1963,29,2000,25,38400,6781,3,1,52800,5,1,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,1945,31,45888,6414,3,0,46579.19921875,9,3,0,0,0,0,0,0,691.200012207031,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"23",1,1,0,14,8,9,1958,29,2080,29,NA,4493,2,0,127249.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,0,0,0,1,29,0,1,NA,0
"25",0,0,1,16,12,11,1956,34,0,32,0,5959,2,1,77760,10,2,0,0,0,0,0,NA,0,0,NA,17,1200,NA,NA,0,0,4,4,0,0,NA,1
"26",1,0,1,14,6,11,1954,34,2584,34,78720,5903,0,0,78720,12,2,0,0,0,0,0,0,0,0,NA,17,1200,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,2510,40,172800,6020,1,1,265344,19,2,0,0,0,0,0,0,0,0,NA,17,1200,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,34,1828,25,19200,5902,0,0,23040,3,1,0,0,0,0,0,0,0,0,NA,17,1200,NA,NA,0,0,2,34,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2430,38,115200,5749,2,1,199680,10,2,0,0,0,0,0,0,0,0,NA,17,1200,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,842,36,19200,4334,0,0,20928,14,1,0,0,0,0,0,0,0,0,NA,17,1200,NA,NA,0,0,2,34,0,1,1,0
"32",0,0,1,16,9,11,1960,34,2000,28,46080,6071,1,NA,124800,7,2,0,0,0,0,0,NA,0,0,NA,17,1200,NA,NA,0,0,3,39,0,1,NA,1
"33",1,0,1,17,1,11,1959,34,3344,30,163200,6123,2,1,246720,8,3,0,0,0,0,0,0,0,0,NA,17,1200,NA,NA,0,0,2,12,0,1,1,0
"37",0,0,1,12,5,10,1953,13,980,35,6336,5579,3,NA,60560.640625,NA,1,0,0,0,0,0,NA,0,0,8,8,0,5184,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,13,2783,37,33408,3024,1,0,42023.0390625,10,3,0,0,0,0,0,0,4608,0,8,8,0,5184,0,0,0,2,13,0,1,1,0
"39",0,0,1,17,2,8,1962,13,2308,27,28800,3420,0,1,73920,5,2,0,0,0,0,0,NA,0,0,8,8,0,5184,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,13,620,32,28800,6444,0,0,54374.3984375,10,4,0,0,0,0,0,0,0,0,8,8,0,5184,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,NA,717,41,32640,2345,3,1,32666.880859375,17,3,0,0,0,0,0,0,0,0,8,8,0,5184,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,13,1670,29,3072,2347,3,0,14257.919921875,4,3,0,0,1689.59997558594,0,0,880,11185.919921875,0,8,8,0,5184,0,0,0,2,13,1,0,1,0
"45",1,0,1,12,11,7,1949,NA,3250,39,53760,2348,2,1,79132.796875,21,4,0,0,0,0,0,0,0,0,8,8,0,5184,0,0,0,3,41,0,1,1,0
