"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"25349",1,0,1,16,5,11,1955,2492,41,91760,781,2,1,142982.796875,12,3,72,NA,NA,NA,NA,NA,NA,0,1,38,0,1,1,0
"25366",1,0,1,9,6,9,1965,NA,31,NA,3441,0,0,85248,NA,NA,NA,NA,16,44400,NA,NA,0,0,2,24,0,1,NA,0
"25388",0,0,1,14,10,10,1943,1920,53,39960,5389,0,NA,100669.6015625,25,2,67,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"25410",1,0,1,12,3,8,1965,2450,32,54834,5052,2,1,62293.19921875,9,3,74,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"25430",0,0,1,12,10,10,1969,0,27,0,337,2,NA,14835.51953125,NA,3,65,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"25434",1,0,1,14,5,10,1972,2080,25,28416,5939,0,1,79476,4,1,73,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"25452",0,NA,NA,NA,5,8,1959,0,38,0,5256,3,NA,59726.87890625,NA,NA,68,NA,NA,NA,NA,NA,NA,0,4,27,0,1,NA,1
"25457",1,0,1,17,8,12,1944,1476,52,63640,3149,0,1,125504,22,2,70,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"25463",0,0,1,14,11,10,1953,2300,43,103600,2947,1,1,355644,10,3,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"25466",0,0,1,16,10,12,1953,2250,43,90280,3307,0,NA,154266.3125,20,1,61,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"25468",1,0,1,13,5,13,1960,2034,36,53724,731,3,1,68432.2421875,15,4,67,16,17,148,1480,0,0,0,4,46,0,1,1,0
"25478",0,0,1,13,2,11,1963,1840,34,29600,3129,0,1,79920,4,2,66,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"25509",1,1,0,12,1,9,1948,2056,49,38480,819,0,1,57749.6015625,19,3,71,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
