"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"49578",0,1,0,11,0,41,0,3366,0,0,8294.400390625
"49592",0,0,1,12,1720,42,13440,1399,2,0,131232
"49601",1,0,1,14,3060,38,41337.6015625,5585,2,1,95366.3984375
"49646",1,0,1,14,2470,40,34560,5862,1,1,61440
"49647",1,0,1,17,2822,39,515329.90625,4746,3,1,1022400
"49654",1,0,1,16,2964,39,155923.203125,4383,2,1,223987.203125
"49662",0,0,1,12,1160,39,17445.119140625,1816,2,1,127296
"49687",1,0,1,12,520,35,3840,4038,1,1,52320
"49692",1,0,1,12,2585,40,61056,4117,3,1,85966.078125
"49725",1,0,1,16,2240,43,57600,5310,1,1,98496
"49747",0,1,0,13,880,40,5760,1195,4,1,79872
"49750",0,0,1,16,2430,40,48000,922,0,0,48000
"49762",0,0,1,14,374,32,0,3145,0,1,26949.119140625
"49785",1,0,1,13,1936,41,85248,1018,0,0,102032.640625
"49799",0,0,1,12,1904,39,61440,1046,1,1,92812.796875
"49832",1,0,1,12,1918,60,59520,2263,0,1,127480.3203125
"49875",1,0,1,13,2586,34,38400,5851,0,0,38400
"49876",0,0,1,12,2080,43,31488,3542,0,1,84752.640625
"49887",1,0,1,13,3000,26,39552,2057,1,1,70272
"49906",0,0,1,13,0,28,0,3917,2,1,69857.28125
"49980",1,0,1,10,2104,57,40381.44140625,6547,0,1,122300.15625
"50017",1,0,1,12,2250,33,66240,1843,3,1,70080
"50033",0,0,1,16,2196,31,71040,3756,0,1,88934.3984375
"50116",0,0,1,14,1196,33,25344,3923,3,1,109824
"50118",1,0,1,12,2244,44,76800,4519,1,1,105177.6015625
"50149",0,0,1,16,1816,38,48994.55859375,5432,2,1,102188.15625
"50176",1,1,0,7,0,58,0,2577,2,1,23262.720703125
"50201",0,0,1,12,1290,38,12144,4117,3,1,85966.078125
"50203",0,0,0,12,0,28,0,2732,3,1,51840
"50231",0,0,1,13,1789,30,26880,222,3,1,50649.6015625
"50252",1,0,1,12,1760,30,72960,1522,2,1,92544
"50264",1,0,1,14,2112,42,78336,4998,1,1,86438.3984375
"50275",1,0,1,17,2300,37,76800,4347,2,1,94848
"50292",1,0,1,16,2760,51,192000,2262,1,1,336384
"50295",0,0,1,11,2056,53,15168,35,0,0,15168
"50321",1,0,1,16,2200,55,99840,1776,0,1,105600
"50336",1,0,1,12,1823,47,38400,212,0,1,55282.55859375
"50357",1,0,1,12,2270,37,61440,1852,3,1,91200
"50383",0,0,1,16,2223,31,41210.87890625,4889,2,1,120668.15625
"50385",1,0,1,14,2000,30,48672,4910,2,1,56524.80078125
"50390",0,0,1,16,2400,47,76800,1051,0,0,96000
"50391",1,0,1,16,2276,27,78336,5186,1,1,108288
"50401",1,1,0,17,2820,43,55507.19921875,3675,4,1,117713.28125
"50403",0,0,1,17,890,38,17280,5136,2,1,91956.4765625
"50425",1,0,1,12,2600,39,34560,160,1,1,44160
"50426",1,0,1,12,2112,50,61440,3316,1,1,73536
"50430",1,0,1,14,1720,41,19265.279296875,3167,0,1,35174.3984375
"50520",0,0,1,16,0,60,0,1746,0,1,90474.2421875
"50523",1,0,1,12,2028,33,67814.3984375,4232,0,0,67929.6015625
"50525",1,0,1,13,2205,39,38400,129,1,1,71308.796875
"50548",1,0,1,12,2080,28,42316.80078125,4073,0,1,96768
"50573",1,0,1,15,2250,36,173760,4097,2,1,225984
"50579",1,0,1,12,2306,29,67200,3471,2,1,113314.5625
"50600",1,1,0,14,3366,42,34414.078125,5938,1,1,95917.4375
"50614",1,0,1,15,4428,27,183770.875,3103,0,1,455040
"50625",1,0,1,12,2722,46,48000,2863,2,1,48752.640625
"50646",1,0,1,16,2184,59,34368,6762,0,1,25152
"50657",1,0,1,13,2060,45,63456,6535,0,1,89760
"50659",0,0,1,16,2250,31,59520,4267,0,0,60480
"50700",1,0,1,16,1840,54,1919998.125,4430,0,1,2711424
"50720",0,0,1,12,2049,37,46080,6641,3,0,59904
"50772",0,0,1,17,1528,30,45120,5231,0,1,106368
"50789",0,0,1,12,1617,30,19200,5059,2,1,76800
"50792",0,0,1,16,2092,49,54197.76171875,5155,0,1,49923.83984375
"50803",1,0,1,16,2024,35,57600,3831,2,1,63360
"50806",0,0,1,14,429,26,3840,4039,2,0,19968
"50816",0,0,1,12,1632,31,23040,4584,2,1,57600
"50828",1,0,1,17,2142,46,147840,3501,2,1,160320
"50843",0,0,1,15,0,37,0,1112,3,1,59520
"50859",0,0,1,12,1725,60,30720,3224,0,1,118811.5234375
"50873",1,0,1,16,2615,37,182400,6491,2,1,201600
"50894",0,0,1,15,1960,30,40320,477,1,0,47347.19921875
"50899",1,0,1,17,2400,37,129600,2848,1,1,137280
"50907",1,0,1,17,2925,42,105600,1680,2,1,123744
"50922",1,0,1,8,0,56,0,1268,0,0,28477.439453125
"50924",0,0,1,16,608,35,13440,1309,1,1,157440
"50960",1,0,1,14,2353,28,52602.23828125,4526,0,1,110989.4375
"50977",0,0,1,13,1736,31,96000,3946,2,1,137280
"50978",1,0,1,16,2160,40,76800,6263,3,1,116928
"50984",1,0,1,16,1548,25,38400,3682,1,1,57600
"50989",0,1,0,12,1400,31,13440,3766,1,0,22819.19921875
"50996",0,0,1,14,0,30,0,3936,2,1,121344
"50997",0,0,1,17,1710,26,36480,4390,0,1,92640
"51024",1,0,0,12,2261,43,69120,2402,0,1,111360
"51049",1,0,1,12,1898,59,49920,1971,0,1,116313.6015625
"51061",1,0,1,14,3120,41,57600,1503,2,1,72960
"51072",0,0,1,11,1157,55,960,3038,0,1,27609.599609375
"51086",1,0,0,16,1976,32,50880,1976,1,1,51072
"51092",1,0,1,14,0,57,0,2391,0,1,56501.76171875
"51116",1,0,1,8,2400,45,33408,4374,2,1,34944
"51134",0,0,1,12,2012,27,36480,2382,0,1,49920
"51137",0,0,1,12,3000,46,32256,1685,0,1,1077312
"51145",1,0,1,11,2268,30,48000,6024,1,1,109440
"51150",0,0,1,17,600,28,50880,2970,0,0,98880
"51174",0,0,1,14,2315,39,53760,4646,1,0,53760
"51187",0,0,1,16,2695,33,52506.23828125,3204,0,1,149760
"51203",0,0,1,16,0,59,0,6935,0,1,84480
"51247",1,0,0,12,1040,27,6720,4230,1,1,53212.80078125
"51279",1,0,1,16,2738,44,68160,4596,1,1,116160
"51318",0,0,1,17,1978,27,36000,2720,1,1,80352
"51326",1,0,1,12,2574,42,41088,4176,2,1,42048
"51336",1,0,1,12,2583,27,48000,968,2,1,48000
"51337",1,0,1,12,2295,53,50202.23828125,6126,0,1,97536
"51361",1,0,1,8,1196,35,10425.599609375,1333,0,0,10425.599609375
"51430",0,0,1,12,0,27,0,4844,1,0,7211.52001953125
"51434",1,0,1,16,1970,42,81600,3028,3,1,83904
"51435",0,1,0,16,1520,48,42147.83984375,622,2,0,51845.76171875
"51446",1,0,1,13,2650,56,165782.40625,6240,0,1,245280
"51467",1,0,1,17,1500,37,67200,4982,2,1,144000
"51503",1,0,1,16,3150,31,59520,3310,1,1,86400
"51507",1,0,1,17,2260,57,13591.6796875,245,0,1,80640
"51548",0,0,1,14,1200,40,5952,1538,0,1,107520
"51549",0,1,0,12,0,33,0,1917,3,0,7534.080078125
"51570",1,0,1,12,2120,40,56064,3688,4,1,98787.84375
"51596",0,0,1,12,0,27,0,4905,3,1,64320
"51610",1,0,1,16,2964,35,105600,3622,2,1,106560
"51626",0,0,1,14,832,31,19200,1996,3,1,85228.796875
"51631",1,0,1,12,2750,36,38400,640,3,1,65337.6015625
"51640",0,0,1,16,1728,38,38592,2376,0,0,38697.6015625
"51651",0,0,1,16,1255,25,19200,3682,1,1,57600
"51652",0,0,1,12,0,35,0,4996,1,1,54240
"51654",0,0,1,16,0,34,0,1140,3,1,220992
"51668",0,0,1,15,0,55,0,1776,0,1,105600
"51676",0,0,1,12,1837,40,33292.80078125,6405,1,1,79173.1171875
"51693",1,0,1,14,1155,56,14724.48046875,4830,1,1,51154.55859375
"51700",0,0,1,14,1960,60,41107.19921875,4479,0,0,42643.19921875
"51703",0,0,1,12,2695,52,41280,1700,0,0,48288
"51710",1,0,1,17,2880,52,136320,4685,0,1,165504
"51715",0,0,1,15,312,41,3369.60009765625,5730,2,1,1.91999995708466
"51720",1,0,1,12,3570,34,82560,6421,2,1,86400
"51727",1,0,1,17,2674,59,55680,1376,0,1,122880
"51750",0,0,1,16,673,56,9878.400390625,1728,0,1,161329.921875
"51756",0,0,1,12,2080,25,0,4836,0,0,78896.640625
"51760",1,0,1,14,2641,27,65280,5137,1,1,65280
"51763",1,0,1,12,2050,32,44160,342,1,1,65376
"51772",1,0,1,7,0,48,0,4168,0,1,76164.4765625
"51777",0,0,1,12,850,28,17280,4362,3,1,72960
"51784",0,0,1,14,2518,31,16588.80078125,474,1,1,61305.6015625
"51816",1,0,1,14,2118,43,92160,3489,2,1,131712
"51847",0,0,1,17,1504,40,49920,3541,2,1,88320
"51921",0,1,0,14,981,41,3456,4924,0,0,5520
"51935",0,0,1,12,850,36,6720,5202,2,1,37440
"51978",0,0,1,8,0,37,0,2179,2,1,99840
"52003",1,0,1,11,1992,26,54096,1966,1,1,67536
"52011",0,0,1,12,0,28,0,1871,0,1,70656
"52012",1,0,1,17,2880,42,86400,820,2,1,288960
"52037",0,0,1,12,0,60,0,1670,0,0,26772.48046875
"52046",1,0,1,12,2041,42,72960,3521,0,1,136070.40625
"52069",0,0,1,17,491,38,9600,6642,3,1,144000
"52096",0,0,1,12,1312,36,21120,2139,0,0,21120
"52105",1,0,1,17,2728,33,80640,1806,2,1,87360
"52111",1,0,1,14,1940,28,61440,3979,2,1,71040
"52147",1,0,1,17,1160,29,72960,864,0,1,134357.765625
"52151",0,0,1,12,1760,43,15360,6125,1,1,44797.44140625
"52167",1,0,1,17,2550,31,51033.6015625,4692,0,1,99072
"52208",1,0,1,14,3084,52,46160.640625,2901,0,0,126912
"52240",1,0,1,13,5824,32,14231.0400390625,5896,2,1,26937.599609375
"52254",0,0,1,13,848,38,3840,4837,2,1,108729.6015625
"52266",1,0,1,9,2750,55,46080,3023,0,1,46310.3984375
"52273",0,0,1,12,2550,35,9600,188,2,1,33600
"52276",0,1,0,10,0,32,0,376,4,0,5967.35986328125
"52285",1,0,1,12,4160,53,57600,5580,0,1,92160
"52286",1,0,1,17,2142,35,35656.3203125,854,1,1,67776
"52325",0,0,1,14,0,41,0,6715,2,1,126720
"52344",1,0,1,9,2074,36,23040,3842,2,1,33062.3984375
"52348",1,0,1,13,1976,35,34560,5382,3,0,42117.12109375
"52357",1,0,1,16,2174,38,151680,4421,1,1,194208
"52359",0,0,1,13,1344,50,23040,3871,0,1,92160
"52369",1,0,1,15,1740,40,19200,2636,0,0,19776
"52399",1,0,1,17,1428,52,99840,4997,0,0,100800
"52409",0,0,1,12,0,30,0,6283,2,1,85372.796875
"52411",0,0,1,16,325,34,5760,4675,2,1,55488
"52412",1,0,1,11,2080,25,47393.28125,1186,1,1,53437.44140625
"52415",1,0,1,12,2205,29,42240,534,1,1,78735.359375
"52417",1,0,1,16,2205,32,76800,5959,2,1,77760
"52430",0,0,1,12,1824,31,32640,791,2,1,79296
"52432",1,0,1,12,3657,33,62751.359375,2515,2,1,91209.6015625
"52435",0,0,1,17,1657,51,61440,2252,0,0,73536
"52486",1,0,1,16,2806,29,51840,2732,3,1,51840
"52497",1,1,0,16,1656,41,51840,1162,1,1,81024
"52500",1,0,1,17,3120,48,172800,6395,3,1,198144
"52506",0,0,1,11,510,48,7680,4201,0,1,130224
"52518",1,0,1,8,2293,57,76337.28125,2679,0,1,105603.84375
"52539",1,0,1,12,2190,44,44160,5101,4,1,57408
"52575",0,1,0,5,0,54,0,2088,0,0,8294.400390625
"52588",0,0,1,13,0,35,0,5567,3,1,77472
"52628",1,0,1,17,3237,29,82560,5325,0,0,82560
"52642",0,0,1,12,2050,25,19200,7046,1,1,54330.23828125
"52646",0,0,1,13,992,51,2688,3658,3,1,50976
"52649",1,0,1,9,1645,57,24000,4952,1,1,78067.203125
"52680",0,1,0,15,3088,30,44160,3967,2,0,44160
"52686",0,0,1,10,0,43,0,1152,0,1,46844.16015625
"52714",0,0,1,12,0,25,0,1258,0,1,40320
"52719",1,0,1,14,1835,44,60480,1956,0,0,61814.3984375
"52743",0,0,1,16,579,34,7580.16015625,3448,2,1,28200.9609375
"52756",1,0,1,12,4622,48,62234.87890625,721,0,1,115666.5625
"52769",1,0,1,12,2184,32,44160,1741,2,1,54264.9609375
"52770",0,0,1,13,0,26,0,4995,1,1,151680
"52793",1,0,1,12,2074,31,38244.48046875,3945,1,1,38398.078125
"52822",1,0,1,14,1118,38,76846.078125,781,3,1,89385.6015625
"52835",0,1,0,12,1725,53,42240,473,0,0,42240
"52837",0,0,1,13,0,55,0,1373,0,1,96288
"52869",1,0,1,14,0,59,0,332,0,1,53061.12109375
"52895",1,0,1,14,1935,40,58456.3203125,805,1,1,64853.76171875
"52896",0,0,1,17,1323,34,38400,776,2,1,107904
"52934",0,0,0,13,2400,26,26880,4230,1,1,53212.80078125
"52952",1,0,1,17,2695,36,51840,7035,2,1,54528
"52954",1,0,1,16,2840,25,47808,5524,0,1,105984
"52961",1,0,1,17,1952,47,96000,1063,1,1,116384.640625
"53008",0,0,1,12,2014,32,32640,4107,0,1,119040
"53044",1,0,1,11,2016,28,34560,2361,1,1,46368
"53047",1,1,0,9,384,33,0,4306,0,0,28848
"53055",0,1,0,8,1110,51,5184,3193,0,1,60456.9609375
"53056",1,0,1,13,1528,50,61440,5949,0,0,90758.3984375
"53074",1,0,1,12,2000,30,40320,4755,1,1,45312
"53081",1,0,1,17,2912,42,48000,516,0,0,56064
"53085",0,0,1,14,1722,34,8832,2276,3,1,57600
"53106",1,0,1,12,2805,34,53760,4381,1,1,90240
"53112",1,0,1,17,3240,41,144000,1280,1,1,199804.796875
"53121",0,1,0,16,1896,40,48000,3737,3,1,130788.4765625
"53122",0,0,1,12,1928,28,23040,5557,2,1,53856
