"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,2000,25,45850,3258,2,1,45850
"3",0,0,1,11,1200,28,14132.2802734375,5245,3,1,83840
"8",0,0,1,13,571,27,14410,4844,3,1,100346
"15",1,1,0,14,2040,26,47684,6146,0,1,73360
"18",0,1,0,16,2070,27,44540,6452,0,0,44540
"19",0,0,1,15,1708,25,23580,6320,1,0,23789.599609375
"26",1,0,1,14,2552,26,71264,271,2,1,79124
"27",1,0,1,17,2160,32,109516,540,0,1,203207.203125
"30",1,0,1,17,2520,30,61570,743,0,1,119210
"31",0,0,1,16,2026,28,41920,183,0,0,42438.76171875
"38",0,0,1,12,40,29,314.399993896484,173,1,1,26514.400390625
"40",1,0,1,11,1702,26,45850,483,0,0,51548.5
"42",1,0,1,14,2208,33,39300,586,2,1,64190
"45",1,0,1,12,2550,31,34060,6140,2,1,34426.80078125
"50",1,0,1,11,2545,31,22511.0390625,5214,3,1,25979.919921875
"52",0,0,1,10,1725,32,14410,2357,2,0,21850.80078125
"54",1,0,1,12,1867,27,28820,3300,2,1,34060
"55",1,0,1,12,2160,33,15720,5403,1,1,16506
"56",1,0,1,6,2394,33,24101.380859375,4848,3,1,24232.380859375
"59",1,0,1,10,1437,26,10364.7197265625,5710,1,1,10364.7197265625
"60",1,0,1,12,1920,27,22532,4637,3,1,35886.140625
"62",1,0,1,12,2176,29,22008,4192,2,1,23488.30078125
"72",0,1,0,12,2750,28,31440,1361,1,0,31440
"75",1,1,0,12,1960,28,31440,2048,1,1,52400
"600",1,0,1,12,1924,26,44618.6015625,2580,1,1,45142.6015625
"622",0,0,1,9,2544,35,31927.3203125,2425,1,0,42554.0390625
"637",1,0,1,17,1920,37,94702.5234375,5842,1,1,108064.5234375
"674",0,0,1,17,1140,29,9170,3322,0,1,31833
"701",1,0,1,17,2600,25,48470,1985,2,1,52719.640625
"762",1,0,1,10,2205,30,78600,5315,2,1,78600
"790",1,0,1,12,2352,29,68120,3804,2,1,147899
"796",1,0,1,12,1960,28,33536,122,0,0,38356.80078125
"805",1,1,0,12,2744,31,78600,5277,2,1,96678
"817",1,0,1,12,2964,39,36680,3224,0,0,36680
"839",1,0,1,12,160,36,3379.80004882812,516,1,0,24470.80078125
"841",0,0,1,12,0,39,0,6490,3,1,86695.796875
"842",0,0,1,16,0,37,0,2725,3,1,282960
"892",1,0,1,12,2020,48,61046,4623,0,1,95808.15625
"894",0,0,1,17,576,38,11004,894,2,1,84757
"970",0,0,1,12,1920,31,20960,3411,1,1,47160
"975",1,0,0,12,2256,42,68644,823,1,1,83735.203125
"991",0,0,1,12,2000,56,20960,5145,0,1,105882.0625
"1036",0,1,0,13,480,33,11004,5311,1,1,54296.87890625
"1114",1,0,1,14,1806,27,55020,5262,0,0,61137.69921875
"1141",1,0,1,16,2340,31,54496,1684,2,1,79648
"1154",0,0,1,17,1884,26,31440,2722,0,1,55020
"1161",1,0,1,13,2111,50,178160,5510,1,1,335360
"1180",0,0,1,17,1520,32,12743.6796875,3017,0,1,123684.9609375
"1187",0,0,1,17,1920,28,47160,5728,0,1,120782
"1211",0,0,1,17,1800,37,39300,1791,2,1,110171
"1212",0,0,1,12,1278,37,15091.2001953125,823,1,1,83735.203125
"1264",0,0,1,12,1290,31,61570,5939,0,0,82490.703125
"1328",1,0,1,16,2300,54,69430,5689,0,1,104800
"1334",0,0,1,12,1768,39,22794,2748,1,1,66548
"1345",1,0,1,17,1888,27,27517.859375,2409,0,0,56337.859375
"1358",0,0,1,12,0,38,0,2663,2,1,46243
"1371",1,0,1,17,1860,32,62880,873,2,1,63626.69921875
"1419",0,0,1,12,0,25,0,4821,2,1,44540
"1427",1,0,1,16,2550,28,48208,847,0,1,83203.34375
"1431",1,0,1,16,2112,53,116590,1642,0,1,174754
"1490",0,0,1,11,1400,39,15720,121,2,1,68549.6796875
"1506",0,1,0,14,1920,27,28820,3620,1,1,44540
"1544",0,0,1,12,0,30,0,4825,2,1,65631
"1546",0,0,1,14,822,29,6550,308,1,1,85150
"1584",0,0,1,16,936,37,31440,1757,3,1,91804.796875
"1608",0,0,1,16,0,44,0,2628,4,1,137183.203125
"1612",0,1,0,12,2080,28,28720.439453125,103,1,0,31460.9609375
"1626",0,0,1,14,960,30,8515,6138,0,1,104145
"1631",0,0,1,16,2500,27,44540,5234,0,1,107420
"1647",0,0,1,12,0,27,0,4339,2,1,109673.203125
"1662",0,0,1,16,1752,42,28820,507,0,1,148554
"1674",0,0,1,16,200,30,4716,5429,1,1,79988.6015625
"1680",0,0,1,12,120,56,1310,2570,0,1,62188.3203125
"1734",0,0,1,12,1880,31,20960,6087,0,0,37570.80078125
"1772",1,0,1,8,2080,53,46486.66015625,1584,0,1,46840.359375
"1776",1,0,1,12,2458,43,62880,1157,0,0,62880
"1778",0,0,1,12,1504,60,5764,5667,0,1,81220
"1787",1,0,1,12,2040,60,209600,2698,0,1,223137.546875
"1822",0,0,1,12,432,57,4118.64013671875,3014,0,1,76983.4609375
"1834",1,0,1,12,3315,51,70740,2111,0,1,70740
"1844",1,0,1,12,1200,52,56536.98046875,1077,2,1,64737.578125
"1863",1,0,1,17,2375,31,78600,3898,3,1,79202.6015625
"1888",0,0,1,13,0,60,0,4543,0,1,334547.8125
"1889",1,0,1,15,1920,26,57640,2597,0,1,103883
"1929",1,0,1,16,2200,54,46819.3984375,1805,0,1,77918.796875
"1945",1,0,1,16,2550,34,89080,3472,2,1,98512
"1981",0,0,1,12,1659,31,27510,1727,2,1,77552
"1982",0,0,1,16,0,29,0,3478,2,1,33798
"1990",0,0,1,12,2185,33,65500,1681,1,1,144990.796875
"2001",0,0,1,16,780,27,5240,5213,1,1,44540
"2016",0,0,1,16,1015,31,9825,1796,3,1,51923.16015625
"2031",1,0,1,16,3120,41,17187.19921875,3395,0,1,68164.5390625
"2032",1,0,1,16,1431,33,81220,4788,3,1,116590
"2048",0,0,1,17,0,34,0,4149,3,1,156152
"2064",1,0,1,15,1033,25,21484,312,0,1,58426
"2065",1,0,1,16,2000,35,66286,5969,1,1,122092
"2086",0,1,0,17,1392,30,31440,2505,4,1,89080
"2096",1,0,1,13,1667,50,33669.62109375,3471,2,1,109909
"2107",1,0,0,12,2000,27,62880,4137,1,1,72469.203125
