"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"607",1,1,0,12,2558,56,49040,4586,1,1,50879
"665",1,0,1,12,4207,40,89516.390625,498,2,1,156315
"677",0,0,1,8,1120,36,19616,3818,2,1,85207
"680",1,1,0,12,2039,54,67430,3795,6,1,87659
"811",1,1,0,6,4500,38,71721,588,3,1,71721
"813",1,0,1,7,1800,52,36878.078125,4197,1,1,85335.7265625
"817",1,0,1,12,2400,28,47814,796,2,1,60993.5
"839",1,0,1,12,2095,25,28811,2648,1,1,33715
"841",0,0,1,12,0,28,0,1978,3,1,61606.5
"842",0,0,1,16,988,26,23294,2088,0,1,86126.5
"859",1,0,1,13,1985,54,55727.828125,1823,0,1,80554.328125
"892",1,0,1,12,2322,37,52718,3646,1,1,70556.296875
"894",0,0,1,17,1760,27,28811,2474,1,1,48427
"975",1,0,0,12,2296,31,60074,1775,3,1,68043
"991",0,0,1,12,1960,45,21957.66015625,839,1,1,98092.2578125
"1132",0,0,1,12,2000,42,50266,1280,0,0,53637.5
"1161",1,0,1,13,2448,39,88885,2116,5,1,107275
"1211",0,0,1,17,140,26,3065,3373,1,1,47507.5
"1212",0,0,1,12,2080,26,7969,1775,3,1,68043
"1277",0,0,1,12,320,59,10604.900390625,2244,0,1,44932.8984375
"1328",1,0,1,16,1960,43,67430,1860,2,1,89498
"1334",0,0,1,12,1280,28,24992.009765625,4210,0,1,67583.25
"1358",0,0,1,12,0,27,0,1393,2,1,61300
"1431",1,0,1,16,2217,43,119535,3758,2,1,156805.40625
"1489",1,0,1,8,1974,41,35327.19140625,621,0,0,43492.3515625
"1490",0,0,1,11,2250,28,30600.9609375,3415,3,1,89455.09375
"1517",1,0,1,8,2136,41,49040,3295,0,1,73560
"1519",1,0,1,16,2450,53,134860,1146,0,1,277689
"1532",0,0,1,12,624,40,7950.60986328125,29,0,1,72499.5078125
"1604",1,0,1,12,1760,57,81173.4609375,1599,0,1,105540.2109375
"1608",0,0,1,16,234,33,15938,217,4,1,134247
"1662",0,0,1,16,320,31,6743,1891,2,1,103290.5
"1680",0,0,1,12,0,46,0,2207,1,1,78120.71875
"1700",1,0,1,12,2024,53,50149.53125,3924,0,1,67264.4921875
"1772",1,0,1,8,2244,43,49040,2238,2,1,72334
"1776",1,0,1,12,1376,39,55170,2856,2,1,64978
"1778",0,0,1,12,2040,49,30650,793,1,1,104210
"1787",1,0,1,12,3096,49,91950,4054,1,1,93176
"1815",0,0,1,9,2080,43,42910,1918,0,1,43093.8984375
"1822",0,0,1,12,0,46,0,335,1,1,101145
"1834",1,0,1,12,2000,40,35554,3145,2,1,38496.3984375
"1838",1,1,0,12,1632,40,51632.98828125,2357,3,1,52736.390625
"1844",1,0,1,12,3060,42,82755,3624,4,1,82963.421875
"1858",1,0,1,12,2450,50,35094.25,516,0,1,57928.5
