"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"1",1,0,1,17,2450,26,42624,132,0,1,42624
"2",1,0,1,12,2616,41,74000,2609,2,1,59688.3984375
"5",1,0,1,12,1984,34,34040,1765,4,1,65860
"6",1,0,1,12,2080,38,0,2082,3,1,40700
"7",1,0,1,12,2000,37,24704.16015625,474,2,1,39561.87890625
"8",0,0,1,13,0,43,0,4274,0,1,84357.0390625
"9",1,0,1,12,3060,40,118400,2607,1,1,208384
"10",0,0,1,14,2250,32,23813.19921875,139,0,0,23813.19921875
"11",1,1,0,16,2056,29,2442,981,2,1,22161.51953125
"12",1,1,0,12,576,30,4440,987,0,0,9176
"14",0,1,0,13,1795,25,36807.6015625,980,1,0,36807.6015625
"16",0,1,0,12,0,34,0,2362,0,0,828.799987792969
"18",0,1,0,16,0,43,0,207,4,0,13231.2001953125
"19",0,0,1,15,1715,41,51800,979,1,1,140600
"20",1,1,0,13,2080,33,14800,206,0,0,14800
"21",0,1,0,12,1782,39,3321.1201171875,211,2,0,14850.3203125
"25",0,0,1,16,1205,40,53280,5217,3,1,160247
"26",1,0,1,14,2504,42,84360,734,0,0,84567.203125
"27",1,0,1,17,2024,48,0,5077,1,1,840640
"28",0,0,1,15,2470,33,125800,4015,0,0,125800
"30",1,0,1,17,2500,46,133200,2030,2,1,234432
"31",0,0,1,16,2440,44,58460,4213,0,1,133940
"33",1,0,1,17,2080,38,310800,1928,3,1,481534.28125
"34",1,0,1,12,2080,31,23680,5581,0,0,23680
"39",0,0,1,17,1952,35,20720,281,1,1,85840
"41",1,0,1,9,1320,40,14800,420,1,1,28350.880859375
"42",1,0,1,14,2010,49,35520,2535,4,1,56536
"43",0,0,1,12,2000,48,17760,727,1,1,103008
"45",1,0,1,12,3525,47,126615.4765625,2802,0,1,141415.484375
"49",0,0,1,12,1344,33,28120,3009,1,0,45912.55859375
"50",1,0,1,11,2000,47,29600,3862,0,1,45880
"51",0,0,1,12,2304,38,13616,3692,1,1,149799.6875
"55",1,0,1,12,1800,49,2220,1150,5,1,18381.599609375
"56",1,0,1,6,87,49,3552,1722,2,1,43106.48046875
"57",1,0,1,4,303,50,5920,4832,5,1,41952.078125
"59",1,0,1,10,2570,42,34040,5177,2,1,65256.16015625
"60",1,0,1,12,434,43,0,2560,1,1,44548
"61",1,0,1,10,3120,36,22200,4594,0,1,24864
"62",1,0,1,12,2500,45,29896,2040,0,1,48396
"64",1,0,1,14,2836,41,37888,2910,1,1,76368
"65",1,0,1,12,1703,34,38480,5696,0,0,38480
"68",0,1,0,12,1344,31,14800,459,3,0,14800
"70",1,1,0,12,1984,34,48840,1254,0,0,48840
"72",0,1,0,12,2500,44,25160,462,0,1,47360
"75",1,1,0,12,1760,44,22200,460,2,1,51800
"76",0,1,0,12,2080,38,11840,3807,3,0,19405.759765625
"600",1,0,1,12,1904,42,68080,882,1,1,72520
"637",1,0,1,17,2350,53,145040,3842,0,1,206357.875
"668",1,0,1,11,1984,40,42920,3214,2,1,69560
"674",0,0,1,17,1506,45,47469.51953125,4193,0,0,66443.1171875
"688",0,0,1,17,1880,31,47360,1070,1,1,155548
"694",1,0,1,13,1930,35,42325.0390625,660,4,1,126226.2421875
"701",1,0,1,17,2380,41,48840,4564,1,1,131743.6875
"723",0,0,1,16,2000,25,25900,2690,0,1,46620
"731",1,0,1,16,2660,31,61017.44140625,130,1,1,61126.9609375
"759",0,0,1,17,2116,37,91020,2107,0,1,216993.15625
"764",0,0,1,13,2158,36,21312,3288,2,1,56832
"780",1,0,1,15,430,36,0,5502,0,0,20720
"790",1,0,1,12,2080,45,87320,2118,0,1,193288
"796",1,0,1,12,2765,44,77643.7578125,935,0,0,82153.3203125
"805",1,1,0,12,0,47,0,4941,3,1,84087.6796875
"817",1,0,1,12,1770,55,50320,2416,0,0,50320
"829",0,0,1,14,1992,27,20720,745,1,1,72076
"839",1,0,1,12,1785,51,65120,2429,1,0,137925.640625
"840",1,0,1,17,3000,43,207200,5828,2,1,651940
"841",0,0,1,12,940,55,17022.9609375,3313,1,1,118550.9609375
"842",0,0,1,16,0,53,0,538,0,1,372851.96875
"849",1,0,1,13,2765,33,54168,125,1,1,68524
"850",1,0,1,17,2880,28,44400,2719,1,1,59200
"856",1,0,1,9,2477,32,24346,18,3,1,57734.80078125
"865",1,0,1,10,1960,40,44400,2272,0,1,88800
"867",0,0,1,12,0,31,0,1576,3,1,43628.7109375
"893",0,0,1,16,676,40,6956,4205,2,1,81400
"894",0,0,1,17,2513,54,48100,4856,0,0,65531.15625
"912",1,0,1,17,1891,27,47360,917,0,0,47360
"915",0,0,1,12,1858,27,28120,4505,0,1,119880
"970",0,0,1,12,1936,48,28120,1699,0,1,94720
"975",1,0,0,12,2380,58,88800,814,0,1,108040
"976",0,0,1,12,1560,37,35520,5491,1,0,43369.921875
"998",0,0,1,12,2014,38,23176.80078125,4466,0,1,52893.71875
"1036",0,1,0,13,3060,49,25900,2138,0,1,88807.3984375
"1068",1,0,1,17,1920,47,39960,4225,0,1,105524
"1114",1,0,1,14,2400,43,99160,3347,0,1,206312
"1138",1,0,1,17,1653,26,41440,2555,0,1,68080
"1154",0,0,1,17,1715,43,109520,4060,1,1,109520
"1162",1,0,1,15,3380,33,48840,6197,0,1,103600
"1172",1,0,1,16,2187,37,125800,1320,2,1,143641.40625
"1180",0,0,1,17,0,48,0,3883,2,1,245976
"1185",1,0,1,12,2342,38,75480,674,2,1,125800
"1187",0,0,1,17,3040,44,125800,6246,2,1,606800
"1205",1,0,1,17,2142,40,96200,2968,2,1,155548
"1211",0,0,1,17,1940,53,57720,1017,0,0,58090
"1212",0,0,1,12,1912,53,19240,814,0,1,108040
"1247",0,0,1,17,2040,40,51800,1249,3,1,106782
"1285",1,0,1,14,1944,44,37000,3243,0,1,70004
"1289",0,0,1,14,0,37,0,428,2,1,118400
"1290",0,0,1,16,476,35,3700,2754,2,1,106759.796875
"1314",0,0,1,14,1290,36,12580,1258,3,1,84064
"1334",0,0,1,12,0,55,13463.5595703125,1396,0,1,132174.359375
"1358",0,0,1,12,1832,53,23680,2424,0,1,93032.796875
"1360",0,0,1,14,1470,25,28118.51953125,2451,1,1,45880
"1371",1,0,1,17,1957,48,90576,3438,1,1,156868.15625
"1412",0,0,1,12,802,37,14800,5223,2,1,59052
"1415",1,0,1,13,3500,51,45880,5184,0,1,102120
"1451",0,0,1,13,2268,32,53280,3108,0,0,54758.51953125
"1466",0,0,1,12,1400,45,17760,1737,1,1,29897.48046875
"1472",0,0,1,17,1554,40,46556.359375,3672,2,1,92140.359375
"1490",0,0,1,11,260,55,1065.59997558594,790,0,1,50943.078125
"1505",1,0,1,12,640,53,51800,5265,0,1,51800
"1506",0,1,0,14,2058,43,45880,1729,2,0,49432
"1511",1,0,1,16,1944,39,35520,1926,1,1,109520
"1544",0,0,1,12,1880,46,26640,4660,0,1,179080
"1546",0,0,1,14,1175,45,25900,3861,2,1,73492.359375
"1597",1,1,0,14,1880,39,48840,2334,2,1,102120
"1608",0,0,1,16,0,60,0,3640,0,1,155400
"1613",1,0,1,14,1496,51,23680,5008,0,1,155104
"1626",0,0,1,14,1564,46,20868,4357,0,0,21846.279296875
"1631",0,0,1,16,0,43,0,5133,3,1,149924
"1637",0,1,0,14,3081,31,47360,3649,1,0,47360
"1644",0,1,0,16,1490,38,20720,1668,1,0,41736
"1662",0,0,1,16,530,58,37000,3844,0,1,79920
"1665",1,0,1,16,1470,28,44400,3706,0,1,87320
"1674",0,0,1,16,1190,46,32560,1033,2,1,169548.796875
"1675",1,0,1,14,3250,28,69560,1464,1,1,86136
"1714",0,0,1,16,1980,25,49580,2298,0,0,51060
"1734",0,0,1,12,0,47,0,3970,0,0,4440
"1797",0,0,1,16,1980,36,59200,1750,0,1,119880
"1843",0,0,1,13,2980,35,27232,5397,0,0,27232
"1847",0,1,0,12,1380,38,44400,956,1,0,44400
"1863",1,0,1,17,1945,47,122840,1666,1,1,243474.796875
"1885",0,0,1,12,2640,33,35520,1521,2,0,41440
"1889",1,0,1,15,2400,42,90280,2029,2,1,117068
"1914",1,0,1,11,0,26,0,6181,0,0,3685.19995117188
"1927",0,0,1,16,2709,33,39960,5186,0,0,44844
"1936",1,1,0,12,1769,27,22200,2987,0,0,26891.599609375
"1945",1,0,1,16,2400,50,139120,1392,1,1,170348
"1956",0,0,1,12,1952,38,24686.400390625,137,2,0,58579.87890625
"1958",0,1,0,11,0,46,0,613,3,0,36878.69921875
"1981",0,0,1,12,1863,47,47360,4973,0,1,101143.203125
"1990",0,0,1,12,1848,49,25900,4401,0,1,69912.2421875
"1996",0,0,1,12,0,30,0,3381,2,1,37000
"2001",0,0,1,16,1440,43,23680,3778,1,1,97443.203125
"2007",1,0,1,17,2400,55,59200,6141,0,1,91760
"2016",0,0,1,16,2102,47,31080,4970,0,1,70788.3984375
"2031",1,0,1,16,3120,57,0,2217,0,1,112480
"2032",1,0,1,16,2600,49,48840,2348,1,1,108040
"2033",0,0,1,14,1960,42,22200,1934,2,1,64556.12109375
"2048",0,0,1,17,0,50,0,2150,1,1,241121.59375
"2065",1,0,1,16,2080,50,103896,2796,1,1,103896
"2077",0,0,1,12,2000,39,27824,2493,2,0,41736
"2086",0,1,0,17,1744,46,39960,112,1,1,106779.0390625
"2094",1,0,1,16,2286,36,84360,4346,0,1,156658
"2107",1,0,0,12,2081,43,0,5028,2,1,46733.9609375
"2140",1,0,1,16,2470,51,41440,675,0,1,87320
"2162",0,0,1,17,430,26,9028,5979,0,1,80290
"2194",1,0,1,16,1944,35,56240,5250,1,1,84360
"2205",1,0,1,13,1500,59,5920,5544,0,1,23680
"2209",0,0,1,15,2232,50,41440,366,0,0,41662
"2212",0,0,1,12,320,29,4736,5847,0,1,10064
"2248",0,0,1,14,2470,34,0,426,2,0,30571.53125
"2249",1,0,1,10,3324,42,46602.23828125,4740,3,1,68565.4375
"2253",1,0,1,12,2940,40,50320,3129,0,1,79920
"2263",1,0,1,16,2450,48,88800,1069,2,1,121360
"2269",1,0,1,17,5200,42,177600,3465,4,1,177600
"2273",1,0,1,12,2160,45,0,1737,1,1,29897.48046875
"2280",0,0,1,11,0,52,0,2703,0,0,8826.7197265625
"2296",0,1,0,7,0,46,0,691,0,1,37710.3984375
