"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,1969,32,64320,3419,3,1,64320
"3",0,0,1,11,168,35,1873.31994628906,3095,2,1,75375
"5",1,0,1,12,3060,25,40200,2625,2,1,49245
"6",1,0,1,12,2577,30,34170,2129,2,1,34170
"7",1,0,1,12,3205,28,27738,2172,3,1,35434.2890625
"8",0,0,1,13,2127,34,18504.060546875,3096,3,1,105181.2890625
"9",1,0,1,12,2970,32,40200,2128,3,1,60300
"16",0,1,0,12,3370,25,54270,5953,1,1,105625.5
"17",1,1,0,13,1836,27,31155,2711,2,1,111555
"18",0,1,0,16,0,34,0,5954,4,0,62310
"19",0,0,1,15,1750,32,44107.44140625,2982,2,0,44107.44140625
"21",0,1,0,12,1701,30,41808,2085,3,0,41808
"25",0,0,1,16,1661,31,38716.62109375,5158,2,1,113468.5234375
"26",1,0,1,14,2972,33,93465,5723,0,0,93465
"27",1,0,1,17,1904,39,144720,5730,1,1,229140
"30",1,0,1,17,2450,37,120600,5119,2,1,208839
"31",0,0,1,16,2066,35,55687.05078125,1570,0,0,57094.05078125
"33",1,0,1,17,4146,29,90450,5712,2,1,158790
"38",0,0,1,12,2273,36,26210.400390625,60,1,0,46511.3984375
"39",0,0,1,17,1984,26,28743,58,0,1,84822
"41",1,0,1,9,2691,31,56079,1685,0,1,90409.796875
"42",1,0,1,14,2275,40,64320,31,3,1,64320
"44",0,0,1,16,2034,28,14005.6796875,32,3,0,24248.640625
"45",1,0,1,12,2954,38,78993,1686,2,1,92259
"47",1,0,1,10,2256,25,38190,3217,0,0,38190
"50",1,0,1,11,2048,38,22110,1446,0,0,22110
"51",0,0,1,12,2080,29,28140,5078,2,1,62020.55859375
"54",1,0,1,12,1560,35,15477,3064,1,1,26869.6796875
"55",1,0,1,12,2600,41,30150,5617,4,1,30150
"56",1,0,1,6,2624,40,22214.51953125,6184,3,1,28554.060546875
"59",1,0,1,10,1348,33,13213.740234375,5567,1,1,30543.9609375
"60",1,0,1,12,196,34,3015,5230,0,0,20039.69921875
"61",1,0,1,10,3251,27,20100,6885,0,1,20100
"62",1,0,1,12,2510,36,22110,5620,2,1,51255
"64",1,0,1,14,2193,32,29748,5381,2,1,33768
"65",1,0,1,12,3000,25,4824,6884,1,1,8729.4296875
"70",1,1,0,12,2120,26,26130,5134,4,1,33969
"72",0,1,0,12,1960,36,29949,5141,1,0,29949
"73",1,1,0,12,680,27,10050,6993,2,1,24351.150390625
"75",1,1,0,12,2168,35,50501.25,5307,2,1,80651.25
"76",0,1,0,12,1582,30,31020.330078125,4559,3,0,71220.328125
"600",1,0,1,12,1910,33,66330,1771,1,1,72360
"632",1,0,1,11,2811,53,134670,2158,0,1,135574.5
"637",1,0,1,17,2450,44,120600,2810,1,1,166830
"670",1,0,1,12,3000,25,11055,2431,0,1,26130
"674",0,0,1,17,344,36,8040,3279,3,1,47737.5
"701",1,0,1,17,3750,32,53265,6207,2,1,94238.8515625
"759",0,0,1,17,1940,29,11055,6755,0,1,42955.7109375
"764",0,0,1,13,2080,27,24120,326,1,1,36180
"770",0,1,0,13,2688,29,43215,6658,1,1,83415
"780",1,0,1,15,2961,27,0,5111,0,0,2.00999999046326
"790",1,0,1,12,2600,36,62310,3221,0,1,124620
"796",1,0,1,12,1880,35,37386,140,0,0,37506.6015625
"805",1,1,0,12,2040,38,21105,2838,4,1,27135
"817",1,0,1,12,2435,46,46230,1170,0,0,47436
"839",1,0,1,12,3000,43,48240,1373,1,1,54199.6484375
"840",1,0,1,17,3093,33,73365,4830,1,1,143313
"841",0,0,1,12,0,46,0,2708,1,1,172257
"842",0,0,1,16,358,44,47637,5152,3,1,424914
"865",1,0,1,10,2295,31,53466,956,2,0,73399.171875
"892",1,0,1,12,2000,55,47554.58984375,5696,0,1,82066.2890625
"893",0,0,1,16,1632,31,27135,4685,2,1,109746
"894",0,0,1,17,2124,45,37185,2757,1,1,157483.5
"970",0,0,1,12,2040,39,20100,4706,0,1,25125
"975",1,0,0,12,2270,49,90450,3360,0,1,163057.234375
"998",0,0,1,12,1982,30,17123.189453125,5087,0,0,19523.130859375
"1036",0,1,0,13,1840,40,26130,2651,1,1,87636
"1068",1,0,1,17,3328,38,27370.169921875,250,1,1,104721
"1114",1,0,1,14,1928,34,74370,840,0,0,92104.2265625
"1154",0,0,1,17,1976,34,68340,3322,1,1,114369
"1172",1,0,1,16,2218,28,70350,2454,0,0,75214.203125
"1180",0,0,1,17,150,39,7035,2170,1,1,212055
"1185",1,0,1,12,1990,29,56280,624,0,1,108138
"1187",0,0,1,17,2160,35,72360,5062,2,1,198990
"1205",1,0,1,17,2470,31,90450,4032,1,1,131152.5
"1211",0,0,1,17,1669,44,54270,5513,1,0,66729.9921875
"1212",0,0,1,12,1098,44,18090,3360,0,1,163057.234375
"1247",0,0,1,17,1240,31,28140,3208,2,1,78591
"1249",1,0,1,14,3264,30,110751,1737,0,0,110751
"1289",0,0,1,14,0,29,0,1646,1,1,70350
"1290",0,0,1,16,1962,26,44220,4529,1,1,117082.5
"1314",0,0,1,14,2021,27,24120,2263,1,1,72360
"1334",0,0,1,12,0,46,0,1171,1,1,41325.6015625
