"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,1960,27,52580,6117,2,1,52580
"3",0,0,1,11,656,30,6144.68994140625,6237,3,1,59750
"6",1,0,1,12,800,25,11950,5165,1,1,22705
"8",0,0,1,13,1248,29,8365,5254,3,1,86040
"9",1,0,1,12,2260,26,49616.3984375,3725,3,1,49616.3984375
"15",1,1,0,14,2771,28,56165,3424,0,0,56165
"18",0,1,0,16,1590,29,43856.5,3423,1,0,44812.5
"19",0,0,1,15,1365,27,25095,3480,2,0,28225.900390625
"21",0,1,0,12,1456,25,19359,3411,2,0,21557.80078125
"25",0,0,1,16,2000,26,43020,3074,0,1,96317
"26",1,0,1,14,3276,28,74090,1010,2,1,93329.5
"27",1,0,1,17,2277,34,129657.5,1758,0,1,211873.5
"30",1,0,1,17,2400,32,83650,1017,1,1,146746
"31",0,0,1,16,1991,30,49114.5,1714,0,0,49912.76171875
"38",0,0,1,12,100,31,1673,3848,1,1,55495.80078125
"41",1,0,1,9,1172,26,22944,3189,5,1,30357.779296875
"42",1,0,1,14,1800,35,43020,1885,4,1,44243.6796875
"45",1,0,1,12,3196,33,68717.28125,5532,2,1,68717.28125
"50",1,0,1,11,1952,33,28680,4692,3,1,40630
"52",0,0,1,10,1806,34,13145,790,2,0,37408.28125
"54",1,0,1,12,2080,30,14340,3544,0,0,14340
"55",1,0,1,12,2695,35,21510,3029,1,1,31070
"56",1,0,1,6,2417,35,23661,6168,3,1,23661
"59",1,0,1,10,2270,28,14913.599609375,6633,0,0,38734.73046875
"60",1,0,1,12,1287,30,23422,6740,3,1,48803.80078125
"62",1,0,1,12,2375,31,19837,4686,2,1,21749
"72",0,1,0,12,1976,30,28680,3208,1,0,28680
"75",1,1,0,12,2004,30,33460,3445,2,1,53536
"76",0,1,0,12,911,25,11950,4311,2,0,47800
"600",1,0,1,12,1995,28,53058,3616,1,1,53058
"637",1,0,1,17,1954,39,105365.5390625,4712,1,1,128787.5390625
"674",0,0,1,17,1220,31,14579,1291,1,1,81988.953125
"701",1,0,1,17,2300,27,57360,6228,2,1,57575.1015625
"790",1,0,1,12,3640,31,35850,5312,0,1,59750
"796",1,0,1,12,1982,30,36567,663,0,0,40450.75
"805",1,1,0,12,2324,33,71700,61,2,1,74568
"817",1,0,1,12,3060,41,57360,5194,0,0,57479.5
"839",1,0,1,12,1305,37,14340,487,2,1,31720.080078125
"841",0,0,1,12,24,41,95.5999984741211,3384,3,1,100893.8515625
"842",0,0,1,16,0,39,0,4823,3,1,217167.34375
"865",1,0,1,10,810,26,26768,1122,2,1,67354.9765625
"892",1,0,1,12,1910,50,57360,4865,0,1,85084
"893",0,0,1,16,2060,26,19884.80078125,3010,0,1,55400.19921875
"894",0,0,1,17,160,39,2270.5,744,2,1,77555.5
"970",0,0,1,12,1348,34,43020,6104,1,1,112325.21875
"975",1,0,0,12,2876,43,84653.796875,2584,0,1,132310.40625
"991",0,0,1,12,2000,58,23900,5287,0,1,92732
"1036",0,1,0,13,1880,35,23900,3715,1,1,67039.5
"1114",1,0,1,14,1880,29,72178,3506,0,0,72178
"1141",1,0,1,16,2080,33,86040,3551,2,1,119500
"1154",0,0,1,17,736,29,34655,2923,1,1,59750
"1161",1,0,1,13,2760,52,172080,2107,1,1,243541
"1180",0,0,1,17,120,34,7170,6641,0,1,101694.5
"1187",0,0,1,17,2256,30,57360,5040,1,1,144117
"1211",0,0,1,17,1448,39,38240,2156,2,1,106355
"1212",0,0,1,12,1155,38,16252,2584,0,1,132310.40625
"1247",0,0,1,17,1952,26,39435,2938,0,1,74998.203125
"1249",1,0,1,14,2503,25,59750,2423,0,0,59750
"1264",0,0,1,12,1440,33,19478.5,4458,0,0,20554
"1328",1,0,1,16,2157,56,83650,5819,0,1,115198
"1334",0,0,1,12,1800,41,27963,4530,1,1,94883
"1345",1,0,1,17,1712,29,32623.5,3807,0,0,42398.6015625
"1358",0,0,1,12,0,39,0,3830,2,1,60347.5
"1371",1,0,1,17,1870,34,66920,5523,2,1,73851
"1419",0,0,1,12,0,26,0,2150,2,1,75763
"1427",1,0,1,16,2286,30,66920,5477,0,1,105638
"1431",1,0,1,16,1880,56,112330,3338,0,1,174470
"1490",0,0,1,11,1680,41,25812,949,1,1,64649.5
"1506",0,1,0,14,1386,29,20372.359375,6674,2,0,49052.359375
